experiment,scenario,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,year_start,year_end,stats_end_year,train_end_year,val_end_year,missing_policy,train_years,val_years,test_years,train_effective_samples,val_effective_samples,test_effective_samples,proxy_mode,proxy_construction_fit_window,proxy_construction_uses_target_column,proxy_construction_description,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean,matrix_name,variant_id,track,matrix_scenario,interpretation,run_spec,matrix_output_dir,run_dir,proxy_perturbation,d_model,dropout,temperature,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,evidence_scope,sequence_transform,run_group
fullspan_income_k3_cmdl_seed0,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,0,3,1,58,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed0\summary.json,1.7318588304778364,1.2951225893838065,0.0,0.0,0.0,0.0,0.0,0.0,2.3795580863952637,0.06844432359948391,-0.28051948051948056,-0.18311688311688312,0.19490289688110352,0.9366456150168755,0.8095238095238095,0.17036872445683504,0.21305946002249665,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed0,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed1,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,1,3,1,21,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed1\summary.json,1.715944114425808,1.2785691789218359,0.0,0.0,0.0,0.0,0.0,0.0,1.5049854516983032,0.03703369583339342,-0.625974025974026,-0.8883116883116883,0.10522949695587158,0.7257077996934397,1.0,0.5401581532711314,0.3040717811153537,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed1,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed2,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,2,3,1,17,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed2\summary.json,1.4755459070647485,1.18617173982045,0.0,0.0,0.0,0.0,0.0,0.0,1.211989402770996,0.011807906169993535,-0.8974025974025974,-0.8857142857142857,0.03316366672515869,0.4818651082352264,1.0,0.5515077492444874,0.6120501438039637,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed2,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed3,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,3,3,1,16,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed3\summary.json,1.595266020531658,1.2311558401773846,0.0,0.0,0.0,0.0,0.0,0.0,2.4456379413604736,0.04044518214793584,-0.4077922077922078,-0.7,0.10147905349731445,0.9196304059041949,1.0,0.5259677555139454,0.320279435017766,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed3,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed4,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,4,3,1,12,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed4\summary.json,1.6321673231828675,1.2428683137136793,0.0,0.0,0.0,0.0,0.0,0.0,1.7120156288146973,0.006313363948715079,0.9142857142857143,0.9207792207792208,0.017377495765686035,0.7842686201978852,1.0,0.6141439907397871,0.6544065329989033,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed4,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed5,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,5,3,1,22,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed5\summary.json,1.1081679967613864,1.0074236828183372,0.0,0.0,0.0,0.0,0.0,0.0,1.5153881311416626,0.004329270967179645,0.6324675324675325,0.7714285714285715,0.013083934783935547,0.8157899240563529,1.0,0.31383974339332293,0.30777942151922744,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed5,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed6,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,6,3,1,18,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed6\summary.json,1.4562751285514302,1.1704214149051242,0.0,0.0,0.0,0.0,0.0,0.0,1.7584713697433472,0.03255706669939727,-0.39350649350649347,-0.7220779220779221,0.09792232513427734,0.7553918695840399,1.0,0.4424397524421056,0.19306995955276585,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed6,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed7,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,7,3,1,19,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed7\summary.json,1.9124268151508772,1.3576504484055534,0.0,0.0,0.0,0.0,0.0,0.0,1.940685510635376,0.024913198825877444,-0.20129870129870128,-0.525974025974026,0.07461309432983398,0.6380606491222645,1.0,0.340297096290634,0.1011273230848948,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed7,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed8,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,8,3,1,33,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed8\summary.json,1.7560605065923982,1.303811472559732,0.0,0.0,0.0,0.0,0.0,0.0,1.495168924331665,0.19493844870603746,0.8688311688311688,0.5506493506493506,0.5785603523254395,0.7014249144875441,1.0,0.3678334079838825,0.5902998524975187,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed8,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
fullspan_income_k3_cmdl_seed9,fullspan_region_proxy,cmdl,none,single_fullspan_region_proxy,9,3,1,23,2006,2023,2018,2018,2020,error,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2016,2017,2018,2019,2020","2018,2019,2020,2021,2022,2023",210,42,63,income_region_summary,"[2006, 2018]",False,"Region-varying AC/proxy signals are derived from train-window income/RPCYD summaries: income level, recent income level, and income growth signal.",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed9\summary.json,1.8950704625037365,1.354760798196944,0.0,0.0,0.0,0.0,0.0,0.0,1.2142819166183472,0.0021933048024740777,0.11948051948051949,0.18311688311688312,0.006326079368591309,0.4884504735805733,1.0,0.004069600940132312,0.0019868406598728683,0.0,2.0957197433912333,full_all_improvements,fullspan_income_k3,fullspan_income,fullspan_region_proxy,main_expanded_sample,cmdl,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\improvement_matrix\full_all_improvements\fullspan_income_k3\fullspan_income_k3_cmdl_seed9,none,32,0.05,1.0,0.0,,,primary_or_reference,"{""mode"": ""identity"", ""uses_target_column"": false}",CMDL
