experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean,run_group
multiseq_overlap_region_proxy_cmdl_seed0,cmdl,none,multiseq_overlap_region_proxy,0,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed0\summary.json,25.265525142693637,5.022231127534594,0.0,0.0,0.0,0.0,0.0,0.0,1.822490096092224,7.885821748375902e-07,-0.0,-0.0,1.5497207641601562e-06,0.4675964234288071,1.0,0.1629915943801255,0.008874930263802,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed1,cmdl,none,multiseq_overlap_region_proxy,1,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed1\summary.json,27.57680642851983,5.246713218234834,0.0,0.0,0.0,0.0,0.0,0.0,1.818769574165344,3.10610907879431e-07,-0.0,-0.0,8.344650268554688e-07,0.4732539162659126,1.0,0.1609049390241626,0.0279511096418663,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed10,cmdl,none,multiseq_overlap_region_proxy,10,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed10\summary.json,27.68201433346664,5.246341399493671,0.0,0.0,0.0,0.0,0.0,0.0,1.073406219482422,6.366439263093621e-07,-0.0,-0.0,1.6689300537109375e-06,0.262362010603954,1.0,0.3773986622673699,0.478397659042747,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed11,cmdl,none,multiseq_overlap_region_proxy,11,2,6,69,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed11\summary.json,35.31726068138481,5.923870998479071,0.0,0.0,0.0,0.0,0.0,0.0,1.0794757604599,7.204181609511358e-07,-0.0,-0.0,2.026557922363281e-06,0.2774870195345852,1.0,0.2237932908297723,0.5106757211666921,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed12,cmdl,none,multiseq_overlap_region_proxy,12,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed12\summary.json,28.393728113411363,5.322102001735142,0.0,0.0,0.0,0.0,0.0,0.0,1.8120272159576416,2.247602538273098e-06,-0.0,-0.0,6.079673767089844e-06,0.4832700244256109,1.0,0.3418162245087372,0.419706752548917,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed13,cmdl,none,multiseq_overlap_region_proxy,13,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed13\summary.json,29.65218587096989,5.436047002673149,0.0,0.0,0.0,0.0,0.0,0.0,1.8106834888458248,0.000432599153635,-0.5324675324675324,-0.5389610389610389,0.0012596845626831,0.4852297737457045,1.0,0.159311833237294,0.1286402693599775,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed14,cmdl,none,multiseq_overlap_region_proxy,14,2,6,12,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed14\summary.json,30.89288820880478,5.545984984863372,0.0,0.0,0.0,0.0,0.0,0.0,1.0787006616592407,1.281964187467236e-07,-0.0,-0.0,2.384185791015625e-07,0.2755844197822308,1.0,0.04432713737338,0.0302295680575888,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed15,cmdl,none,multiseq_overlap_region_proxy,15,2,6,4,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed15\summary.json,30.26257857803653,5.4853530043647405,0.0,0.0,0.0,0.0,0.0,0.0,1.0768972635269165,0.0,,,0.0,0.2711253112907075,1.0,0.2127188271261637,0.0017585940668909,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed16,cmdl,none,multiseq_overlap_region_proxy,16,2,6,7,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed16\summary.json,27.067018023813585,5.189980623267946,0.0,0.0,0.0,0.0,0.0,0.0,1.0741437673568726,8.011899114507652e-07,-0.0,-0.0,2.6226043701171875e-06,0.2642280601660604,1.0,0.2358697392441814,0.0047790442896895,0.0,1.5102827032054371,Multiseq CMDL
multiseq_overlap_region_proxy_cmdl_seed17,cmdl,none,multiseq_overlap_region_proxy,17,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed17\summary.json,24.59823262660654,4.950811851592291,0.0,0.0,0.0,0.0,0.0,0.0,1.8137439489364624,2.4063031657124908e-06,-0.0,-0.0,7.033348083496094e-06,0.4807485705432354,1.0,0.4932488251376235,0.6284367681266426,0.0,1.5102827032054371,Multiseq CMDL
