epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,2.383664608001709,2.2339088916778564,1.4975581169128418,1.9785614013671875,0.0,0.0,0.0,20.466576017676104,20.466576017676104,20.46641012425963,0.08240456854748324,1.0,23.894758224487305,23.745071411132812,1.4968621730804443,1.9760915040969849,0.0,0.0,0.0,23.74506990910058,4.8477767046008795,0.0,1.0761972665786743,6.700066996037435e-06,0.0,-1.0,-0.5402597402597402,0.01146091866432833,0.5402597402597402,1.0,-0.8818181818181818,1.2689598743183035e-07,0.8818181818181818,1.0,-0.5402597402597402,0.01146091866432833,0.5402597402597402,1.0,-0.5402597402597402,0.5402597402597402,-0.21038961038961035,0.35998449216768674,0.21038961038961035,1.0,-0.21038961038961035,0.21038961038961035,-0.5402597402597402,0.01146091866432833,0.5402597402597402,1.0,-0.5402597402597402,0.5402597402597402,1.0762001474698384,6.0,1.0762000560760498,5.0,1.076195740699768,5.0,1.0761926412582397,5.0,0.2693822337657864,1.671467848070757e-05,1.0,1.0,0.0,0.03401442193317864,0.5376623376623377,0.011943270626361555,-0.5376623376623377,1.0,0.5376623376623377,0.011943270626361555,-1.0,-0.5376623376623377,1.0,-0.00018988912554909382,1.9431114196777344e-05,1.076187014579773,1.0762064456939697,-0.4968622948696116,-0.9760913681733538,1.0,-0.9760913681733538,-0.9760913681733538,-0.11605478069210995,-0.11605478069210995,-0.39844073574337147,-0.39844073574337147
2.0,1.6948164701461792,1.5451302528381348,1.4968621730804443,1.9760915040969849,0.0,0.0,0.0,16.77278281384704,16.77278281384704,16.772580991905425,0.08228116707619479,1.0,22.382431030273438,22.232709884643555,1.4972199201583862,1.9693523645401,0.0,0.0,0.0,22.232708433911522,4.6908829772756215,0.0,1.0764795541763306,6.845275454717021e-06,0.0,-1.0,-0.5703150674289337,0.006943702807248829,0.5703150674289337,1.0,-0.8801559411915774,1.439302172288102e-07,0.8801559411915774,1.0,-0.5703150674289337,0.006943702807248829,0.5703150674289337,1.0,-0.5703150674289337,0.5703150674289337,-0.12536538498153096,0.5881891013428645,0.12536538498153096,1.0,-0.12536538498153096,0.12536538498153096,-0.5703150674289337,0.006943702807248829,0.5703150674289337,1.0,-0.5703150674289337,0.5703150674289337,1.0764832099278767,6.0,1.0764825344085693,5.0,1.07647807598114,5.0,1.0764742136001586,5.0,0.2700861744407697,1.7099588673382887e-05,1.0,1.0,0.0,0.033089395058562406,0.5688311688311689,0.007125381298647016,-0.5688311688311689,1.0,0.5688311688311689,0.007125381298647016,-1.0,-0.5688311688311689,1.0,-0.00020291073608974224,2.014636993408203e-05,1.076469898223877,1.076490044593811,-0.4972197163422283,-0.9693520811208569,1.0,-0.9693520811208569,-0.9693520811208569,-0.12411208789395745,-0.12411208789395745,-0.3981949800118705,-0.3981949800118705
3.0,1.1501593589782715,1.0004373788833618,1.4972199201583862,1.9693523645401,0.0,0.0,0.0,12.99669268287433,12.99669268287433,12.996433487560877,0.0820810360888124,1.0,20.92144775390625,20.771799087524414,1.4964888095855713,1.9573765993118286,0.0,0.0,0.0,20.77179702239888,4.534746910134952,0.0,1.076759696006775,7.302974354236374e-06,0.0,-1.0,-0.6324019853848594,0.00209721415065231,0.6324019853848594,1.0,-0.9050114831999375,1.7483739406330244e-08,0.9050114831999375,1.0,-0.6324019853848594,0.00209721415065231,0.6324019853848594,1.0,-0.6324019853848594,0.6324019853848594,-0.03968777891818562,0.8643792181431403,0.03968777891818562,1.0,-0.03968777891818562,0.03968777891818562,-0.6324019853848594,0.00209721415065231,0.6324019853848594,1.0,-0.6324019853848594,0.6324019853848594,1.0767637888590496,6.0,1.0767627477645874,5.0,1.076757788658142,5.0,1.0767534255981446,5.0,0.2707830360521582,1.8180000252261037e-05,1.0,1.0,0.0,0.03411381091821073,0.6363636363636362,0.0019262960071318917,-0.6363636363636362,1.0,0.6363636363636362,0.0019262960071318917,-1.0,-0.6363636363636362,1.0,-0.0002119887370187184,2.1696090698242188e-05,1.0767496824264526,1.0767713785171509,-0.4964888263302912,-0.9573762706197546,1.0,-0.9573762706197546,-0.9573762706197546,-0.13195452450733702,-0.13195452450733702,-0.4001356838637822,-0.4001356838637822
4.0,0.7572383284568787,0.6075894236564636,1.4964888095855713,1.9573765993118286,0.0,0.0,0.0,9.414257535036816,9.414257535036816,9.413901945633677,0.08182355401667298,1.0,19.521684646606445,19.372045516967773,1.496385097503662,1.9467862844467163,0.0,0.0,0.0,19.37204302534881,4.380383400689988,0.0,1.0770364999771118,7.87791889036932e-06,0.0,-1.0,-0.7155844155844155,0.0002652530626513761,0.7155844155844155,1.0,-0.9207792207792208,3.319405263338615e-09,0.9207792207792208,1.0,-0.7155844155844155,0.0002652530626513761,0.7155844155844155,1.0,-0.7155844155844155,0.7155844155844155,0.02077922077922078,0.9287633909628463,-0.02077922077922078,1.0,0.02077922077922078,-0.02077922077922078,-0.7155844155844155,0.0002652530626513761,0.7155844155844155,1.0,-0.7155844155844155,0.7155844155844155,1.077041506767273,6.0,1.0770397901535034,5.0,1.0770341873168945,5.0,1.0770292282104492,5.0,0.2714709790242641,1.9541880456792456e-05,1.0,1.0,0.0,0.035662465545966866,0.7155844155844155,0.0002652530626513761,-0.7155844155844155,1.0,0.7155844155844155,0.0002652530626513761,-1.0,-0.7155844155844155,1.0,-0.00022367682307200413,2.384185791015625e-05,1.077026128768921,1.077049970626831,-0.4963851629620715,-0.9467861909858553,1.0,-0.9467861909858553,-0.9467861909858553,-0.14093233456617194,-0.14093233456617194,-0.40143696333418855,-0.40143696333418855
5.0,0.47833627462387085,0.32869774103164673,1.496385097503662,1.9467862844467163,0.0,0.0,0.0,6.0941069887192905,6.0941069887192905,6.09356078746056,0.08158994717695703,1.0,18.194852828979492,18.04520034790039,1.4965311288833618,1.9358420372009277,0.0,0.0,0.0,18.045202044024567,4.229267116813433,0.0,1.0773077011108398,8.559376001002144e-06,0.0,-1.0,-0.7567392409506921,7.177197204401294e-05,0.7567392409506921,1.0,-0.9347191139296531,5.579089051133891e-10,0.9347191139296531,1.0,-0.7567392409506921,7.177197204401294e-05,0.7567392409506921,1.0,-0.7567392409506921,0.7567392409506921,0.0805456359466831,0.7285390672683169,-0.0805456359466831,1.0,0.0805456359466831,-0.0805456359466831,-0.7567392409506921,7.177197204401294e-05,0.7567392409506921,1.0,-0.7567392409506921,0.7567392409506921,1.077313760916392,6.0,1.077311372756958,5.0,1.0773049354553224,5.0,1.0772994041442872,5.0,0.2721440867353791,2.1221860916534557e-05,1.0,1.0,0.0,0.037873471384671904,0.7558441558441559,7.403635379593029e-05,-0.7558441558441559,1.0,0.7558441558441559,7.403635379593029e-05,-1.0,-0.7558441558441559,1.0,-0.0002317210906586523,2.586841583251953e-05,1.0772972106933594,1.077323079109192,-0.496531036442901,-0.9358419830496367,1.0,-0.9358419830496367,-0.9358419830496367,-0.15081289572029766,-0.15081289572029766,-0.4029382305587692,-0.4029382305587692
6.0,0.3214544653892517,0.1718013435602188,1.4965311288833618,1.9358420372009277,0.0,0.0,0.0,3.3726749182284435,3.3726749182284435,3.371693339025683,0.08136419124576393,1.0,16.964797973632812,16.815143585205078,1.4965364933013916,1.9236255884170532,0.0,0.0,0.0,16.81514302030325,4.08453585420336,0.0,1.0775700807571411,9.097940703239903e-06,0.0,-1.0,-0.7814225809988693,2.8847999095028792e-05,0.7814225809988693,1.0,-0.9477103455339569,7.133290588372725e-11,0.9477103455339569,1.0,-0.7814225809988693,2.8847999095028792e-05,0.7814225809988693,1.0,-0.7814225809988693,0.7814225809988693,0.13900617816604988,0.5478867957815522,-0.13900617816604988,1.0,0.13900617816604988,-0.13900617816604988,-0.7814225809988693,2.8847999095028792e-05,0.7814225809988693,1.0,-0.7814225809988693,0.7814225809988693,1.0775768955548604,6.0,1.0775738954544067,5.0,1.0775667905807496,5.0,1.077560806274414,5.0,0.2727938228299194,2.248904630922075e-05,1.0,1.0,0.0,0.03952925723972201,0.7818181818181819,2.840326860518539e-05,-0.7818181818181819,1.0,0.7818181818181819,2.840326860518539e-05,-1.0,-0.7818181818181819,1.0,-0.000235539101755698,2.849102020263672e-05,1.0775585174560547,1.0775870084762573,-0.49653633414483417,-0.9236255969943175,1.0,-0.9236255969943175,-0.9236255969943175,-0.16059666075976065,-0.16059666075976065,-0.4053867446804247,-0.4053867446804247
7.0,0.24691498279571533,0.09726132452487946,1.4965364933013916,1.9236255884170532,0.0,0.0,0.0,1.5207414148556277,1.5207414148556277,1.5185749141906375,0.08114604641012453,1.0,15.901780128479004,15.75212287902832,1.4965740442276,1.9107880592346191,0.0,0.0,0.0,15.752124025749353,3.955639224676859,0.0,1.0778101682662964,9.595984722450932e-06,0.0,-1.0,-0.7922077922077921,1.8668396670120594e-05,0.7922077922077921,1.0,-0.9480519480519479,6.711681626030515e-11,0.9480519480519479,1.0,-0.7922077922077921,1.8668396670120594e-05,0.7922077922077921,1.0,-0.7922077922077921,0.7922077922077921,0.16103896103896104,0.4855791442852288,-0.16103896103896104,1.0,0.16103896103896104,-0.16103896103896104,-0.7922077922077921,1.8668396670120594e-05,0.7922077922077921,1.0,-0.7922077922077921,0.7922077922077921,1.0778178572654724,6.0,1.0778143644332885,5.0,1.0778065919876099,5.0,1.0778003454208374,5.0,0.27338821595911883,2.3637712669939068e-05,1.0,1.0,0.0,0.0413330435234607,0.7922077922077921,1.8668396670120594e-05,-0.7922077922077921,1.0,0.7922077922077921,1.8668396670120594e-05,-1.0,-0.7922077922077921,1.0,-0.00023609482413762385,3.0279159545898438e-05,1.0777976512908936,1.0778279304504395,-0.4965739335636163,-0.9107879153361935,1.0,-0.9107879153361935,-0.9107879153361935,-0.1704606337869754,-0.1704606337869754,-0.4084732515676799,-0.4084732515676799
8.0,0.23213985562324524,0.08248244225978851,1.4965740442276,1.9107880592346191,0.0,0.0,0.0,1.7731440239094138,1.7731440239094138,1.7712954007774906,0.08094648052989677,1.0,15.148662567138672,14.999025344848633,1.4963685274124146,1.8993898630142212,0.0,0.0,0.0,14.999026407876173,3.8622098777975356,0.0,1.078003168106079,9.849368576697837e-06,0.0,-1.0,-0.7983111820844639,1.4429402533902958e-05,0.7983111820844639,1.0,-0.9496590302746024,5.010960916257784e-11,0.9496590302746024,1.0,-0.7983111820844639,1.4429402533902958e-05,0.7983111820844639,1.0,-0.7983111820844639,0.7983111820844639,0.1669373261153029,0.46952087472788323,-0.1669373261153029,1.0,0.1669373261153029,-0.1669373261153029,-0.7983111820844639,1.4429402533902958e-05,0.7983111820844639,1.0,-0.7983111820844639,0.7983111820844639,1.078011115392049,6.0,1.0780075788497925,5.0,1.0779994487762452,5.0,1.0779929399490356,5.0,0.2738650544386023,2.4286692083151304e-05,1.0,1.0,0.0,0.042489155853207776,0.7922077922077921,1.8668396670120594e-05,-0.7922077922077921,1.0,0.7922077922077921,1.8668396670120594e-05,-1.0,-0.7922077922077921,1.0,-0.0002360376037211652,3.147125244140625e-05,1.077989935874939,1.0780214071273804,-0.4963684971747215,-0.8993898262219027,1.0,-0.8993898262219027,-0.8993898262219027,-0.17864943123093036,-0.17864943123093036,-0.41106623407133136,-0.41106623407133136
9.0,0.2398746758699417,0.0902378261089325,1.4963685274124146,1.8993898630142212,0.0,0.0,0.0,2.571408281794298,2.571408281794298,2.570139502368911,0.08076812516822163,1.0,14.666399955749512,14.516825675964355,1.495741367340088,1.8909475803375244,0.0,0.0,0.0,14.516825786677995,3.8014699476105824,0.0,1.0781563520431519,1.0084531442479567e-05,0.0,-1.0,-0.8129870129870129,7.485482866993913e-06,0.8129870129870129,1.0,-0.9415584415584415,2.0029908539714922e-10,0.9415584415584415,1.0,-0.8129870129870129,7.485482866993913e-06,0.8129870129870129,1.0,-0.8129870129870129,0.8129870129870129,0.1974025974025974,0.39105475294328795,-0.1974025974025974,1.0,0.1974025974025974,-0.1974025974025974,-0.8129870129870129,7.485482866993913e-06,0.8129870129870129,1.0,-0.8129870129870129,0.8129870129870129,1.0781643986701965,6.0,1.078160858154297,5.0,1.078152632713318,5.0,1.0781456708908081,5.0,0.2742431536086584,2.4888963288556235e-05,1.0,1.0,0.0,0.043390022246105,0.8129870129870129,7.485482866993913e-06,-0.8129870129870129,1.0,0.8129870129870129,7.485482866993913e-06,-1.0,-0.8129870129870129,1.0,-0.00023599433260349244,3.24249267578125e-05,1.078142523765564,1.0781749486923218,-0.49574139977563053,-0.8909474493844032,1.0,-0.8909474493844032,-0.8909474493844032,-0.18383522276545583,-0.18383522276545583,-0.41244152717703253,-0.41244152717703253
10.0,0.24722743034362793,0.09765327721834183,1.495741367340088,1.8909475803375244,0.0,0.0,0.0,3.0475321849994303,3.0475321849994303,3.0464657073335166,0.08061707417352572,1.0,14.39681339263916,14.247292518615723,1.4952101707458496,1.8851579427719116,0.0,0.0,0.0,14.247294892402582,3.7673703034718833,0.0,1.0782777070999146,1.0295634342344634e-05,0.0,-1.0,-0.8168831168831169,6.228850108065046e-06,0.8168831168831169,1.0,-0.9441558441558441,1.313876849790706e-10,0.9441558441558441,1.0,-0.8168831168831169,6.228850108065046e-06,0.8168831168831169,1.0,-0.8168831168831169,0.8168831168831169,0.20909090909090908,0.36302566515631635,-0.20909090909090908,1.0,0.20909090909090908,-0.20909090909090908,-0.8168831168831169,6.228850108065046e-06,0.8168831168831169,1.0,-0.8168831168831169,0.8168831168831169,1.0782858729362488,6.0,1.0782824754714966,5.0,1.0782741546630858,5.0,1.0782666683197022,5.0,0.2745426428301361,2.5372361785093762e-05,1.0,1.0,0.0,0.04404838263977337,0.8168831168831169,6.228850108065046e-06,-0.8168831168831169,1.0,0.8168831168831169,6.228850108065046e-06,-1.0,-0.8168831168831169,1.0,-0.0002380984255593554,3.3736228942871094e-05,1.0782631635665894,1.0782968997955322,-0.49521017141886614,-0.8851580398863892,1.0,-0.8851580398863892,-0.8851580398863892,-0.18781009406759686,-0.18781009406759686,-0.4126623803026126,-0.4126623803026126
