epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,1.259720802307129,1.1168744564056396,1.4284636974334717,1.0835459232330322,0.0,0.0,0.0,13.392451243433426,13.392451243433426,13.392253714537912,0.0727375637961316,1.0,16.620695114135742,16.476938247680664,1.4375770092010498,1.0871282815933228,0.0,0.0,0.0,16.476938748978824,4.036635638702483,0.0,1.8169350624084473,8.16961938653947e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8169344663619995,6.0,1.816934871673584,5.0,1.8169358015060424,5.0,1.8169360876083374,5.0,0.47600901355900227,1.2006335323771843e-06,1.0,0.0,1.0,0.06757681913201354,-0.8506493506493505,1.0328766943533915e-06,0.8506493506493505,1.0,-0.8506493506493505,1.0328766943533915e-06,-1.0,0.8506493506493505,1.0,-1.2104023289731693e-05,2.5033950805664062e-06,1.8169338703155518,1.8169363737106323,-0.437576923292698,-0.08712819047458487,1.0,-0.08712819047458487,-0.08712819047458487,-0.55249033694317,-0.55249033694317,-0.67311224246034,-0.67311224246034
2.0,0.8245432376861572,0.6807855367660522,1.4375770092010498,1.0871282815933228,0.0,0.0,0.0,10.043668048592963,10.043668048592963,10.043399083733807,0.07350316443610098,1.0,14.994083404541016,14.849395751953125,1.4468780755996704,1.0910568237304688,0.0,0.0,0.0,14.849395893789527,3.834326903025309,0.0,1.816333532333374,9.301713312338612e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8163326581319172,6.0,1.8163330554962158,5.0,1.816334056854248,5.0,1.8163344621658326,5.0,0.4769078817617393,1.402303589910469e-06,1.0,0.0,1.0,0.06949495004871563,-0.8454545454545455,1.399110699362322e-06,0.8454545454545455,1.0,-0.8454545454545455,1.399110699362322e-06,-1.0,0.8454545454545455,1.0,-1.2923204016377371e-05,2.7418136596679688e-06,1.8163319826126099,1.8163347244262695,-0.44687791752987976,-0.09105685829308041,1.0,-0.09105685829308041,-0.09105685829308041,-0.5636200313487627,-0.5636200313487627,-0.6859568629477968,-0.6859568629477968
3.0,0.5186827182769775,0.373994916677475,1.4468780755996704,1.0910568237304688,0.0,0.0,0.0,6.844855483144184,6.844855483144184,6.844452344434926,0.07428788520503744,1.0,13.56826400756836,13.422618865966797,1.4564532041549683,1.0953775644302368,0.0,0.0,0.0,13.422619317839246,3.6477792915843783,0.0,1.815730333328247,1.1520348381254237e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8157292008399963,6.0,1.8157296895980835,5.0,1.8157309532165526,5.0,1.815731453895569,5.0,0.47780649879913806,1.648757652485479e-06,1.0,0.0,1.0,0.07155137353702905,-0.8454545454545455,1.399110699362322e-06,0.8454545454545455,1.0,-0.8454545454545455,1.399110699362322e-06,-1.0,0.8454545454545455,1.0,-1.5549552391469974e-05,3.4570693969726562e-06,1.8157283067703247,1.8157317638397217,-0.4564530990819206,-0.09537759729890904,1.0,-0.09537759729890904,-0.09537759729890904,-0.5748382427691243,-0.5748382427691243,-0.6991434571777282,-0.6991434571777282
4.0,0.33728647232055664,0.191641166806221,1.4564532041549683,1.0953775644302368,0.0,0.0,0.0,4.031326780718725,4.031326780718725,4.030627210635683,0.07509927977824929,1.0,12.359238624572754,12.212604522705078,1.4663455486297607,1.100231647491455,0.0,0.0,0.0,12.212604667009497,3.4818681961014155,0.0,1.8151259422302246,1.317883832000541e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8151247104008992,6.0,1.8151253461837769,5.0,1.8151267051696778,5.0,1.8151273250579834,5.0,0.47870430233586553,1.921089061113104e-06,1.0,0.0,1.0,0.07382745256066672,-0.8454545454545455,1.399110699362322e-06,0.8454545454545455,1.0,-0.8454545454545455,1.399110699362322e-06,-1.0,0.8454545454545455,1.0,-1.7895746655609242e-05,4.0531158447265625e-06,1.8151237964630127,1.8151278495788574,-0.4663455598970125,-0.10023161999438401,1.0,-0.10023161999438401,-0.10023161999438401,-0.5860389637236316,-0.5860389637236316,-0.7127660959730215,-0.7127660959730215
5.0,0.2425249218940735,0.0958903506398201,1.4663455486297607,1.100231647491455,0.0,0.0,0.0,1.8835957750146506,1.8835957750146506,1.882064430497934,0.07593762642807693,1.0,11.423928260803223,11.27634334564209,1.4758448600769043,1.1053260564804077,0.0,0.0,0.0,11.276342637597761,3.3484249342055548,0.0,1.8145217895507812,1.519726955983761e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8145203590393066,6.0,1.8145210504531861,5.0,1.814522647857666,5.0,1.814523410797119,5.0,0.479599461218758,2.2501366022076923e-06,1.0,0.0,1.0,0.07616585782154908,-0.8480519480519481,1.203804085854572e-06,0.8480519480519481,1.0,-0.8480519480519481,1.203804085854572e-06,-1.0,0.8480519480519481,1.0,-1.9988487731484292e-05,4.649162292480469e-06,1.8145192861557007,1.8145239353179932,-0.4758450154032287,-0.10532609712238883,1.0,-0.10532609712238883,-0.10532609712238883,-0.596090253186617,-0.596090253186617,-0.7261186959006811,-0.7261186959006811
6.0,0.21704399585723877,0.06945951282978058,1.4758448600769043,1.1053260564804077,0.0,0.0,0.0,1.4730525592072272,1.4730525592072272,1.4710519986208006,0.0767454203240169,1.0,10.909833908081055,10.76180362701416,1.4803014993667603,1.1085710525512695,0.0,0.0,0.0,10.761803929925039,3.2737992888405207,0.0,1.8139441013336182,1.7927018603825008e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.813942313194275,6.0,1.8139432430267335,5.0,1.8139450311660767,5.0,1.8139459609985351,5.0,0.4804532506045195,2.6075199655334308e-06,1.0,0.0,1.0,0.07769992793754207,-0.8480519480519481,1.203804085854572e-06,0.8480519480519481,1.0,-0.8480519480519481,1.203804085854572e-06,-1.0,0.8480519480519481,1.0,-2.2819853644844363e-05,5.602836608886719e-06,1.8139410018920898,1.8139466047286987,-0.4803015643082638,-0.10857108039860175,1.0,-0.10857108039860175,-0.10857108039860175,-0.5990187994180445,-0.5990187994180445,-0.7333148131081455,-0.7333148131081455
7.0,0.21521469950675964,0.06718456000089645,1.4803014993667603,1.1085710525512695,0.0,0.0,0.0,1.9589597450663014,1.9589597450663014,1.9574410071396005,0.07712318949923887,1.0,10.711331367492676,10.563321113586426,1.4801006317138672,1.1093900203704834,0.0,0.0,0.0,10.563320248232996,3.245458233924139,0.0,1.8134162425994873,1.9774247175922616e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8134141167004902,6.0,1.8134151458740235,5.0,1.813417172431946,5.0,1.8134181022644043,5.0,0.48123159501040086,2.9416953207053338e-06,1.0,0.0,1.0,0.07841956195893894,-0.851948051948052,9.55713074466901e-07,0.851948051948052,1.0,-0.851948051948052,9.55713074466901e-07,-1.0,0.851948051948052,1.0,-2.520578316543113e-05,6.198883056640625e-06,1.8134126663208008,1.8134188652038574,-0.4801007306133211,-0.10938988536628824,1.0,-0.10938988536628824,-0.10938988536628824,-0.5970894257129615,-0.5970894257129615,-0.7338228807607134,-0.7338228807607134
8.0,0.20932286977767944,0.06131281703710556,1.4801006317138672,1.1093900203704834,0.0,0.0,0.0,2.1464344746578345,2.1464344746578345,2.1450491120095254,0.07710551904240998,1.0,10.732560157775879,10.58488941192627,1.4767074584960938,1.1082574129104614,0.0,0.0,0.0,10.584888325897943,3.250109689576285,0.0,1.8129445314407349,2.261424041654353e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8129423062006633,6.0,1.8129436016082763,5.0,1.8129460334777832,5.0,1.812946891784668,5.0,0.48192499441062814,3.279884901384298e-06,1.0,0.0,1.0,0.07841524324991525,-0.8662337662337661,3.863979616916554e-07,0.8662337662337661,1.0,-0.8662337662337661,3.863979616916554e-07,-1.0,0.8662337662337661,1.0,-2.8724566826666375e-05,7.033348083496094e-06,1.8129405975341797,1.8129476308822632,-0.47670742751702505,-0.10825742895164936,1.0,-0.10825742895164936,-0.10825742895164936,-0.5922278150336671,-0.5922278150336671,-0.7296370385657587,-0.7296370385657587
9.0,0.2012966126203537,0.053625866770744324,1.4767074584960938,1.1082574129104614,0.0,0.0,0.0,2.0291542524367867,2.0291542524367867,2.027699469651716,0.07682344014976339,1.0,10.90813159942627,10.76101303100586,1.4711823463439941,1.1057806015014648,0.0,0.0,0.0,10.76101265818869,3.2778858627591814,0.0,1.812528133392334,2.431441734133505e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8125254313151042,6.0,1.8125270128250122,5.0,1.8125295639038086,5.0,1.8125304222106933,5.0,0.48253654726170514,3.576015533813417e-06,1.0,0.0,1.0,0.07789671072992577,-0.8948051948051948,4.425010453143769e-08,0.8948051948051948,1.0,-0.8948051948051948,4.425010453143769e-08,-1.0,0.8948051948051948,1.0,-3.130717795879998e-05,7.748603820800781e-06,1.812523603439331,1.8125313520431519,-0.47118228344425445,-0.10578063406828542,1.0,-0.10578063406828542,-0.10578063406828542,-0.5854915433200072,-0.5854915433200072,-0.7222746729444705,-0.7222746729444705
10.0,0.1824929565191269,0.0353747121989727,1.4711823463439941,1.1057806015014648,0.0,0.0,0.0,1.6320201884458776,1.6320201884458776,1.6302325064187122,0.07636668455996405,1.0,11.195745468139648,11.049328804016113,1.4641669988632202,1.1021690368652344,0.0,0.0,0.0,11.04932884867285,3.3220095180329823,0.0,1.8121744394302368,2.6206868840302095e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8121718565622966,6.0,1.81217360496521,5.0,1.8121763229370118,5.0,1.8121772050857543,5.0,0.4830543513961609,3.822821248489628e-06,1.0,0.0,1.0,0.07691932850889935,-0.8948051948051948,4.425010453143769e-08,0.8948051948051948,1.0,-0.8948051948051948,4.425010453143769e-08,-1.0,0.8948051948051948,1.0,-3.444232146250394e-05,8.463859558105469e-06,1.8121699094772339,1.812178373336792,-0.46416696995637063,-0.10216909450559641,1.0,-0.10216909450559641,-0.10216909450559641,-0.5778274780046073,-0.5778274780046073,-0.7125043373589086,-0.7125043373589086
