epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,1.4420139789581299,1.326900601387024,1.1511340141296387,1.041363000869751,0.0,0.0,0.0,15.96242482779839,15.96242482779839,15.962361274213142,0.045043696729220026,1.0,21.89105796813965,21.775447845458984,1.156097412109375,1.0507363080978394,0.0,0.0,0.0,21.775447864523144,4.650445149058387,0.0,1.8181650638580322,2.2678130417140528e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8181649843851726,6.0,1.818164849281311,5.0,1.8181649684906005,5.0,1.8181649684906005,5.0,0.4741646738941899,3.235325393666813e-07,1.0,0.0,1.0,0.06374587472782924,-0.05714285714285714,0.8056609740932286,0.05714285714285714,1.0,-0.05714285714285714,0.8056609740932286,-1.0,0.05714285714285714,1.0,3.5458605889782464e-06,7.152557373046875e-07,1.818164587020874,1.8181653022766113,-0.15609745751134896,-0.050736172770313726,1.0,-0.050736172770313726,-0.050736172770313726,-0.3206709336608309,-0.3206709336608309,-0.09688526610290293,-0.09688526610290293
2.0,0.9088556170463562,0.7932458519935608,1.156097412109375,1.0507363080978394,0.0,0.0,0.0,11.898735945495408,11.898735945495408,11.898648633601903,0.045582833480459224,1.0,19.83527374267578,19.719165802001953,1.1610708236694336,1.0602281093597412,0.0,0.0,0.0,19.71916532347039,4.427010337511699,0.0,1.8187599182128906,1.9283848434928518e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8187601367632549,6.0,1.818760061264038,5.0,1.8187600374221802,5.0,1.818760085105896,5.0,0.4732684419730188,3.0439956173564737e-07,1.0,0.0,1.0,0.06452544290265905,-0.09480519480519481,0.6827070112424533,0.09480519480519481,1.0,-0.09480519480519481,0.6827070112424533,-1.0,0.09480519480519481,1.0,2.6025245577345636e-06,4.76837158203125e-07,1.8187599182128906,1.8187603950500488,-0.16107076919611663,-0.060228162215482106,1.0,-0.060228162215482106,-0.060228162215482106,-0.3236754265462123,-0.3236754265462123,-0.09930871882665615,-0.09930871882665615
3.0,0.5429648160934448,0.42685770988464355,1.1610708236694336,1.0602281093597412,0.0,0.0,0.0,8.17469687797907,8.17469687797907,8.17456661704387,0.04614835157065654,1.0,17.91545295715332,17.798860549926758,1.1659148931503296,1.069571852684021,0.0,0.0,0.0,17.79886006010176,4.20767708335604,0.0,1.8193544149398804,2.2521285130724874e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.81935449441274,6.0,1.8193544387817382,5.0,1.8193543910980225,5.0,1.8193543434143067,5.0,0.47237102042412005,3.0875242725907384e-07,1.0,0.0,1.0,0.06538175549073225,-0.1064935064935065,0.6459166351388025,0.1064935064935065,1.0,-0.1064935064935065,0.6459166351388025,-1.0,0.1064935064935065,1.0,3.0431933714031145e-06,7.152557373046875e-07,1.8193541765213013,1.8193548917770386,-0.16591478386474381,-0.06957186176157815,1.0,-0.06957186176157815,-0.06957186176157815,-0.32655411735273465,-0.32655411735273465,-0.10161837247991912,-0.10161837247991912
4.0,0.3148421347141266,0.1982506364583969,1.1659148931503296,1.069571852684021,0.0,0.0,0.0,4.944785421208604,4.944785421208604,4.944564564487501,0.04673467033892099,1.0,16.153635025024414,16.036575317382812,1.170600175857544,1.0786687135696411,0.0,0.0,0.0,16.036575276107282,3.995482339745476,0.0,1.8199479579925537,2.173490719463331e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8199478387832642,6.0,1.8199477195739746,5.0,1.8199477434158324,5.0,1.8199476718902587,5.0,0.47147269360502586,2.990871789025012e-07,1.0,0.0,1.0,0.06635285005872917,-0.17922077922077922,0.4369652748985062,0.17922077922077922,1.0,-0.17922077922077922,0.4369652748985062,-1.0,0.17922077922077922,1.0,2.8724736124655014e-06,7.152557373046875e-07,1.8199474811553955,1.8199481964111328,-0.17060017797221896,-0.0786686692321672,1.0,-0.0786686692321672,-0.0786686692321672,-0.3293322365108138,-0.3293322365108138,-0.10379962817367616,-0.10379962817367616
5.0,0.19036464393138885,0.07330462336540222,1.170600175857544,1.0786687135696411,0.0,0.0,0.0,2.0815426528900183,2.0815426528900183,2.081004316322521,0.047337630353161506,1.0,14.596848487854004,14.479384422302246,1.174639344215393,1.0864824056625366,0.0,0.0,0.0,14.479383662091461,3.7977736989657083,0.0,1.8205385208129883,2.0592958753696005e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.820538620154063,6.0,1.820538544654846,5.0,1.8205385684967041,5.0,1.8205384969711305,5.0,0.47057582048205615,3.0010322425429956e-07,1.0,0.0,1.0,0.06708328106871829,-0.2025974025974026,0.37845167579960404,0.2025974025974026,1.0,-0.2025974025974026,0.37845167579960404,-1.0,0.2025974025974026,1.0,2.5590347642998648e-06,5.960464477539062e-07,1.8205382823944092,1.820538878440857,-0.17463932067632992,-0.08648223154919377,1.0,-0.08648223154919377,-0.08648223154919377,-0.3318135962707085,-0.3318135962707085,-0.1056221342090875,-0.1056221342090875
6.0,0.1615922898054123,0.04412835091352463,1.174639344215393,1.0864824056625366,0.0,0.0,0.0,0.9724991736667536,0.9724991736667536,0.9713173647432003,0.04792932015837037,1.0,13.589406967163086,13.471837043762207,1.1756949424743652,1.0886534452438354,0.0,0.0,0.0,13.471835933478168,3.6647012404033115,0.0,1.8210172653198242,2.085728085707918e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8210175037384033,6.0,1.8210174083709716,5.0,1.8210174083709716,5.0,1.821017336845398,5.0,0.4698472011819637,2.9959901808980195e-07,1.0,0.0,1.0,0.06654705532377116,-0.1922077922077922,0.4038885272768977,0.1922077922077922,1.0,-0.1922077922077922,0.4038885272768977,-1.0,0.1922077922077922,1.0,2.418382457877475e-06,5.960464477539062e-07,1.8210171461105347,1.8210177421569824,-0.17569487095339179,-0.08865342557901124,1.0,-0.08865342557901124,-0.08865342557901124,-0.33253721578703455,-0.33253721578703455,-0.10589397149413027,-0.10589397149413027
7.0,0.16843077540397644,0.050861284136772156,1.1756949424743652,1.0886534452438354,0.0,0.0,0.0,1.7981073876311189,1.7981073876311189,1.7974592618695642,0.04827400307544114,1.0,13.06177806854248,12.944314002990723,1.1746371984481812,1.087050199508667,0.0,0.0,0.0,12.944313708978294,3.593519721712385,0.0,1.8213251829147339,1.7048810116088057e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8213251829147339,6.0,1.8213250875473022,5.0,1.821325135231018,5.0,1.821325135231018,5.0,0.4693781788797991,2.746740670899098e-07,1.0,0.0,1.0,0.06551398058552087,-0.13636363636363635,0.5555953559520419,0.13636363636363635,1.0,-0.13636363636363635,0.5555953559520419,-1.0,0.13636363636363635,1.0,2.601818012669565e-06,5.960464477539062e-07,1.8213248252868652,1.821325421333313,-0.17463724284140114,-0.08705014462322747,1.0,-0.08705014462322747,-0.08705014462322747,-0.3317879974780482,-0.3317879974780482,-0.10507358642292819,-0.10507358642292819
8.0,0.17587751150131226,0.0584137849509716,1.1746371984481812,1.087050199508667,0.0,0.0,0.0,2.2707462340893096,2.2707462340893096,2.2702310442508438,0.04836801991507943,1.0,12.861536979675293,12.744296073913574,1.1724131107330322,1.083388328552246,0.0,0.0,0.0,12.74429631707757,3.566580204736619,0.0,1.821495771408081,1.7255469905275008e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.821495811144511,6.0,1.8214957475662232,5.0,1.821495771408081,5.0,1.8214957475662232,5.0,0.46911781168280586,2.7612242026782473e-07,1.0,0.0,1.0,0.06443786909447047,-0.07142857142857142,0.7583283454574847,0.07142857142857142,1.0,-0.07142857142857142,0.7583283454574847,-1.0,0.07142857142857142,1.0,2.63698598878653e-06,4.76837158203125e-07,1.821495532989502,1.8214960098266602,-0.1724130143188257,-0.08338817295157552,1.0,-0.08338817295157552,-0.08338817295157552,-0.3301875061893864,-0.3301875061893864,-0.10366336381551533,-0.10366336381551533
9.0,0.17519159615039825,0.057950280606746674,1.1724131107330322,1.083388328552246,0.0,0.0,0.0,2.361835823982246,2.361835823982246,2.3613418840040024,0.048300789789870624,1.0,12.89307975769043,12.776147842407227,1.16932213306427,1.0781811475753784,0.0,0.0,0.0,12.77614665182895,3.5715904122307185,0.0,1.821557879447937,1.9166518411334505e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8215576608975728,6.0,1.8215575695037842,5.0,1.821557593345642,5.0,1.821557593345642,5.0,0.4690233348294487,2.6476721477590713e-07,1.0,0.0,1.0,0.06351236093581719,0.00909090909090909,0.9688031519255759,-0.00909090909090909,1.0,0.00909090909090909,0.9688031519255759,-1.0,-0.00909090909090909,1.0,2.7877781664578505e-06,4.76837158203125e-07,1.8215574026107788,1.821557879447937,-0.16932222005549788,-0.07818109453706468,1.0,-0.07818109453706468,-0.07818109453706468,-0.3279687325774827,-0.3279687325774827,-0.10181683305194689,-0.10181683305194689
10.0,0.1613907516002655,0.044458530843257904,1.16932213306427,1.0781811475753784,0.0,0.0,0.0,2.0639958280399093,2.0639958280399093,2.0634350745149668,0.04810895371512529,1.0,13.095683097839355,12.979117393493652,1.1656590700149536,1.0719735622406006,0.0,0.0,0.0,12.979115696137203,3.6001033158529374,0.0,1.8215349912643433,1.8394392724286546e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8215350111325581,6.0,1.821535015106201,5.0,1.8215349912643433,5.0,1.8215349435806274,5.0,0.46905792119723116,2.692310760581622e-07,1.0,0.0,1.0,0.06279245100361273,0.06883116883116883,0.7668778725128099,-0.06883116883116883,1.0,0.06883116883116883,0.7668778725128099,-1.0,-0.06883116883116883,1.0,2.5794128311031e-06,4.76837158203125e-07,1.8215348720550537,1.821535348892212,-0.1656591857821593,-0.07197361235025013,1.0,-0.07197361235025013,-0.07197361235025013,-0.3253199538660738,-0.3253199538660738,-0.09968399113015436,-0.09968399113015436
