epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,2.8468215465545654,2.6718242168426514,1.7499728202819824,1.9418963193893433,0.0,0.0,0.0,20.795644779784563,20.795644779784563,20.795366104858285,0.10765858949569192,1.0,22.60968017578125,22.433189392089844,1.7648991346359253,1.9643316268920898,0.0,0.0,0.0,22.43319078222254,4.709452743686381,0.0,1.8169721364974976,1.1262073305799614e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8169726133346558,6.0,1.8169724941253662,5.0,1.8169723987579345,5.0,1.8169708013534547,5.0,0.4759539034754582,1.694599909953446e-06,1.0,0.0,1.0,0.09840303619968516,0.4311688311688312,0.05100136282401154,-0.4311688311688312,1.0,0.4311688311688312,0.05100136282401154,-1.0,-0.4311688311688312,1.0,-9.691548130014877e-06,2.1457672119140625e-06,1.816970944404602,1.816973090171814,-0.7648989850669156,-0.9643314544253085,1.0,-0.9643314544253085,-0.9643314544253085,-1.2190060039866695,-1.2190060039866695,-0.11135949678876877,-0.11135949678876877
2.0,2.215211868286133,2.038722038269043,1.7648991346359253,1.9643316268920898,0.0,0.0,0.0,17.76880638281426,17.76880638281426,17.768468525253162,0.10957434475521079,1.0,20.77456283569336,20.596662521362305,1.7790067195892334,1.9856401681900024,0.0,0.0,0.0,20.596662571653276,4.513277771572272,0.0,1.8163729906082153,1.0697102103360073e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8163735071818035,6.0,1.8163734912872314,5.0,1.8163734436035157,5.0,1.8163718938827516,5.0,0.47684878576097994,1.6132162717068796e-06,1.0,0.0,1.0,0.09834880316870112,0.45454545454545453,0.03843942504383775,-0.45454545454545453,1.0,0.45454545454545453,0.03843942504383775,-1.0,-0.45454545454545453,1.0,-9.194864199276673e-06,2.1457672119140625e-06,1.816372036933899,1.8163741827011108,-0.779006838042627,-0.9856400130973715,1.0,-0.9856400130973715,-0.9856400130973715,-1.2420804170955688,-1.2420804170955688,-0.10930008393494073,-0.10930008393494073
3.0,1.6935229301452637,1.5156222581863403,1.7790067195892334,1.9856401681900024,0.0,0.0,0.0,14.789743123275109,14.789743123275109,14.789323450304062,0.11141604350229768,1.0,19.10293960571289,18.923538208007812,1.7940185070037842,2.008301019668579,0.0,0.0,0.0,18.92353932278624,4.327306931217511,0.0,1.8157715797424316,1.0411941233793514e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8157719572385151,6.0,1.815771794319153,5.0,1.815771794319153,5.0,1.815770196914673,5.0,0.47774517761371676,1.5736647109651322e-06,1.0,0.0,1.0,0.09867065310761997,0.45454545454545453,0.03843942504383775,-0.45454545454545453,1.0,0.45454545454545453,0.03843942504383775,-1.0,-0.45454545454545453,1.0,-8.940184673902537e-06,2.1457672119140625e-06,1.8157702684402466,1.8157724142074585,-0.7940184150780402,-1.0083011252405014,1.0,-1.0083011252405014,-1.0083011252405014,-1.266518662036364,-1.266518662036364,-0.1072354579572552,-0.1072354579572552
4.0,1.2659094333648682,1.0865075588226318,1.7940185070037842,2.008301019668579,0.0,0.0,0.0,11.955624968649037,11.955624968649037,11.95508739265668,0.11337471025579657,1.0,17.591081619262695,17.41012954711914,1.8095295429229736,2.0317635536193848,0.0,0.0,0.0,17.410130586749762,4.15230761113621,0.0,1.8151662349700928,1.033022407411659e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8151668906211853,6.0,1.815166711807251,5.0,1.8151668071746827,5.0,1.8151652097702027,5.0,0.47864427601010057,1.5273595714762927e-06,1.0,0.0,1.0,0.09916981867935415,0.45454545454545453,0.03843942504383775,-0.45454545454545453,1.0,0.45454545454545453,0.03843942504383775,-1.0,-0.45454545454545453,1.0,-8.694212082925564e-06,2.1457672119140625e-06,1.815165400505066,1.8151675462722778,-0.8095295176696284,-1.031763466118726,1.0,-1.031763466118726,-1.031763466118726,-1.2916510421001837,-1.2916510421001837,-0.10517404478997561,-0.10517404478997561
5.0,0.9311973452568054,0.7502443790435791,1.8095295429229736,2.0317635536193848,0.0,0.0,0.0,9.435649243072067,9.435649243072067,9.434943394168418,0.11541138212592857,1.0,16.229631423950195,16.04705810546875,1.8257323503494263,2.0564229488372803,0.0,0.0,0.0,16.047057050968743,3.9884039348080043,0.0,1.814557433128357,1.0042346948667243e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8145576516787212,6.0,1.8145576477050782,5.0,1.8145576477050782,5.0,1.814556097984314,5.0,0.4795469589813002,1.4831316727426767e-06,1.0,0.0,1.0,0.09998659965132992,0.45454545454545453,0.03843942504383775,-0.45454545454545453,1.0,0.45454545454545453,0.03843942504383775,-1.0,-0.45454545454545453,1.0,-8.319631125488457e-06,1.9073486328125e-06,1.814556360244751,1.8145582675933838,-0.8257324450802347,-1.0564229001235872,1.0,-1.0564229001235872,-1.0564229001235872,-1.317628814139582,-1.317628814139582,-0.10314562097753543,-0.10314562097753543
6.0,0.6789689064025879,0.49639564752578735,1.8257323503494263,2.0564229488372803,0.0,0.0,0.0,7.187746351329114,7.187746351329114,7.186785155709556,0.11754461586033636,1.0,15.008844375610352,14.82458209991455,1.8426200151443481,2.0822181701660156,0.0,0.0,0.0,14.824581649441923,3.8356269612198783,0.0,1.8139433860778809,1.01651361321187e-06,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8139439423878987,6.0,1.813943862915039,5.0,1.813943910598755,5.0,1.8139422416687012,5.0,0.48045403877459514,1.4506707667939193e-06,1.0,0.0,1.0,0.10099406111262176,0.438961038961039,0.04650647377632556,-0.438961038961039,1.0,0.438961038961039,0.04650647377632556,-1.0,-0.438961038961039,1.0,-8.64880513146661e-06,2.2649765014648438e-06,1.813942313194275,1.8139445781707764,-0.842619982888107,-1.0822181604674288,1.0,-1.0822181604674288,-1.0822181604674288,-1.3445109056111701,-1.3445109056111701,-0.10113088258572245,-0.10113088258572245
7.0,0.4946275055408478,0.3103654980659485,1.8426200151443481,2.0822181701660156,0.0,0.0,0.0,5.22955157104066,5.22955157104066,5.2281796341410045,0.11978041295247864,1.0,13.918606758117676,13.732587814331055,1.8601925373077393,2.1091561317443848,0.0,0.0,0.0,13.732586743201429,3.693842445101057,0.0,1.8133246898651123,9.505606010498084e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.813325027624766,6.0,1.8133249282836914,5.0,1.813325047492981,5.0,1.813323450088501,5.0,0.48136616158079154,1.4066569320662923e-06,1.0,0.0,1.0,0.10225297249362739,0.43766233766233764,0.047233545714129424,-0.43766233766233764,1.0,0.43766233766233764,0.047233545714129424,-1.0,-0.43766233766233764,1.0,-8.403599182399956e-06,2.2649765014648438e-06,1.8133233785629272,1.8133256435394287,-0.8601925992383102,-1.109156054220131,1.0,-1.109156054220131,-1.109156054220131,-1.3722699139860692,-1.3722699139860692,-0.09915182950873058,-0.09915182950873058
8.0,0.3696075677871704,0.18358832597732544,1.8601925373077393,2.1091561317443848,0.0,0.0,0.0,3.536874413922225,3.536874413922225,3.5347656484024568,0.12211646380256375,1.0,12.950135231018066,12.762285232543945,1.8785028457641602,2.1374638080596924,0.0,0.0,0.0,12.762285010144307,3.5630407673971995,0.0,1.8127001523971558,9.44029331479182e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8127006093660991,6.0,1.812700629234314,5.0,1.8127007246017457,5.0,1.8126990795135498,5.0,0.4822837929580571,1.390134592010432e-06,1.0,0.0,1.0,0.10397944975046684,0.44155844155844154,0.0450782913606689,-0.44155844155844154,1.0,0.44155844155844154,0.0450782913606689,-1.0,-0.44155844155844154,1.0,-7.622700585672197e-06,2.0265579223632812e-06,1.8126991987228394,1.8127012252807617,-0.878502645458827,-1.1374638335055471,1.0,-1.1374638335055471,-1.1374638335055471,-1.4007673073697804,-1.4007673073697804,-0.09727679550115442,-0.09727679550115442
9.0,0.28597769141197205,0.09812740981578827,1.8785028457641602,2.1374638080596924,0.0,0.0,0.0,2.0532772334745832,2.0532772334745832,2.049496229429619,0.12454960079748405,1.0,12.100458145141602,11.9107084274292,1.8974958658218384,2.166781187057495,0.0,0.0,0.0,11.910708245261915,3.4440366427103677,0.0,1.8120702505111694,9.300673956694009e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.812070608139038,6.0,1.8120705842971803,5.0,1.8120707273483276,5.0,1.8120691537857057,5.0,0.4832070490986031,1.369368138148785e-06,1.0,0.0,1.0,0.10587648156831254,0.44675324675324674,0.042323919728474726,-0.44675324675324674,1.0,0.44675324675324674,0.042323919728474726,-1.0,-0.44675324675324674,1.0,-7.228103296909266e-06,1.9073486328125e-06,1.8120691776275635,1.8120710849761963,-0.8974956556007244,-1.1667811027127977,1.0,-1.1667811027127977,-1.1667811027127977,-1.4302581132159737,-1.4302581132159737,-0.0954477508734024,-0.0954477508734024
10.0,0.24460464715957642,0.05485506355762482,1.8974958658218384,2.166781187057495,0.0,0.0,0.0,0.9895167452669229,0.9895167452669229,0.9813219788180148,0.12708486555188286,1.0,11.402824401855469,11.211115837097168,1.9170870780944824,2.1966099739074707,0.0,0.0,0.0,11.211115025529145,3.343148089590527,0.0,1.8114347457885742,9.083322088591082e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.811435083548228,6.0,1.8114349842071533,5.0,1.8114351272583007,5.0,1.8114336252212524,5.0,0.48413591045476456,1.3462787993029578e-06,1.0,0.0,1.0,0.10784771379009278,0.45584415584415583,0.03781998900387756,-0.45584415584415583,1.0,0.45584415584415583,0.03781998900387756,-1.0,-0.45584415584415583,1.0,-7.3001791093931905e-06,2.1457672119140625e-06,1.8114335536956787,1.8114356994628906,-0.9170871682937559,-1.196609939972975,1.0,-1.196609939972975,-1.196609939972975,-1.4610223292364757,-1.4610223292364757,-0.09362923567181625,-0.09362923567181625
