epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_income_recent_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_income_growth_signal_recon_r2
1.0,0.8676028847694397,0.8676028847694397,1.3846489191055298,1.0013349056243896,0.0,0.0,0.0,7.611842056976803,7.611842056976803,7.611842056976803,0.0,1.0,1.836520791053772,1.836520791053772,1.3839493989944458,1.001273512840271,0.0,0.0,0.0,1.8365208695161666,1.2900731364885967,0.0,1.8181326389312744,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.818132758140564,6.0,1.818132758140564,5.0,1.818132758140564,5.0,1.818132758140564,5.0,0.474213195195593,1.6653345369377348e-16,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.38394935957270593,-0.0012735835983257449,1.0,-0.0012735835983257449,-0.0012735835983257449,-0.5395525731332234,-0.5395525731332234,-0.6110219219865691,-0.6110219219865691
2.0,0.6341454982757568,0.6341454982757568,1.3839493989944458,1.001273512840271,0.0,0.0,0.0,5.8482295343224395,5.8482295343224395,5.8482295343224395,0.0,1.0,1.8009783029556274,1.8009783029556274,1.3832521438598633,1.0012136697769165,0.0,0.0,0.0,1.8009784142570575,1.2903053799555415,0.0,1.818726897239685,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.818726897239685,6.0,1.818726897239685,5.0,1.818726897239685,5.0,1.818726897239685,5.0,0.4733185845319938,4.491854313579991e-09,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3832519113194268,-0.0012137628280106671,1.0,-0.0012137628280106671,-0.0012137628280106671,-0.5385652126115323,-0.5385652126115323,-0.6099767585187381,-0.6099767585187381
3.0,0.4673030376434326,0.4673030376434326,1.3832521438598633,1.0012136697769165,0.0,0.0,0.0,4.3659931322200105,4.3659931322200105,4.3659931322200105,0.0,1.0,1.679296612739563,1.679296612739563,1.3825595378875732,1.0011556148529053,0.0,0.0,0.0,1.6792967617239885,1.2550459170625323,0.0,1.8192894458770752,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.819289207458496,6.0,1.819289207458496,5.0,1.819289207458496,5.0,1.819289207458496,5.0,0.4724695961727382,5.551115123125783e-17,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3825595013879797,-0.001155710714964675,1.0,-0.001155710714964675,-0.001155710714964675,-0.5375843502018127,-0.5375843502018127,-0.6089384432471623,-0.6089384432471623
4.0,0.350440114736557,0.350440114736557,1.3825595378875732,1.0011556148529053,0.0,0.0,0.0,3.3374739064617316,3.3374739064617316,3.3374739064617316,0.0,1.0,1.472482442855835,1.472482442855835,1.3818758726119995,1.001099705696106,0.0,0.0,0.0,1.4724824293036118,1.1800930890299024,0.0,1.8196570873260498,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.819657325744629,6.0,1.819657325744629,5.0,1.819657325744629,5.0,1.819657325744629,5.0,0.471912601604284,5.551115123125783e-17,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.38187581715142555,-0.0010997036321118703,1.0,-0.0010997036321118703,-0.0010997036321118703,-0.5366152101246702,-0.5366152101246702,-0.6079125376974954,-0.6079125376974954
5.0,0.26530560851097107,0.26530560851097107,1.3818758726119995,1.001099705696106,0.0,0.0,0.0,2.662968790292761,2.662968790292761,2.662968790292761,0.0,1.0,1.2167001962661743,1.2167001962661743,1.3812098503112793,1.0010464191436768,0.0,0.0,0.0,1.2167002188070077,1.073278824488322,0.0,1.819645643234253,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8196457624435425,6.0,1.8196457624435425,5.0,1.8196457624435425,5.0,1.8196457624435425,5.0,0.47193009769224886,1.6653345369377348e-16,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3812098840400174,-0.001046404749145191,1.0,-0.001046404749145191,-0.001046404749145191,-0.5356706757907055,-0.5356706757907055,-0.6069125715802024,-0.6069125715802024
6.0,0.19778385758399963,0.19778385758399963,1.3812098503112793,1.0010464191436768,0.0,0.0,0.0,2.1033886992676387,2.1033886992676387,2.1033886992676387,0.0,1.0,0.9546899199485779,0.9546899199485779,1.3805691003799438,1.0009962320327759,0.0,0.0,0.0,0.9546899430093622,0.9474146238395146,0.0,1.819396734237671,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8193966150283813,6.0,1.8193966150283813,5.0,1.8193966150283813,5.0,1.8193966150283813,5.0,0.472307073917116,1.6653345369377348e-16,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.38056910940624517,-0.0009962973162922495,1.0,-0.0009962973162922495,-0.0009962973162922495,-0.534761319710888,-0.534761319710888,-0.6059497111915562,-0.6059497111915562
7.0,0.14791357517242432,0.14791357517242432,1.3805691003799438,1.0009962320327759,0.0,0.0,0.0,1.5509382008329,1.5509382008329,1.5509382008329,0.0,1.0,0.7176554203033447,0.7176554203033447,1.3799538612365723,1.0009493827819824,0.0,0.0,0.0,0.717655393907562,0.8151135160809472,0.0,1.8190269470214844,1.1907405491898756e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8190269867579143,6.0,1.8190269708633422,5.0,1.8190268754959107,5.0,1.8190269231796266,5.0,0.4728657730983558,5.821015495143966e-08,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3799538831821449,-0.0009492809012963122,1.0,-0.0009492809012963122,-0.0009492809012963122,-0.5338876640363903,-0.5338876640363903,-0.6050247046087487,-0.6050247046087487
8.0,0.11164768785238266,0.11164768785238266,1.3799538612365723,1.0009493827819824,0.0,0.0,0.0,0.985302792530956,0.985302792530956,0.985302792530956,0.0,1.0,0.5236675143241882,0.5236675143241882,1.3793460130691528,1.000903844833374,0.0,0.0,0.0,0.5236675383662628,0.6883300571214586,0.0,1.8185871839523315,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8185871839523315,6.0,1.8185871839523315,5.0,1.8185871839523315,5.0,1.8185871839523315,5.0,0.4735290273383712,1.1102230246251565e-16,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3793459246952442,-0.0009038724063423764,1.0,-0.0009038724063423764,-0.0009038724063423764,-0.5330238610189035,-0.5330238610189035,-0.6041100406604878,-0.6041100406604878
9.0,0.0916045606136322,0.0916045606136322,1.3793460130691528,1.000903844833374,0.0,0.0,0.0,0.5851490821549772,0.5851490821549772,0.5851490821549772,0.0,1.0,0.3867649435997009,0.3867649435997009,1.3787766695022583,1.0008622407913208,0.0,0.0,0.0,0.3867648915118025,0.5842512391862416,0.0,1.8181121349334717,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8181122541427612,6.0,1.8181122541427612,5.0,1.8181122541427612,5.0,1.8181122541427612,5.0,0.4742438158794008,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.37877669826538685,-0.000862311597520149,1.0,-0.000862311597520149,-0.000862311597520149,-0.5322145884491718,-0.5322145884491718,-0.6032531947494697,-0.6032531947494697
10.0,0.08213726431131363,0.08213726431131363,1.3787766695022583,1.0008622407913208,0.0,0.0,0.0,0.5774133768169399,0.5774133768169399,0.5774133768169399,0.0,1.0,0.3026859164237976,0.3026859164237976,1.3782457113265991,1.0008243322372437,0.0,0.0,0.0,0.3026859225667671,0.5122585126331874,0.0,1.81764817237854,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8176484107971191,6.0,1.8176484107971191,5.0,1.8176484107971191,5.0,1.8176484107971191,5.0,0.4749405435653385,5.551115123125783e-17,1.0,0.0,1.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.3782455947593569,-0.0008243696635779063,1.0,-0.0008243696635779063,-0.0008243696635779063,-0.531459202158878,-0.531459202158878,-0.6024532124556154,-0.6024532124556154
