epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_income_level_spearman_rho,val_kstar_proxy_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_income_recent_level_spearman_rho,val_kstar_proxy_income_recent_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_income_growth_signal_spearman_rho,val_kstar_proxy_income_growth_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_income_recent_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_income_growth_signal_recon_r2
1.0,0.9978355169296265,0.9978355169296265,1.1022804975509644,1.1015608310699463,0.0,0.0,0.0,7.852941637238742,7.852941637238742,7.852941637238742,0.0,1.0,3.560584545135498,3.560584545135498,1.102344036102295,1.101310133934021,0.0,0.0,0.0,3.560584580969894,1.856423513875121,0.0,1.657842755317688,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.657842755317688,6.0,1.657842755317688,5.0,1.657842755317688,5.0,1.657842755317688,5.0,0.8001742550202989,1.443604961588134e-08,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.10234409337040873,-0.10131020789140299,1.0,-0.10131020789140299,-0.10131020789140299,-0.17712217719304135,-0.17712217719304135,-0.02859989502678273,-0.02859989502678273
2.0,0.79526287317276,0.79526287317276,1.102344036102295,1.101310133934021,0.0,0.0,0.0,5.786030654340852,5.786030654340852,5.786030654340852,0.0,1.0,2.890444755554199,2.890444755554199,1.1024080514907837,1.1010595560073853,0.0,0.0,0.0,2.8904447250965752,1.6712456494569778,0.0,1.6441192626953125,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.6441192626953125,6.0,1.6441192626953125,5.0,1.6441192626953125,5.0,1.6441192626953125,5.0,0.794070847530304,2.220446049250313e-16,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.1024081017841157,-0.10105957592150605,1.0,-0.10105957592150605,-0.10105957592150605,-0.17755470810611507,-0.17755470810611507,-0.028610021324726675,-0.028610021324726675
3.0,0.6536190509796143,0.6536190509796143,1.1024080514907837,1.1010595560073853,0.0,0.0,0.0,4.442942119259641,4.442942119259641,4.442942119259641,0.0,1.0,2.364600419998169,2.364600419998169,1.1024715900421143,1.1008119583129883,0.0,0.0,0.0,2.3646001957574327,1.510352937238557,0.0,1.6306177377700806,2.538667380809545e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.6306177377700806,6.0,1.6306177377700806,5.0,1.6306177616119384,5.0,1.6306177377700806,5.0,0.7878814112433504,1.5265063260634679e-09,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.1024716944562758,-0.10081196061412157,1.0,-0.10081196061412157,-0.10081196061412157,-0.17798308930105633,-0.17798308930105633,-0.028620033453650162,-0.028620033453650162
4.0,0.5571621656417847,0.5571621656417847,1.1024715900421143,1.1008119583129883,0.0,0.0,0.0,3.8763625502708647,3.8763625502708647,3.8763625502708647,0.0,1.0,1.9844932556152344,1.9844932556152344,1.1025360822677612,1.1005628108978271,0.0,0.0,0.0,1.984493361780184,1.3827342685489428,0.0,1.6179455518722534,1.1633635436875024e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.6179455916086833,6.0,1.6179455280303956,5.0,1.6179455041885376,5.0,1.6179455757141112,5.0,0.782083275944619,1.4879744031593582e-08,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.10253604463660045,-0.10056279666514811,1.0,-0.10056279666514811,-0.10056279666514811,-0.17841520922761878,-0.17841520922761878,-0.02863012801703535,-0.02863012801703535
5.0,0.47635722160339355,0.47635722160339355,1.1025360822677612,1.1005628108978271,0.0,0.0,0.0,3.6982636835873213,3.6982636835873213,3.6982636835873213,0.0,1.0,1.7246190309524536,1.7246190309524536,1.1026010513305664,1.10031259059906,0.0,0.0,0.0,1.7246190267905477,1.2883614933206922,0.0,1.6106938123703003,1.1907405491898756e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.6106934944788616,6.0,1.6106936454772949,5.0,1.6106935501098634,5.0,1.610693597793579,5.0,0.7788018872702964,4.093703860785857e-09,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.102601030169072,-0.1003125629060857,1.0,-0.1003125629060857,-0.1003125629060857,-0.17885024776146952,-0.17885024776146952,-0.02864027983966233,-0.02864027983966233
6.0,0.4036223292350769,0.4036223292350769,1.1026010513305664,1.10031259059906,0.0,0.0,0.0,3.561209888876958,3.561209888876958,3.561209888876958,0.0,1.0,1.5497686862945557,1.5497686862945557,1.102665901184082,1.1000646352767944,0.0,0.0,0.0,1.549768757803319,1.2206947590623582,0.0,1.6088229417800903,2.538667380809545e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.6088229417800903,6.0,1.6088229417800903,5.0,1.6088229656219482,5.0,1.6088229417800903,5.0,0.7780943038609186,4.660892002815559e-09,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.10266577940032695,-0.10006460174992893,1.0,-0.10006460174992893,-0.10006460174992893,-0.17928238370073268,-0.17928238370073268,-0.02865035275032035,-0.02865035275032035
7.0,0.3335154950618744,0.3335154950618744,1.102665901184082,1.1000646352767944,0.0,0.0,0.0,3.271289066363692,3.271289066363692,3.271289066363692,0.0,1.0,1.42762291431427,1.42762291431427,1.1027309894561768,1.0998162031173706,0.0,0.0,0.0,1.427623004581692,1.170871374507745,0.0,1.6102781295776367,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.6102781295776367,6.0,1.6102781295776367,5.0,1.6102781295776367,5.0,1.6102781295776367,5.0,0.7789971114022569,1.1102230246251565e-16,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.10273099586416674,-0.099816250678892,1.0,-0.099816250678892,-0.099816250678892,-0.17971627920948086,-0.17971627920948086,-0.02866045770412784,-0.02866045770412784
8.0,0.2640551030635834,0.2640551030635834,1.1027309894561768,1.0998162031173706,0.0,0.0,0.0,2.823526486973796,2.823526486973796,2.823526486973796,0.0,1.0,1.3325392007827759,1.3325392007827759,1.102797031402588,1.0995664596557617,0.0,0.0,0.0,1.3325393326446813,1.1301488145476295,0.0,1.6115942001342773,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.6115944385528564,6.0,1.6115944385528564,5.0,1.6115944385528564,5.0,1.6115944385528564,5.0,0.7798500526660594,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.1027969283805148,-0.0995665719019303,1.0,-0.0995665719019303,-0.0995665719019303,-0.1801535831987826,-0.1801535831987826,-0.028670630040832368,-0.028670630040832368
9.0,0.20188893377780914,0.20188893377780914,1.102797031402588,1.0995664596557617,0.0,0.0,0.0,2.2887225766649038,2.2887225766649038,2.2887225766649038,0.0,1.0,1.2392046451568604,1.2392046451568604,1.102860689163208,1.0993261337280273,0.0,0.0,0.0,1.239204539871277,1.0878920058409374,0.0,1.6062411069869995,5.953702745949378e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.6062411864598591,6.0,1.6062411546707154,5.0,1.6062411546707154,5.0,1.6062411785125732,5.0,0.7775006113363,1.4537608054568543e-08,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.1028607110538337,-0.09932624118589861,1.0,-0.09932624118589861,-0.09932624118589861,-0.1805754612806787,-0.1805754612806787,-0.028680430694924874,-0.028680430694924874
10.0,0.1524684727191925,0.1524684727191925,1.102860689163208,1.0993261337280273,0.0,0.0,0.0,1.8707777316789211,1.8707777316789211,1.8707777316789211,0.0,1.0,1.1276967525482178,1.1276967525482178,1.1029205322265625,1.0991019010543823,0.0,0.0,0.0,1.1276967045920157,1.0341805758930387,0.0,1.5981968641281128,2.538667380809545e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.5981967449188232,6.0,1.5981967449188232,5.0,1.598196768760681,5.0,1.5981967449188232,5.0,0.7736966188714233,6.150667841133968e-09,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.10292056332000965,-0.09910198061708275,1.0,-0.09910198061708275,-0.09910198061708275,-0.18097011740827762,-0.18097011740827762,-0.02868959193466991,-0.02868959193466991
