epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,2.748041868209839,2.6040921211242676,1.4394983053207397,1.8469408750534058,0.0,0.0,0.0,19.30515684512821,19.30515684512821,19.3050080907195,0.07578543564071837,1.0,23.80189323425293,23.658506393432617,1.4338762760162354,1.8319944143295288,0.0,0.0,0.0,23.658504629605723,4.834962662398105,0.0,1.0756155252456665,1.926852722970918e-05,0.0,-1.0,0.47039777307947866,0.031398075077817715,-0.47039777307947866,1.0,0.49186821085489063,0.023525432857199942,-0.49186821085489063,1.0,0.47039777307947866,0.031398075077817715,-0.47039777307947866,1.0,0.47039777307947866,-0.47039777307947866,-0.09303856369345154,0.6883309647133046,0.09303856369345154,1.0,-0.09303856369345154,0.09303856369345154,0.47039777307947866,0.031398075077817715,-0.47039777307947866,1.0,0.47039777307947866,-0.47039777307947866,1.0756070613861084,6.0,1.0756030321121215,5.0,1.0756083488464356,5.0,1.0756451606750488,5.0,0.2679280026507515,4.827073937809485e-05,1.0,1.0,0.0,0.04999422438200673,0.4688311688311688,0.032044958116342656,-0.4688311688311688,1.0,0.4688311688311688,0.032044958116342656,-1.0,-0.4688311688311688,1.0,0.0003208496623398468,4.1961669921875e-05,1.0756018161773682,1.07564377784729,-0.43387627270350965,-0.8319944064685478,1.0,-0.8319944064685478,-0.8319944064685478,-0.32489371440379755,-0.32489371440379755,-0.14474069723818395,-0.14474069723818395
2.0,2.1100950241088867,1.966707468032837,1.4338762760162354,1.8319944143295288,0.0,0.0,0.0,16.257283196900584,16.257283196900584,16.257108540215274,0.07535818393294658,1.0,21.95176124572754,21.808935165405273,1.4282677173614502,1.817151427268982,0.0,0.0,0.0,21.808934328081367,4.640997135213444,0.0,1.0753297805786133,1.4386122051771016e-05,0.0,-1.0,0.4710852196550651,0.03111747985398703,-0.4710852196550651,1.0,0.43534772023295676,0.048551091213013195,-0.43534772023295676,1.0,0.4710852196550651,0.03111747985398703,-0.4710852196550651,1.0,0.4710852196550651,-0.4710852196550651,-0.15659522474051132,0.4978548049955527,0.15659522474051132,1.0,-0.15659522474051132,0.15659522474051132,0.4710852196550651,0.03111747985398703,-0.4710852196550651,1.0,0.4710852196550651,-0.4710852196550651,1.0753235618273418,6.0,1.0753204345703125,5.0,1.075324296951294,5.0,1.075352144241333,5.0,0.267212185835515,3.603601404854964e-05,1.0,1.0,0.0,0.05127536253213642,0.4688311688311688,0.032044958116342656,-0.4688311688311688,1.0,0.4688311688311688,0.032044958116342656,-1.0,-0.4688311688311688,1.0,0.0002395977913551268,3.230571746826172e-05,1.0753192901611328,1.075351595878601,-0.4282675359951355,-0.8171513951477212,1.0,-0.8171513951477212,-0.8171513951477212,-0.32406593743531453,-0.32406593743531453,-0.14358527540237098,-0.14358527540237098
3.0,1.5883421897888184,1.4455153942108154,1.4282677173614502,1.817151427268982,0.0,0.0,0.0,13.244854968674767,13.244854968674767,13.244642910961318,0.07494866476949466,1.0,20.2116641998291,20.069395065307617,1.4226861000061035,1.8024611473083496,0.0,0.0,0.0,20.069395763077633,4.451044440446865,0.0,1.0750465393066406,1.1120652673014923e-05,0.0,-1.0,0.4513827105334245,0.03998105939797467,-0.4513827105334245,1.0,0.40000052878682424,0.07238961342916815,-0.40000052878682424,1.0,0.4513827105334245,0.03998105939797467,-0.4513827105334245,1.0,0.4513827105334245,-0.4513827105334245,-0.17495958088399305,0.4481213316689346,0.17495958088399305,1.0,-0.17495958088399305,0.17495958088399305,0.4513827105334245,0.03998105939797467,-0.4513827105334245,1.0,0.4513827105334245,-0.4513827105334245,1.075041671593984,6.0,1.0750392198562622,5.0,1.0750420570373536,5.0,1.0750638723373414,5.0,0.26650111057462234,2.7947640281472978e-05,1.0,1.0,0.0,0.0528478522723445,0.45584415584415583,0.03781998900387756,-0.45584415584415583,1.0,0.45584415584415583,0.03781998900387756,-1.0,-0.45584415584415583,1.0,0.000182878100673619,2.5510787963867188e-05,1.075038194656372,1.075063705444336,-0.4226861603699707,-0.8024613219458536,1.0,-0.8024613219458536,-0.8024613219458536,-0.3232007664697045,-0.3232007664697045,-0.14239639269435456,-0.14239639269435456
4.0,1.1613436937332153,1.0190750360488892,1.4226861000061035,1.8024611473083496,0.0,0.0,0.0,10.46476754365633,10.46476754365633,10.464501951567307,0.07455634384123443,1.0,18.603801727294922,18.462093353271484,1.4170771837234497,1.7877520322799683,0.0,0.0,0.0,18.462093368977563,4.268294490873814,0.0,1.0747644901275635,8.818981169752168e-06,0.0,-1.0,0.46259034116114717,0.034726629416547215,-0.46259034116114717,1.0,0.3897209765900522,0.0807442960864259,-0.3897209765900522,1.0,0.46259034116114717,0.034726629416547215,-0.46259034116114717,1.0,0.46259034116114717,-0.46259034116114717,-0.200390752570511,0.38377687767262936,0.200390752570511,1.0,-0.200390752570511,0.200390752570511,0.46259034116114717,0.034726629416547215,-0.46259034116114717,1.0,0.46259034116114717,-0.46259034116114717,1.0747605363527934,6.0,1.0747586011886596,5.0,1.0747607469558715,5.0,1.0747781991958618,5.0,0.26579194694446406,2.2221730644824366e-05,1.0,1.0,0.0,0.05447264354524419,0.4636363636363636,0.03426529873787609,-0.4636363636363636,1.0,0.4636363636363636,0.03426529873787609,-1.0,-0.4636363636363636,1.0,0.0001430952718427,2.0623207092285156e-05,1.074757695198059,1.0747783184051514,-0.4170772539212612,-0.7877521719923422,1.0,-0.7877521719923422,-0.7877521719923422,-0.3223016641046914,-0.3223016641046914,-0.14117792566675047,-0.14117792566675047
5.0,0.8397928476333618,0.6980851292610168,1.4170771837234497,1.7877520322799683,0.0,0.0,0.0,8.100910194014338,8.100910194014338,8.100570556085087,0.07417976390340277,1.0,17.138826370239258,16.997682571411133,1.4114328622817993,1.7729980945587158,0.0,0.0,0.0,16.997681233434896,4.095251407651674,0.0,1.0744826793670654,7.1883387861293345e-06,0.0,-1.0,0.4585371915361156,0.036560347757695066,-0.4585371915361156,1.0,0.3668297532288925,0.10190336445586916,-0.3668297532288925,1.0,0.4585371915361156,0.036560347757695066,-0.4585371915361156,1.0,0.4585371915361156,-0.4585371915361156,-0.2250409479028312,0.3267028376644802,0.2250409479028312,1.0,-0.2250409479028312,0.2250409479028312,0.4585371915361156,0.036560347757695066,-0.4585371915361156,1.0,0.4585371915361156,-0.4585371915361156,1.0744796792666118,6.0,1.074478030204773,5.0,1.0744796752929688,5.0,1.0744940757751464,5.0,0.26508294808213834,1.8035924272592275e-05,1.0,1.0,0.0,0.056179340914342686,0.4584415584415585,0.03660450993249761,-0.4584415584415585,1.0,0.4584415584415585,0.03660450993249761,-1.0,-0.4584415584415585,1.0,0.00011448073958798759,1.71661376953125e-05,1.074477195739746,1.0744943618774414,-0.41143284487603976,-0.7729977816336822,1.0,-0.7729977816336822,-0.7729977816336822,-0.3213696349842097,-0.3213696349842097,-0.13993111801022784,-0.13993111801022784
6.0,0.5953567028045654,0.454213410615921,1.4114328622817993,1.7729980945587158,0.0,0.0,0.0,6.063470258839324,6.063470258839324,6.063020899028509,0.0738184107966634,1.0,15.813422203063965,15.67284870147705,1.4057352542877197,1.7581363916397095,0.0,0.0,0.0,15.672849464768584,3.9329941939739954,0.0,1.0742011070251465,5.891442459475512e-06,0.0,-1.0,0.46959411672209284,0.03172862465218068,-0.46959411672209284,1.0,0.36878097532053555,0.09995642679528048,-0.36878097532053555,1.0,0.46959411672209284,0.03172862465218068,-0.46959411672209284,1.0,0.46959411672209284,-0.46959411672209284,-0.23219542890552236,0.31114267259792383,0.23219542890552236,1.0,-0.23219542890552236,0.23219542890552236,0.46959411672209284,0.03172862465218068,-0.46959411672209284,1.0,0.46959411672209284,-0.46959411672209284,1.0741986433664958,6.0,1.0741973400115967,5.0,1.0741986513137818,5.0,1.0742105007171632,5.0,0.264372945889891,1.487517143217645e-05,1.0,1.0,0.0,0.0578916551014427,0.4584415584415585,0.03660450993249761,-0.4584415584415585,1.0,0.4584415584415585,0.03660450993249761,-1.0,-0.4584415584415585,1.0,9.161000335142573e-05,1.4185905456542969e-05,1.074196696281433,1.0742108821868896,-0.40573522715940297,-0.7581364719318953,1.0,-0.7581364719318953,-0.7581364719318953,-0.32040703316896635,-0.32040703316896635,-0.13866217637734746,-0.13866217637734746
7.0,0.416500061750412,0.27592653036117554,1.4057352542877197,1.7581363916397095,0.0,0.0,0.0,4.299868870681771,4.299868870681771,4.299241109748192,0.07347234383943124,1.0,14.61917781829834,14.479175567626953,1.4000208377838135,1.7432570457458496,0.0,0.0,0.0,14.479174731811074,3.78185974744459,0.0,1.0739195346832275,4.936758411388093e-06,0.0,-1.0,0.46599535152284993,0.03324254532801102,-0.46599535152284993,1.0,0.3514490081317583,0.11823083483224854,-0.3514490081317583,1.0,0.46599535152284993,0.03324254532801102,-0.46599535152284993,1.0,0.46599535152284993,-0.46599535152284993,-0.24536347419569052,0.2837010775293325,0.24536347419569052,1.0,-0.24536347419569052,0.24536347419569052,0.46599535152284993,0.03324254532801102,-0.46599535152284993,1.0,0.46599535152284993,-0.46599535152284993,1.0739173293113708,6.0,1.073916244506836,5.0,1.073917269706726,5.0,1.0739272594451905,5.0,0.2636613005967382,1.243994024149506e-05,1.0,1.0,0.0,0.059553694552496636,0.4623376623376624,0.0348387956901551,-0.4623376623376624,1.0,0.4623376623376624,0.0348387956901551,-1.0,-0.4623376623376624,1.0,7.5465058964162e-05,1.2040138244628906e-05,1.0739156007766724,1.073927640914917,-0.40002065592661645,-0.7432571872271123,1.0,-0.7432571872271123,-0.7432571872271123,-0.319424873113632,-0.319424873113632,-0.13737990743910578,-0.13737990743910578
8.0,0.30355745553970337,0.16355536878108978,1.4000208377838135,1.7432570457458496,0.0,0.0,0.0,2.858739184071612,2.858739184071612,2.857803280027884,0.07314461845067591,1.0,13.556888580322266,13.417427062988281,1.3946110010147095,1.7292934656143188,0.0,0.0,0.0,13.417426248630441,3.6431810391091166,0.0,1.0736374855041504,4.178387390134541e-06,0.0,-1.0,0.44654839623972,0.04242999828112309,-0.44654839623972,1.0,0.3220363616677689,0.1545485399274186,-0.3220363616677689,1.0,0.44654839623972,0.04242999828112309,-0.44654839623972,1.0,0.44654839623972,-0.44654839623972,-0.26075818758523794,0.2535941423016599,0.26075818758523794,1.0,-0.26075818758523794,0.26075818758523794,0.44654839623972,0.04242999828112309,-0.44654839623972,1.0,0.44654839623972,-0.44654839623972,1.073635717233022,6.0,1.0736348152160644,5.0,1.0736356019973754,5.0,1.0736441135406494,5.0,0.26294794305553043,1.0532254994928315e-05,1.0,1.0,0.0,0.06079234369494585,0.45584415584415583,0.03781998900387756,-0.45584415584415583,1.0,0.45584415584415583,0.03781998900387756,-1.0,-0.45584415584415583,1.0,6.244118682195475e-05,1.0251998901367188e-05,1.0736342668533325,1.0736445188522339,-0.3946111488556414,-0.7292932903282763,1.0,-0.7292932903282763,-0.7292932903282763,-0.3184062772465617,-0.3184062772465617,-0.1361338789920874,-0.1361338789920874
9.0,0.22776201367378235,0.0883009135723114,1.3946110010147095,1.7292934656143188,0.0,0.0,0.0,1.641378351267714,1.641378351267714,1.639760862253501,0.07285057743061972,1.0,12.65758228302002,12.518526077270508,1.3905638456344604,1.7193434238433838,0.0,0.0,0.0,12.518524128099925,3.522464532227743,0.0,1.0733566284179688,3.6406649991391217e-06,0.0,-1.0,0.45978706077260667,0.035986994893031136,-0.45978706077260667,1.0,0.3132543572685889,0.16675502440979426,-0.3132543572685889,1.0,0.45978706077260667,0.035986994893031136,-0.45978706077260667,1.0,0.45978706077260667,-0.45978706077260667,-0.2911116376279818,0.20043994476327057,0.2911116376279818,1.0,-0.2911116376279818,0.2911116376279818,0.45978706077260667,0.035986994893031136,-0.45978706077260667,1.0,0.45978706077260667,-0.45978706077260667,1.0733551979064941,6.0,1.0733543634414673,5.0,1.0733550548553468,5.0,1.0733625173568726,5.0,0.2622363681439314,9.295995492652238e-06,1.0,1.0,0.0,0.06137120082433971,0.45194805194805193,0.03970201724016006,-0.45194805194805193,1.0,0.45194805194805193,0.03970201724016006,-1.0,-0.45194805194805193,1.0,5.474433986512384e-05,8.940696716308594e-06,1.073353886604309,1.0733628273010254,-0.39056375897843837,-0.7193434124160101,1.0,-0.7193434124160101,-0.7193434124160101,-0.31732760555426487,-0.31732760555426487,-0.13502025896504066,-0.13502025896504066
10.0,0.1972300261259079,0.058173637837171555,1.3905638456344604,1.7193434238433838,0.0,0.0,0.0,1.312636287721829,1.312636287721829,1.310625655086524,0.07262517520229039,1.0,12.003236770629883,11.86436653137207,1.388703465461731,1.7159892320632935,0.0,0.0,0.0,11.86436702217265,3.4328842730749223,0.0,1.0730981826782227,3.417917553725542e-06,0.0,-1.0,0.45913580431258877,0.036284861461007255,-0.45913580431258877,1.0,0.3171618960286961,0.16124424544109878,-0.3171618960286961,1.0,0.45913580431258877,0.036284861461007255,-0.45913580431258877,1.0,0.45913580431258877,-0.45913580431258877,-0.2806915342676961,0.21776595686059189,0.2806915342676961,1.0,-0.2806915342676961,0.2806915342676961,0.45913580431258877,0.036284861461007255,-0.45913580431258877,1.0,0.45913580431258877,-0.45913580431258877,1.0730966329574585,6.0,1.073095965385437,5.0,1.0730965852737426,5.0,1.0731035947799683,5.0,0.26158012602642317,8.758488355159544e-06,1.0,1.0,0.0,0.061642933156534685,0.4584415584415585,0.03660450993249761,-0.4584415584415585,1.0,0.4584415584415585,0.03660450993249761,-1.0,-0.4584415584415585,1.0,5.158178225398664e-05,8.463859558105469e-06,1.073095440864563,1.073103904724121,-0.3887033843346135,-0.7159892567047093,1.0,-0.7159892567047093,-0.7159892567047093,-0.3160838863279718,-0.3160838863279718,-0.13403700997115986,-0.13403700997115986
