track,run_group,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,test_kstar_std_mean,test_kstar_std_std,test_kstar_std_min,test_kstar_std_max,test_kstar_proxy_spearman_adjusted_rho_mean,test_kstar_proxy_spearman_adjusted_rho_std,test_kstar_proxy_spearman_adjusted_rho_min,test_kstar_proxy_spearman_adjusted_rho_max,test_kstar_proxy_mean_spearman_adjusted_rho_mean,test_kstar_proxy_mean_spearman_adjusted_rho_std,test_kstar_proxy_mean_spearman_adjusted_rho_min,test_kstar_proxy_mean_spearman_adjusted_rho_max,test_lag_gate_sensitivity_range_mean,test_lag_gate_sensitivity_range_std,test_lag_gate_sensitivity_range_min,test_lag_gate_sensitivity_range_max,test_omega_entropy_mean_mean,test_omega_entropy_mean_std,test_omega_entropy_mean_min,test_omega_entropy_mean_max,run_count,seed_count
capacity_gate_grid,CMDL,10.747229328963236,1.9462424128088451,8.088106037240621,14.17099744268876,3.227939998051004,0.3016789597570296,2.7908182385421934,3.740344708874112,0.0,0.0,0.0,0.0,0.05239746688093679,0.06824314381527671,0.017641190283644522,0.1913937116025758,0.35497835497835495,0.02360161091017977,0.3207792207792208,0.3701298701298701,0.7653679653679654,0.013438055046712158,0.7467532467532467,0.774025974025974,0.14494538307189941,0.18335014885272857,0.04950380325317383,0.5182318687438965,0.9376049661286813,0.06830038043379175,0.8339556967142537,1.018169587384391,6,1
falsification,CMDL,14.169057825250661,0.0020109411308030446,14.167635875140505,14.17047977536082,3.7400758133994207,0.00022602953457843448,3.7399159863827722,3.7402356404160697,0.0,0.0,0.0,0.0,0.1969641638910042,0.005855161645226407,0.19282393938672124,0.2011043883952872,-0.010389610389610393,0.4793632984147764,-0.34935064935064936,0.32857142857142857,0.6357142857142857,0.16070608663330624,0.5220779220779221,0.7493506493506493,0.511131763458252,0.013596910504402503,0.5015172958374023,0.5207462310791016,0.8108524465877875,0.030994941549378548,0.7889357132357413,0.8327691799398338,2,1
feature_subset,CMDL,29.024138810786855,7.759888641775667,14.171819935976755,37.07891831995231,5.321288172648382,0.8085284902926207,3.740428554633307,6.071909100526855,0.0,0.0,0.0,0.0,0.03190950485633318,0.07811277706044378,1.0343317280660695e-07,0.1913565399802221,-0.09745146305288181,0.3028835143727346,-0.4514452982495545,0.32857142857142857,-0.11501732797223434,0.5733753564406079,-0.7599870488517679,0.7493506493506493,0.08640998601913452,0.21155017528641604,2.384185791015625e-07,0.5182349681854248,0.5354280028692021,0.14626529167425192,0.4742122315708911,0.8339867944203563,6,1
feature_subset,Plain LSTM,34.05120568122695,12.309567855153789,9.222490486370365,41.844953860625175,5.684290264176313,1.3328871833809952,2.981170939665938,6.448074039958772,0.0,0.0,0.0,0.0,0.08031594195120413,0.0881442895931926,0.0,0.17024208903691723,-0.13978327843065783,0.08400906070935775,-0.21797080441577862,-0.05096471914376255,-0.14956430261582843,0.11873755987721575,-0.25482359571881275,-0.020849381291944042,,,,,0.7227906360811822,0.18803196118305315,0.60146692683306,1.0986122916069843,6,1
fullspan_income,CMDL,9.732025661047167,6.278817277751846,5.292231386117578,14.171819935976755,2.9954076718006815,1.0536186367530755,2.250386788968056,3.740428554633307,0.0,0.0,0.0,0.0,0.0957047030683158,0.1352721250267173,5.286615640951873e-05,0.1913565399802221,-0.02077922077922076,0.49405642633553576,-0.3701298701298701,0.32857142857142857,-0.012337662337662314,1.0771899406906755,-0.774025974025974,0.7493506493506493,0.25919675827026367,0.36633534963486963,0.00015854835510253906,0.5182349681854248,0.6541663930681247,0.25430445038369903,0.4743459917158933,0.8339867944203563,2,1
fullspan_income,No AC Encoder,9.724997034678157,6.286184993921721,5.279992997682991,14.170001071673322,2.9939854258582708,1.0553725887250673,2.247724311692374,3.740246540024167,0.0,0.0,0.0,0.0,1.2693336904047725e-08,1.795108920147521e-08,0.0,2.538667380809545e-08,0.0,,-0.0,-0.0,0.0,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.7002073437521613,0.3193946478133544,0.4743612224086493,0.9260534650956733,2,1
fullspan_income,No Recon,9.732025686848381,6.278817243580074,5.292231436081883,14.171819937614877,2.9954076783051566,1.0536186295613519,2.250386800557848,3.7404285560524655,0.0,0.0,0.0,0.0,0.09570470522509336,0.1352721219765732,5.2870469964634504e-05,0.1913565399802221,-0.02077922077922076,0.49405642633553576,-0.3701298701298701,0.32857142857142857,-0.012337662337662314,1.0771899406906755,-0.774025974025974,0.7493506493506493,0.25919675827026367,0.36633534963486963,0.00015854835510253906,0.5182349681854248,0.6541663972289518,0.2543044537678819,0.4743459934837415,0.8339868009741619,2,1
fullspan_income,Plain LSTM,9.269190762407366,0.06604416373809438,9.222490486370365,9.315891038444368,2.989675034813228,0.012026606693008588,2.981170939665938,2.998179129960518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.8958797360834647,0.2867071295559178,0.6931471805599453,1.0986122916069843,2,1
fullspan_income,Uniform Lag,9.72386304017558,6.25580989863146,5.300337439039347,14.147388641311814,2.994903113870394,1.049434784495914,2.2528406613402896,3.7369655664004977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.25927960872650146,0.3664022788303049,0.00019407272338867188,0.5183651447296143,0.8958797360834647,0.2867071295559178,0.6931471805599453,1.0986122916069843,2,1
reference,CMDL,31.048922374662908,2.0539341653639456,29.59657159822333,32.50127315110249,5.55658199851002,0.18558565406720226,5.4253531240281605,5.6878108729918795,0.0,0.0,0.0,0.0,1.4956395232999918e-05,1.9604115609134605e-05,1.0941921466157948e-06,2.8818598319384042e-05,-0.22572264912477724,0.3192200317270434,-0.4514452982495545,-0.0,-0.37999352442588397,0.5373919958570371,-0.7599870488517679,-0.0,4.00543212890625e-05,5.310502912372648e-05,2.5033950805664062e-06,7.76052474975586e-05,0.47516108277573643,0.0013988837232998517,0.4741719226088996,0.47615024294257324,2,1
reference,No AC Encoder,32.50650669466646,,32.50650669466646,32.50650669466646,5.688273597331274,,5.688273597331274,5.688273597331274,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.47417472059388677,,0.47417472059388677,0.47417472059388677,1,1
reference,No Recon,32.501273084016894,,32.501273084016894,32.501273084016894,5.687810867315247,,5.687810867315247,5.687810867315247,0.0,,0.0,0.0,1.0966337877040363e-06,,1.0966337877040363e-06,1.0966337877040363e-06,0.0,,-0.0,-0.0,0.0,,-0.0,-0.0,2.5033950805664062e-06,,2.5033950805664062e-06,2.5033950805664062e-06,0.47417192034022176,,0.47417192034022176,0.47417192034022176,1,1
reference,Plain LSTM,36.10424830973576,,36.10424830973576,36.10424830973576,5.992405262908766,,5.992405262908766,5.992405262908766,0.0,,0.0,0.0,0.2715449957031299,,0.2715449957031299,0.2715449957031299,-0.09349680926836486,,-0.09349680926836486,-0.09349680926836486,-0.1830706754905046,,-0.1830706754905046,-0.1830706754905046,,,,,0.44813319435429844,,0.44813319435429844,0.44813319435429844,1,1
reference,Uniform Lag,33.51332746938267,,33.51332746938267,33.51332746938267,5.773320386097545,,5.773320386097545,5.773320386097545,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,2.5033950805664062e-06,,2.5033950805664062e-06,2.5033950805664062e-06,0.6931471805599453,,0.6931471805599453,0.6931471805599453,1,1
