experiment,model,ablation,feature_bundle,seed,max_lag,seq_features,best_epoch,train_years,val_years,test_years,proxy_static_cross_section_degenerate,target_entity_mean_degenerate,zero_variance_proxy_static_columns,summary_path,test_mse,test_mae,test_r2,test_r2_delta_vs_train_mean,test_r2_delta_vs_entity_mean,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_kstar_mean,test_kstar_std,test_kstar_proxy_spearman_adjusted_rho,test_kstar_proxy_mean_spearman_adjusted_rho,test_lag_gate_sensitivity_range,test_omega_entropy_mean,test_omega_top1_share,test_proxy_recon_r2,test_proxy_anchor_recon_r2,test_baseline_grouped_ardl_r2,test_baseline_grouped_ardl_effective_lag_mean
multiseq_overlap_region_proxy_cmdl_seed0,cmdl,none,multiseq_overlap_region_proxy,0,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed0\summary.json,25.265525142693633,5.022231127534594,0.0,0.0,0.0,0.0,0.0,0.0,1.8224900960922241,7.885821748375902e-07,-0.0,-0.0,1.5497207641601562e-06,0.46759642342880714,1.0,0.16299159438012553,0.008874930263802039,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed1,cmdl,none,multiseq_overlap_region_proxy,1,2,6,11,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed1\summary.json,27.57680642851983,5.246713218234834,0.0,0.0,0.0,0.0,0.0,0.0,1.8187695741653442,3.10610907879431e-07,-0.0,-0.0,8.344650268554688e-07,0.4732539162659126,1.0,0.16090493902416267,0.027951109641866312,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed10,cmdl,none,multiseq_overlap_region_proxy,10,2,6,9,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed10\summary.json,27.68201433346664,5.246341399493671,0.0,0.0,0.0,0.0,0.0,0.0,1.0734062194824219,6.366439263093621e-07,-0.0,-0.0,1.6689300537109375e-06,0.26236201060395403,1.0,0.3773986622673699,0.478397659042747,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed11,cmdl,none,multiseq_overlap_region_proxy,11,2,6,69,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed11\summary.json,35.31726068138481,5.923870998479071,0.0,0.0,0.0,0.0,0.0,0.0,1.0794757604599,7.204181609511358e-07,-0.0,-0.0,2.0265579223632812e-06,0.2774870195345852,1.0,0.22379329082977237,0.5106757211666921,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed12,cmdl,none,multiseq_overlap_region_proxy,12,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed12\summary.json,28.393728113411363,5.322102001735142,0.0,0.0,0.0,0.0,0.0,0.0,1.8120272159576416,2.247602538273098e-06,-0.0,-0.0,6.079673767089844e-06,0.48327002442561096,1.0,0.3418162245087372,0.419706752548917,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed13,cmdl,none,multiseq_overlap_region_proxy,13,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed13\summary.json,29.65218587096989,5.436047002673149,0.0,0.0,0.0,0.0,0.0,0.0,1.8106834888458252,0.00043259915363504147,-0.5324675324675324,-0.5389610389610389,0.0012596845626831055,0.4852297737457045,1.0,0.159311833237294,0.12864026935997752,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed14,cmdl,none,multiseq_overlap_region_proxy,14,2,6,12,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed14\summary.json,30.89288820880478,5.545984984863372,0.0,0.0,0.0,0.0,0.0,0.0,1.0787006616592407,1.281964187467236e-07,-0.0,-0.0,2.384185791015625e-07,0.27558441978223086,1.0,0.04432713737338001,0.030229568057588807,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed15,cmdl,none,multiseq_overlap_region_proxy,15,2,6,4,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed15\summary.json,30.262578578036532,5.4853530043647405,0.0,0.0,0.0,0.0,0.0,0.0,1.0768972635269165,0.0,,,0.0,0.2711253112907075,1.0,0.21271882712616372,0.0017585940668909394,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed16,cmdl,none,multiseq_overlap_region_proxy,16,2,6,7,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed16\summary.json,27.067018023813585,5.189980623267946,0.0,0.0,0.0,0.0,0.0,0.0,1.0741437673568726,8.011899114507652e-07,-0.0,-0.0,2.6226043701171875e-06,0.26422806016606043,1.0,0.23586973924418145,0.00477904428968956,0.0,1.5102827032054373
multiseq_overlap_region_proxy_cmdl_seed17,cmdl,none,multiseq_overlap_region_proxy,17,2,6,10,"2019,2020,2021","2020,2021,2022","2021,2022,2023",False,True,,C:\DevSpace\PyDevspace\CMDL\RQ_res\outputs\informal_acgate\suite_region_proxy\multiseq_overlap_region_proxy_cmdl_seed17\summary.json,24.59823262660654,4.950811851592291,0.0,0.0,0.0,0.0,0.0,0.0,1.8137439489364624,2.4063031657124908e-06,-0.0,-0.0,7.033348083496094e-06,0.48074857054323544,1.0,0.4932488251376235,0.6284367681266426,0.0,1.5102827032054373
