epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,2.1687068939208984,2.0519702434539795,1.1673671007156372,1.0711569786071777,0.0,0.0,0.0,17.87646470757502,17.87646470757502,17.876396232757642,0.04947899174009805,1.0,23.497175216674805,23.379854202270508,1.1732127666473389,1.071868658065796,0.0,0.0,0.0,23.379854206427343,4.813265174982094,0.0,1.0761404037475586,1.5379380253546655e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.076140324274699,6.0,1.0761405229568481,5.0,1.0761404514312745,5.0,1.0761403560638427,5.0,0.26924020904330714,2.868566405936225e-07,1.0,1.0,0.0,0.051040520967918224,0.13376623376623376,0.5632192812726847,-0.13376623376623376,1.0,0.13376623376623376,0.5632192812726847,-1.0,-0.13376623376623376,1.0,2.692430793660448e-06,4.76837158203125e-07,1.0761401653289795,1.0761406421661377,-0.17321262009870741,-0.07186851119715909,1.0,-0.07186851119715909,-0.07186851119715909,-0.4447688468651618,-0.4447688468651618,-0.0030005022338013276,-0.0030005022338013276
2.0,1.5787782669067383,1.4614570140838623,1.1732127666473389,1.071868658065796,0.0,0.0,0.0,14.567099639833309,14.567099639833309,14.567012860101826,0.050281710986770256,1.0,22.367834091186523,22.249942779541016,1.1789129972457886,1.0713491439819336,0.0,0.0,0.0,22.249942474817765,4.695522812860353,0.0,1.0764223337173462,1.28948310347972e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0764222542444866,6.0,1.0764224052429199,5.0,1.076422357559204,5.0,1.0764222621917725,5.0,0.2699431484535559,3.1172062409272637e-07,1.0,1.0,0.0,0.05049308495416804,0.087012987012987,0.7076308010268806,-0.087012987012987,1.0,0.087012987012987,0.7076308010268806,-1.0,-0.087012987012987,1.0,2.2446053289841218e-06,3.5762786865234375e-07,1.0764222145080566,1.0764225721359253,-0.17891312997255962,-0.07134921664320304,1.0,-0.07134921664320304,-0.07134921664320304,-0.46173580722009433,-0.46173580722009433,-0.0036543660543815193,-0.0036543660543815193
3.0,1.1137986183166504,0.9959073662757874,1.1789129972457886,1.0713491439819336,0.0,0.0,0.0,11.533453525948607,11.533453525948607,11.533341032377367,0.05093982819875872,1.0,21.288442611694336,21.1701717376709,1.182705283164978,1.0698741674423218,0.0,0.0,0.0,21.17017227609268,4.580353878083683,0.0,1.076704978942871,1.3337067336662306e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.076704978942871,6.0,1.0767051458358765,5.0,1.0767050743103028,5.0,1.0767050743103028,5.0,0.27064730414906407,2.9382650020944805e-07,1.0,1.0,0.0,0.04938774022528551,0.06493506493506493,0.7797509033508971,-0.06493506493506493,1.0,0.06493506493506493,0.7797509033508971,-1.0,-0.06493506493506493,1.0,2.2963348534042554e-06,3.5762786865234375e-07,1.0767048597335815,1.0767052173614502,-0.18270522208539655,-0.0698741195191035,1.0,-0.0698741195191035,-0.0698741195191035,-0.4733350571909538,-0.4733350571909538,-0.004906489546132153,-0.004906489546132153
4.0,0.759449303150177,0.6411787867546082,1.182705283164978,1.0698741674423218,0.0,0.0,0.0,8.816776859065696,8.816776859065696,8.816627981363222,0.05123690856662361,1.0,20.258041381835938,20.13967514038086,1.1836528778076172,1.0679692029953003,0.0,0.0,0.0,20.13967359418355,4.4678153810756545,0.0,1.0769888162612915,1.306859020190164e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0769887367884319,6.0,1.0769888877868652,5.0,1.0769888162612915,5.0,1.0769887447357178,5.0,0.2713526480470102,3.1228679731755326e-07,1.0,1.0,0.0,0.048352842545566765,0.06623376623376624,0.7754535475659063,-0.06623376623376624,1.0,0.06623376623376624,0.7754535475659063,-1.0,-0.06623376623376624,1.0,2.026259718945443e-06,2.384185791015625e-07,1.076988697052002,1.076988935470581,-0.1836527770032267,-0.0679690628165448,1.0,-0.0679690628165448,-0.0679690628165448,-0.47688386303408414,-0.47688386303408414,-0.006105405159051669,-0.006105405159051669
5.0,0.4999886155128479,0.3816233277320862,1.1836528778076172,1.0679692029953003,0.0,0.0,0.0,6.421941184951258,6.421941184951258,6.421737494310386,0.051148188055303155,1.0,19.278472900390625,19.160289764404297,1.1818221807479858,1.065861463546753,0.0,0.0,0.0,19.160288546072756,4.358296164444515,0.0,1.0772732496261597,1.406614177949527e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.077273150285085,6.0,1.0772732734680175,5.0,1.0772732257843018,5.0,1.0772731065750123,5.0,0.2720585300075029,2.9956655187045146e-07,1.0,1.0,0.0,0.04762660265646895,0.029870129870129873,0.8977307350801783,-0.029870129870129873,1.0,0.029870129870129873,0.8977307350801783,-1.0,-0.029870129870129873,1.0,2.1946670891012686e-06,2.384185791015625e-07,1.0772731304168701,1.0772733688354492,-0.1818220947139979,-0.06586149416861953,1.0,-0.06586149416861953,-0.06586149416861953,-0.47256920987944473,-0.47256920987944473,-0.007035580093929683,-0.007035580093929683
6.0,0.3214016556739807,0.2032194435596466,1.1818221807479858,1.065861463546753,0.0,0.0,0.0,4.3319279855672645,4.3319279855672645,4.331631067973793,0.05071846907270541,1.0,18.35080337524414,18.232961654663086,1.1784123182296753,1.0637242794036865,0.0,0.0,0.0,18.23296378033577,4.252136469951698,0.0,1.077557921409607,1.2994406498340876e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0775579412778218,6.0,1.0775580883026123,5.0,1.0775580406188965,5.0,1.077557921409607,5.0,0.272764278833307,2.9545809211264775e-07,1.0,1.0,0.0,0.0469910597532641,0.03766233766233767,0.8712435420745898,-0.03766233766233767,1.0,0.03766233766233767,0.8712435420745898,-1.0,-0.03766233766233767,1.0,2.13315205206902e-06,2.384185791015625e-07,1.077557921409607,1.077558159828186,-0.1784122458828187,-0.06372425823298933,1.0,-0.06372425823298933,-0.06372425823298933,-0.4637327448148405,-0.4637327448148405,-0.007779734600626531,-0.007779734600626531
7.0,0.21244211494922638,0.09460087865591049,1.1784123182296753,1.0637242794036865,0.0,0.0,0.0,2.5962177473969836,2.5962177473969836,2.5957344099109023,0.05009456161669852,1.0,17.480051040649414,17.362640380859375,1.1741124391555786,1.061672568321228,0.0,0.0,0.0,17.362641548754056,4.150185502356007,0.0,1.0778424739837646,1.306859020190164e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.077842354774475,6.0,1.0778424501419068,5.0,1.077842378616333,5.0,1.0778423309326173,5.0,0.2734677359482517,2.8240083397298213e-07,1.0,1.0,0.0,0.046419651612431743,0.023376623376623374,0.9198848317686953,-0.023376623376623374,1.0,0.023376623376623374,0.9198848317686953,-1.0,-0.023376623376623374,1.0,2.1868034871345173e-06,3.5762786865234375e-07,1.0778422355651855,1.0778425931930542,-0.174112431410644,-0.06167246835214746,1.0,-0.06167246835214746,-0.06167246835214746,-0.4523058960333657,-0.4523058960333657,-0.008358929846418839,-0.008358929846418839
8.0,0.15588028728961945,0.03846903517842293,1.1741124391555786,1.061672568321228,0.0,0.0,0.0,1.1029379894787776,1.1029379894787776,1.1018325181012993,0.04936912689159198,1.0,16.708709716796875,16.591819763183594,1.168898344039917,1.060257077217102,0.0,0.0,0.0,16.591820652104428,4.058155523879187,0.0,1.0781214237213135,1.2358904484951635e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0781213839848836,6.0,1.0781215190887452,5.0,1.0781214714050293,5.0,1.0781213998794557,5.0,0.27415715402292795,2.809520843043235e-07,1.0,1.0,0.0,0.04583853437560865,0.05454545454545454,0.8143428221052689,-0.05454545454545454,1.0,0.05454545454545454,0.8143428221052689,-1.0,-0.05454545454545454,1.0,2.6020734890736604e-06,3.5762786865234375e-07,1.078121304512024,1.0781216621398926,-0.16889827271418648,-0.0602570774857174,1.0,-0.0602570774857174,-0.0602570774857174,-0.4381093009654182,-0.4381093009654182,-0.008328439691423828,-0.008328439691423828
9.0,0.14119908213615417,0.024309255182743073,1.168898344039917,1.060257077217102,0.0,0.0,0.0,0.7355778873885124,0.7355778873885124,0.7339703721234497,0.04860371652365397,1.0,16.14517593383789,16.028676986694336,1.1649978160858154,1.0596715211868286,0.0,0.0,0.0,16.028676905510903,3.99006901042802,0.0,1.07835054397583,1.1324846939393454e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0783506234486897,6.0,1.0783507347106933,5.0,1.0783506631851196,5.0,1.0783506155014038,5.0,0.2747224521887341,2.731164640238851e-07,1.0,1.0,0.0,0.04534571697284238,0.12987012987012986,0.5747411951907224,-0.12987012987012986,1.0,0.12987012987012986,0.5747411951907224,-1.0,-0.12987012987012986,1.0,2.131332574218075e-06,3.5762786865234375e-07,1.07835054397583,1.0783509016036987,-0.16499777927292603,-0.059671500845369874,1.0,-0.059671500845369874,-0.059671500845369874,-0.42759973899532144,-0.42759973899532144,-0.0077220979780863175,-0.0077220979780863175
10.0,0.1459701806306839,0.029470404610037804,1.1649978160858154,1.0596715211868286,0.0,0.0,0.0,1.341952921336649,1.341952921336649,1.3410901957152312,0.04811164142334854,1.0,15.800819396972656,15.684517860412598,1.163012981414795,1.0598024129867554,0.0,0.0,0.0,15.684518115453965,3.9481916626294455,0.0,1.0785155296325684,1.3215708422459666e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.0785154501597087,6.0,1.0785155773162842,5.0,1.078515601158142,5.0,1.0785154581069947,5.0,0.2751287130526491,2.683984550680071e-07,1.0,1.0,0.0,0.0450874303721812,0.12987012987012986,0.5747411951907224,-0.12987012987012986,1.0,0.12987012987012986,0.5747411951907224,-1.0,-0.12987012987012986,1.0,2.7709601528833276e-06,3.5762786865234375e-07,1.0785154104232788,1.0785157680511475,-0.16301302180499344,-0.05980234206925794,1.0,-0.05980234206925794,-0.05980234206925794,-0.4224391599522912,-0.4224391599522912,-0.006797563393431405,-0.006797563393431405
