epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_formal_income_level_spearman_rho,val_kstar_proxy_formal_income_level_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_formalization_ratio_spearman_rho,val_kstar_proxy_formalization_ratio_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_formal_capacity_signal_spearman_rho,val_kstar_proxy_formal_capacity_signal_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_formal_income_level_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_formalization_ratio_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_formal_capacity_signal_recon_r2
1.0,3.5569393634796143,3.4447085857391357,1.1223070621490479,1.0976096391677856,0.0,0.0,0.0,27.271107193075327,27.271107193075327,27.27107689544992,0.040650936796757506,1.0,22.31523323059082,22.20288848876953,1.1234501600265503,1.0936851501464844,0.0,0.0,0.0,22.20288704410911,4.688991975926218,0.0,1.8169728517532349,1.0343317280660695e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8169730106989543,6.0,1.8169729948043822,5.0,1.8169729471206666,5.0,1.816972804069519,5.0,0.4759526545796427,9.887902024438625e-08,1.0,0.0,1.0,0.06039319732614392,-0.7155844155844155,0.0002652530626513761,0.7155844155844155,1.0,-0.7155844155844155,0.0002652530626513761,-1.0,0.7155844155844155,1.0,1.3889898571375282e-06,2.384185791015625e-07,1.8169727325439453,1.8169729709625244,-0.123450072979022,-0.09368502655086375,1.0,-0.09368502655086375,-0.09368502655086375,-0.24355205099253086,-0.24355205099253086,-0.033113141393671386,-0.033113141393671386
2.0,2.6789462566375732,2.566601276397705,1.1234501600265503,1.0936851501464844,0.0,0.0,0.0,23.775154912236726,23.775154912236726,23.775119713547415,0.040910968494893576,1.0,20.113704681396484,20.001243591308594,1.1246105432510376,1.0901674032211304,0.0,0.0,0.0,20.001244145147908,4.450830535874481,0.0,1.81637442111969,9.832216487435369e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8163744608561199,6.0,1.8163745164871217,5.0,1.8163744926452636,5.0,1.8163743495941163,5.0,0.476846766807128,8.616603283877984e-08,1.0,0.0,1.0,0.05957916063243371,-0.7090909090909091,0.0003195131305886621,0.7090909090909091,1.0,-0.7090909090909091,0.0003195131305886621,-1.0,0.7090909090909091,1.0,1.688881198712513e-06,3.5762786865234375e-07,1.8163743019104004,1.816374659538269,-0.12461051697925447,-0.09016736326280594,1.0,-0.09016736326280594,-0.09016736326280594,-0.25096376597155245,-0.25096376597155245,-0.03270042170340548,-0.03270042170340548
3.0,1.941498875617981,1.8290377855300903,1.1246105432510376,1.0901674032211304,0.0,0.0,0.0,19.762544641113674,19.762544641113674,19.76250172739048,0.04118454684878637,1.0,18.118389129638672,18.005813598632812,1.1257561445236206,1.0866762399673462,0.0,0.0,0.0,18.005814857007437,4.223444354676065,0.0,1.815773606300354,9.930051896989858e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.815773646036784,6.0,1.8157736539840699,5.0,1.8157735824584962,5.0,1.8157734632492066,5.0,0.4777420537333407,9.69956013199486e-08,1.0,0.0,1.0,0.05870009409663431,-0.7038961038961039,0.00036952182272340854,0.7038961038961039,1.0,-0.7038961038961039,0.00036952182272340854,-1.0,0.7038961038961039,1.0,1.4280059708855384e-06,2.384185791015625e-07,1.815773367881775,1.815773606300354,-0.12575612852782694,-0.08667613323752876,1.0,-0.08667613323752876,-0.08667613323752876,-0.2583198650966432,-0.2583198650966432,-0.032272387249309364,-0.032272387249309364
4.0,1.3360329866409302,1.2234573364257812,1.1257561445236206,1.0866762399673462,0.0,0.0,0.0,15.551681262436068,15.551681262436068,15.551625987300685,0.04146371328090355,1.0,16.3278751373291,16.215177536010742,1.1269701719284058,1.083241581916809,0.0,0.0,0.0,16.215177176952217,4.008488319459415,0.0,1.8151692152023315,9.464838391561204e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8151692350705464,6.0,1.8151692152023315,5.0,1.8151692152023315,5.0,1.815169095993042,5.0,0.47864017361602634,8.551303550905243e-08,1.0,0.0,1.0,0.05782694118193494,-0.6857142857142857,0.000600843264112635,0.6857142857142857,1.0,-0.6857142857142857,0.000600843264112635,-1.0,0.6857142857142857,1.0,1.5461445614532821e-06,3.5762786865234375e-07,1.8151689767837524,1.815169334411621,-0.12697024270153312,-0.08324165316524268,1.0,-0.08324165316524268,-0.08324165316524268,-0.26582917246508364,-0.26582917246508364,-0.03183990247427326,-0.03183990247427326
5.0,0.878582775592804,0.7658857703208923,1.1269701719284058,1.083241581916809,0.0,0.0,0.0,11.468437794211901,11.468437794211901,11.468361762582349,0.041760295102282415,1.0,14.728909492492676,14.6160888671875,1.1282109022140503,1.0798323154449463,0.0,0.0,0.0,14.616087708803965,3.8063363220010484,0.0,1.8145605325698853,7.783406803041461e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.81456063191096,6.0,1.814560604095459,5.0,1.814560627937317,5.0,1.814560556411743,5.0,0.47954213565546316,7.595818817860925e-08,1.0,0.0,1.0,0.05690493219590139,-0.6857142857142857,0.000600843264112635,0.6857142857142857,1.0,-0.6857142857142857,0.000600843264112635,-1.0,0.6857142857142857,1.0,1.965256804294188e-07,2.384185791015625e-07,1.8145604133605957,1.8145606517791748,-0.12821076138115495,-0.07983227169963714,1.0,-0.07983227169963714,-0.07983227169963714,-0.27339860763983426,-0.27339860763983426,-0.031401404803994115,-0.031401404803994115
6.0,0.560727059841156,0.447905957698822,1.1282109022140503,1.0798323154449463,0.0,0.0,0.0,7.86466870429455,7.86466870429455,7.864556170339642,0.04207222222291697,1.0,13.306323051452637,13.193373680114746,1.1294937133789062,1.0767885446548462,0.0,0.0,0.0,13.193374984742505,3.6170221113023304,0.0,1.813947081565857,5.899329892461222e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.813947041829427,6.0,1.813947033882141,5.0,1.8139470100402832,5.0,1.8139469623565674,5.0,0.4804488295016873,7.205522036553684e-08,1.0,0.0,1.0,0.05635546550149379,-0.6727272727272726,0.0008333435326227536,0.6727272727272726,1.0,-0.6727272727272726,0.0008333435326227536,-1.0,0.6727272727272726,1.0,5.967151656039022e-07,1.1920928955078125e-07,1.8139469623565674,1.813947081565857,-0.12949375198622906,-0.07678845920498523,1.0,-0.07678845920498523,-0.07678845920498523,-0.2807109248285107,-0.2807109248285107,-0.03098187192519153,-0.03098187192519153
7.0,0.35543176531791687,0.24248239398002625,1.1294937133789062,1.0767885446548462,0.0,0.0,0.0,4.772638907929885,4.772638907929885,4.772450570032566,0.04239931699914448,1.0,12.055577278137207,11.942495346069336,1.1308234930038452,1.074262022972107,0.0,0.0,0.0,11.942495921830542,3.4421700636545816,0.0,1.813328504562378,1.0122886442074895e-07,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.8133285840352376,6.0,1.8133285999298097,5.0,1.8133285760879516,5.0,1.813328456878662,5.0,0.4813603812589142,8.693219500496965e-08,1.0,0.0,1.0,0.056326765284563055,-0.696103896103896,0.0004570409713834745,0.696103896103896,1.0,-0.696103896103896,0.0004570409713834745,-1.0,0.696103896103896,1.0,1.997490811937751e-06,2.384185791015625e-07,1.8133283853530884,1.8133286237716675,-0.13082341865923156,-0.0742619750063187,1.0,-0.0742619750063187,-0.0742619750063187,-0.2876128517814265,-0.2876128517814265,-0.030595429189949952,-0.030595429189949952
8.0,0.24480977654457092,0.1317274272441864,1.1308234930038452,1.074262022972107,0.0,0.0,0.0,2.473205102654286,2.473205102654286,2.4728358227789706,0.04273725981211786,1.0,11.00385856628418,10.890639305114746,1.1321892738342285,1.0728826522827148,0.0,0.0,0.0,10.890639098906373,3.2885029145649503,0.0,1.8127080202102661,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.8127080202102661,6.0,1.8127080202102661,5.0,1.8127080202102661,5.0,1.8127080202102661,5.0,0.48227232205236714,5.4880355820836504e-08,1.0,0.0,1.0,0.05753776373817065,-0.696103896103896,0.0004570409713834745,0.696103896103896,1.0,-0.696103896103896,0.0004570409713834745,-1.0,0.696103896103896,1.0,-5.135689437080042e-16,0.0,1.8127080202102661,1.8127080202102661,-0.13218923802151883,-0.07288270353670478,1.0,-0.07288270353670478,-0.07288270353670478,-0.29340135147209945,-0.29340135147209945,-0.030283659055752254,-0.030283659055752254
9.0,0.2033689022064209,0.09014997631311417,1.1321892738342285,1.0728826522827148,0.0,0.0,0.0,1.6662288785812371,1.6662288785812371,1.6656720247258694,0.04307414379543159,1.0,10.263015747070312,10.149711608886719,1.1330373287200928,1.0745729207992554,0.0,0.0,0.0,10.14971205277804,3.1766219990594045,0.0,1.8121699094772339,9.832216487435369e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.812169869740804,6.0,1.812169861793518,5.0,1.8121697902679443,5.0,1.8121697664260865,5.0,0.48306130431820726,7.904769074412314e-08,1.0,0.0,1.0,0.06179903389396118,-0.7090909090909091,0.0003195131305886621,0.7090909090909091,1.0,-0.7090909090909091,0.0003195131305886621,-1.0,0.7090909090909091,1.0,8.376899518933866e-07,2.384185791015625e-07,1.8121696710586548,1.8121699094772339,-0.13303736482224063,-0.0745728693552099,1.0,-0.0745728693552099,-0.0745728693552099,-0.29447636533767674,-0.29447636533767674,-0.030062859773835493,-0.030062859773835493
10.0,0.20236364006996155,0.08905989676713943,1.1330373287200928,1.0745729207992554,0.0,0.0,0.0,2.3536596448570295,2.3536596448570295,2.353261845646334,0.043271349109167336,1.0,9.839189529418945,9.725860595703125,1.1332879066467285,1.0774188041687012,0.0,0.0,0.0,9.725860445569264,3.1112814290182933,0.0,1.8118171691894531,8.45799243208984e-08,0.0,-1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,-0.0,1.811817208925883,6.0,1.811817193031311,5.0,1.8118171453475953,5.0,1.8118170499801636,5.0,0.4835773481945449,8.913153058380594e-08,1.0,0.0,1.0,0.06668068406152963,-0.7467532467532467,0.0001007733771013491,0.7467532467532467,1.0,-0.7467532467532467,0.0001007733771013491,-1.0,0.7467532467532467,1.0,8.581512669553451e-07,2.384185791015625e-07,1.811816930770874,1.8118171691894531,-0.13328786199880271,-0.07741879334764157,1.0,-0.07741879334764157,-0.07741879334764157,-0.2926481470587652,-0.2926481470587652,-0.02979664559000139,-0.02979664559000139
