year,entity_code,entity_name,y_t,x_t,x_seq_rpcyd_total_income,x_seq_rydgdp_disposable_income,x_seq_rydgdp_disposable_income_per_capita,x_seq_rydgdp_grdp,x_seq_rydgdp_grdp_per_capita,x_seq_rydgdp_ratio,proxy_atm_count,proxy_terminal_count,proxy_credit_card_depth,static_noncash_value,static_withdrawal_value,duplicate_row_count,conflicted_measure_count,qa_available_feature_count,qa_formal_feature_count,qa_curated_formal_feature_count,qa_rpcyd_candidate_count,qa_rydgdp_numerator_candidate_count,qa_rydgdp_numerator_per_capita_candidate_count,qa_rydgdp_denominator_candidate_count,qa_rydgdp_denominator_per_capita_candidate_count,optional_x_td_direct_taxes_on_labour,optional_x_td_indirect_taxes_on_labour,optional_x_td_taxes_on_capital,optional_x_td_total_tax_revenues
2006,SE110,Stockholm,1984.251,319886.300752938,319886.300752938,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,1,0,14,1,1,2,,,,,,,,
2006,SE121,Uppsala,1984.251,295757.6196256425,295757.6196256425,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,1,0,14,1,1,2,,,,,,,,
2006,SE122,Södermanland,1984.251,290967.392864682,290967.392864682,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,80,2,14,1,1,1,,,,,,,,
2006,SE123,Östergötland,1984.251,282428.076841883,282428.076841883,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,120,2,14,1,1,1,,,,,,,,
2006,SE124,Örebro,1984.251,287936.30497501954,287936.30497501954,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,1,0,14,1,1,2,,,,,,,,
2006,SE125,Västmanland,1984.251,293022.680669904,293022.680669904,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,1,0,14,1,1,1,,,,,,,,
2006,SE211,Jönköping,1984.251,296687.9675955245,296687.9675955245,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,140,2,14,1,1,2,,,,,,,,
2006,SE212,Kronoberg,1984.251,290183.343888537,290183.343888537,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,1,0,14,1,1,1,,,,,,,,
2006,SE213,Kalmar,1984.251,282250.5295193865,282250.5295193865,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,140,2,14,1,1,2,,,,,,,,
2006,SE214,Gotland,1984.251,267806.699739638,267806.699739638,,,,,,2815.60039761431,184589.782,240.462,423.0,270.383026,108,2,14,1,1,2,,,,,,,,
