workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
0,PRID,2006.0,SE11 Stockholm region,,,,,,,,,
1,PRID,2006.0,SE110 Stockholm,FSA-code,Org. No,LEI,Category,Name,Postal address,Postal box,Postal code,City
2,PRID,2006.0,SE12 Östra Mellansverige,11645,516406-0500,,Bank,"Aareal Bank AG Tyskland, filial Stockholm",Norrmalmstorg 14,,111 46,Stockholm
3,PRID,2006.0,SE121 Uppsala,32028,556645-9755,1JDCK5BUVTXRHQBEPT93,Housing credit institution,AB Sveriges Säkerställda Obligationer (publ),,Box 4209,171 04,Solna
4,PRID,2006.0,SE122 Södermanland,11675,516406-1045,,Bank,Adyen Nordic Bank Filial,Sturegatan 18,,114 36,Stockholm
5,PRID,2006.0,SE122 Södermanland,66523,516406-1219,,Bank,Aion Bank SA Swedish Filial,Kungstensgatan 21A,,113 57,Stockholm
6,PRID,2006.0,SE122 Södermanland,41154,556197-8825,549300471G26AF2BTG62,Finance company,AK Nordic AB,,Box 4068,169 04,Solna
7,PRID,2006.0,SE122 Södermanland,33006,556084-0315,1FOLRR5RWTWWI397R131,Other MFI,Aktiebolaget Svensk Exportkredit,Klarabergsviadukten 61-63,,111 64,Stockholm
8,PRID,2006.0,SE122 Södermanland,65312,516406-1201,,Bank,"Allfunds Bank S.A. Stockholm Branch Sweden, filial",Västra Trädgårdsgatan 8,,111 53,Stockholm
9,PRID,2006.0,SE122 Södermanland,41540,556669-3130,549300E00ZS3Y35KKD97,Finance company,Aros Kapital AB,Vestagatan 6,,416 64,Göteborg
10,PRID,2006.0,SE122 Södermanland,35171,556573-5668,5493009VJC01E4H6HH77,Bank,Avanza Bank AB,Regeringsgatan 103,,111 39,Stockholm
11,PRID,2006.0,SE122 Södermanland,41506,556230-9004,549300TMBWKN02J3ZT25,Finance company,Avida Finans AB (Publ),Södermalmsallén 36,,118 28,Stockholm
12,PRID,2006.0,SE122 Södermanland,46235,516406-1128,,Bank,Bank of America Merrill Lynch International Designated Activity Company Stockholm Bankfilial,Birger Jarlsgatan 13,,111 45,Stockholm
13,PRID,2006.0,SE122 Södermanland,11665,516406-0898,,Bank,Bank of China (Europe) S.A. Stockholm Filial,Tegeluddsvägen 21,,115 41,Stockholm
14,PRID,2006.0,SE122 Södermanland,76839,516406-1268,,Bank,"Banking Circle Sweden, Filial av Banking Circle S.A, Luxembourg",Räng Byväg 302,,235 91,Vellinge
15,PRID,2006.0,SE122 Södermanland,46268,516406-1144,,Bank,"Barclays Bank Ireland PLC, Filial Sweden",Västra Trädgårdsgatan 15,,111 45,Stockholm
16,PRID,2006.0,SE122 Södermanland,11664,516406-0872,,Bank,BIGBANK AS Sverige Filial,S:t Eriksgatan 117,,113 43,Stockholm
17,PRID,2006.0,SE122 Södermanland,12306,583201-2495,549300Q6WXQ40EC6UW53,Bank,Bjursås Sparbank,Mårtsbovägen 2,,790 21,Bjursås
18,PRID,2006.0,SE122 Södermanland,11673,516406-1029,,Bank,"BNP Paribas S.A., Bankfilial Sverige",Hovslagargatan 3,,111 48,Stockholm
19,PRID,2006.0,SE122 Södermanland,44605,559153-2303,54930030QWENGUD8ZR59,Housing credit institution,Borgo AB (publ),Linnégatan 87,,115 23,Stockholm
20,PRID,2006.0,SE122 Södermanland,41491,556058-8740,5493001GO42RP1NH6620,Finance company,Brocc Finance AB,Biblioteksgatan 8,,111 46,Stockholm
21,PRID,2006.0,SE122 Södermanland,11144,516406-0138,529900BR5NZNQZEVQ417,Bank,Carnegie Investment Bank AB,Regeringsgatan 56,,111 56,Stockholm
22,PRID,2006.0,SE122 Södermanland,11671,516406-0997,,Bank,"Citibank Europe plc, Sverige filial",Birger Jarlsgatan 6,,114 34,Stockholm
23,PRID,2006.0,SE122 Södermanland,71216,559417-4483,636700P6LAPT09DROS67,Finance company,Coeli Finance AB,,Box 3317,103 66,Stockholm
24,PRID,2006.0,SE122 Södermanland,11607,516401-9746,,Bank,Crédit Agricole Corporate and Investment Bank(Frankrike) Sverige Filial,Regeringsgatan 38,,111 56,Stockholm
25,PRID,2006.0,SE122 Södermanland,12206,562500-5243,549300TLR35THV1NYR16,Bank,Dalslands Sparbank,Köpmantorget 1,,464 31,Mellerud
26,PRID,2006.0,SE122 Södermanland,11610,516401-9811,549300PLIQC17ABD1N68,Bank,"Danske Bank A/S, Danmark, Sverige Filial",Norrmalmstorg 1,,111 46,Stockholm
27,PRID,2006.0,SE122 Södermanland,41544,559001-4154,549300R24NNCTGT7CW53,Housing credit institution,Danske Hypotek AB (publ),Norrmalmstorg 1,,111 46,Stockholm
28,PRID,2006.0,SE122 Södermanland,41140,556203-0576,635400U4OTAUZI7MNU51,Finance company,De Lage Landen Finans AB,Kungsgatan 36,,111 35,Stockholm
29,PRID,2006.0,SE122 Södermanland,11620,516401-9985,,Bank,Deutsche Bank AG bankfilial Stockholm,Jakobsbergsgatan 13,,111 44,Stockholm
30,PRID,2006.0,SE122 Södermanland,11633,516406-0161,,Bank,"DNB Bank ASA, filial Sverige",Regeringsgatan 59,,111 56,Stockholm
31,PRID,2006.0,SE122 Södermanland,41541,556993-2311,549300SBJ586QRQH4579,Finance company,Ecster AB,Valhallavägen 195,,115 53,Stockholm
32,PRID,2006.0,SE122 Södermanland,12311,543002-7341,5493001BXE5VYTZ77W96,Bank,Ekeby Sparbank,Storgatan 14,,267 76,Ekeby
33,PRID,2006.0,SE122 Södermanland,11402,516401-9993,5493004BIDJYKO7H1O08,Bank,Ekobanken medlemsbank,Skäve Magasin,,153 31,Järna
34,PRID,2006.0,SE122 Södermanland,41533,556717-5129,5493004FETDD2Z2FY510,Bank,Enity Bank Group AB (publ),Sveavägen 163,,113 46,Stockholm
35,PRID,2006.0,SE122 Södermanland,41545,556673-0585,549300F7CSLBVUCDQS38,Finance company,EnterCard Group AB,Klarabergsgatan 60,,111 21,Stockholm
36,PRID,2006.0,SE122 Södermanland,47088,556097-8701,549300ZI0VP87LWFWK38,Bank,EP Bank AB,Apelbergsgatan 27,,111 37,Stockholm
37,PRID,2006.0,SE122 Södermanland,11680,516406-1102,549300PBUN0RPL1FYV60,Bank,Express Bank Sverige Filial,,Box 1171,164 26,Kista
38,PRID,2006.0,SE122 Södermanland,63950,516406-1193,,Bank,Facit Bank Filial,,Box 1085,171 22,Solna
39,PRID,2006.0,SE122 Södermanland,12178,549000-5484,549300LQMU6WDT5LWG12,Bank,Falkenbergs Sparbank,Nygatan 38,,311 31,Falkenberg
40,PRID,2006.0,SE122 Södermanland,66933,516406-1227,,Bank,FNZ Bank Filial Sweden,Regeringsgatan 67,,111 56,Stockholm
41,PRID,2006.0,SE122 Södermanland,80558,556999-3388,894500LCMLLAW669AM32,Finance company,Froda AB,Katarinavägen 9,,116 45,Stockholm
42,PRID,2006.0,SE122 Södermanland,12211,574000-3420,549300RV671DHBL0TH37,Bank,Fryksdalens sparbank,Storgatan 33,,686 30,Sunne
43,PRID,2006.0,SE122 Södermanland,35193,556668-1531,549300SUPDLSXO6YWJ42,Other MFI,Garantum Fondkommission Aktiebolag,Smålandsgatan 16,,111 46,Stockholm
44,PRID,2006.0,SE122 Södermanland,11683,516406-1136,,Bank,"Goldman Sachs Bank Europe SE, Sweden Bankfilial",Birger Jarlsgatan 12,,113 36,Stockholm
45,PRID,2006.0,SE122 Södermanland,41009,556053-0841,549300L1JMNU0P130Y31,Finance company,Handelsbanken Finans Aktiebolag,Torsgatan 12-14,,111 23,Stockholm
46,PRID,2006.0,SE122 Södermanland,41543,556012-8489,549300NPK3FB2BEL4D08,Finance company,Hoist Finance AB (publ),Bryggargatan 4,,111 21,Stockholm
47,PRID,2006.0,SE122 Södermanland,50711,516406-1169,,Bank,"HSBC Continental Europe Bank, Sweden Filial",Birger Jarlsgatan 4,,114 34,Stockholm
48,PRID,2006.0,SE122 Södermanland,12202,587500-7196,5493006TGRJMS50S5N58,Bank,Hälsinglands Sparbank,Storgatan 28,,824 32,Hudiksvall
