workbook_row_index,observed_block_code,global_year,global_county,rifm__unnamed_1912_level_1,rifm__anm_lda_brott,rifm__unnamed_1914_level_1,rifm__anm_lda_brott_1,rifm__unnamed_1916_level_1,rifm__anm_lda_brott_2,rifm__unnamed_1918_level_1,rifm__anm_lda_brott_3,rifm__unnamed_1920_level_1,rifm__anm_lda_brott_4,rifm__unnamed_1922_level_1,rifm__brottsf_rebyggande_r_det,rifm__unnamed_1924_level_1,rifm__unnamed_1925_level_1,rifm__unnamed_1926_level_1,rifm__anm_lda_brott_5,rifm__unnamed_1928_level_1,rifm__brottsf_rebyggande_r_det_1,rifm__unnamed_1930_level_1,rifm__unnamed_1931_level_1,rifm__unnamed_1932_level_1,rifm__anm_lda_brott_6,rifm__unnamed_1934_level_1,rifm__brottsf_rebyggande_r_det_2,rifm__unnamed_1936_level_1,rifm__unnamed_1937_level_1,rifm__unnamed_1938_level_1,rifm__anm_lda_brott_7,rifm__unnamed_1940_level_1,rifm__brottsf_rebyggande_r_det_3,rifm__anm_lda_brott_8,rifm__unnamed_1943_level_1,rifm__brottsf_rebyggande_r_det_4,rifm__unnamed_1945_level_1,rifm__anm_lda_brott_9,rifm__unnamed_1947_level_1,rifm__anm_lda_brott_10,rifm__unnamed_1949_level_1,rifm__brottsf_rebyggande_r_det_5,rifm__unnamed_1951_level_1,rifm__unnamed_1952_level_1,rifm__anm_lda_brott_11,rifm__unnamed_1954_level_1,rifm__anm_lda_brott_12,rifm__unnamed_1956_level_1,rifm__brottsf_rebyggande_r_det_6,rifm__unnamed_1958_level_1,rifm__anm_lda_brott_13,rifm__unnamed_1960_level_1,rifm__anm_lda_brott_14,rifm__unnamed_1962_level_1,rifm__brottsf_rebyggande_r_det_7,rifm__unnamed_1964_level_1,rifm__unnamed_1965_level_1,rifm__unnamed_1966_level_1,rifm__anm_lda_brott_15,rifm__unnamed_1968_level_1,rifm__anm_lda_brott_16,rifm__unnamed_1970_level_1,rifm__anm_lda_brott_17,rifm__unnamed_1972_level_1,rifm__anm_lda_brott_18,rifm__unnamed_1974_level_1,rifm__anm_lda_brott_19,rifm__unnamed_1976_level_1
0,RIFM,2006.0,SE11 Stockholm region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RIFM,2006.0,SE110 Stockholm,År,,År,,År,,År,,År,,År,År,År,År,År,,År,År,År,År,År,,År,År,År,År,År,,År,År,,År,År,År,,År,,År,År,År,År,,År,,År,År,År,,År,,År,År,År,År,År,,År,,År,,År,,År,,År
2,RIFM,2006.0,SE12 Östra Mellansverige,2020,,2021,,2022,,2023,,2024 prel.,,2020,2021,2022,2023,2024 prel.,,2020,2021,2022,2023,2024 prel.,,2020,2021,2022,2023,2024 prel.,,2020,2021,,2022,2023,2024 prel.,,2020,,2021,2022,2023,2024 prel.,,2024 prel.,,2020,2021,2022,,2023,,2020,2021,2022,2023,2024 prel.,,2020,,2021,,2022,,2023,,2024 prel.
3,RIFM,2006.0,SE121 Uppsala,Antal,,Antal,,Antal,,Antal,,Antal,,Antal,Antal,Antal,Antal,Antal,,Antal,Antal,Antal,Antal,Antal,,Antal,Antal,Antal,Antal,Antal,,Antal,Antal,,Antal,Antal,Antal,,Antal,,Antal,Antal,Antal,Antal,,Antal,,Antal,Antal,Antal,,Antal,,Antal,Antal,Antal,Antal,Antal,,Antal,,Antal,,Antal,,Antal,,Antal
4,RIFM,2006.0,SE122 Södermanland,,Hela landet,,Hela landet,,Hela landet,,Hela landet,,Hela landet,,,,,,Blekinge län,,,,,,Blekinge län,,,,,,Hela landet,,,Hela landet,,,,Blekinge län,,Blekinge län,,,,,Blekinge län,,Blekinge län,,,,Blekinge län,,Hela landet,,,,,,Blekinge län,,Blekinge län,,Blekinge län,,Blekinge län,,Blekinge län,
5,RIFM,2006.0,SE122 Södermanland,..,"0901 - Bedrägeri, datorbedrägeri",..,"0901 - Bedrägeri, datorbedrägeri",..,"0901 - Bedrägeri, datorbedrägeri",..,"0901 - Bedrägeri, datorbedrägeri",..,04,73221,50930,42962,41702,43336,04,..,..,..,0,0,05 - 07,..,..,..,0,0,08,238851,224078,08,226355,229155,216865,"0901 - Bedrägeri, datorbedrägeri",..,"0901 - Bedrägeri, datorbedrägeri",..,..,..,..,2001 - Tjänstefel m.m. (upphörde år 2009),..,"1001 - Förskingring, grov förskingring, undandräkt",..,..,..,2001 - Tjänstefel m.m. (upphörde år 2009),..,61 - 69,..,..,..,..,..,7002 - Terroristbrott (upphörde år 2023),..,7002 - Terroristbrott (upphörde år 2023),..,7002 - Terroristbrott (upphörde år 2023),..,7002 - Terroristbrott (upphörde år 2023),0,7002 - Terroristbrott (upphörde år 2023),0
6,RIFM,2006.0,SE122 Södermanland,..,"0902 - Bedrägeri, automatmissbruk",..,"0902 - Bedrägeri, automatmissbruk",..,"0902 - Bedrägeri, automatmissbruk",..,"0902 - Bedrägeri, automatmissbruk",..,"0401 - Hemfridsbrott, olaga intrång",10288,..,..,..,..,"0401 - Hemfridsbrott, olaga intrång",..,..,..,..,..,"0607 - Sexuellt ofredande, exhibitionism",..,..,..,0,..,"0801 - Tillgrepp motordr fortskaffningsmedel, förs till biltillgrepp",1603,1198,"0801 - Tillgrepp motordr fortskaffningsmedel, förs till biltillgrepp",995,961,792,"0902 - Bedrägeri, automatmissbruk",..,"0902 - Bedrägeri, automatmissbruk",..,..,..,..,2002 - Tjänstefel inkl. grovt ,0,"1002 - Olovligt förfogande, över avbetalningsgods",..,..,..,2002 - Tjänstefel inkl. grovt ,0,"6101 - Försök till våldtäkt inkl. grov (1 §), mot flicka 15–17 år, på internet",..,..,..,..,..,7003 - Försök till terroristbrott (upphörde år 2023),..,7003 - Försök till terroristbrott (upphörde år 2023),..,7003 - Försök till terroristbrott (upphörde år 2023),..,7003 - Försök till terroristbrott (upphörde år 2023),0,7003 - Försök till terroristbrott (upphörde år 2023),0
7,RIFM,2006.0,SE122 Södermanland,..,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,0414 - Ofredande mot grupp,3521,3468,2979,2677,2758,0402 - Olaga hot (upphörde år 1999),..,..,..,..,..,"0609 - Koppleri, inkl. grovt ",..,..,..,0,0,"0802 - Tillgrepp motordr fortskaffningsmedel, fullb biltillgrepp",7455,6672,"0802 - Tillgrepp motordr fortskaffningsmedel, fullb biltillgrepp",6147,5946,4984,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,"0903 - Bedrägeri, mot hotell, restaurang, taxi, buss, tåg, spårvagn etc.",..,..,..,..,2003 - Tagande av muta (inkl. grov),0,1003 - Annat olovligt förfogande,..,..,..,2003 - Tagande av muta (inkl. grov),0,"6102 - Försök till våldtäkt inkl. grov (1 §), mot flicka 15–17 år, ej på internet",..,..,..,..,..,"7004 - Förberedelse till terroristbrott, genom finansiering (upphörde år 2023)",..,"7004 - Förberedelse till terroristbrott, genom finansiering (upphörde år 2023)",..,"7004 - Förberedelse till terroristbrott, genom finansiering (upphörde år 2023)",..,"7004 - Förberedelse till terroristbrott, genom finansiering (upphörde år 2023)",0,"7004 - Förberedelse till terroristbrott, genom finansiering (upphörde år 2023)",0
8,RIFM,2006.0,SE122 Södermanland,..,"0904 - Bedrägeri, med kontokort",..,"0904 - Bedrägeri, med kontokort",..,"0904 - Bedrägeri, med kontokort",..,"0904 - Bedrägeri, med kontokort",..,0415 - Dataintrång,4606,..,..,..,..,0403 - Ofredande (upphörde år 1999),..,..,..,..,..,0610 - Utnyttjande av barn genom köp av sexuell handling,..,..,..,0,0,"0803 - Tillgrepp av motordr fortskaffningsmedel, motorcykel",2308,1903,"0803 - Tillgrepp av motordr fortskaffningsmedel, motorcykel",1873,1644,1374,"0904 - Bedrägeri, med kontokort",..,"0904 - Bedrägeri, med kontokort",..,..,..,..,2004 - Brott mot tystnadsplikt ,0,1004 - Fyndförseelse,..,..,..,2004 - Brott mot tystnadsplikt ,0,"6103 - Försök till våldtäkt inkl. grov (1 §), mot pojke 15–17 år, på internet",..,..,..,..,..,"7005 - Förberedelse till terroristbrott, ej genom finansiering (upphörde år 2023)",..,"7005 - Förberedelse till terroristbrott, ej genom finansiering (upphörde år 2023)",..,"7005 - Förberedelse till terroristbrott, ej genom finansiering (upphörde år 2023)",..,"7005 - Förberedelse till terroristbrott, ej genom finansiering (upphörde år 2023)",0,"7005 - Förberedelse till terroristbrott, ej genom finansiering (upphörde år 2023)",0
9,RIFM,2006.0,SE122 Södermanland,..,"0905 - Bedrägeri, mot funktionsnedsatt",..,"0905 - Bedrägeri, mot funktionsnedsatt",..,"0905 - Bedrägeri, mot funktionsnedsatt",..,"0905 - Bedrägeri, mot funktionsnedsatt",..,0416 - Människohandel för sexuella ändamål (upphörde år 2009),..,..,..,..,..,0404 - Övriga brott mot kap. 4 (upphörde år 2011),..,..,..,..,..,0611 - Utnyttjande av barn för sexuell posering (upphörde år 2024),..,..,..,0,0,"0804 - Tillgrepp av motordr fortskaffningsmedel, moped",6253,5081,"0804 - Tillgrepp av motordr fortskaffningsmedel, moped",4411,3656,2843,"0905 - Bedrägeri, mot funktionsnedsatt",..,"0905 - Bedrägeri, mot funktionsnedsatt",..,..,..,..,2101 - Undanhållande och rymning (upphörde år 1988),..,1005 - Brott mot kap 10 utom kod 1001-1004 (upphörde år 1987),..,..,..,2101 - Undanhållande och rymning (upphörde år 1988),..,"6104 - Försök till våldtäkt inkl. grov (1 §), mot pojke 15–17 år, ej på internet",..,..,..,..,..,7006 - Stämpling till terroristbrott (upphörde år 2023),..,7006 - Stämpling till terroristbrott (upphörde år 2023),..,7006 - Stämpling till terroristbrott (upphörde år 2023),..,7006 - Stämpling till terroristbrott (upphörde år 2023),0,7006 - Stämpling till terroristbrott (upphörde år 2023),0
