workbook_row_index,observed_block_code,global_year,global_county,rydgdp__unnamed_810_level_1,rydgdp__unnamed_811_level_1,rydgdp__2019,rydgdp__2020,rydgdp__2021,rydgdp__2022,rydgdp__2023,rydgdp__2019_1,rydgdp__2020_1,rydgdp__2021_1,rydgdp__2022_1,rydgdp__2023_1,rydgdp__unnamed_822_level_1,rydgdp__unnamed_823_level_1,rydgdp__2019_2,rydgdp__2020_2,rydgdp__2021_2,rydgdp__2022_2,rydgdp__unnamed_828_level_1,rydgdp__unnamed_829_level_1,rydgdp__current_prices_million_sek,rydgdp__unnamed_831_level_1,rydgdp__unnamed_832_level_1,rydgdp__unnamed_833_level_1,rydgdp__unnamed_834_level_1,rydgdp__current_prices_thousand_sek_per_capita,rydgdp__unnamed_836_level_1,rydgdp__unnamed_837_level_1,rydgdp__unnamed_838_level_1,rydgdp__unnamed_839_level_1,rydgdp__unnamed_840_level_1,rydgdp__unnamed_841_level_1,rydgdp__2019_3,rydgdp__2020_3,rydgdp__2021_3,rydgdp__2022_3,rydgdp__unnamed_846_level_1,rydgdp__grdp_current_prices_million_sek,rydgdp__unnamed_848_level_1,rydgdp__unnamed_849_level_1,rydgdp__unnamed_850_level_1,rydgdp__grdp_per_capita_thousand_sek,rydgdp__unnamed_852_level_1,rydgdp__unnamed_853_level_1,rydgdp__unnamed_854_level_1,rydgdp__grdp_per_employed_current_prices_thousand_sek,rydgdp__unnamed_856_level_1,rydgdp__unnamed_857_level_1,rydgdp__unnamed_858_level_1,rydgdp__unnamed_859_level_1,rydgdp__grdp_current_prices_million_sek_1,rydgdp__unnamed_861_level_1,rydgdp__unnamed_862_level_1,rydgdp__unnamed_863_level_1,rydgdp__unnamed_864_level_1,rydgdp__grdp_annual_change_in_volume_percent,rydgdp__unnamed_866_level_1,rydgdp__unnamed_867_level_1,rydgdp__unnamed_868_level_1,rydgdp__unnamed_869_level_1,rydgdp__grdp_per_capita_thousand_sek_1,rydgdp__unnamed_871_level_1,rydgdp__unnamed_872_level_1,rydgdp__unnamed_873_level_1,rydgdp__unnamed_874_level_1,rydgdp__grdp_per_employed_current_prices_thousand_sek_1,rydgdp__unnamed_876_level_1,rydgdp__unnamed_877_level_1,rydgdp__unnamed_878_level_1,rydgdp__unnamed_879_level_1,rydgdp__average_number_of_employed_thousand_of_persons,rydgdp__unnamed_881_level_1,rydgdp__unnamed_882_level_1,rydgdp__unnamed_883_level_1,rydgdp__unnamed_884_level_1,rydgdp__unnamed_885_level_1,rydgdp__grdp_current_prices_million_sek_2,rydgdp__unnamed_887_level_1,rydgdp__unnamed_888_level_1,rydgdp__unnamed_889_level_1,rydgdp__unnamed_890_level_1,rydgdp__grdp_annual_change_in_volume_percent_1,rydgdp__unnamed_892_level_1,rydgdp__unnamed_893_level_1,rydgdp__unnamed_894_level_1,rydgdp__unnamed_895_level_1,rydgdp__grdp_per_capita_thousand_sek_2,rydgdp__unnamed_897_level_1,rydgdp__unnamed_898_level_1,rydgdp__unnamed_899_level_1,rydgdp__unnamed_900_level_1,rydgdp__grdp_per_employed_current_prices_thousand_sek_2,rydgdp__unnamed_902_level_1,rydgdp__unnamed_903_level_1,rydgdp__unnamed_904_level_1,rydgdp__unnamed_905_level_1,rydgdp__average_number_of_employed_thousand_of_persons_1,rydgdp__unnamed_907_level_1,rydgdp__unnamed_908_level_1,rydgdp__unnamed_909_level_1,rydgdp__unnamed_910_level_1,rydgdp__unnamed_911_level_1,rydgdp__unnamed_912_level_1,rydgdp__1995,rydgdp__1996,rydgdp__1997,rydgdp__1998,rydgdp__1999,rydgdp__2000,rydgdp__2001,rydgdp__2002,rydgdp__2003,rydgdp__2004,rydgdp__2005,rydgdp__2006,rydgdp__2007,rydgdp__2008,rydgdp__2009,rydgdp__2010,rydgdp__2011,rydgdp__2012,rydgdp__2013,rydgdp__2014,rydgdp__2015,rydgdp__2016,rydgdp__2017,rydgdp__2018,rydgdp__2019_4,rydgdp__2020_4,rydgdp__2021_4,rydgdp__2022_4,rydgdp__2023_2,rydgdp__2024
0,RYDGDP,2006.0,SE11 Stockholm region,SE Sweden,"operating surplus and mixed income, net ",162366.0,144046.0,134216.0,141169.0,170345.0,16.0,14.0,13.0,13.0,16.0,SE Sweden,total economy,1198899,1230984,1368612,1498142,,,2019.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,00 Sweden,total economy,1198899,1230984,1368612,1498142,,2019.0,2020.0,2021.0,2022.0,2019,2020,2021,2022,2019.0,2020.0,2021.0,2022.0,,2019.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,2019,2020,2021,2022,2023,2019.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2019.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,2019,2020,2021,2022,2023,2019.0,2020.0,2021.0,2022.0,2023.0,2019.0,2020.0,2021.0,2022.0,2023.0,S1 Totala ekonomin,"III.1.1.B8n Sparande, netto",191682,185346,194935,229257,236015,259980,264020,259472,304427,325671,354873,468420,539045,501477,299479,429949,465148,402863,382467,398925,432958,437433,490438,514998,657854,658790,815111,797551,836410,866218
1,RYDGDP,2006.0,SE110 Stockholm,,compensation of employees ,2424892.0,2450547.0,2598923.0,2756347.0,2944877.0,236.0,237.0,250.0,263.0,279.0,,A01-F43 producers of goods,315853,317246,350300,378249,00 Sweden,"operating surplus and mixed income, net ",162366.0,144046.0,134216.0,141169.0,170345.0,16.0,14.0,13.0,13.0,16.0,,A01-F43 producers of goods,315853,317246,350300,378249,00 Sweden,5033443.0,5020978.0,5464876.0,5865211.0,490,485,525,559,964.0,974.0,1047.0,1086.0,00 Sweden,5033443.0,5020978.0,5464876.0,5865211.0,6208116.0,2.5,-2.0,5.9,1.5,-0.2,490,485,525,559,589,964.0,974.0,1047.0,1086.0,1138.0,5219.4,5152.7,5217.9,5399.8,5457.1,SE Sweden,5033443.0,5020978.0,5464876.0,5865211.0,6208116.0,2.5,-2.0,5.9,1.5,-0.2,490,485,525,559,589,964.0,974.0,1047.0,1086.0,1138.0,5219.4,5152.7,5217.9,5399.8,5457.1,,"III.1.1.B8g Sparande, brutto",448498,456916,484015,539474,572319,626696,658990,674601,727535,761510,809018,945170,1042791,1048416,871666,1004258,1048570,1005680,999952,1042757,1108386,1139140,1232846,1303008,1481143,1510536,1724096,1826163,1962817,2041028
2,RYDGDP,2006.0,SE12 Östra Mellansverige,,"property income, receivable ",361621.0,274431.0,382775.0,431670.0,523925.0,35.0,27.0,37.0,41.0,50.0,,G45-T98 producers of services,640008,657193,755601,835338,,compensation of employees ,2424892.0,2450547.0,2598923.0,2756347.0,2944877.0,236.0,237.0,250.0,263.0,279.0,,G45-T98 producers of services,640008,657193,755601,835338,0114 Upplands Väsby,15801.0,15481.0,16115.0,17936.0,342,329,339,370,1090.0,1075.0,1089.0,1188.0,01 Stockholm county,1607503.0,1618782.0,1736141.0,1840489.0,1953915.0,4.0,-1.7,5.3,1.0,0.2,681,679,722,758,798,1180.0,1216.0,1286.0,1292.0,1371.0,1362.7,1331.2,1350.5,1424.8,1424.7,SE11 Stockholm,1607503.0,1618782.0,1736141.0,1840489.0,1953915.0,4.0,-1.7,5.3,1.0,0.2,681,679,722,758,798,1180.0,1216.0,1286.0,1292.0,1371.0,1362.7,1331.2,1350.5,1424.8,1424.7,,III.1.1.B12 Bytesbalans,58768,61520,74785,85020,91233,91202,100330,112144,153602,163458,186211,245145,245298,235695,191546,207950,187679,186532,166695,136495,101720,68099,83671,90151,249985,284906,343861,246907,418348,453071
3,RYDGDP,2006.0,SE121 Uppsala,,"property income, payable ",46299.0,42032.0,35474.0,68189.0,190020.0,5.0,4.0,3.0,7.0,18.0,,unallocated,..,..,..,..,,"property income, receivable ",361621.0,274431.0,382775.0,431670.0,523925.0,35.0,27.0,37.0,41.0,50.0,,unallocated,..,..,..,..,0115 Vallentuna,8310.0,8301.0,8535.0,9246.0,246,243,250,268,934.0,965.0,992.0,984.0,03 Uppsala county,171506.0,173655.0,189369.0,213131.0,220681.0,3.2,0.4,7.0,8.5,-1.6,451,450,483,536,548,911.0,930.0,1028.0,1107.0,1139.0,188.3,186.8,184.2,192.5,193.7,SE110 Stockholm county,1607503.0,1618782.0,1736141.0,1840489.0,1953915.0,4.0,-1.7,5.3,1.0,0.2,681,679,722,758,798,1180.0,1216.0,1286.0,1292.0,1371.0,1362.7,1331.2,1350.5,1424.8,1424.7,,"III.1.1.D9net.REC Kapitaltransfereringar, netto, tillgång",-3507,-8918,-5647,-1562,-1301,-1339,-1728,-2788,-1060,-1575,-9,-1545,-2615,-2463,-2461,-2425,-3213,-3335,-3121,-2430,-3644,-277,1787,1692,1683,2193,5612,8436,6610,6152
4,RYDGDP,2006.0,SE122 Södermanland,,"balance of primary income, net ",2902580.0,2826992.0,3080440.0,3260997.0,3449127.0,282.0,273.0,296.0,311.0,327.0,,government and NPISH,243038,256545,262711,284555,,"property income, payable ",46299.0,42032.0,35474.0,68189.0,190020.0,5.0,4.0,3.0,7.0,18.0,,government and NPISH,243038,256545,262711,284555,0117 Österåker,10287.0,10622.0,10815.0,10845.0,228,230,228,223,879.0,908.0,879.0,875.0,04 Södermanland county,104787.0,103168.0,113641.0,122660.0,139054.0,-2.9,-2.4,8.2,2.0,4.6,354,346,378,406,460,849.0,842.0,921.0,973.0,1081.0,123.4,122.6,123.4,126.0,128.6,SE12 East-Central Sweden,709412.0,712540.0,774972.0,839690.0,902538.0,0.7,-1.2,6.7,3.0,0.5,413,411,444,478,511,867.0,875.0,938.0,991.0,1053.0,818.2,814.5,826.4,847.0,857.5,,"III.1.1.D9.REC Kapitaltransfereringar, tillgång",14428,12736,12780,11453,15292,32408,34133,25940,19640,13412,18494,9800,11371,12527,11708,11278,13894,29833,22759,22892,23923,24931,22846,27014,33928,52972,47777,64548,62487,83971
5,RYDGDP,2006.0,SE122 Södermanland,,social benefits other than social benefits in kind ,768774.0,812545.0,833069.0,870105.0,911563.0,75.0,78.0,80.0,83.0,87.0,SE11 Stockholm,total economy,368337,388331,456057,459638,,"balance of primary income, net ",2902580.0,2826992.0,3080440.0,3260997.0,3449127.0,282.0,273.0,296.0,311.0,327.0,RIKS1 Stockholm production county,total economy,368337,388331,456057,459638,0120 Värmdö,12079.0,12112.0,12390.0,12832.0,270,267,270,277,922.0,925.0,925.0,951.0,05 Östergötland county,198370.0,199737.0,216561.0,236501.0,251151.0,1.3,-1.4,6.4,3.2,-0.6,428,428,462,502,532,865.0,871.0,903.0,961.0,1011.0,229.2,229.2,239.8,246.0,248.5,SE121 Uppsala county,171506.0,173655.0,189369.0,213131.0,220681.0,3.2,0.4,7.0,8.5,-1.6,451,450,483,536,548,911.0,930.0,1028.0,1107.0,1139.0,188.3,186.8,184.2,192.5,193.7,,"III.1.1.D91.REC Kapitalskatter, tillgång",2173,1553,2016,2149,2381,2787,2786,2975,2490,2551,1092,120,23,16,2,10,3,-4,-4,2,0,0,0,0,0,0,0,0,0,0
6,RYDGDP,2006.0,SE122 Södermanland,,"other current tansfers, receivable ",99812.0,100417.0,107242.0,134354.0,122092.0,10.0,10.0,10.0,13.0,12.0,,A01-F43 producers of goods,68688,68276,76907,64570,,social benefits other than social benefits in kind ,768774.0,812545.0,833069.0,870105.0,911563.0,75.0,78.0,80.0,83.0,87.0,,A01-F43 producers of goods,68688,68276,76907,64570,0123 Järfälla,26724.0,26135.0,28224.0,28523.0,337,324,343,338,922.0,923.0,967.0,957.0,06 Jönköping county,155538.0,156855.0,173507.0,180626.0,193215.0,0.7,-1.6,8.1,-1.5,-0.3,429,431,474,491,524,825.0,827.0,902.0,917.0,977.0,188.6,189.7,192.3,196.9,197.8,SE122 Södermanland county,104787.0,103168.0,113641.0,122660.0,139054.0,-2.9,-2.4,8.2,2.0,4.6,354,346,378,406,460,849.0,842.0,921.0,973.0,1081.0,123.4,122.6,123.4,126.0,128.6,,"III.1.1.D9N.REC Investeringsbidrag och övriga kapitaltransfereringar, tillgång",12255,11183,10764,9304,12911,29621,31347,22965,17150,10861,17402,9680,11348,12511,11706,11268,13891,29837,22763,22890,23923,24931,22846,27014,33928,52972,47777,64548,62487,83971
7,RYDGDP,2006.0,SE122 Södermanland,,"current taxes on income, wealth, etc ",754783.0,761794.0,818139.0,845757.0,858175.0,73.0,74.0,79.0,81.0,81.0,,G45-T98 producers of services,231891,250864,311094,322626,,"other current tansfers, receivable ",99812.0,100417.0,107242.0,134354.0,122092.0,10.0,10.0,10.0,13.0,12.0,,G45-T98 producers of services,231891,250864,311094,322626,0125 Ekerö,7332.0,7512.0,7579.0,8432.0,257,261,261,290,824.0,863.0,902.0,958.0,07 Kronoberg county,90233.0,88921.0,101439.0,112849.0,112602.0,-0.7,-3.7,10.5,5.9,-6.3,450,440,500,554,552,870.0,866.0,977.0,1043.0,1052.0,103.7,102.7,103.8,108.2,107.0,SE123 Östergötland county,198370.0,199737.0,216561.0,236501.0,251151.0,1.3,-1.4,6.4,3.2,-0.6,428,428,462,502,532,865.0,871.0,903.0,961.0,1011.0,229.2,229.2,239.8,246.0,248.5,,"III.1.1.D92.REC Investeringsbidrag, tillgång",7419,5936,5284,1990,2405,2843,2170,2112,3372,3555,4319,3687,4371,4273,4248,3874,3696,3980,3762,3674,2863,5129,5759,8480,7545,9248,14254,19754,17684,15488
8,RYDGDP,2006.0,SE122 Södermanland,,social contributions ,529830.0,489280.0,558328.0,583463.0,644096.0,52.0,47.0,54.0,56.0,61.0,,unallocated,..,..,..,..,,"current taxes on income, wealth, etc ",754783.0,761794.0,818139.0,845757.0,858175.0,73.0,74.0,79.0,81.0,81.0,,unallocated,..,..,..,..,0126 Huddinge,44637.0,44344.0,47027.0,47594.0,398,392,414,417,875.0,898.0,941.0,926.0,08 Kalmar county,90292.0,89388.0,99988.0,104911.0,114351.0,0.7,-2.1,7.9,-2.7,2.7,368,364,405,424,463,814.0,810.0,903.0,918.0,988.0,110.9,110.3,110.7,114.3,115.7,SE124 Örebro county,127691.0,129306.0,139766.0,146045.0,157740.0,1.0,-0.6,5.6,-0.9,0.5,421,424,456,475,512,848.0,866.0,924.0,950.0,1023.0,150.6,149.3,151.3,153.7,154.2,,"III.1.1.D99.REC Andra kapitaltransfereringar, tillgång",4836,5247,5480,7314,10506,26778,29177,20853,13778,7306,13083,5993,6977,8238,7458,7394,10195,25857,19001,19216,21060,19802,17087,18534,26383,43724,33523,44794,44803,68483
9,RYDGDP,2006.0,SE122 Södermanland,,"other current transfers, payable ",94314.0,99193.0,100989.0,106970.0,113514.0,9.0,10.0,10.0,10.0,11.0,,government and NPISH,67758,69191,68056,72442,,social contributions ,529830.0,489280.0,558328.0,583463.0,644096.0,52.0,47.0,54.0,56.0,61.0,,government and NPISH,67758,69191,68056,72442,0127 Botkyrka,22442.0,22670.0,23394.0,25653.0,239,239,246,269,807.0,849.0,873.0,943.0,09 Gotland county,21779.0,21450.0,22789.0,23966.0,25834.0,5.9,-2.6,2.6,-1.7,2.0,366,358,376,392,423,712.0,692.0,730.0,731.0,788.0,30.6,31.0,31.2,32.8,32.8,SE125 Västmanland county,107058.0,106674.0,115635.0,121353.0,133912.0,-1.3,-2.7,6.5,-0.3,2.4,389,386,416,434,477,845.0,843.0,906.0,942.0,1011.0,126.7,126.6,127.7,128.8,132.5,,"III.1.1.D9.PAY Kapitaltransfereringar, användning",17935,21654,18427,13015,16593,33747,35861,28728,20700,14987,18503,11345,13986,14990,14169,13703,17107,33168,25880,25322,27567,25208,21059,25322,32245,50779,42165,56112,55877,77819
