workbook_row_index,observed_block_code,global_year,global_county,td__unnamed_1472_level_1,td__tax_ratio_and_gdp_sekm,td__unnamed_1474_level_1,td__unnamed_1475_level_1,td__unnamed_1476_level_1,td__unnamed_1477_level_1,td__unnamed_1478_level_1,td__share_of_gdp,td__unnamed_1480_level_1,td__unnamed_1481_level_1,td__unnamed_1482_level_1,td__unnamed_1483_level_1,td__unnamed_1484_level_1,td__unnamed_1485_level_1,td__2019,td__2020,td__2021,td__2022,td__2023,td__unnamed_1491_level_1,td__unnamed_1492_level_1,td__sek_per_capita_current_prices,td__unnamed_1494_level_1,td__unnamed_1495_level_1,td__unnamed_1496_level_1,td__unnamed_1497_level_1,td__unnamed_1498_level_1,td__sek_thousands_current_prices,td__unnamed_1500_level_1,td__unnamed_1501_level_1,td__unnamed_1502_level_1,td__unnamed_1503_level_1,td__unnamed_1504_level_1,td__unnamed_1505_level_1,td__unnamed_1506_level_1,td__sek_per_capita_current_prices_1,td__unnamed_1508_level_1,td__unnamed_1509_level_1,td__unnamed_1510_level_1,td__unnamed_1511_level_1,td__unnamed_1512_level_1,td__sek_thousands_current_prices_1,td__unnamed_1514_level_1,td__unnamed_1515_level_1,td__unnamed_1516_level_1,td__unnamed_1517_level_1,td__unnamed_1518_level_1,td__unnamed_1519_level_1,td__unnamed_1520_level_1,td__sek_per_capita_current_prices_2,td__unnamed_1522_level_1,td__unnamed_1523_level_1,td__unnamed_1524_level_1,td__unnamed_1525_level_1,td__unnamed_1526_level_1,td__sek_thousands_current_prices_2,td__unnamed_1528_level_1,td__unnamed_1529_level_1,td__unnamed_1530_level_1,td__unnamed_1531_level_1,td__unnamed_1532_level_1,td__unnamed_1533_level_1,td__unnamed_1534_level_1,td__sek_per_capita_current_prices_3,td__unnamed_1536_level_1,td__unnamed_1537_level_1,td__unnamed_1538_level_1,td__unnamed_1539_level_1,td__unnamed_1540_level_1,td__sek_thousands_current_prices_3,td__unnamed_1542_level_1,td__unnamed_1543_level_1,td__unnamed_1544_level_1,td__unnamed_1545_level_1,td__unnamed_1546_level_1,td__unnamed_1547_level_1,td__unnamed_1548_level_1,td__sek_per_capita_current_prices_4,td__unnamed_1550_level_1,td__unnamed_1551_level_1,td__unnamed_1552_level_1,td__unnamed_1553_level_1,td__unnamed_1554_level_1,td__sek_thousands_current_prices_4,td__unnamed_1556_level_1,td__unnamed_1557_level_1,td__unnamed_1558_level_1,td__unnamed_1559_level_1,td__unnamed_1560_level_1
0,TD,2006.0,SE11 Stockholm region,,2019,2020,2021,2022,2023,2024,2019,2020,2021,2022,2023,2024,1. Taxes on labour,1265558.0,1250498.0,1329081.0,1400554.0,1473542.0,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024,2019.0,2020.0,2021.0,2022.0,2023.0,2024,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024,2019.0,2020.0,2021.0,2022.0,2023.0,2024,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024,2019.0,2020.0,2021.0,2022.0,2023.0,2024,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024,2019.0,2020.0,2021.0,2022.0,2023.0,2024,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024,2019.0,2020.0,2021.0,2022.0,2023.0,2024
1,TD,2006.0,SE110 Stockholm,- B1g GDP at market prices,5021382,5012855,5417760,5816415,6143187,6392353,..,..,..,..,..,..,1.1. Direct taxes on labour,660753.0,668744.0,694336.0,724071.0,749687.0,0114 Upplands Väsby,FEE TO THE ECONOMIC EQUALISATION SYSTEMS,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,2172,0114 Upplands Väsby,FINANCIAL COSTS,190.0,1148.0,232.0,384.0,1222.0,2293,8895.0,54188.0,11073.0,18897.0,61250.0,115390,0114 Upplands Väsby,FINANCIAL INCOMES,266.0,268.0,237.0,280.0,415.0,493,12433.0,12648.0,11322.0,13772.0,20790.0,24790,0114 Upplands Väsby,GRANTS FROM ECONOMIC EQUALISATION AND GENERAL GRANTS FROM CENTRAL GOVERNMENT,6651.0,10603.0,10446.0,10164.0,12194.0,15197,311160.0,500315.0,499526.0,500715.0,611031.0,764771,0114 Upplands Väsby,PROPERTY TAX,1437.0,1486.0,1505.0,1521.0,1562.0,1581,67253.0,70124.0,71984.0,74947.0,78273.0,79582
2,TD,2006.0,SE12 Östra Mellansverige,- ODD Total tax revenues,2163073,2137696,2336928,2493416,2562107,2644113,43.1,42.6,43.1,42.9,41.7,41.4,1.1.2. Local government income tax,748197.0,766082.0,806447.0,852510.0,893371.0,,Income equalisation fee,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Interest charges,9.0,39.0,29.0,115.0,357.0,706,427.0,1856.0,1389.0,5664.0,17908.0,35520,,Dividend on shares and participations,95.0,73.0,11.0,66.0,28.0,76,4432.0,3431.0,539.0,3246.0,1400.0,3800,,Income equalisation grant,5039.0,5960.0,5918.0,5916.0,7360.0,9290,235772.0,281199.0,283022.0,291432.0,368816.0,467496,0115 Vallentuna,PROPERTY TAX,1838.0,1923.0,1981.0,2055.0,2149.0,2225,62656.0,65625.0,67837.0,71634.0,75381.0,78157
3,TD,2006.0,SE121 Uppsala,"-- D.2 Taxes on production and imports, Sweden (+)",1104368,1079962,1172559,1274879,1322467,1334231,..,..,..,..,..,..,1.1.3. Central government income tax,56267.0,50347.0,56316.0,60693.0,55929.0,,Regulation fee,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Interest charges (group company),639.0,716.0,696.0,814.0,1377.0,1888,29900.0,33800.0,33300.0,40100.0,69000.0,95000,,Dividend on shares and participations of which dividend on shares and participations from group companies,18.0,13.0,11.0,14.0,28.0,0,858.0,597.0,539.0,672.0,1400.0,2,,Structual grant,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0117 Österåker,PROPERTY TAX,2137.0,2190.0,2188.0,2279.0,2409.0,2496,97392.0,102165.0,105535.0,111973.0,118724.0,124274
4,TD,2006.0,SE122 Södermanland,-- D.2 Taxes on production and imports to EU (+),6865,6212,7339,9328,7936,8480,..,..,..,..,..,..,1.1.4. Basic pension contributions,128161.0,131044.0,137337.0,145337.0,152846.0,,Cost equalisation fee,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,"Financial costs, change in pension provisions",173.0,138.0,105.0,178.0,780.0,998,8104.0,6525.0,5022.0,8765.0,39100.0,50200,,Dividend on shares and participations (group company),0.0,61.0,0.0,51.0,0.0,0,0.0,2900.0,0.0,2500.0,0.0,0,,Transitional grant,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0120 Värmdö,PROPERTY TAX,2570.0,2726.0,2701.0,2897.0,3084.0,3248,115649.0,124210.0,124864.0,134599.0,143841.0,151448
5,TD,2006.0,SE122 Södermanland,"-- D.5 Current taxes on income, wealth, etc. (+)",913484,913475,1010897,1053997,1069139,1132795,..,..,..,..,..,..,1.1.5. Tax reductions etc.,-271871.0,-278728.0,-305764.0,-334469.0,-352458.0,,Fee to equalisation of municipal costs for persons with certain functional impairments,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,2172,,"Financial costs, change in pension provisions (group company)",0.0,138.0,105.0,522.0,599.0,998,0.0,6525.0,5022.0,25700.0,30000.0,50200,,Interest incomes,1.0,6.0,0.0,6.0,181.0,178,41.0,302.0,4.0,295.0,9062.0,8960,,Structual grant,680.0,1009.0,2934.0,2666.0,2283.0,3048,31833.0,47612.0,140312.0,131312.0,114391.0,153405,0123 Järfälla,PROPERTY TAX,1438.0,1465.0,1464.0,1484.0,1531.0,1534,115024.0,119090.0,121733.0,126814.0,132165.0,136444
6,TD,2006.0,SE122 Södermanland,"-- D.61C Social contributions, compulsory (+)",138356,138047,146133,155212,162565,168607,..,..,..,..,..,..,1.1.6. Artist tax etc.,0.0,0.0,0.0,0.0,0.0,0115 Vallentuna,FEE TO THE ECONOMIC EQUALISATION SYSTEMS,0.0,0.0,0.0,94.0,162.0,142,0.0,0.0,0.0,3289.0,5678.0,4979,,Interest charges for accounts payable and banking costs,8.0,8.0,9.0,7.0,0.0,2,351.0,370.0,422.0,367.0,17.0,98,,Interest incomes (group company),9.0,2.0,1.0,432.0,251.0,330,400.0,100.0,60.0,21300.0,12600.0,16600,,Cost equalisation grant,53.0,1208.0,769.0,1002.0,2269.0,2568,2493.0,57021.0,36764.0,49381.0,113715.0,129238,0125 Ekerö,PROPERTY TAX,2145.0,2248.0,2319.0,2452.0,2626.0,2749,61552.0,64924.0,67463.0,71421.0,75647.0,79476
7,TD,2006.0,SE122 Södermanland,--- D.61 Social contributions (+),173274,172877,187278,193882,214991,225196,..,..,..,..,..,..,1.2. Indirect taxes on labour,604805.0,581753.0,634746.0,676483.0,723854.0,,Income equalisation fee,0.0,0.0,0.0,94.0,0.0,0,0.0,0.0,0.0,3289.0,0.0,0,,Realized exchange losses,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Interest incomes on accounts receivable,4.0,5.0,2.0,4.0,5.0,2,173.0,244.0,112.0,187.0,254.0,88,,Grants from equalisation of municipal costs for persons with certain functional impairments,546.0,423.0,381.0,389.0,65.0,0,25565.0,19966.0,18228.0,19164.0,3270.0,0,0126 Huddinge,PROPERTY TAX,1570.0,1628.0,1648.0,1723.0,1815.0,1854,177136.0,184353.0,187773.0,197248.0,206738.0,211883
8,TD,2006.0,SE122 Södermanland,--- D.611V Voluntary pension contributions (-),24847,24607,29901,26803,39965,42662,..,..,..,..,..,..,1.2.1. Employers´ social insurance contribution,588556.0,594853.0,629339.0,669450.0,707625.0,,Regulation fee,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Unrealized exchange losses,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,Realized exchange profits,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,General grants from central government,331.0,2003.0,443.0,191.0,216.0,291,15497.0,94517.0,21200.0,9426.0,10839.0,14632,0127 Botkyrka,PROPERTY TAX,1498.0,1544.0,1570.0,1638.0,1695.0,1739,141753.0,146405.0,149602.0,156277.0,162006.0,166736
9,TD,2006.0,SE122 Södermanland,--- D.6112 Voluntary other social contributions (-),119,124,169,116,106,129,..,..,..,..,..,..,1.2.2. State contribution for self-employed persons,11100.0,11727.0,11528.0,11809.0,11505.0,,Cost equalisation fee,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,"Loss on sale and valuation, financial assets",0.0,963.0,1.0,0.0,0.0,0,0.0,45452.0,57.0,0.0,0.0,0,,Unrealized exchange profits,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0115 Vallentuna,GRANTS FROM ECONOMIC EQUALISATION AND GENERAL GRANTS FROM CENTRAL GOVERNMENT,4350.0,6869.0,6792.0,4976.0,4934.0,6274,148306.0,234373.0,232613.0,173408.0,173052.0,220336,0128 Salem,PROPERTY TAX,1816.0,1864.0,1876.0,1960.0,2044.0,2098,30425.0,31608.0,32371.0,34003.0,35672.0,36730
