workbook_row_index,observed_block_code,global_year,global_county,source_column,period_year,period_label,value_raw,value_numeric
0,TD,2006.0,SE11 Stockholm region,td__2019,2019.0,2019,1265558.0,1.265558e+06
1,TD,2006.0,SE110 Stockholm,td__2019,2019.0,2019,660753.0,660753.0
2,TD,2006.0,SE12 Östra Mellansverige,td__2019,2019.0,2019,748197.0,748197.0
3,TD,2006.0,SE121 Uppsala,td__2019,2019.0,2019,56267.0,56267.0
4,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,128161.0,128161.0
5,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,-271871.0,-271871.0
6,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,0.0,0.0
7,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,604805.0,604805.0
8,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,588556.0,588556.0
9,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,11100.0,11100.0
10,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,49367.0,49367.0
11,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,-3728.0,-3728.0
12,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,598.0,598.0
13,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,-41088.0,-41088.0
14,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,282152.0,282152.0
15,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,69577.0,69577.0
16,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,153383.0,153383.0
17,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,5308.0,5308.0
18,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,34382.0,34382.0
19,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,12276.0,12276.0
20,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,7225.0,7225.0
21,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,0.0,0.0
22,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,603750.0,603750.0
23,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,461259.0,461259.0
24,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,11892.0,11892.0
25,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,4532.0,4532.0
26,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,6144.0,6144.0
27,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,4313.0,4313.0
28,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,52206.0,52206.0
29,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,22167.0,22167.0
30,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,7783.0,7783.0
31,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,20650.0,20650.0
32,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,6864.0,6864.0
33,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,5939.0,5939.0
34,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,11613.0,11613.0
35,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,-5008.0,-5008.0
36,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,16622.0,16622.0
37,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,2163073.0,2.163073e+06
38,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,6864.0,6864.0
39,TD,2006.0,SE122 Södermanland,td__2019,2019.0,2019,2156209.0,2.156209e+06
0,TD,2006.0,SE11 Stockholm region,td__2020,2020.0,2020,1250498.0,1.250498e+06
1,TD,2006.0,SE110 Stockholm,td__2020,2020.0,2020,668744.0,668744.0
2,TD,2006.0,SE12 Östra Mellansverige,td__2020,2020.0,2020,766082.0,766082.0
3,TD,2006.0,SE121 Uppsala,td__2020,2020.0,2020,50347.0,50347.0
4,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,131044.0,131044.0
5,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,-278728.0,-278728.0
6,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,0.0,0.0
7,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,581753.0,581753.0
8,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,594853.0,594853.0
9,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,11727.0,11727.0
10,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,50836.0,50836.0
11,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,-34937.0,-34937.0
12,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,602.0,602.0
13,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,-41328.0,-41328.0
14,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,271762.0,271762.0
15,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,65975.0,65975.0
16,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,149310.0,149310.0
17,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,5644.0,5644.0
18,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,34558.0,34558.0
19,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,12721.0,12721.0
20,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,3555.0,3555.0
21,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,0.0,0.0
22,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,608886.0,608886.0
23,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,467879.0,467879.0
24,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,11912.0,11912.0
25,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,5243.0,5243.0
26,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,6558.0,6558.0
27,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,4477.0,4477.0
28,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,52617.0,52617.0
29,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,20387.0,20387.0
30,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,5854.0,5854.0
31,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,21581.0,21581.0
32,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,6212.0,6212.0
33,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,6165.0,6165.0
34,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,6550.0,6550.0
35,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,-10042.0,-10042.0
36,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,16592.0,16592.0
37,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,2137696.0,2.137696e+06
38,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,6212.0,6212.0
39,TD,2006.0,SE122 Södermanland,td__2020,2020.0,2020,2131484.0,2.131484e+06
0,TD,2006.0,SE11 Stockholm region,td__2021,2021.0,2021,1329081.0,1.329081e+06
1,TD,2006.0,SE110 Stockholm,td__2021,2021.0,2021,694336.0,694336.0
2,TD,2006.0,SE12 Östra Mellansverige,td__2021,2021.0,2021,806447.0,806447.0
3,TD,2006.0,SE121 Uppsala,td__2021,2021.0,2021,56316.0,56316.0
4,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,137337.0,137337.0
5,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,-305764.0,-305764.0
6,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,0.0,0.0
7,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,634746.0,634746.0
8,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,629339.0,629339.0
9,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,11528.0,11528.0
10,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,51865.0,51865.0
11,TD,2006.0,SE122 Södermanland,td__2021,2021.0,2021,-15352.0,-15352.0
