workbook_row_index,observed_block_code,global_year,global_county,ti__unnamed_1561_level_1,ti__unnamed_1562_level_1,ti__unnamed_1563_level_1,ti__unnamed_1564_level_1,ti__unnamed_1565_level_1,ti__unnamed_1566_level_1
0,TI,2006.0,SE11 Stockholm region,,2019.0,2020.0,2021.0,2022.0,2023.0
1,TI,2006.0,SE110 Stockholm,1. Taxes on labour,1265558.0,1250498.0,1329081.0,1400554.0,1473542.0
2,TI,2006.0,SE12 Östra Mellansverige,1.1. Direct taxes on labour,660753.0,668744.0,694336.0,724071.0,749687.0
3,TI,2006.0,SE121 Uppsala,1.1.2. Local government income tax,748197.0,766082.0,806447.0,852510.0,893371.0
4,TI,2006.0,SE122 Södermanland,1.1.3. Central government income tax,56267.0,50347.0,56316.0,60693.0,55929.0
5,TI,2006.0,SE122 Södermanland,1.1.4. Basic pension contributions,128161.0,131044.0,137337.0,145337.0,152846.0
6,TI,2006.0,SE122 Södermanland,1.1.5. Tax reductions etc.,-271871.0,-278728.0,-305764.0,-334469.0,-352458.0
7,TI,2006.0,SE122 Södermanland,1.1.6. Artist tax etc.,0.0,0.0,0.0,0.0,0.0
8,TI,2006.0,SE122 Södermanland,1.2. Indirect taxes on labour,604805.0,581753.0,634746.0,676483.0,723854.0
9,TI,2006.0,SE122 Södermanland,1.2.1. Employers´ social insurance contribution,588556.0,594853.0,629339.0,669450.0,707625.0
10,TI,2006.0,SE122 Södermanland,1.2.2. State contribution for self-employed persons,11100.0,11727.0,11528.0,11809.0,11505.0
11,TI,2006.0,SE122 Södermanland,1.2.3. Special employers´ contributions,49367.0,50836.0,51865.0,58320.0,61482.0
12,TI,2006.0,SE122 Södermanland,1.2.4. Tax abatements,-3728.0,-34937.0,-15352.0,-17331.0,-8262.0
13,TI,2006.0,SE122 Södermanland,1.2.5. Occupational group life insurance ,598.0,602.0,581.0,632.0,558.0
14,TI,2006.0,SE122 Södermanland,1.2.6. Premium pension system fees,-41088.0,-41328.0,-43215.0,-46398.0,-49054.0
