column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
0,year,year,Unnamed: 0_level_1,YEAR,YEAR,True,False,,,False
1,county,county,Unnamed: 1_level_1,COUNTY,COUNTY,True,False,,,False
2,rcw__card,rcw,Card,RCW,RCV,False,False,,,False
3,rcw__bank_card,rcw,Bank card,RCW,RCV,False,False,,,False
4,rcw__credit_card,rcw,Credit Card,RCW,RCV,False,False,,,False
5,rcw__transfers,rcw,Transfers,RCW,RCV,False,False,,,False
6,rcw__electronic,rcw,Electronic,RCW,RCV,False,False,,,False
7,rcw__check,rcw,Check,RCW,RCV,False,False,,,False
8,rcw__autogiro,rcw,Autogiro,RCW,RCV,False,False,,,False
9,rcw__check_s_including_money_orders,rcw,Check’s including. money orders,RCW,RCV,False,False,,,False
10,rcw__total,rcw,Total,RCW,RCV,False,False,,,False
11,rcw__card_1,rcw,Card.1,RCW,RCV,False,False,,,False
12,rcw__bank_card_1,rcw,Bank card.1,RCW,RCV,False,False,,,False
13,rcw__credit_card_1,rcw,Credit Card.1,RCW,RCV,False,False,,,False
14,rcw__gireringar,rcw,Gireringar,RCW,RCV,False,False,,,False
15,rcw__electronic_1,rcw,Electronic.1,RCW,RCV,False,False,,,False
16,rcw__check_1,rcw,Check.1,RCW,RCV,False,False,,,False
17,rcw__autogiro_1,rcw,Autogiro.1,RCW,RCV,False,False,,,False
18,rcw__check_s_including_money_orders_1,rcw,Check’s including. money orders.1,RCW,RCV,False,False,,,False
19,rcw__total_1,rcw,Total.1,RCW,RCV,False,False,,,False
20,rcw__amount_of_atm_s,rcw,Amount of ATM’s,RCW,RCV,False,False,,,False
21,rcw__amount_of_transactions_millions,rcw,Amount of transactions (millions),RCW,RCV,False,False,,,False
22,rcw__transaction_value_billions_of_kronor,rcw,Transaction value (billions of kronor),RCW,RCV,False,False,,,False
23,rcw__payment_terminals,rcw,Payment terminals,RCW,RCV,False,False,,,False
24,rcw__amount_of_terminals,rcw,Amount of terminals,RCW,RCV,False,False,,,False
25,rcw__amount_of_transactions_millions__dup2,rcw,Amount of transactions (millions),RCW,RCV,False,False,,,False
26,rcw__service_method,rcw,service_method,RCW,RCV,False,False,,,False
27,rcw__service_type,rcw,service_type,RCW,RCV,False,False,,,False
28,rcw__service_location_id,rcw,service_location_id,RCW,RCV,False,False,,,False
29,rcw__bank,rcw,bank,RCW,RCV,False,False,,,False
30,rcw__name,rcw,name,RCW,RCV,False,False,,,False
31,rcw__address,rcw,address,RCW,RCV,False,False,,,False
32,rcw__postal_number,rcw,postal_number,RCW,RCV,False,False,,,False
33,rcw__postal_region,rcw,postal_region,RCW,RCV,False,False,,,False
34,rcw__municipality,rcw,municipality,RCW,RCV,False,False,,,False
35,rcw__county_1,rcw,county_1,RCW,RCV,False,False,,,False
36,rcw__support,rcw,support,RCW,RCV,False,False,,,False
37,rcw__x,rcw,x,RCW,RCV,False,False,,,False
38,rcw__y,rcw,y,RCW,RCV,False,False,,,False
39,rcw__county_match,rcw,county_match,RCW,RCV,False,False,,,False
40,rcw__number_of_atms,rcw,number of atms,RCW,RCV,False,False,,,False
