entity_code,entity_name,year,x_rpcyd_total_income_raw,qa_rpcyd_candidate_count
SE110,Stockholm,1991,245293.94806338,2
SE121,Uppsala,1991,227258.9348591545,2
SE122,Södermanland,1991,222283.758802817,1
SE123,Östergötland,1991,216597.843309859,1
SE124,Örebro,1991,220773.4375,2
SE125,Västmanland,1991,227081.25,1
SE211,Jönköping,1991,215709.4190140845,2
SE212,Kronoberg,1991,211089.612676056,1
SE213,Kalmar,1991,214465.625,2
SE214,Gotland,1991,200606.205985916,2
SE221,Blekinge,1991,215354.049295775,1
SE224,Skåne,1991,215531.73415493,1
SE231,Halland,1991,214465.625,1
SE232,Västra Götaland,1991,225837.455985916,1
SE311,Värmland,1991,214110.25528169,1
SE312,Dalarna,1991,217663.952464789,1
SE313,Gävleborg,1991,216775.528169014,1
SE321,Västernorrland,1991,224415.977112676,1
SE322,Jämtland,1991,210201.188380282,1
SE331,Västerbotten,1991,222106.073943662,1
SE332,Norrbotten,1991,230457.262323944,1
SE110,Stockholm,1992,247207.5979337065,2
SE121,Uppsala,1992,229047.1803702105,2
SE122,Södermanland,1992,225919.070167886,1
SE123,Östergötland,1992,220357.985363754,1
SE124,Örebro,1992,225223.93456737,2
SE125,Västmanland,1992,230611.235471373,1
SE211,Jönköping,1992,219923.52561343048,2
SE212,Kronoberg,1992,214623.116659492,1
SE213,Kalmar,1992,218793.93026259152,2
SE214,Gotland,1992,204717.434352131,2
SE221,Blekinge,1992,220357.985363754,1
SE224,Skåne,1992,218793.930262591,1
SE231,Halland,1992,217925.010761946,1
SE232,Västra Götaland,1992,228525.828669823,1
SE311,Värmland,1992,218967.714162721,1
SE312,Dalarna,1992,222269.608265174,1
SE313,Gävleborg,1992,222443.392165303,1
SE321,Västernorrland,1992,228699.612569953,1
SE322,Jämtland,1992,216013.387860525,1
SE331,Västerbotten,1992,227309.341368919,1
SE332,Norrbotten,1992,236346.104175635,1
SE110,Stockholm,1993,242186.80098684249,2
SE121,Uppsala,1993,223595.353618421,2
SE122,Södermanland,1993,221603.412828947,1
SE123,Östergötland,1993,216291.570723684,1
SE124,Örebro,1993,221022.43009868398,2
SE125,Västmanland,1993,225919.284539474,1
SE211,Jönköping,1993,215876.5830592105,2
SE212,Kronoberg,1993,211145.723684211,1
SE213,Kalmar,1993,214548.6225328945,2
SE214,Gotland,1993,202845.970394737,2
SE221,Blekinge,1993,216955.550986842,1
SE224,Skåne,1993,214631.62006579,1
SE231,Halland,1993,214963.610197368,1
SE232,Västra Götaland,1993,223263.363486842,1
SE311,Värmland,1993,216457.565789474,1
SE312,Dalarna,1993,218947.491776316,1
SE313,Gävleborg,1993,218615.501644737,1
SE321,Västernorrland,1993,224923.314144737,1
SE322,Jämtland,1993,212639.679276316,1
SE331,Västerbotten,1993,222931.373355263,1
SE332,Norrbotten,1993,232891.077302632,1
SE110,Stockholm,1994,242103.84486921498,2
SE121,Uppsala,1994,222833.4649899395,2
SE122,Södermanland,1994,221658.105030181,1
SE123,Östergötland,1994,216381.575452716,1
SE124,Örebro,1994,221371.3724346075,2
SE125,Västmanland,1994,224707.38028169,1
SE211,Jönköping,1994,216619.571629779,2
SE212,Kronoberg,1994,212125.261569417,1
SE213,Kalmar,1994,214129.952917505,2
SE214,Gotland,1994,203870.936820926,2
SE221,Blekinge,1994,217288.072837022,1
SE224,Skåne,1994,214518.21971831,1
SE231,Halland,1994,215972.189537223,1
SE232,Västra Götaland,1994,222366.407645875,1
SE311,Värmland,1994,217099.625352113,1
SE312,Dalarna,1994,219279.767806841,1
SE313,Gävleborg,1994,219185.544064386,1
SE321,Västernorrland,1994,225864.057947686,1
SE322,Jämtland,1994,213515.874044266,1
SE331,Västerbotten,1994,223276.154124749,1
SE332,Norrbotten,1994,232726.145674044,1
SE110,Stockholm,1995,242845.037872841,2
SE121,Uppsala,1995,222520.6124411305,2
SE122,Södermanland,1995,223036.328100471,1
SE123,Östergötland,1995,217646.267660911,1
SE124,Örebro,1995,222792.3335949765,2
SE125,Västmanland,1995,226846.76177394,1
SE211,Jönköping,1995,218726.814756672,2
SE212,Kronoberg,1995,215250.685243328,1
SE213,Kalmar,1995,216154.573979592,2
SE214,Gotland,1995,205828.377943485,2
SE221,Blekinge,1995,219187.869309262,1
SE224,Skåne,1995,215950.981161695,1
SE231,Halland,1995,218131.087912088,1
SE232,Västra Götaland,1995,224329.182103611,1
SE311,Värmland,1995,219685.364599686,1
SE312,Dalarna,1995,221379.066718995,1
SE313,Gävleborg,1995,221895.574568289,1
SE321,Västernorrland,1995,228283.794348509,1
SE322,Jämtland,1995,215480.42032967,1
SE331,Västerbotten,1995,224061.421899529,1
SE332,Norrbotten,1995,233138.334379906,1
SE110,Stockholm,1996,251270.133984375,2
SE121,Uppsala,1996,230354.21621093748,2
SE122,Södermanland,1996,229252.714453125,1
SE123,Östergötland,1996,224113.42421875,1
SE124,Örebro,1996,228375.928515625,2
SE125,Västmanland,1996,233177.75078125,1
SE211,Jönköping,1996,226073.576953125,2
SE212,Kronoberg,1996,223334.409375,1
SE213,Kalmar,1996,222900.747265625,2
SE214,Gotland,1996,211838.42109375,2
SE221,Blekinge,1996,224905.0546875,1
SE224,Skåne,1996,221393.180078125,1
SE231,Halland,1996,225742.416796875,1
SE232,Västra Götaland,1996,230591.54765625,1
SE311,Värmland,1996,226130.347265625,1
SE312,Dalarna,1996,226797.3984375,1
SE313,Gävleborg,1996,228227.694921875,1
SE321,Västernorrland,1996,235125.287890625,1
SE322,Jämtland,1996,221131.405859375,1
SE331,Västerbotten,1996,230153.1546875,1
SE332,Norrbotten,1996,239381.484375,1
SE110,Stockholm,1997,257407.78080062201,2
SE121,Uppsala,1997,235981.7131752815,2
SE122,Södermanland,1997,234990.114263506,1
SE123,Östergötland,1997,229398.249514186,1
SE124,Örebro,1997,232744.8958414305,2
SE125,Västmanland,1997,237966.479984454,1
SE211,Jönköping,1997,232222.423630004,2
SE212,Kronoberg,1997,229333.92110377,1
SE213,Kalmar,1997,227286.3948698015,2
SE214,Gotland,1997,216902.848037311,2
SE221,Blekinge,1997,229867.376214536,1
SE224,Skåne,1997,226282.244073066,1
SE231,Halland,1997,231037.83948698,1
SE232,Västra Götaland,1997,234199.345511077,1
SE311,Värmland,1997,230491.832491255,1
SE312,Dalarna,1997,231233.962689468,1
SE313,Gävleborg,1997,232467.185386708,1
SE321,Västernorrland,1997,239866.521570152,1
SE322,Jämtland,1997,226385.79712398,1
SE331,Västerbotten,1997,234611.98872911,1
SE332,Norrbotten,1997,244109.058686358,1
SE110,Stockholm,1998,268704.762062257,2
SE121,Uppsala,1998,246422.72120622598,2
SE122,Södermanland,1998,244731.736575876,1
SE123,Östergötland,1998,239544.89844358,1
SE124,Örebro,1998,243381.61926070048,2
SE125,Västmanland,1998,247631.464980545,1
SE211,Jönköping,1998,243252.812256809,2
SE212,Kronoberg,1998,240013.001945525,1
SE213,Kalmar,1998,237394.44980544748,2
SE214,Gotland,1998,226499.262256809,2
SE221,Blekinge,1998,239224.451750973,1
SE224,Skåne,1998,236093.813229572,1
SE231,Halland,1998,240594.204280156,1
SE232,Västra Götaland,1998,245405.617120623,1
SE311,Värmland,1998,239486.778210117,1
SE312,Dalarna,1998,241164.410894942,1
SE313,Gävleborg,1998,242421.06459144,1
SE321,Västernorrland,1998,248203.242412451,1
SE322,Jämtland,1998,235979.143579767,1
SE331,Västerbotten,1998,245064.749805447,1
SE332,Norrbotten,1998,252870.140077821,1
SE110,Stockholm,1999,281639.0135606355,2
SE121,Uppsala,1999,258602.618364975,2
SE122,Södermanland,1999,253686.581557536,1
SE123,Östergötland,1999,248535.926385122,1
SE124,Örebro,1999,252784.864974816,2
SE125,Västmanland,1999,257764.248740798,1
SE211,Jönköping,1999,253767.91592405998,2
SE212,Kronoberg,1999,251005.67570709,1
SE213,Kalmar,1999,247200.1658271985,2
SE214,Gotland,1999,234913.984114684,2
SE221,Blekinge,1999,248920.700503681,1
SE224,Skåne,1999,244347.206509105,1
SE231,Halland,1999,250985.342115459,1
SE232,Västra Götaland,1999,255968.636187524,1
SE311,Värmland,1999,247774.19876017,1
SE312,Dalarna,1999,250580.234405269,1
SE313,Gävleborg,1999,251994.201084851,1
SE321,Västernorrland,1999,257731.402169702,1
SE322,Jämtland,1999,243780.994188299,1
SE331,Västerbotten,1999,254437.360325455,1
SE332,Norrbotten,1999,260895.621851995,1
SE110,Stockholm,2000,291457.61814346,2
SE121,Uppsala,2000,267498.0928270045,2
SE122,Södermanland,2000,260405.856540084,1
SE123,Östergötland,2000,256951.101265823,1
SE124,Örebro,2000,259638.5632911395,2
SE125,Västmanland,2000,263891.582278481,1
SE211,Jönköping,2000,262979.502109705,2
SE212,Kronoberg,2000,257587.544303797,1
SE213,Kalmar,2000,253509.508438819,2
SE214,Gotland,2000,241820.481012658,2
SE221,Blekinge,2000,255905.848101266,1
SE224,Skåne,2000,250439.561181435,1
SE231,Halland,2000,258662.219409283,1
SE232,Västra Götaland,2000,263199.392405063,1
SE311,Värmland,2000,252610.5907173,1
SE312,Dalarna,2000,256080.831223629,1
SE313,Gävleborg,2000,257760.978902954,1
SE321,Västernorrland,2000,263860.611814346,1
SE322,Jämtland,2000,249843.379746835,1
SE331,Västerbotten,2000,259798.835443038,1
SE332,Norrbotten,2000,265294.544303798,1
SE110,Stockholm,2001,298357.87813553005,2
SE121,Uppsala,2001,274361.83526769,2
SE122,Södermanland,2001,265526.080119805,1
SE123,Östergötland,2001,259840.122051666,1
SE124,Örebro,2001,263490.9545114185,2
SE125,Västmanland,2001,268703.082740547,1
SE211,Jönköping,2001,268408.3560464245,2
SE212,Kronoberg,2001,262930.973792587,1
SE213,Kalmar,2001,258567.5073006365,2
SE214,Gotland,2001,246096.789591913,2
SE221,Blekinge,2001,259877.907525271,1
SE224,Skåne,2001,254272.054661176,1
SE231,Halland,2001,263385.910894796,1
SE232,Västra Götaland,2001,268211.871583677,1
SE311,Värmland,2001,255677.674279296,1
SE312,Dalarna,2001,260018.469487083,1
SE313,Gävleborg,2001,260799.873081243,1
SE321,Västernorrland,2001,268541.360913516,1
SE322,Jämtland,2001,253918.382628229,1
SE331,Västerbotten,2001,262900.745413703,1
SE332,Norrbotten,2001,267734.263197304,1
SE110,Stockholm,2002,301602.9677419355,2
SE121,Uppsala,2002,279498.61693548353,2
SE122,Södermanland,2002,270949.588709677,1
SE123,Östergötland,2002,266228.903225806,1
SE124,Örebro,2002,269684.32661290304,2
SE125,Västmanland,2002,274184.516129032,1
SE211,Jönköping,2002,274638.826612903,2
SE212,Kronoberg,2002,267989.911290323,1
SE213,Kalmar,2002,263793.0887096775,2
SE214,Gotland,2002,250218.528225806,2
SE221,Blekinge,2002,265651.766129032,1
SE224,Skåne,2002,259455.681451613,1
SE231,Halland,2002,269950.697580645,1
SE232,Västra Götaland,2002,274240.75,1
SE311,Värmland,2002,260451.612903226,1
SE312,Dalarna,2002,266669.89516129,1
SE313,Gävleborg,2002,265944.774193548,1
SE321,Västernorrland,2002,274585.552419355,1
SE322,Jämtland,2002,260208.919354839,1
SE331,Västerbotten,2002,267312.14516129,1
SE332,Norrbotten,2002,272605.528225806,1
SE110,Stockholm,2003,303113.9570298455,2
SE121,Uppsala,2003,282752.583243438,2
SE122,Södermanland,2003,275366.658755843,1
SE123,Östergötland,2003,269179.785688601,1
SE124,Örebro,2003,272390.078928443,2
SE125,Västmanland,2003,278014.443006113,1
SE211,Jönköping,2003,278585.661812298,2
SE212,Kronoberg,2003,271937.894282632,1
SE213,Kalmar,2003,267995.976447321,2
SE214,Gotland,2003,254222.127292341,2
SE221,Blekinge,2003,270416.579647609,1
SE224,Skåne,2003,263397.919093851,1
SE231,Halland,2003,275202.623876304,1
SE232,Västra Götaland,2003,278609.613807983,1
SE311,Värmland,2003,265698.762315714,1
SE312,Dalarna,2003,272271.77058612,1
SE313,Gävleborg,2003,271014.653721683,1
SE321,Västernorrland,2003,279400.755483639,1
SE322,Jämtland,2003,265035.364617044,1
SE331,Västerbotten,2003,271805.795397339,1
SE332,Norrbotten,2003,276529.419273643,1
SE110,Stockholm,2004,308098.1430873925,2
SE121,Uppsala,2004,287835.7865329515,2
SE122,Södermanland,2004,281271.323782235,1
SE123,Östergötland,2004,274581.066260745,1
SE124,Örebro,2004,278494.4403653295,2
SE125,Västmanland,2004,283550.088825215,1
SE211,Jönköping,2004,285617.75,2
SE212,Kronoberg,2004,278297.072707736,1
SE213,Kalmar,2004,273323.118553009,2
SE214,Gotland,2004,259380.141833811,2
SE221,Blekinge,2004,275669.841690544,1
SE224,Skåne,2004,268324.583810888,1
SE231,Halland,2004,283020.883237822,1
SE232,Västra Götaland,2004,284643.202005731,1
SE311,Värmland,2004,271732.60995702,1
SE312,Dalarna,2004,278454.67765043,1
SE313,Gävleborg,2004,276183.142191977,1
SE321,Västernorrland,2004,285441.348137536,1
SE322,Jämtland,2004,271225.093123209,1
SE331,Västerbotten,2004,277514.831661891,1
SE332,Norrbotten,2004,282835.805873926,1
SE110,Stockholm,2005,313344.050285307,2
SE121,Uppsala,2005,291885.610021398,2
SE122,Södermanland,2005,286137.492154066,1
SE123,Östergötland,2005,278069.2510699,1
SE124,Örebro,2005,283252.27532097,2
SE125,Västmanland,2005,287607.455420827,1
SE211,Jönköping,2005,290530.10520684754,2
SE212,Kronoberg,2005,284444.370898716,1
SE213,Kalmar,2005,277077.997681883,2
SE214,Gotland,2005,262744.776034237,2
SE221,Blekinge,2005,280477.917617689,1
SE224,Skåne,2005,272470.145149786,1
SE231,Halland,2005,289411.435805991,1
SE232,Västra Götaland,2005,289945.575249643,1
SE311,Värmland,2005,276497.067047076,1
SE312,Dalarna,2005,283484.07168331,1
SE313,Gävleborg,2005,281240.973965763,1
SE321,Västernorrland,2005,291319.076676177,1
SE322,Jämtland,2005,275657.705064194,1
SE331,Västerbotten,2005,282803.079885877,1
SE332,Norrbotten,2005,287850.769614836,1
SE110,Stockholm,2006,319886.300752938,2
SE121,Uppsala,2006,295757.6196256425,2
SE122,Södermanland,2006,290967.392864682,1
SE123,Östergötland,2006,282428.076841883,1
SE124,Örebro,2006,287936.30497501954,2
SE125,Västmanland,2006,293022.680669904,1
SE211,Jönköping,2006,296687.9675955245,2
SE212,Kronoberg,2006,290183.343888537,1
SE213,Kalmar,2006,282250.5295193865,2
SE214,Gotland,2006,267806.699739638,2
SE221,Blekinge,2006,284660.911969601,1
SE224,Skåne,2006,276820.422208149,1
SE231,Halland,2006,294968.599324467,1
SE232,Västra Götaland,2006,294533.963478995,1
SE311,Värmland,2006,280348.642600802,1
SE312,Dalarna,2006,287753.076138203,1
SE313,Gävleborg,2006,285430.757159947,1
SE321,Västernorrland,2006,295288.184504961,1
SE322,Jämtland,2006,280280.464428963,1
SE331,Västerbotten,2006,288106.750404616,1
SE332,Norrbotten,2006,292860.757511787,1
SE110,Stockholm,2007,326801.618705036,2
SE121,Uppsala,2007,300893.4475577435,2
SE122,Södermanland,2007,295620.514956456,1
SE123,Östergötland,2007,287168.814842863,1
SE124,Örebro,2007,293242.8663385085,2
SE125,Västmanland,2007,297852.252934495,1
SE211,Jönköping,2007,302670.7781143505,2
