entity_code,entity_name,year,rydgdp_disposable_income_msek_raw,x_rydgdp_disposable_income_per_capita_raw,qa_rydgdp_numerator_candidate_count,qa_rydgdp_numerator_per_capita_candidate_count,rydgdp_grdp_msek_raw,x_rydgdp_grdp_per_capita_raw,qa_rydgdp_denominator_candidate_count,qa_rydgdp_denominator_per_capita_candidate_count,x_rydgdp_ratio_raw
SE110,Stockholm,2019,632688.0,268.0,2,2,1607503.0,681.0,2,2,0.39358433545691673
SE121,Uppsala,2019,86424.0,227.0,1,1,171506.0,451.0,1,1,0.5039123995661959
SE122,Södermanland,2019,63481.0,214.0,1,1,104787.0,354.0,1,1,0.6058098809966885
SE123,Östergötland,2019,101806.0,220.0,1,1,198370.0,428.0,1,1,0.5132126833694611
SE124,Örebro,2019,64329.0,212.0,1,1,127691.0,421.0,1,1,0.5037864845603841
SE125,Västmanland,2019,60622.0,221.0,1,1,107058.0,389.0,1,1,0.566253806347961
SE211,Jönköping,2019,78724.0,217.0,1,1,155538.0,429.0,1,1,0.5061399786547339
SE212,Kronoberg,2019,43206.0,215.0,1,1,90233.0,450.0,1,1,0.47882703667172766
SE213,Kalmar,2019,52509.0,214.0,1,1,90292.0,368.0,1,1,0.5815465378992601
SE214,Gotland,2019,12817.0,216.0,1,1,21779.0,366.0,1,1,0.5885026860737408
SE221,Blekinge,2019,33441.0,209.0,1,1,61080.0,383.0,1,1,0.5474950884086444
SE224,Skåne,2019,308664.0,225.0,1,1,579610.0,423.0,1,1,0.5325373958351305
SE231,Halland,2019,79008.0,238.0,1,1,125794.0,379.0,1,1,0.6280744709604592
SE232,Västra Götaland,2019,396324.0,231.0,1,1,850135.0,495.0,1,1,0.46618948755197703
SE311,Värmland,2019,60897.0,216.0,1,1,108188.0,384.0,1,1,0.5628812807335379
SE312,Dalarna,2019,61837.0,215.0,1,1,116047.0,404.0,1,1,0.5328616853516248
SE313,Gävleborg,2019,60804.0,212.0,1,1,111936.0,390.0,1,1,0.5432032590051458
SE321,Västernorrland,2019,52926.0,216.0,1,1,105435.0,430.0,1,1,0.5019775216958315
SE322,Jämtland,2019,27944.0,214.0,1,1,50193.0,384.0,1,1,0.5567310182694798
SE331,Västerbotten,2019,57867.0,214.0,1,1,116218.0,429.0,1,1,0.4979177063793905
SE332,Norrbotten,2019,55921.0,223.0,1,1,133121.0,532.0,1,1,0.42007647178131174
SE110,Stockholm,2020,638079.0,268.0,2,2,1618782.0,679.0,2,2,0.39417228508841834
SE121,Uppsala,2020,86720.0,225.0,1,1,173655.0,450.0,1,1,0.4993809564941983
SE122,Södermanland,2020,62898.0,211.0,1,1,103168.0,346.0,1,1,0.6096657878411911
SE123,Östergötland,2020,101376.0,217.0,1,1,199737.0,428.0,1,1,0.5075474248636958
SE124,Örebro,2020,64348.0,211.0,1,1,129306.0,424.0,1,1,0.4976412540794704
SE125,Västmanland,2020,60769.0,220.0,1,1,106674.0,386.0,1,1,0.5696702101730506
SE211,Jönköping,2020,77409.0,212.0,1,1,156855.0,431.0,1,1,0.4935067418953811
SE212,Kronoberg,2020,42381.0,210.0,1,1,88921.0,440.0,1,1,0.47661407316606874
SE213,Kalmar,2020,51927.0,211.0,1,1,89388.0,364.0,1,1,0.5809169015975298
SE214,Gotland,2020,12709.0,212.0,1,1,21450.0,358.0,1,1,0.5924941724941725
SE221,Blekinge,2020,33353.0,209.0,1,1,62650.0,393.0,1,1,0.5323703112529928
SE224,Skåne,2020,309042.0,223.0,1,1,588476.0,425.0,1,1,0.5251565059577621
SE231,Halland,2020,77845.0,232.0,1,1,126584.0,378.0,1,1,0.6149671364469443
SE232,Västra Götaland,2020,394224.0,228.0,1,1,827415.0,478.0,1,1,0.476452566124617
SE311,Värmland,2020,60058.0,212.0,1,1,106896.0,378.0,1,1,0.5618358030234994
SE312,Dalarna,2020,61281.0,213.0,1,1,111367.0,387.0,1,1,0.5502617471962071
SE313,Gävleborg,2020,60277.0,210.0,1,1,113330.0,394.0,1,1,0.5318715256331068
SE321,Västernorrland,2020,52644.0,215.0,1,1,101742.0,415.0,1,1,0.5174264315621867
SE322,Jämtland,2020,27823.0,212.0,1,1,49919.0,381.0,1,1,0.5573629279432681
SE331,Västerbotten,2020,58163.0,213.0,1,1,115309.0,423.0,1,1,0.5044098899478792
SE332,Norrbotten,2020,56361.0,226.0,1,1,128473.0,514.0,1,1,0.438699181929277
SE110,Stockholm,2021,679230.0,283.0,2,2,1736141.0,722.0,2,2,0.3912297445887172
SE121,Uppsala,2021,93376.0,238.0,1,1,189369.0,483.0,1,1,0.49309021011886844
