epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_government_effectiveness_spearman_rho,val_kstar_proxy_government_effectiveness_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_regulatory_quality_spearman_rho,val_kstar_proxy_regulatory_quality_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_rule_of_law_spearman_rho,val_kstar_proxy_rule_of_law_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_government_effectiveness_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_regulatory_quality_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_rule_of_law_recon_r2
1.0,2.057861804962158,1.885478138923645,1.7238364219665527,1.8757821321487427,0.0,0.0,0.0,9.046213110416382,9.046213110416382,9.04565300139071,0.10066487719390715,1.0,18.231475830078125,18.060598373413086,1.7087812423706055,1.85431969165802,0.0,0.0,0.0,18.060597990736238,2.6540427083869935,-0.10725666541668388,5.1681694984436035,0.002801776798993698,0.0,-1.0,0.49991780371527206,3.162025280407164e-06,-0.49991780371527206,1.0,0.5151430847633379,1.394650905430082e-06,-0.5151430847633379,1.0,0.49991780371527206,3.162025280407164e-06,-0.49991780371527206,1.0,0.49991780371527206,-0.49991780371527206,0.4824163178593558,7.727569589723917e-06,-0.4824163178593558,1.0,0.4824163178593558,-0.4824163178593558,0.541799972179719,3.012363159438721e-07,-0.541799972179719,1.0,0.541799972179719,-0.541799972179719,5.168871474266052,20.0,5.164628330029939,19.0,5.168834008668599,19.0,5.1702004194259645,20.0,1.6713102165381206,0.005733729780945954,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10433402595425482,0.6102378634024204,3.005230180182403e-09,-0.6102378634024204,1.0,0.6102378634024204,3.005230180182403e-09,-1.0,-0.6102378634024204,1.0,0.0275489300944164,0.008812904357910156,5.161797523498535,5.170610427856445,-0.7087810785967638,-0.8543197254390997,1.0,-0.8543197254390997,-0.8543197254390997,-1.1507379539580227,-1.1507379539580227,-0.12128555639317207,-0.12128555639317207
2.0,1.6479310989379883,1.477052927017212,1.7087812423706055,1.85431969165802,0.0,0.0,0.0,4.202192939858036,4.202192939858036,4.200995926630875,0.10029321125338811,1.0,17.322959899902344,17.153926849365234,1.6903297901153564,1.8278487920761108,0.0,0.0,0.0,17.15392524765211,2.526447788042088,-0.035698247407881335,5.139840602874756,0.0026650980042006336,0.0,-1.0,0.5528177696956044,1.536929036943428e-07,-0.5528177696956044,1.0,0.5659186757575643,6.685905324771384e-08,-0.5659186757575643,1.0,0.5528177696956044,1.536929036943428e-07,-0.5528177696956044,1.0,0.5528177696956044,-0.5528177696956044,0.5375291640692434,3.885197931576666e-07,-0.5375291640692434,1.0,0.5375291640692434,-0.5375291640692434,0.5894901901393148,1.3608712587462538e-08,-0.5894901901393148,1.0,0.5894901901393148,-0.5894901901393148,5.140518665313721,20.0,5.136525706241005,19.0,5.140255902942858,19.0,5.14191632270813,20.0,1.6663414735966735,0.005414647355330554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092816788522354,0.5867929538815614,1.64333627619075e-08,-0.5867929538815614,1.0,0.5867929538815614,1.64333627619075e-08,-1.0,-0.5867929538815614,1.0,0.029953876545161684,0.008441448211669922,5.1335954666137695,5.1420369148254395,-0.6903296164230971,-0.8278489092150747,1.0,-0.8278489092150747,-0.8278489092150747,-1.1253034952022039,-1.1253034952022039,-0.11783644485201461,-0.11783644485201461
3.0,1.4857906103134155,1.3167576789855957,1.6903297901153564,1.8278487920761108,0.0,0.0,0.0,3.725129931095868,3.725129931095868,3.723805215304927,0.09933640830095239,1.0,16.964975357055664,16.797895431518555,1.6708056926727295,1.7998305559158325,0.0,0.0,0.0,16.797894422195053,2.4631545771506382,-0.0033194384940747335,5.120964527130127,0.0023582870469444133,0.0,-1.0,0.5658807387708984,6.702389985906325e-08,-0.5658807387708984,1.0,0.5775147480151099,3.103593644545364e-08,-0.5775147480151099,1.0,0.5658807387708984,6.702389985906325e-08,-0.5658807387708984,1.0,0.5658807387708984,-0.5658807387708984,0.5495678345045582,1.8791115098025562e-07,-0.5495678345045582,1.0,0.5495678345045582,-0.5495678345045582,0.6016300258724052,5.6977466250911915e-09,-0.6016300258724052,1.0,0.6016300258724052,-0.6016300258724052,5.121621561050415,20.0,5.118063650633159,19.0,5.12123986294395,19.0,5.122803425788879,20.0,1.6632300063805923,0.004840637395578074,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08434038362612782,0.5658771608138696,6.703946695356834e-08,-0.5658771608138696,1.0,0.5658771608138696,6.703946695356834e-08,-1.0,-0.5658771608138696,1.0,0.029149479614484924,0.007483959197998047,5.115348815917969,5.122832775115967,-0.6708056315559427,-0.7998305569683095,1.0,-0.7998305569683095,-0.7998305569683095,-1.096917331322535,-1.096917331322535,-0.11566900637698518,-0.11566900637698518
4.0,1.3638273477554321,1.196746826171875,1.6708056926727295,1.7998305559158325,0.0,0.0,0.0,3.161670786964961,3.161670786964961,3.1601535968843457,0.09793574039424477,1.0,16.907014846801758,16.741918563842773,1.6509608030319214,1.7713698148727417,0.0,0.0,0.0,16.74191633483927,2.443629816104857,0.0069386846877955155,5.116521835327148,0.0019847332777894054,0.0,-1.0,0.5588239020744368,1.0540397430261006e-07,-0.5588239020744368,1.0,0.5720771426857656,4.4643087962360284e-08,-0.5720771426857656,1.0,0.5588239020744368,1.0540397430261006e-07,-0.5588239020744368,1.0,0.5588239020744368,-0.5588239020744368,0.5459753405657439,2.3409028990753806e-07,-0.5459753405657439,1.0,0.5459753405657439,-0.5459753405657439,0.59334808801807,1.0359779536780664e-08,-0.59334808801807,1.0,0.59334808801807,-0.59334808801807,5.117160534858703,20.0,5.114112452456825,19.0,5.116694575861881,19.0,5.118008136749268,20.0,1.6628816846111745,0.0040864603373408056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680767967778639,0.552928084573654,1.5264208484397017e-07,-0.552928084573654,1.0,0.552928084573654,1.5264208484397017e-07,-1.0,-0.552928084573654,1.0,0.026552449464887468,0.006326198577880859,5.111693382263184,5.1180195808410645,-0.6509607300472714,-0.771369664564199,1.0,-0.771369664564199,-0.771369664564199,-1.0676681015018281,-1.0676681015018281,-0.11384442407578965,-0.11384442407578965
5.0,1.2613258361816406,1.0962297916412354,1.6509608030319214,1.7713698148727417,0.0,0.0,0.0,2.1153700530292756,2.1153700530292756,2.1131711944687037,0.0964259514902105,1.0,16.999814987182617,16.83670425415039,1.6311053037643433,1.7429028749465942,0.0,0.0,0.0,16.836702711091473,2.4427756601646067,0.004196009769878477,5.124068260192871,0.0015864082551746885,0.0,-1.0,0.4738866061905365,1.173774500148745e-05,-0.4738866061905365,1.0,0.4885085978295665,5.693390645924654e-06,-0.4885085978295665,1.0,0.4738866061905365,1.173774500148745e-05,-0.4738866061905365,1.0,0.4738866061905365,-0.4738866061905365,0.4639193662151423,1.8865516059907874e-05,-0.4639193662151423,1.0,0.4639193662151423,-0.4639193662151423,0.5112005121897912,1.7305149224465737e-06,-0.5112005121897912,1.0,0.5112005121897912,-0.5112005121897912,5.12467520236969,20.0,5.122189421402781,19.0,5.124151355341861,19.0,5.125166749954223,20.0,1.6648519715800056,0.003283665664317302,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06933587759899941,0.5273334260676033,7.03321750305074e-07,-0.5273334260676033,1.0,0.5273334260676033,7.03321750305074e-07,-1.0,-0.5273334260676033,1.0,0.023240612624503155,0.005097389221191406,5.120088577270508,5.125185966491699,-0.6311051567428193,-0.7429029462303522,1.0,-0.7429029462303522,-0.7429029462303522,-1.0384724326063974,-1.0384724326063974,-0.11194009139171102,-0.11194009139171102
6.0,1.1933726072311401,1.0302621126174927,1.6311053037643433,1.7429028749465942,0.0,0.0,0.0,2.0007990409237717,2.0007990409237717,1.9985444363074754,0.09495756034102441,1.0,17.024444580078125,16.86327362060547,1.611713171005249,1.715145468711853,0.0,0.0,0.0,16.863271202071502,2.4338004074564887,0.004329104896847939,5.138188362121582,0.0012041474002574095,0.0,-1.0,0.41374121128464875,0.0001663709186874973,-0.41374121128464875,1.0,0.4265516721163677,9.853993727195964e-05,-0.4265516721163677,1.0,0.41374121128464875,0.0001663709186874973,-0.41374121128464875,1.0,0.41374121128464875,-0.41374121128464875,0.3932925289895949,0.0003679333297407476,-0.3932925289895949,1.0,0.3932925289895949,-0.3932925289895949,0.4586600235988301,2.4090768810357978e-05,-0.4586600235988301,1.0,0.4586600235988301,-0.4586600235988301,5.138723874092102,20.0,5.136829526800859,19.0,5.138197672994513,19.0,5.138934588432312,20.0,1.6678016858235458,0.002538084548740732,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062231112283863244,0.42599172978919814,0.0001008663414258395,-0.42599172978919814,1.0,0.42599172978919814,0.0001008663414258395,-1.0,-0.42599172978919814,1.0,0.019280418826432638,0.0039048194885253906,5.1350603103637695,5.138965129852295,-0.6117130901529927,-0.7151454991083745,1.0,-0.7151454991083745,-0.7151454991083745,-1.0101065463633936,-1.0101065463633936,-0.10988722498721337,-0.10988722498721337
7.0,1.1391918659210205,0.9780205488204956,1.611713171005249,1.715145468711853,0.0,0.0,0.0,2.140831709381514,2.140831709381514,2.1387850862456905,0.09358826179809966,1.0,16.929019927978516,16.769744873046875,1.5927526950836182,1.6880559921264648,0.0,0.0,0.0,16.769744966885124,2.410689544559528,0.012275479689308644,5.155720233917236,0.0008476210442499235,0.0,-1.0,0.17743547029641787,0.12015414777848932,-0.17743547029641787,1.0,0.18618709862465177,0.10265479622313198,-0.18618709862465177,1.0,0.17743547029641787,0.12015414777848932,-0.17743547029641787,1.0,0.17743547029641787,-0.17743547029641787,0.1417966138961823,0.21558140151009336,-0.1417966138961823,1.0,0.1417966138961823,-0.1417966138961823,0.2223318294947275,0.050413181766068224,-0.2223318294947275,1.0,0.2223318294947275,-0.2223318294947275,5.15612006187439,20.0,5.154856004213032,19.0,5.155683090812282,19.0,5.1561774730682375,20.0,1.6710741501550734,0.0018814770098752494,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055912667238702696,0.3222473728802842,0.004011708970530897,-0.3222473728802842,1.0,0.3222473728802842,0.004011708970530897,-1.0,-0.3222473728802842,1.0,0.014300273425221591,0.0027933120727539062,5.153430461883545,5.156223773956299,-0.592752428154446,-0.6880560567850322,1.0,-0.6880560567850322,-0.6880560567850322,-0.982427056349578,-0.982427056349578,-0.1077741713287299,-0.1077741713287299
8.0,1.084250569343567,0.9249753355979919,1.5927526950836182,1.6880559921264648,0.0,0.0,0.0,1.7522583209844595,1.7522583209844595,1.7498262649873488,0.09228903412487154,1.0,16.74313735961914,16.585712432861328,1.574255347251892,1.661685824394226,0.0,0.0,0.0,16.58571113671724,2.378361973296612,0.02643280767673824,5.175687313079834,0.0005289456933535535,0.0,-1.0,0.14627607450735225,0.20128328429295078,-0.14627607450735225,1.0,0.16318375252380682,0.15343007714373103,-0.16318375252380682,1.0,0.14627607450735225,0.20128328429295078,-0.14627607450735225,1.0,0.14627607450735225,-0.14627607450735225,0.10362117701333486,0.36662372702694307,-0.10362117701333486,1.0,0.10362117701333486,-0.10362117701333486,0.21021415981116245,0.06470563616748398,-0.21021415981116245,1.0,0.21021415981116245,-0.21021415981116245,5.175867486000061,20.0,5.175291538238525,19.0,5.175638198852539,19.0,5.175929832458496,20.0,1.6746224429067407,0.001310751843882376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050982695954617636,0.12108145019537424,0.2909734587102881,-0.12108145019537424,1.0,0.12108145019537424,0.2909734587102881,-1.0,-0.12108145019537424,1.0,0.007267066955419437,0.0017933845520019531,5.174245357513428,5.17603874206543,-0.5742552847944982,-0.6616858615858736,1.0,-0.6616858615858736,-0.6616858615858736,-0.9552315620614646,-0.9552315620614646,-0.10584843073615868,-0.10584843073615868
9.0,1.0350476503372192,0.8776220679283142,1.574255347251892,1.661685824394226,0.0,0.0,0.0,1.2669861372058067,1.2669861372058067,1.2637142679163618,0.09099516985150942,1.0,16.53317642211914,16.377578735351562,1.5559698343276978,1.6356563568115234,0.0,0.0,0.0,16.377576685793457,2.3428230909451555,0.04268744251790816,5.197432994842529,0.00036345892714468057,0.0,-1.0,0.18418407026298095,0.10647319637057598,-0.18418407026298095,1.0,0.18552451045850968,0.10390589578770701,-0.18552451045850968,1.0,0.18418407026298095,0.10647319637057598,-0.18418407026298095,1.0,0.18418407026298095,-0.18418407026298095,0.14609533565040983,0.2018467286115283,-0.14609533565040983,1.0,0.14609533565040983,-0.14609533565040983,0.21688575276899325,0.05647817591863715,-0.21688575276899325,1.0,0.21688575276899325,-0.21688575276899325,5.197299003601074,20.0,5.197453800000642,19.0,5.1974085255673055,19.0,5.197568964958191,20.0,1.6785882301885913,0.0008365775499155035,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04721924812536554,-0.0647074444542799,0.5735408105190813,0.0647074444542799,1.0,-0.0647074444542799,0.5735408105190813,-1.0,0.0647074444542799,1.0,-0.00039635998702235766,0.0010037422180175781,5.196779727935791,5.197783470153809,-0.5559699486146484,-0.6356562637123297,1.0,-0.6356562637123297,-0.6356562637123297,-0.9283240613165378,-0.9283240613165378,-0.10392952081508011,-0.10392952081508011
10.0,0.99167799949646,0.8360810279846191,1.5559698343276978,1.6356563568115234,0.0,0.0,0.0,1.2810577127173766,1.2810577127173766,1.2779109891785474,0.08973498230558098,1.0,16.370180130004883,16.216381072998047,1.5379841327667236,1.6100994348526,0.0,0.0,0.0,16.216379770655067,2.313014488474219,0.05621660971884281,5.220448017120361,0.0005223115561084631,0.0,-1.0,0.3269556640540643,0.003480938325865615,-0.3269556640540643,1.0,0.31170489898544307,0.005468961041453645,-0.31170489898544307,1.0,0.3269556640540643,0.003480938325865615,-0.3269556640540643,1.0,0.3269556640540643,-0.3269556640540643,0.28702041025082564,0.010839825481330893,-0.28702041025082564,1.0,0.28702041025082564,-0.28702041025082564,0.3069121626993672,0.006273954152831763,-0.3069121626993672,1.0,0.3069121626993672,-0.3069121626993672,5.219875717163086,20.0,5.220808882462351,19.0,5.220503430617483,19.0,5.220624399185181,20.0,1.682717641510348,0.00057755832728413,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611035872341,-0.262180857117566,0.020402785847300434,0.262180857117566,1.0,-0.262180857117566,0.020402785847300434,-1.0,0.262180857117566,1.0,-0.007461560016028604,0.0015277862548828125,5.219437122344971,5.2209649085998535,-0.5379840812054952,-0.610099337976062,1.0,-0.610099337976062,-0.610099337976062,-0.9022274021443601,-0.9022274021443601,-0.10162550349606603,-0.10162550349606603
