method,seed,stratifier,n_entities,spearman_rho,perm_p_two_sided,kstar_std,degenerate
CMDL,0,log_gdp_per_worker_train,88,-0.603976612306717,0.0,0.03377764574072477,False
CMDL,0,hc_mean_train,88,-0.8062238033179531,0.0,0.03377764574072477,False
CMDL,0,log_capital_per_worker_train,88,-0.5648444929731253,0.0,0.03377764574072477,False
CMDL,1,log_gdp_per_worker_train,88,-0.34877249832693463,0.002,0.02267487250044509,False
CMDL,1,hc_mean_train,88,-0.40627311471945343,0.0,0.02267487250044509,False
CMDL,1,log_capital_per_worker_train,88,-0.27950759043358814,0.011,0.02267487250044509,False
CMDL,2,log_gdp_per_worker_train,88,-0.42474727906731014,0.0,0.2240891721415825,False
CMDL,2,hc_mean_train,88,-0.5084533831143673,0.0,0.2240891721415825,False
CMDL,2,log_capital_per_worker_train,88,-0.416769398753126,0.0,0.2240891721415825,False
CMDL,3,log_gdp_per_worker_train,88,0.017910605473565572,0.8785,0.028367843919919488,False
CMDL,3,hc_mean_train,88,-0.0581698425557395,0.5725,0.028367843919919488,False
CMDL,3,log_capital_per_worker_train,88,0.010461061604029447,0.919,0.028367843919919488,False
CMDL,4,log_gdp_per_worker_train,88,-0.40607939135641585,0.0,0.5033936256654226,False
CMDL,4,hc_mean_train,88,-0.32362368356169213,0.003,0.5033936256654226,False
CMDL,4,log_capital_per_worker_train,88,-0.3744320383220035,0.0005,0.5033936256654226,False
CMDL,5,log_gdp_per_worker_train,88,0.29380789686872605,0.008,0.05017538788078171,False
CMDL,5,hc_mean_train,88,0.35236518615054074,0.0005,0.05017538788078171,False
CMDL,5,log_capital_per_worker_train,88,0.29060265577119515,0.0055,0.05017538788078171,False
CMDL,6,log_gdp_per_worker_train,88,-0.29113099221584304,0.003,0.17041875193252395,False
CMDL,6,hc_mean_train,88,-0.6409777746468953,0.0,0.17041875193252395,False
CMDL,6,log_capital_per_worker_train,88,-0.28211405022718467,0.008,0.17041875193252395,False
CMDL,7,log_gdp_per_worker_train,88,-0.3451725246261337,0.0,0.028292966466035175,False
CMDL,7,hc_mean_train,88,-0.30475460865802345,0.004,0.028292966466035175,False
CMDL,7,log_capital_per_worker_train,88,-0.30146129698654783,0.0055,0.028292966466035175,False
CMDL,8,log_gdp_per_worker_train,88,-0.17590081363812476,0.1075,0.0411630735519364,False
