display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
Plain LSTM,plain_lstm,,7,economics_lstm_seed7,ctfp,effective_labor_aware,21,2.4164187908172607,0.14264354564194448,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.7941896565880499,0.12163798836383759,0.2317505085900077,1.4152677588974587,3.444896022148232
Plain LSTM,plain_lstm,,19,economics_lstm_seed19,ctfp,effective_labor_aware,77,2.38755464553833,0.1375101724892612,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.7993230297407331,0.11650461521115431,0.22661713543732442,1.4058807516264344,3.4604526425148494
Uniform Lag,ablation,uniform_lag,11,economics_ablation_uniform_lag_seed11,ctfp,effective_labor_aware,26,2.2997775077819824,0.13744583903990554,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.7993873631900887,0.11644028176179864,0.22655280198796876,1.4223460875605187,3.4668953664872855
Uniform Lag,ablation,uniform_lag,12,economics_ablation_uniform_lag_seed12,ctfp,effective_labor_aware,26,2.4551143646240234,0.13264969262330864,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8041835096066857,0.11164413534520175,0.22175665557137186,1.4402024572106793,3.485350881921548
Uniform Lag,ablation,uniform_lag,19,economics_ablation_uniform_lag_seed19,ctfp,effective_labor_aware,24,2.4410765171051025,0.12754166048808843,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8092915417419059,0.10653610320998154,0.21664862343615165,1.4454557275320357,3.5045538200684074
Uniform Lag,ablation,uniform_lag,4,economics_ablation_uniform_lag_seed4,ctfp,effective_labor_aware,24,2.5378975868225098,0.12547163683109613,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8113615653988981,0.10446607955298924,0.21457859977915936,1.4397784255725623,3.5120185760470966
Uniform Lag,ablation,uniform_lag,8,economics_ablation_uniform_lag_seed8,ctfp,effective_labor_aware,26,2.431145429611206,0.1253941346894369,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8114390675405574,0.10438857741133,0.2145010976375001,1.4433589671415823,3.5138337209931954
Plain LSTM,plain_lstm,,6,economics_lstm_seed6,ctfp,effective_labor_aware,23,2.524595022201538,0.12514925793148857,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8116839442985058,0.10414370065338167,0.2142562208795518,1.455130637899079,3.512589537081672
Uniform Lag,ablation,uniform_lag,18,economics_ablation_uniform_lag_seed18,ctfp,effective_labor_aware,25,2.492081880569458,0.12482140639578469,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8120117958342097,0.1038158491176778,0.2139283693438479,1.4443980393767395,3.515543239851989
Plain LSTM,plain_lstm,,5,economics_lstm_seed5,ctfp,effective_labor_aware,28,2.4817774295806885,0.12093651710099343,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8158966851290009,0.09993095982288654,0.21004348004905665,1.4435950564945663,3.5299081807743624
Plain LSTM,plain_lstm,,2,economics_lstm_seed2,ctfp,effective_labor_aware,29,2.4145281314849854,0.11892337732414138,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.817909824905853,0.09791782004603448,0.2080303402722046,1.4335961831061717,3.53607402925703
Uniform Lag,ablation,uniform_lag,14,economics_ablation_uniform_lag_seed14,ctfp,effective_labor_aware,24,2.399951696395874,0.11775907639104384,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8190741258389505,0.09675351911293695,0.20686603933910708,1.457074103346217,3.5449076181282626
Uniform Lag,ablation,uniform_lag,9,economics_ablation_uniform_lag_seed9,ctfp,effective_labor_aware,26,2.473782777786255,0.1159611225301989,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8208720796997955,0.094955565252092,0.2050680854782621,1.4487701257368164,3.553638043363723
Uniform Lag,ablation,uniform_lag,5,economics_ablation_uniform_lag_seed5,ctfp,effective_labor_aware,25,2.424015998840332,0.11559814846980702,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8212350537601874,0.09459259119170013,0.20470511141787023,1.4357490473517,3.550128133503941
Plain LSTM,plain_lstm,,13,economics_lstm_seed13,ctfp,effective_labor_aware,23,2.4018380641937256,0.11304543785687197,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8237877643731224,0.09203988057876508,0.20215240080493518,1.4554796433886044,3.566772705330151
Plain LSTM,plain_lstm,,3,economics_lstm_seed3,ctfp,effective_labor_aware,76,2.3462131023406982,0.11160460986061697,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8252285923693774,0.09059905258251008,0.20071157280868018,1.4223848591437094,3.5643108990968737
Uniform Lag,ablation,uniform_lag,16,economics_ablation_uniform_lag_seed16,ctfp,effective_labor_aware,67,2.3507132530212402,0.11061683490232901,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8262163673276653,0.08961127762422212,0.19972379785039224,1.4700393170282537,3.5692185254153523
Uniform Lag,ablation,uniform_lag,7,economics_ablation_uniform_lag_seed7,ctfp,effective_labor_aware,28,2.4835894107818604,0.10998966710792153,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8268435351220728,0.08898410982981464,0.19909663005598477,1.4547731062318152,3.5745258312046055
CMDL,cmdl,,5,economics_cmdl_seed5,ctfp,effective_labor_aware,26,2.3192100524902344,0.10945497766701132,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.827378224562983,0.08844942038890442,0.19856194061507454,1.4555648597650692,3.580061453927994
Uniform Lag,ablation,uniform_lag,0,economics_ablation_uniform_lag_seed0,ctfp,effective_labor_aware,23,2.502127170562744,0.10849214128027602,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8283410609497183,0.08748658400216913,0.19759910422833926,1.4461726848972831,3.584601277756667
Uniform Lag,ablation,uniform_lag,17,economics_ablation_uniform_lag_seed17,ctfp,effective_labor_aware,27,2.437243938446045,0.10789551174117769,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8289376904888166,0.0868899544630708,0.19700247468924093,1.4499842585387424,3.58379634083626
Plain LSTM,plain_lstm,,1,economics_lstm_seed1,ctfp,effective_labor_aware,26,2.5539519786834717,0.10683438734084225,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8299988148891521,0.08582883006273535,0.19594135028890547,1.4586303736977657,3.588208436448496
No Recon Regularization,ablation,no_recon_regularization,5,economics_ablation_no_recon_regularization_seed5,ctfp,effective_labor_aware,26,2.321160316467285,0.10612717491365134,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.830706027316343,0.08512161763554445,0.19523413786171456,1.4589879501076708,3.592988205487248
Plain LSTM,plain_lstm,,15,economics_lstm_seed15,ctfp,effective_labor_aware,28,2.486903429031372,0.10565395740699275,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8311792448230015,0.08464840012888586,0.194760920355056,1.4529976211170916,3.5912386332670896
