display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_mae,test_mse
Plain LSTM,plain_lstm,,2,formal_mechanism_lstm_seed2,ctfp,effective_labor_aware,29,2.417332410812378,0.11773116364767185,1.4346877323807679,3.5407565076090584
Uniform Lag,ablation,uniform_lag,0,formal_mechanism_ablation_uniform_lag_seed0,ctfp,effective_labor_aware,23,2.4900951385498047,0.1137942570523659,1.4434182521934913,3.563626490441002
Plain LSTM,plain_lstm,,1,formal_mechanism_lstm_seed1,ctfp,effective_labor_aware,26,2.562223196029663,0.10502836587225331,1.4605399487164588,3.595400082076436
Uniform Lag,ablation,uniform_lag,1,formal_mechanism_ablation_uniform_lag_seed1,ctfp,effective_labor_aware,24,2.546074390411377,0.09157400713409183,1.4560770555955143,3.6493944097945126
Plain LSTM,plain_lstm,,0,formal_mechanism_lstm_seed0,ctfp,effective_labor_aware,18,2.6148838996887207,0.07437299032959835,1.472050882467953,3.718893123241044
CMDL,cmdl,,1,formal_mechanism_cmdl_seed1,ctfp,effective_labor_aware,25,2.450758934020996,0.07245058189939865,1.4735701293875205,3.7317078048895054
CMDL,cmdl,,2,formal_mechanism_cmdl_seed2,ctfp,effective_labor_aware,65,2.4031994342803955,0.06977490124594174,1.4791050797344394,3.737313686149481
No AC Encoder,ablation,no_ac_encoder,1,formal_mechanism_ablation_no_ac_encoder_seed1,ctfp,effective_labor_aware,24,2.5785698890686035,0.06798572297338992,1.4674291852845933,3.7434155397262487
No Recon Regularization,ablation,no_recon_regularization,1,formal_mechanism_ablation_no_recon_regularization_seed1,ctfp,effective_labor_aware,25,2.5856034755706787,0.06653583029878898,1.469880815064657,3.7494833395618756
No AC Encoder,ablation,no_ac_encoder,2,formal_mechanism_ablation_no_ac_encoder_seed2,ctfp,effective_labor_aware,25,2.5532546043395996,0.052569681255897484,1.4990915977951855,3.8065882934124766
Uniform Lag,ablation,uniform_lag,2,formal_mechanism_ablation_uniform_lag_seed2,ctfp,effective_labor_aware,67,2.416465997695923,0.05159957954635391,1.5059204507285937,3.809557850683357
No Recon Regularization,ablation,no_recon_regularization,2,formal_mechanism_ablation_no_recon_regularization_seed2,ctfp,effective_labor_aware,25,2.5631675720214844,0.050155853671818386,1.5013587476606434,3.816266435881937
CMDL,cmdl,,0,formal_mechanism_cmdl_seed0,ctfp,effective_labor_aware,17,2.419916868209839,0.04618508182232321,1.4858162001394621,3.8385111450141594
No AC Encoder,ablation,no_ac_encoder,0,formal_mechanism_ablation_no_ac_encoder_seed0,ctfp,effective_labor_aware,23,2.537254571914673,0.03472033825901547,1.5007023489362175,3.88403542378703
No Recon Regularization,ablation,no_recon_regularization,0,formal_mechanism_ablation_no_recon_regularization_seed0,ctfp,effective_labor_aware,23,2.535799980163574,0.03299722176397597,1.5016229417646172,3.8921634760221986
