display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_proxy_signal_r2,test_proxy_signal_metric_valid
No Recon Regularization,ablation,no_recon_regularization,0,formal_mechanism_ablation_no_recon_regularization_seed0,ctfp,effective_labor_aware,learned_omega,applied_ols,True,0.8889789017646439,True,3.0660390853881836,0.04605717957019806,1.7980560064315796,0.3824495226551041,True
No Recon Regularization,ablation,no_recon_regularization,2,formal_mechanism_ablation_no_recon_regularization_seed2,ctfp,effective_labor_aware,learned_omega,applied_ols,True,0.6127646085026945,True,3.756376028060913,0.07946217805147171,1.9637929201126099,0.3095621444472958,True
No Recon Regularization,ablation,no_recon_regularization,1,formal_mechanism_ablation_no_recon_regularization_seed1,ctfp,effective_labor_aware,learned_omega,applied_ols,True,0.37263569441020045,True,4.5409393310546875,0.06711594760417938,1.9798954725265503,0.2516395105703868,True
Plain LSTM,plain_lstm,,1,formal_mechanism_lstm_seed1,ctfp,effective_labor_aware,lag_occlusion,,,0.10498253487710518,,5.362722396850586,1.9856423139572144,1.8430469036102295,,
Plain LSTM,plain_lstm,,2,formal_mechanism_lstm_seed2,ctfp,effective_labor_aware,lag_occlusion,,,0.04633706588099219,,5.467197895050049,1.6721830368041992,1.9817073345184326,,
CMDL,cmdl,,1,formal_mechanism_cmdl_seed1,ctfp,effective_labor_aware,learned_omega,applied_ols,True,0.036895495051248645,True,4.021144390106201,0.007622060365974903,1.9319440126419067,0.21996633716846303,True
No AC Encoder,ablation,no_ac_encoder,0,formal_mechanism_ablation_no_ac_encoder_seed0,ctfp,effective_labor_aware,learned_omega,skipped_rank_deficient,False,0.0,True,3.1112914085388184,3.3717478231665154e-07,1.791825771331787,,False
No AC Encoder,ablation,no_ac_encoder,1,formal_mechanism_ablation_no_ac_encoder_seed1,ctfp,effective_labor_aware,learned_omega,skipped_rank_deficient,False,0.0,True,4.5870361328125,3.3717478231665154e-07,1.979895830154419,,False
No AC Encoder,ablation,no_ac_encoder,2,formal_mechanism_ablation_no_ac_encoder_seed2,ctfp,effective_labor_aware,learned_omega,skipped_rank_deficient,False,0.0,True,3.7127912044525146,2.384185791015625e-07,1.960397720336914,,False
Plain LSTM,plain_lstm,,0,formal_mechanism_lstm_seed0,ctfp,effective_labor_aware,lag_occlusion,,,-0.16198842856185838,,5.703389644622803,1.910322904586792,1.862575888633728,,
CMDL,cmdl,,0,formal_mechanism_cmdl_seed0,ctfp,effective_labor_aware,learned_omega,applied_ols,True,-0.2250889366348491,True,2.7769381999969482,0.04026934877038002,1.6624031066894531,0.20266362525068934,True
CMDL,cmdl,,2,formal_mechanism_cmdl_seed2,ctfp,effective_labor_aware,learned_omega,applied_ols,True,-0.681554013595858,True,4.309122085571289,0.409476637840271,1.8763980865478516,0.31776646588684665,True
Uniform Lag,ablation,uniform_lag,0,formal_mechanism_ablation_uniform_lag_seed0,ctfp,effective_labor_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.3176081807987186,True
Uniform Lag,ablation,uniform_lag,2,formal_mechanism_ablation_uniform_lag_seed2,ctfp,effective_labor_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.24198960211848405,True
Uniform Lag,ablation,uniform_lag,1,formal_mechanism_ablation_uniform_lag_seed1,ctfp,effective_labor_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.16818789935623238,True
