display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_mae,test_mse
Uniform Lag,ablation,uniform_lag,0,formal_mechanism_ablation_uniform_lag_seed0,ctfp,growth_aware,25,2.5968666076660156,0.0635695649451171,1.511099555503502,3.880958455483042
Plain LSTM,plain_lstm,,1,formal_mechanism_lstm_seed1,ctfp,growth_aware,25,2.6409928798675537,0.06062048107437503,1.5234838767088201,3.8935751146389737
Plain LSTM,plain_lstm,,2,formal_mechanism_lstm_seed2,ctfp,growth_aware,12,2.6055805683135986,0.059953053549458145,1.4976084747010359,3.9007927061262655
Plain LSTM,plain_lstm,,0,formal_mechanism_lstm_seed0,ctfp,growth_aware,23,2.6929564476013184,0.05082152725547999,1.5198002694090524,3.9341213617316453
CMDL,cmdl,,0,formal_mechanism_cmdl_seed0,ctfp,growth_aware,25,2.6320555210113525,0.04228997976016073,1.5150380046572676,3.9723531387536126
Uniform Lag,ablation,uniform_lag,2,formal_mechanism_ablation_uniform_lag_seed2,ctfp,growth_aware,29,2.7208516597747803,0.03123658379051868,1.533743374621332,4.01415164450511
No Recon Regularization,ablation,no_recon_regularization,0,formal_mechanism_ablation_no_recon_regularization_seed0,ctfp,growth_aware,21,2.650038957595825,0.026887128145476048,1.5310194802608126,4.038982215264905
CMDL,cmdl,,1,formal_mechanism_cmdl_seed1,ctfp,growth_aware,23,2.642155408859253,0.02539099144717496,1.5483204335182867,4.042825058901543
Uniform Lag,ablation,uniform_lag,1,formal_mechanism_ablation_uniform_lag_seed1,ctfp,growth_aware,13,2.6754817962646484,0.022649156400067073,1.5199171692705187,4.052730750394775
No AC Encoder,ablation,no_ac_encoder,0,formal_mechanism_ablation_no_ac_encoder_seed0,ctfp,growth_aware,20,2.661245107650757,0.02262027153961684,1.532273733701482,4.057061606572949
No Recon Regularization,ablation,no_recon_regularization,1,formal_mechanism_ablation_no_recon_regularization_seed1,ctfp,growth_aware,13,2.6303722858428955,0.015363247962845827,1.533090761002788,4.0833456827718795
No AC Encoder,ablation,no_ac_encoder,1,formal_mechanism_ablation_no_ac_encoder_seed1,ctfp,growth_aware,13,2.633192539215088,0.01524523872410537,1.5333007643376393,4.083776656754829
CMDL,cmdl,,2,formal_mechanism_cmdl_seed2,ctfp,growth_aware,26,2.5885584354400635,-0.0053543288760967925,1.5441759504240222,4.167614332886613
No Recon Regularization,ablation,no_recon_regularization,2,formal_mechanism_ablation_no_recon_regularization_seed2,ctfp,growth_aware,25,2.803929090499878,-0.02687193373532084,1.5586869932094816,4.2548091201741505
No AC Encoder,ablation,no_ac_encoder,2,formal_mechanism_ablation_no_ac_encoder_seed2,ctfp,growth_aware,8,2.8300187587738037,-0.03778643097917593,1.5671122295130182,4.304729207459433
