display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_proxy_signal_r2,test_proxy_signal_metric_valid
Plain LSTM,plain_lstm,,2,formal_mechanism_lstm_seed2,ctfp,growth_aware,lag_occlusion,,,0.308819023845791,,5.515690326690674,1.8114185333251953,1.935222864151001,,
CMDL,cmdl,,1,formal_mechanism_cmdl_seed1,ctfp,growth_aware,learned_omega,applied_ols,True,0.29231805929919136,True,4.791158199310303,0.00793169904500246,2.021599769592285,0.4651837528225187,True
Plain LSTM,plain_lstm,,1,formal_mechanism_lstm_seed1,ctfp,growth_aware,lag_occlusion,,,0.044194939481650174,,5.521009922027588,1.9784677028656006,1.8604364395141602,,
Plain LSTM,plain_lstm,,0,formal_mechanism_lstm_seed0,ctfp,growth_aware,lag_occlusion,,,0.012976337215279656,,5.414589881896973,1.9543546438217163,1.820190191268921,,
No AC Encoder,ablation,no_ac_encoder,1,formal_mechanism_ablation_no_ac_encoder_seed1,ctfp,growth_aware,learned_omega,skipped_rank_deficient,False,0.0,True,3.987114667892456,2.384185791015625e-07,1.6690101623535156,,False
No AC Encoder,ablation,no_ac_encoder,2,formal_mechanism_ablation_no_ac_encoder_seed2,ctfp,growth_aware,learned_omega,skipped_rank_deficient,False,0.0,True,5.733548641204834,9.502622333457111e-07,1.7559739351272583,,False
CMDL,cmdl,,0,formal_mechanism_cmdl_seed0,ctfp,growth_aware,learned_omega,applied_ols,True,-0.5462367820858387,True,4.061123371124268,0.08326523751020432,1.8764684200286865,0.27951437269735785,True
No Recon Regularization,ablation,no_recon_regularization,2,formal_mechanism_ablation_no_recon_regularization_seed2,ctfp,growth_aware,learned_omega,applied_ols,True,-0.8391561268919759,True,4.8287224769592285,0.3814880847930908,1.7661736011505127,0.4117751975234818,True
No Recon Regularization,ablation,no_recon_regularization,1,formal_mechanism_ablation_no_recon_regularization_seed1,ctfp,growth_aware,learned_omega,applied_ols,True,-0.8614555256064689,True,4.001608848571777,0.0550990030169487,1.6754635572433472,0.4118640174281091,True
CMDL,cmdl,,2,formal_mechanism_cmdl_seed2,ctfp,growth_aware,learned_omega,applied_ols,True,-0.8749533485382541,True,3.7412071228027344,0.006577466614544392,1.7972214221954346,0.41458861322111806,True
No Recon Regularization,ablation,no_recon_regularization,0,formal_mechanism_ablation_no_recon_regularization_seed0,ctfp,growth_aware,learned_omega,applied_ols,True,-0.9688471905453037,True,4.584847450256348,0.22999906539916992,1.961716890335083,0.468114921232252,True
Uniform Lag,ablation,uniform_lag,1,formal_mechanism_ablation_uniform_lag_seed1,ctfp,growth_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.4393464162833783,True
Uniform Lag,ablation,uniform_lag,2,formal_mechanism_ablation_uniform_lag_seed2,ctfp,growth_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.42154187028054,True
Uniform Lag,ablation,uniform_lag,0,formal_mechanism_ablation_uniform_lag_seed0,ctfp,growth_aware,learned_omega,applied_ols,True,,False,5.5,0.0,2.3025853633880615,0.41626261515090546,True
No AC Encoder,ablation,no_ac_encoder,0,formal_mechanism_ablation_no_ac_encoder_seed0,ctfp,growth_aware,learned_omega,skipped_rank_deficient,False,,False,4.361078262329102,0.0,1.9350333213806152,,False
