display_name,family,variant,seed,experiment,target_column,lag_method,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_proxy_signal_r2
No Recon Regularization,ablation,no_recon_regularization,1,E4_economics_ablation_no_recon_regularization_seed1,ctfp,learned_omega,0.9999999999999999,3.9263272285461426,0.3037768602371216,1.820894718170166,0.9365884265576198
Plain LSTM,plain_lstm,,1,E4_economics_lstm_seed1,ctfp,lag_occlusion,0.19171584924581278,5.406623363494873,0.9825703501701355,2.199584484100342,
Plain LSTM,plain_lstm,,0,E4_economics_lstm_seed0,ctfp,lag_occlusion,0.0025690549792460322,5.400272846221924,1.2481114864349365,2.146420955657959,
Uniform Lag,ablation,uniform_lag,1,E4_economics_ablation_uniform_lag_seed1,ctfp,learned_omega,0.0,5.5,0.0,2.3025853633880615,0.937669646968533
Uniform Lag,ablation,uniform_lag,0,E4_economics_ablation_uniform_lag_seed0,ctfp,learned_omega,0.0,5.5,0.0,2.3025853633880615,0.9176308590271457
Uniform Lag,ablation,uniform_lag,2,E4_economics_ablation_uniform_lag_seed2,ctfp,learned_omega,0.0,5.5,0.0,2.3025853633880615,0.819762281221228
No AC Encoder,ablation,no_ac_encoder,1,E4_economics_ablation_no_ac_encoder_seed1,ctfp,learned_omega,0.0,3.745347261428833,0.0,1.7984040975570679,-2295863362889645.0
No AC Encoder,ablation,no_ac_encoder,2,E4_economics_ablation_no_ac_encoder_seed2,ctfp,learned_omega,0.0,3.0459723472595215,0.0,1.5715782642364502,-3254806614501142.5
No AC Encoder,ablation,no_ac_encoder,0,E4_economics_ablation_no_ac_encoder_seed0,ctfp,learned_omega,0.0,6.837673664093018,0.0,2.0182111263275146,-1.728972137381206e+16
Plain LSTM,plain_lstm,,2,E4_economics_lstm_seed2,ctfp,lag_occlusion,-0.009539955349885297,5.262721061706543,1.0607670545578003,2.175685405731201,
No Recon Regularization,ablation,no_recon_regularization,2,E4_economics_ablation_no_recon_regularization_seed2,ctfp,learned_omega,-0.4597657059921211,3.110041856765747,0.06413812190294266,1.5884499549865723,0.2048765377935584
CMDL,cmdl,,2,E4_economics_cmdl_seed2,ctfp,learned_omega,-0.8903661890092857,4.360675811767578,0.28047189116477966,1.7543399333953857,0.82801720753374
CMDL,cmdl,,1,E4_economics_cmdl_seed1,ctfp,learned_omega,-0.9213428398922708,5.601014614105225,0.004036448430269957,1.9110538959503174,0.8354050446702493
CMDL,cmdl,,0,E4_economics_cmdl_seed0,ctfp,learned_omega,-0.9657059921210863,5.223953723907471,0.044593457132577896,1.8231152296066284,0.8539598786576676
No Recon Regularization,ablation,no_recon_regularization,0,E4_economics_ablation_no_recon_regularization_seed0,ctfp,learned_omega,-0.9804555786254644,6.847514629364014,0.007010139524936676,2.012310028076172,0.889827248642774
