epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_effective_labor_anchor_spearman_rho,val_kstar_proxy_effective_labor_anchor_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_employment_level_spearman_rho,val_kstar_proxy_employment_level_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_hc_level_spearman_rho,val_kstar_proxy_hc_level_spearman_adjusted_rho,val_kstar_proxy_4_spearman_rho,val_kstar_proxy_4_spearman_p,val_kstar_proxy_4_spearman_adjusted_rho,val_kstar_proxy_4_metric_valid,val_kstar_proxy_hc_trend_spearman_rho,val_kstar_proxy_hc_trend_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_effective_labor_anchor_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_employment_level_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_hc_level_recon_r2,val_proxy_4_recon_r2,val_proxy_proxy_hc_trend_recon_r2
1.0,1.1845887899398804,1.0529557466506958,1.3163301944732666,1.0783753395080566,0.0,0.0,0.0,3.6414197685648455,3.6414197685648455,3.6410339973032317,0.053003409106421366,1.0,3.2384743690490723,3.107560634613037,1.309138298034668,1.0664417743682861,0.0,0.0,0.0,3.107560512697067,1.3556149549672916,-0.11652938283745662,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023029856075123797,0.10940086647176923,0.31027432029049123,-0.10940086647176923,1.0,0.10940086647176923,0.31027432029049123,-1.0,-0.10940086647176923,1.0,0.33968063123066916,0.024421215057373047,4.334366798400879,4.358788013458252,-0.3698124191002751,-0.06644183242979529,1.0,-0.06644183242979529,-0.06644183242979529,-0.37878160315296294,-0.37878160315296294,-0.5839311464886627,-0.5839311464886627,-0.4500950943296822,-0.4500950943296822
2.0,1.0659857988357544,0.9350720047950745,1.309138298034668,1.0664417743682861,0.0,0.0,0.0,2.5428129091110536,2.5428129091110536,2.542268474120089,0.05261650156496311,1.0,3.1550257205963135,3.0248169898986816,1.3020883798599243,1.0547797679901123,0.0,0.0,0.0,3.0248168641608237,1.3397873543841397,-0.08355942716510467,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02361747973579008,-0.22253531048571734,0.037166933058304104,0.22253531048571734,1.0,-0.22253531048571734,0.037166933058304104,-1.0,0.22253531048571734,1.0,0.36364760928157597,0.027376651763916016,4.3280558586120605,4.355432510375977,-0.36391557681919395,-0.05477976962223918,1.0,-0.05477976962223918,-0.05477976962223918,-0.37550299245642993,-0.37550299245642993,-0.5761709451626327,-0.5761709451626327,-0.4492086000354758,-0.4492086000354758
3.0,0.9862427115440369,0.8560338616371155,1.3020883798599243,1.0547797679901123,0.0,0.0,0.0,2.3272723482741733,2.3272723482741733,2.3266855807879394,0.052256972693362394,1.0,3.0624806880950928,2.932969093322754,1.295116901397705,1.0432701110839844,0.0,0.0,0.0,2.9329691393081987,1.3084668189315407,-0.04845836294300743,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027559822231690952,-0.5304850128561869,1.0605183667655623e-07,0.5304850128561869,1.0,-0.5304850128561869,1.0605183667655623e-07,-1.0,0.5304850128561869,1.0,0.385929179338948,0.03347063064575195,4.320257663726807,4.353728294372559,-0.35807857205075755,-0.04327001724652679,1.0,-0.04327001724652679,-0.04327001724652679,-0.3722200357202292,-0.3722200357202292,-0.5684818238178424,-0.5684818238178424,-0.44834241141843334,-0.44834241141843334
4.0,0.9077009558677673,0.7781892418861389,1.295116901397705,1.0432701110839844,0.0,0.0,0.0,1.2511404245739957,1.2511404245739957,1.2500625763036999,0.05192222383675903,1.0,3.00740647315979,2.8785645961761475,1.2884196043014526,1.03228759765625,0.0,0.0,0.0,2.8785645736023615,1.2870841884040132,-0.027488607141464543,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03347094458172524,-0.6786657743651159,3.704943323751236e-13,0.6786657743651159,1.0,-0.6786657743651159,3.704943323751236e-13,-1.0,0.6786657743651159,1.0,0.4022238354201342,0.04317665100097656,4.311413764953613,4.35459041595459,-0.3524525102472989,-0.03228759440875151,1.0,-0.03228759440875151,-0.03228759440875151,-0.36899976793943523,-0.36899976793943523,-0.5610549319089229,-0.5610549319089229,-0.447467746732088,-0.447467746732088
5.0,0.8592872619628906,0.7304452657699585,1.2884196043014526,1.03228759765625,0.0,0.0,0.0,1.1547256509860446,1.1547256509860446,1.1535713569462966,0.0516183443963912,1.0,2.9792323112487793,2.851057291030884,1.2817509174346924,1.021382451057434,0.0,0.0,0.0,2.851057101082269,1.2759965357977445,-0.015734102877951312,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040672670137022866,-0.754482054172097,2.1091307142844553e-17,0.754482054172097,1.0,-0.754482054172097,2.1091307142844553e-17,-1.0,0.754482054172097,1.0,0.41957849689513543,0.05873727798461914,4.298559188842773,4.357296466827393,-0.3468430179408967,-0.02138241716803102,1.0,-0.02138241716803102,-0.02138241716803102,-0.3656940256431478,-0.3656940256431478,-0.5537067057770892,-0.5537067057770892,-0.44658892317531995,-0.44658892317531995
6.0,0.8205431699752808,0.6923680901527405,1.2817509174346924,1.021382451057434,0.0,0.0,0.0,1.1400384492867723,1.1400384492867723,1.1388818496827888,0.05134002644426934,1.0,2.954113006591797,2.8266050815582275,1.2750802040100098,1.0104972124099731,0.0,0.0,0.0,2.826604840090032,1.270015486255006,-0.005054586219372492,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04869735565830243,-0.8127751752315876,6.940244102630152e-22,0.8127751752315876,1.0,-0.8127751752315876,6.940244102630152e-22,-1.0,0.8127751752315876,1.0,0.44005171725743997,0.07402610778808594,4.284926414489746,4.358952522277832,-0.34122598733304893,-0.010497166330163621,1.0,-0.010497166330163621,-0.010497166330163621,-0.3622929130468695,-0.3622929130468695,-0.5464055993831161,-0.5464055993831161,-0.44570827057204854,-0.44570827057204854
7.0,0.7840332984924316,0.6565252542495728,1.2750802040100098,1.0104972124099731,0.0,0.0,0.0,0.7079627583963986,0.7079627583963986,0.7061171795854718,0.05108616222125002,1.0,2.9282827377319336,2.8014416694641113,1.2684112787246704,0.999627947807312,0.0,0.0,0.0,2.80144141638455,1.267064473725799,0.005146567787854772,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05723998846996776,-0.8488781656158644,1.5517311705751293e-25,0.8488781656158644,1.0,-0.8488781656158644,1.5517311705751293e-25,-1.0,0.8488781656158644,1.0,0.4600773366952046,0.0903162956237793,4.270397186279297,4.360713481903076,-0.33560706253525185,0.00037213739593966455,1.0,0.00037213739593966455,0.00037213739593966455,-0.3588307515802782,-0.3588307515802782,-0.539133031316614,-0.539133031316614,-0.4448366046400565,-0.4448366046400565
8.0,0.7578667402267456,0.6310256123542786,1.2684112787246704,0.999627947807312,0.0,0.0,0.0,0.6992900522499315,0.6992900522499315,0.6974384309208373,0.05085481541007085,1.0,2.8973681926727295,2.771193742752075,1.261743426322937,0.9887641072273254,0.0,0.0,0.0,2.7711937369529007,1.2608861249067227,0.016540867300485023,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06613884039065232,-0.8763340495227361,5.109432652409748e-29,0.8763340495227361,1.0,-0.8763340495227361,5.109432652409748e-29,-1.0,0.8763340495227361,1.0,0.48106507548970295,0.10726499557495117,4.254944801330566,4.362209796905518,-0.32998843449159787,0.011235902134528741,1.0,0.011235902134528741,0.011235902134528741,-0.3553231437370945,-0.3553231437370945,-0.5318854528843338,-0.5318854528843338,-0.44398104347949463,-0.44398104347949463
9.0,0.7370468378067017,0.6108725070953369,1.261743426322937,0.9887641072273254,0.0,0.0,0.0,0.8280841776414748,0.8280841776414748,0.8265340188312346,0.05064504886803921,1.0,2.8686556816101074,2.743147611618042,1.2550796270370483,0.9779039025306702,0.0,0.0,0.0,2.743147453174695,1.2513468437828124,0.02707072010552436,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529968648273984,-0.8965869465675744,3.6241735466175257e-32,0.8965869465675744,1.0,-0.8965869465675744,3.6241735466175257e-32,-1.0,0.8965869465675744,1.0,0.502538908166281,0.12604856491088867,4.237820148468018,4.363868713378906,-0.32437369083746026,0.02209613225663387,1.0,0.02209613225663387,0.02209613225663387,-0.35177423911344263,-0.35177423911344263,-0.5246729552222396,-0.5246729552222396,-0.4431437012707955,-0.4431437012707955
10.0,0.7156205773353577,0.5901126265525818,1.2550796270370483,0.9779039025306702,0.0,0.0,0.0,0.6491895082044069,0.6491895082044069,0.6472257261439982,0.050456684195991815,1.0,2.8521313667297363,2.7272894382476807,1.2484201192855835,0.9670431017875671,0.0,0.0,0.0,2.727289281527326,1.2427863778236012,0.03328322182814839,5.5,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,5.5,22.0,5.5,22.0,5.5,22.0,5.5,22.0,2.3025851124040755,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08466743254928007,-0.9053573315487304,9.688484995949238e-34,0.9053573315487304,1.0,-0.9053573315487304,9.688484995949238e-34,-1.0,0.9053573315487304,1.0,0.5240826127295548,0.14684581756591797,4.218904972076416,4.365750789642334,-0.3187643022231583,0.032956895189140245,1.0,0.032956895189140245,0.032956895189140245,-0.3481823626825402,-0.3481823626825402,-0.5175077970531847,-0.5175077970531847,-0.44232394434605093,-0.44232394434605093
