display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.15897643619456875,-0.15897643619456875,-0.21966468246979678,0.21966468246979678,True,2.766666889190674,0.033585178956134935,1.6539764880217633,0.020543301286498762,1.0,0.1703877489341868,0.15897643619456875,0.15897643619456875,0.0,0.0,0.0,-0.20030487338727893,0.10459184646606445,0.20354224616241426,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.1483920960867881,-0.1483920960867881,-0.16661970342714244,0.16661970342714244,True,4.029084205627441,0.02254566989601716,1.9479735390350614,0.027405856177572914,0.6477272727272727,0.29568112841611904,-0.006111091543094644,-0.006111091543094644,0.0,0.0,0.0,-0.06989827476606504,0.0733027458190918,0.22568233577947844,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,1,multiseed_economics_lstm_seed1,ctfp,effective_labor_aware,lag_occlusion,proxy_effective_labor_anchor,-1.0,,,0.10199339354204819,-0.10199339354204819,0.1757668166694015,-0.1757668166694015,True,5.359779357910156,1.9857652825971337,1.8462516295617315,0.6882504600519884,0.29545454545454547,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,2,multiseed_economics_lstm_seed2,ctfp,effective_labor_aware,lag_occlusion,proxy_effective_labor_anchor,-1.0,,,0.06356359200554158,-0.06356359200554158,0.1262246766703826,-0.1262246766703826,True,5.413700580596924,1.6030873570131932,2.0074090480987197,0.5096323209924363,0.4090909090909091,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,1,multiseed_economics_ablation_no_recon_regularization_seed1,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,0.009721390581522316,-0.009721390581522316,-0.2673910746363285,0.2673910746363285,True,4.016073226928711,0.007005287317634786,1.931289459662567,0.006759621103064552,0.8863636363636364,0.1946068883655964,0.17419252580042976,0.17419252580042976,0.0,0.0,0.0,-0.019719578530346688,0.0232391357421875,0.21934500446205224,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,0,multiseed_economics_lstm_seed0,ctfp,effective_labor_aware,lag_occlusion,proxy_effective_labor_anchor,-1.0,,,-0.1380486357114492,0.1380486357114492,-0.05231130062283561,0.05231130062283561,True,5.597138404846191,1.9502083323351114,1.834021552324382,0.6982786337417861,0.3068181818181818,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,0,multiseed_economics_ablation_no_recon_regularization_seed0,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,-0.21977034975872642,0.21977034975872642,-0.5746715508435772,0.5746715508435772,True,2.779693126678467,0.0395142393104675,1.6633773224112323,0.023944678238505306,1.0,0.21896938453981704,-0.22389137402698042,-0.22389137402698042,0.0,0.0,0.0,-0.18459087246417383,0.12907695770263672,0.20307530260817214,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,-0.5158148709097954,0.5158148709097954,-0.4092670212391251,0.4092670212391251,True,4.4726152420043945,0.18425186709721708,1.8742936743260799,0.03733876363700808,1.0,0.16259456530242242,-0.5158148709097954,-0.5158148709097954,0.0,0.0,0.0,-1.125533669159358,0.6072015762329102,0.2477011322242387,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,2,multiseed_economics_ablation_no_recon_regularization_seed2,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,-0.8167200873516257,0.8167200873516257,-0.8050086294952625,0.8050086294952625,True,4.475096225738525,0.31382539933002357,1.8691445494634598,0.059779933105601014,0.9318181818181818,0.27474424311270984,-0.8167200873516257,-0.8167200873516257,0.0,0.0,0.0,-1.1523161146783603,0.9759039878845215,0.37193417212230584,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,2,multiseed_economics_ablation_uniform_lag_seed2,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.2508082667452619,0.9346800042266916,0.9346800042266916,0.0,0.0,0.0,0.9350372467073258,0.7743930816650391,0.435581153510982,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,0,multiseed_economics_ablation_uniform_lag_seed0,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.1655898716509057,0.23130569546687335,0.23130569546687335,0.0,0.0,0.0,0.23689273761548876,0.13284730911254883,0.229172579382531,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,1,multiseed_economics_ablation_uniform_lag_seed1,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.10896224491671393,-0.23507449543869538,-0.23507449543869538,0.0,0.0,0.0,0.7041479025536188,0.22480487823486328,0.2191501873272916,True,softmax,0.0,,,0.0,1.0
Grouped ARDL,grouped_ardl,,0,multiseed_economics_grouped_ardl_seed0,ctfp,effective_labor_aware,grouped_distributed_lag_ols,proxy_effective_labor_anchor,-1.0,,,,,,,,5.510465149008437,,,,,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Grouped ARDL,grouped_ardl,,1,multiseed_economics_grouped_ardl_seed1,ctfp,effective_labor_aware,grouped_distributed_lag_ols,proxy_effective_labor_anchor,-1.0,,,,,,,,5.510465149008437,,,,,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Grouped ARDL,grouped_ardl,,2,multiseed_economics_grouped_ardl_seed2,ctfp,effective_labor_aware,grouped_distributed_lag_ols,proxy_effective_labor_anchor,-1.0,,,,,,,,5.510465149008437,,,,,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,0,multiseed_economics_ablation_no_ac_encoder_seed0,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,skipped_rank_deficient,False,,,,,False,3.183168649673462,0.0,1.7555150897432819,2.220446049250313e-16,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,1,multiseed_economics_ablation_no_ac_encoder_seed1,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,skipped_rank_deficient,False,,,,,False,4.586178779602051,0.0,1.9799498710373165,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,2,multiseed_economics_ablation_no_ac_encoder_seed2,ctfp,effective_labor_aware,learned_omega,proxy_effective_labor_anchor,-1.0,skipped_rank_deficient,False,,,,,False,3.7083969116210938,0.0,1.959076941890235,4.440892098500626e-16,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
