display_name,family,variant,seed,test_r2,test_baseline_grouped_ardl_r2,test_r2_delta_vs_grouped_ardl,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_std,test_effective_lag_entropy_mean,test_lag_gate_sensitivity_range,test_proxy_signal_r2
No AC Encoder,ablation,no_ac_encoder,0,0.03165235883636367,-0.08910696294806322,0.12075932178442689,,,0.0,1.7555150897432819,0.0,
No AC Encoder,ablation,no_ac_encoder,1,0.06693929933002137,-0.08910696294806322,0.1560462622780846,,,0.0,1.9799498710373165,0.0,
No AC Encoder,ablation,no_ac_encoder,2,0.05199832275853191,-0.08910696294806322,0.14110528570659514,,,0.0,1.959076941890235,0.0,
No Recon Regularization,ablation,no_recon_regularization,0,0.04632101770157289,-0.08910696294806322,0.13542798064963613,0.21977034975872642,0.5746715508435772,0.0395142393104675,1.6633773224112323,0.12907695770263672,0.20307530260817214
No Recon Regularization,ablation,no_recon_regularization,1,0.07236457466199217,-0.08910696294806322,0.1614715376100554,-0.009721390581522316,0.2673910746363285,0.007005287317634786,1.931289459662567,0.0232391357421875,0.21934500446205224
No Recon Regularization,ablation,no_recon_regularization,2,0.072683197449128,-0.08910696294806322,0.16179016039719124,0.8167200873516257,0.8050086294952625,0.31382539933002357,1.8691445494634598,0.9759039878845215,0.37193417212230584
Uniform Lag,ablation,uniform_lag,0,0.10849214128027602,-0.08910696294806322,0.19759910422833926,,,0.0,2.3025851124040755,0.13284730911254883,0.229172579382531
Uniform Lag,ablation,uniform_lag,1,0.091414293909957,-0.08910696294806322,0.18052125685802023,,,0.0,2.3025851124040755,0.22480487823486328,0.2191501873272916
Uniform Lag,ablation,uniform_lag,2,0.050472247930216985,-0.08910696294806322,0.1395792108782802,,,0.0,2.3025851124040755,0.7743930816650391,0.435581153510982
CMDL,cmdl,,0,0.04450360476069796,-0.08910696294806322,0.13361056770876117,-0.15897643619456875,0.21966468246979678,0.033585178956134935,1.6539764880217633,0.10459184646606445,0.20354224616241426
CMDL,cmdl,,1,0.07521488532355156,-0.08910696294806322,0.16432184827161478,-0.1483920960867881,0.16661970342714244,0.02254566989601716,1.9479735390350614,0.0733027458190918,0.22568233577947844
CMDL,cmdl,,2,0.07251083898405496,-0.08910696294806322,0.16161780193211817,0.5158148709097954,0.4092670212391251,0.18425186709721708,1.8742936743260799,0.6072015762329102,0.2477011322242387
Grouped ARDL,grouped_ardl,,0,-0.08910696294806322,,,,,,,,
Grouped ARDL,grouped_ardl,,1,-0.08910696294806322,,,,,,,,
Grouped ARDL,grouped_ardl,,2,-0.08910696294806322,,,,,,,,
Plain LSTM,plain_lstm,,0,0.008364475337645626,-0.08910696294806322,0.09747143828570885,0.1380486357114492,0.05231130062283561,1.9502083323351114,1.834021552324382,,
Plain LSTM,plain_lstm,,1,0.10683438734084225,-0.08910696294806322,0.19594135028890547,-0.10199339354204819,-0.1757668166694015,1.9857652825971337,1.8462516295617315,,
Plain LSTM,plain_lstm,,2,0.11892337732414138,-0.08910696294806322,0.2080303402722046,-0.06356359200554158,-0.1262246766703826,1.6030873570131932,2.0074090480987197,,
