display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
Plain LSTM,plain_lstm,,2,multiseed_economics_lstm_seed2,ctfp,effective_labor_aware,29,2.4145281314849854,0.11892337732414138,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.817909824905853,0.09791782004603448,0.2080303402722046,1.4335961831061717,3.53607402925703
Uniform Lag,ablation,uniform_lag,0,multiseed_economics_ablation_uniform_lag_seed0,ctfp,effective_labor_aware,23,2.502127170562744,0.10849214128027602,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8283410609497183,0.08748658400216913,0.19759910422833926,1.4461726848972831,3.584601277756667
Plain LSTM,plain_lstm,,1,multiseed_economics_lstm_seed1,ctfp,effective_labor_aware,26,2.5539519786834717,0.10683438734084225,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8299988148891521,0.08582883006273535,0.19594135028890547,1.4586303736977657,3.588208436448496
Uniform Lag,ablation,uniform_lag,1,multiseed_economics_ablation_uniform_lag_seed1,ctfp,effective_labor_aware,24,2.548159599304199,0.091414293909957,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8454189083200373,0.07040873663185011,0.18052125685802023,1.455492472381411,3.6499666845814565
CMDL,cmdl,,1,multiseed_economics_cmdl_seed1,ctfp,effective_labor_aware,24,2.4432642459869385,0.07521488532355156,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8616183169064427,0.05420932804544466,0.16432184827161478,1.4749374895740401,3.7216852871010038
No Recon Regularization,ablation,no_recon_regularization,2,multiseed_economics_ablation_no_recon_regularization_seed2,ctfp,effective_labor_aware,25,2.5848915576934814,0.072683197449128,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8641500047808663,0.05167764017102111,0.16179016039719124,1.4714740947899785,3.7244372416515916
CMDL,cmdl,,2,multiseed_economics_cmdl_seed2,ctfp,effective_labor_aware,25,2.583634853363037,0.07251083898405496,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8643223632459394,0.051505281705948064,0.16161780193211817,1.4706449119474863,3.725054063753163
No Recon Regularization,ablation,no_recon_regularization,1,multiseed_economics_ablation_no_recon_regularization_seed1,ctfp,effective_labor_aware,25,2.4471611976623535,0.07236457466199217,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8644686275680021,0.05135901738388528,0.1614715376100554,1.473243088428138,3.7321654030877944
No AC Encoder,ablation,no_ac_encoder,1,multiseed_economics_ablation_no_ac_encoder_seed1,ctfp,effective_labor_aware,24,2.5842857360839844,0.06693929933002137,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8698939028999729,0.04593374205191447,0.1560462622780846,1.4688948863582978,3.7475256553678373
No AC Encoder,ablation,no_ac_encoder,2,multiseed_economics_ablation_no_ac_encoder_seed2,ctfp,effective_labor_aware,25,2.558161735534668,0.05199832275853191,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8848348794714624,0.03099276548042502,0.14110528570659514,1.4998241260907228,3.8088233920384047
Uniform Lag,ablation,uniform_lag,2,multiseed_economics_ablation_uniform_lag_seed2,ctfp,effective_labor_aware,25,2.6389331817626953,0.050472247930216985,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8863609542997773,0.029466690652110095,0.1395792108782802,1.501121976167848,3.81095004368288
No Recon Regularization,ablation,no_recon_regularization,0,multiseed_economics_ablation_no_recon_regularization_seed0,ctfp,effective_labor_aware,17,2.4199609756469727,0.04632101770157289,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8905121845284214,0.025315460423466,0.13542798064963613,1.4857392684837165,3.8379117889532823
CMDL,cmdl,,0,multiseed_economics_cmdl_seed0,ctfp,effective_labor_aware,17,2.418583393096924,0.04450360476069796,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8923295974692964,0.02349804748259107,0.13361056770876117,1.4874505677943242,3.8457590790034475
No AC Encoder,ablation,no_ac_encoder,0,multiseed_economics_ablation_no_ac_encoder_seed0,ctfp,effective_labor_aware,11,2.5405311584472656,0.03165235883636367,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.9051808433936307,0.010646801558256782,0.12075932178442689,1.499241496949071,3.8955835746030547
