family,display_name,experiment,model,variant,lag_method,tracking_backend,device,domain,scenario,seed,target_column,feature_bundle,seq_feature_names,proxy_feature_names,static_feature_names,source_path,stats_end_year,year_start,year_end,train_end_year,val_end_year,train_year_start,train_year_end,val_year_start,val_year_end,test_year_start,test_year_end,n_entities,full_seq_length,max_lag,d_model,seq_features,n_proxies,static_dim,lambda_r,effective_lambda_r,temperature,lag_bias_strength,lstm_layers,dropout,noise_std,best_epoch,best_val_task_loss,proxy_refit_status,proxy_refit_applied,proxy_metric_interpretable,proxy_refit_reason,proxy_design_rank,proxy_design_columns,proxy_latent_std,proxy_target_std,run_dir,output_root,train_total_loss,train_task_loss,train_recon_loss,train_mse,train_mae,train_r2,train_proxy_recon_r2,train_proxy_metric_valid,train_kstar_proxy_spearman_rho,train_kstar_proxy_spearman_p,train_kstar_mean,train_kstar_std,train_kstar_proxy_metric_valid,train_omega_entropy_mean,train_proxy_signal_r2,train_proxy_signal_metric_valid,train_effective_kstar_proxy_spearman_rho,train_effective_kstar_proxy_spearman_p,train_effective_kstar_mean,train_effective_kstar_std,train_effective_lag_entropy_mean,train_effective_kstar_proxy_metric_valid,val_total_loss,val_task_loss,val_recon_loss,val_mse,val_mae,val_r2,val_proxy_recon_r2,val_proxy_metric_valid,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_mean,val_kstar_std,val_kstar_proxy_metric_valid,val_omega_entropy_mean,val_proxy_signal_r2,val_proxy_signal_metric_valid,val_effective_kstar_proxy_spearman_rho,val_effective_kstar_proxy_spearman_p,val_effective_kstar_mean,val_effective_kstar_std,val_effective_lag_entropy_mean,val_effective_kstar_proxy_metric_valid,test_total_loss,test_task_loss,test_recon_loss,test_mse,test_mae,test_r2,test_proxy_recon_r2,test_proxy_metric_valid,test_kstar_proxy_spearman_rho,test_kstar_proxy_spearman_p,test_kstar_mean,test_kstar_std,test_kstar_proxy_metric_valid,test_omega_entropy_mean,test_proxy_signal_r2,test_proxy_signal_metric_valid,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_p,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_kstar_proxy_metric_valid,train_posthoc_kstar_proxy_spearman_rho,train_posthoc_kstar_proxy_spearman_p,train_posthoc_kstar_mean,train_posthoc_kstar_std,train_lag_profile_entropy_mean,val_posthoc_kstar_proxy_spearman_rho,val_posthoc_kstar_proxy_spearman_p,val_posthoc_kstar_mean,val_posthoc_kstar_std,val_lag_profile_entropy_mean,test_posthoc_kstar_proxy_spearman_rho,test_posthoc_kstar_proxy_spearman_p,test_posthoc_kstar_mean,test_posthoc_kstar_std,test_lag_profile_entropy_mean
cmdl,CMDL,phase_b_cmdl_ctfp_effective_labor_aware_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,ctfp,effective_labor_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_effective_labor_anchor,proxy_employment_level,proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,88,44,10,64,3,4,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.7666897773742676,applied_ols,True,True,,2.0,2.0,0.1310135741562095,0.9999999992181845,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl\phase_b_cmdl_ctfp_effective_labor_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl,0.8938416242599487,0.812437117099762,0.8140453696250916,0.8124371878692497,0.7054693106989417,-0.06690035686394473,0.1859546434098072,1.0,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.0,1.6892387866973877,0.1859546434098072,True,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.6892387866973877,True,2.8480942249298096,2.7666897773742676,0.8140453696250916,2.7666898601051892,1.2496287343815449,0.0056771492290491055,0.1859546434098072,1.0,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.0,1.6892387866973877,0.1859546434098072,True,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.6892387866973877,True,4.207009315490723,4.125604629516602,0.8140453696250916,4.125604976670557,1.5513457732301752,-0.027350880833847215,0.1859546434098072,1.0,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.0,1.6892387866973877,0.1859546434098072,True,-0.31307594429851676,0.0029783280065566312,2.9510765075683594,0.017658988013863564,1.6892387866973877,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,phase_b_lstm_ctfp_effective_labor_aware_seed0,plain_lstm,,lag_occlusion,json,cpu,economics,linear,0,ctfp,effective_labor_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_effective_labor_anchor,proxy_employment_level,proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,88,44,10,64,3,4,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.7758498191833496,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm\phase_b_lstm_ctfp_effective_labor_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm,,0.7118112444877625,,0.7118112615750931,0.6734418436230264,0.07868455927518224,,,,,,,,,,,0.06286248403438059,0.5606700264623151,5.337837219238281,1.5082671642303467,1.9962985515594482,,,2.7758498191833496,,2.7758497160092106,1.2609190860036479,0.008206350788841632,,,,,,,,,,,-0.08965615467248327,0.40614399285317115,5.2415313720703125,2.0329179763793945,1.7716258764266968,,,4.1464104652404785,,4.146410410204658,1.5463896911321584,-0.03218670478550436,,,,,,,,,,,0.004140550095941921,0.9694591833339736,5.744872570037842,1.9460335969924927,1.889461636543274,,0.06286248403438059,0.5606700264623151,5.337837219238281,1.5082671642303467,1.9962985515594482,-0.08965615467248327,0.40614399285317115,5.2415313720703125,2.0329179763793945,1.7716258764266968,0.004140550095941921,0.9694591833339736,5.744872570037842,1.9460335969924927,1.889461636543274
cmdl,CMDL,phase_b_cmdl_ctfp_growth_aware_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.8187649250030518,applied_ols,True,True,,2.0,2.0,0.07091233536208844,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl\phase_b_cmdl_ctfp_growth_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl,0.8395371437072754,0.7854246497154236,0.5411250591278076,0.7854246388919234,0.7050199337252206,0.036540173451622936,0.45887494270095414,1.0,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.0,1.9164228439331055,0.45887494270095414,True,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.9164228439331055,True,2.872877359390259,2.8187649250030518,0.5411250591278076,2.818764968972019,1.263051775669945,0.001827067111554263,0.45887494270095414,1.0,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.0,1.9164228439331055,0.45887494270095414,True,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.9164228439331055,True,4.425029754638672,4.370917320251465,0.5411250591278076,4.370917625545102,1.5900083947204016,-0.05361861033045538,0.45887494270095414,1.0,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.0,1.9164228439331055,0.45887494270095414,True,0.8987974289861083,1.1190290231024704e-38,4.807129859924316,0.08396933972835541,1.9164228439331055,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,phase_b_lstm_ctfp_growth_aware_seed0,plain_lstm,,lag_occlusion,json,cpu,economics,linear,0,ctfp,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,3,2.9638190269470215,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm\phase_b_lstm_ctfp_growth_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm,,0.7869176268577576,,0.7869176011277302,0.7011049292200903,0.021222946556983938,,,,,,,,,,,0.0021520047125653265,0.9826174318716889,5.525059700012207,1.689954400062561,1.9294288158416748,,,2.9638190269470215,,2.9638191064124007,1.2947329009838757,-0.05590554610082088,,,,,,,,,,,0.02780168364315781,0.7783064327648264,5.188999652862549,2.259523630142212,1.733508825302124,,,4.395069599151611,,4.3950700603212365,1.5944932288982645,-0.0595467077693896,,,,,,,,,,,0.1067683240441443,0.2783401497345563,5.588688373565674,2.0620713233947754,1.8667802810668945,,0.0021520047125653265,0.9826174318716889,5.525059700012207,1.689954400062561,1.9294288158416748,0.02780168364315781,0.7783064327648264,5.188999652862549,2.259523630142212,1.733508825302124,0.1067683240441443,0.2783401497345563,5.588688373565674,2.0620713233947754,1.8667802810668945
cmdl,CMDL,phase_b_cmdl_ctfp_minimal_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,ctfp,minimal,x_t,proxy_hc,"static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,1,1,2,0.1,0.1,1.0,1.0,2,0.05,0.1,1,3.0047285556793213,applied_ols,True,True,,2.0,2.0,0.02289970929097836,0.9999999916324677,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl\phase_b_cmdl_ctfp_minimal_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl,1.053231120109558,0.9871756434440613,0.6605549454689026,0.9871755536020723,0.7892221859001823,-0.2259062535197273,0.33944505547084547,1.0,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.0,1.8176125288009644,0.33944505547084547,True,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.8176125288009644,True,3.070784091949463,3.0047285556793213,0.6605549454689026,3.0047286414431573,1.3183223868690668,-0.07530472792234928,0.33944505547084547,1.0,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.0,1.8176125288009644,0.33944505547084547,True,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.8176125288009644,True,4.469913959503174,4.403858661651611,0.6605549454689026,4.403858653787732,1.6244418336171795,-0.06209216394424126,0.33944505547084547,1.0,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.0,1.8176125288009644,0.33944505547084547,True,-0.47376114451586143,3.3153814820638897e-07,5.386937141418457,0.01822454109787941,1.8176125288009644,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,phase_b_lstm_ctfp_minimal_seed0,plain_lstm,,lag_occlusion,json,cpu,economics,linear,0,ctfp,minimal,x_t,proxy_hc,"static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,1,1,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.990565299987793,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm\phase_b_lstm_ctfp_minimal_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm,,0.7612180113792419,,0.7612180407945411,0.690750989985619,0.05717502413020321,,,,,,,,,,,-0.009574880955094211,0.9227731839339246,5.343835830688477,1.2058253288269043,2.14902400970459,,,2.990565299987793,,2.990565542399866,1.305748499654943,-0.05706507749609783,,,,,,,,,,,0.014650384245653892,0.8820802223040164,5.693256855010986,1.1749542951583862,2.141073703765869,,,4.638017177581787,,4.638017039659365,1.6366456674576122,-0.11907259511181326,,,,,,,,,,,0.0025690549792460322,0.979249444486679,5.400427341461182,1.2482284307479858,2.146393299102783,,-0.009574880955094211,0.9227731839339246,5.343835830688477,1.2058253288269043,2.14902400970459,0.014650384245653892,0.8820802223040164,5.693256855010986,1.1749542951583862,2.141073703765869,0.0025690549792460322,0.979249444486679,5.400427341461182,1.2482284307479858,2.146393299102783
cmdl,CMDL,phase_b_cmdl_rtfpna_effective_labor_aware_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,rtfpna,effective_labor_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_effective_labor_anchor,proxy_employment_level,proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,88,44,10,64,3,4,2,0.1,0.1,1.0,1.0,2,0.05,0.1,1,2.9012198448181152,applied_ols,True,True,,2.0,2.0,0.1274508210673163,0.9999999992181845,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl\phase_b_cmdl_rtfpna_effective_labor_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl,1.059097170829773,0.9793840646743774,0.7971315979957581,0.9793840306149495,0.8174051956017561,-0.3903927740673725,0.2028683526635888,1.0,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.0,1.7066051959991455,0.2028683526635888,True,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.7066051959991455,True,2.9809329509735107,2.9012198448181152,0.7971315979957581,2.9012198205767716,1.3524111774701548,-0.03264647666476761,0.2028683526635888,1.0,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.0,1.7066051959991455,0.2028683526635888,True,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.7066051959991455,True,5.380309104919434,5.300595760345459,0.7971315979957581,5.300595545833043,1.7543962327922187,-0.03365476039334625,0.2028683526635888,1.0,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.0,1.7066051959991455,0.2028683526635888,True,-0.40703039695678217,8.301703994687425e-05,3.0175421237945557,0.012506312690675259,1.7066051959991455,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,phase_b_lstm_rtfpna_effective_labor_aware_seed0,plain_lstm,,lag_occlusion,json,cpu,economics,linear,0,rtfpna,effective_labor_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_effective_labor_anchor,proxy_employment_level,proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,88,44,10,64,3,4,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.597627639770508,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm\phase_b_lstm_rtfpna_effective_labor_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm,,0.6948665380477905,,0.6948665492544956,0.680576987788722,0.05312925737636295,,,,,,,,,,,0.09378376943253432,0.3847879434674031,5.295373916625977,1.5763659477233887,1.9827793836593628,,,2.597627639770508,,2.5976275353931615,1.2621405210551475,0.07883627046018615,,,,,,,,,,,-0.08147869423260502,0.4504498820406895,5.765693187713623,2.1346542835235596,1.7278176546096802,,,4.829084873199463,,4.8290846382634385,1.6915923061558384,0.05719680023798238,,,,,,,,,,,0.029841704349090954,0.7825489793249959,5.398257732391357,1.7720777988433838,1.9662551879882812,,0.09378376943253432,0.3847879434674031,5.295373916625977,1.5763659477233887,1.9827793836593628,-0.08147869423260502,0.4504498820406895,5.765693187713623,2.1346542835235596,1.7278176546096802,0.029841704349090954,0.7825489793249959,5.398257732391357,1.7720777988433838,1.9662551879882812
cmdl,CMDL,phase_b_cmdl_rtfpna_growth_aware_seed0,cmdl,,learned_omega,json,cpu,economics,linear,0,rtfpna,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.8568031787872314,applied_ols,True,True,,2.0,2.0,0.06461143966958575,0.9999999911838968,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl\phase_b_cmdl_rtfpna_growth_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\cmdl,0.7811588048934937,0.7248213291168213,0.5633744597434998,0.7248213628322492,0.6950183721147133,0.06499243385507529,0.43662547202866503,1.0,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.0,1.9147424697875977,0.43662547202866503,True,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.9147424697875977,True,2.9131405353546143,2.8568031787872314,0.5633744597434998,2.8568031351464174,1.3185713927346534,0.0037603953845173343,0.43662547202866503,1.0,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.0,1.9147424697875977,0.43662547202866503,True,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.9147424697875977,True,4.967577934265137,4.911240577697754,0.5633744597434998,4.911240954689452,1.7212281131362985,0.04015574018148347,0.43662547202866503,1.0,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.0,1.9147424697875977,0.43662547202866503,True,0.9101181837030893,3.3359414666892247e-41,4.838705062866211,0.07564406096935272,1.9147424697875977,True,,,,,,,,,,,,,,,
plain_lstm,Plain LSTM,phase_b_lstm_rtfpna_growth_aware_seed0,plain_lstm,,lag_occlusion,json,cpu,economics,linear,0,rtfpna,growth_aware,"x_cap_deepening,x_log_rgdpna_growth,x_log_ck_growth","proxy_hc_level,proxy_hc_trend","static_log_rgdpna,static_log_ck",C:\DevSpace\PyDevspace\CMDL\data\economics\processed\economics_cleaned_long_v2.csv,2007,1980,2023,2007,2013,1980,2007,1998,2013,2004,2023,105,44,10,64,3,2,2,0.1,0.1,1.0,1.0,2,0.05,0.1,4,2.653783082962036,,,,,,,,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm\phase_b_lstm_rtfpna_growth_aware_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_economics\phase_b_screening\plain_lstm,,0.6907218098640442,,0.6907218105476047,0.667053715773937,0.08836739630851012,,,,,,,,,,,-0.05716236101255163,0.5624527350945178,5.387896537780762,1.5254460573196411,2.079724073410034,,,2.653783082962036,,2.6537830297182,1.2314668657949253,0.08047829685617482,,,,,,,,,,,0.1868466132706084,0.056322352812663894,5.832986354827881,2.2305941581726074,1.7178524732589722,,,4.835533618927002,,4.835532999537425,1.6910437254634287,0.0580824613545811,,,,,,,,,,,-0.08894528709267618,0.366898628316111,5.073703765869141,1.7388497591018677,1.9081792831420898,,-0.05716236101255163,0.5624527350945178,5.387896537780762,1.5254460573196411,2.079724073410034,0.1868466132706084,0.056322352812663894,5.832986354827881,2.2305941581726074,1.7178524732589722,-0.08894528709267618,0.366898628316111,5.073703765869141,1.7388497591018677,1.9081792831420898
