display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_mae,test_mse
CMDL,cmdl,,0,phase_b_cmdl_ctfp_effective_labor_aware_seed0,ctfp,effective_labor_aware,4,2.7666897773742676,-0.027350880833847215,1.5513457732301752,4.125604976670557
Plain LSTM,plain_lstm,,0,phase_b_lstm_ctfp_effective_labor_aware_seed0,ctfp,effective_labor_aware,4,2.7758498191833496,-0.03218670478550436,1.5463896911321584,4.146410410204658
CMDL,cmdl,,0,phase_b_cmdl_ctfp_growth_aware_seed0,ctfp,growth_aware,4,2.8187649250030518,-0.05361861033045538,1.5900083947204016,4.370917625545102
Plain LSTM,plain_lstm,,0,phase_b_lstm_ctfp_growth_aware_seed0,ctfp,growth_aware,3,2.9638190269470215,-0.0595467077693896,1.5944932288982645,4.3950700603212365
CMDL,cmdl,,0,phase_b_cmdl_ctfp_minimal_seed0,ctfp,minimal,1,3.0047285556793213,-0.06209216394424126,1.6244418336171795,4.403858653787732
Plain LSTM,plain_lstm,,0,phase_b_lstm_ctfp_minimal_seed0,ctfp,minimal,4,2.990565299987793,-0.11907259511181326,1.6366456674576122,4.638017039659365
Plain LSTM,plain_lstm,,0,phase_b_lstm_rtfpna_effective_labor_aware_seed0,rtfpna,effective_labor_aware,4,2.597627639770508,0.05719680023798238,1.6915923061558384,4.8290846382634385
CMDL,cmdl,,0,phase_b_cmdl_rtfpna_effective_labor_aware_seed0,rtfpna,effective_labor_aware,1,2.9012198448181152,-0.03365476039334625,1.7543962327922187,5.300595545833043
Plain LSTM,plain_lstm,,0,phase_b_lstm_rtfpna_growth_aware_seed0,rtfpna,growth_aware,4,2.653783082962036,0.0580824613545811,1.6910437254634287,4.835532999537425
CMDL,cmdl,,0,phase_b_cmdl_rtfpna_growth_aware_seed0,rtfpna,growth_aware,4,2.8568031787872314,0.04015574018148347,1.7212281131362985,4.911240954689452
CMDL,cmdl,,0,phase_b_cmdl_rtfpna_minimal_seed0,rtfpna,minimal,4,2.86576771736145,0.05839104360751028,1.6999867039040795,4.818311210342761
Plain LSTM,plain_lstm,,0,phase_b_lstm_rtfpna_minimal_seed0,rtfpna,minimal,4,3.083465576171875,-0.003470690670264198,1.7547179146900418,5.128192894473748
