epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_government_effectiveness_spearman_rho,val_kstar_proxy_government_effectiveness_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_regulatory_quality_spearman_rho,val_kstar_proxy_regulatory_quality_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_rule_of_law_spearman_rho,val_kstar_proxy_rule_of_law_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_government_effectiveness_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_regulatory_quality_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_rule_of_law_recon_r2
1.0,2.027672529220581,1.9097859859466553,1.1788661479949951,1.0540549755096436,0.0,0.0,0.0,9.195239456580842,9.195239456580842,9.19508657013012,0.053024821299419884,1.0,17.97808837890625,17.85948944091797,1.185979962348938,1.059192180633545,0.0,0.0,0.0,17.859487120687753,2.60004999806396,-0.09240656317020102,3.4163506031036377,0.009840967613797026,0.0,-1.0,-0.2733089695115012,0.015472844919318269,0.2733089695115012,1.0,-0.26696088721405176,0.018141255993515824,0.26696088721405176,1.0,-0.2733089695115012,0.015472844919318269,0.2733089695115012,1.0,-0.2733089695115012,0.2733089695115012,-0.24882712224484374,0.028036331675532013,0.24882712224484374,1.0,-0.24882712224484374,0.24882712224484374,-0.2675678751628119,0.017870087982466292,0.2675678751628119,1.0,-0.2675678751628119,0.2675678751628119,3.4182984232902527,20.0,3.41423269322044,19.0,3.4230003984350907,19.0,3.4100958704948425,20.0,1.3476304349206998,0.007346108507606822,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05423401895552613,-0.6550285157880095,7.71062917258076e-11,0.6550285157880095,1.0,-0.6550285157880095,7.71062917258076e-11,-1.0,0.6550285157880095,1.0,-0.06736919895019769,0.030442237854003906,3.405235767364502,3.435678005218506,-0.18597980086387098,-0.059192205297915246,1.0,-0.059192205297915246,-0.059192205297915246,-0.4743497237373506,-0.4743497237373506,-0.02439747355634747,-0.02439747355634747
2.0,1.571273684501648,1.452675700187683,1.185979962348938,1.059192180633545,0.0,0.0,0.0,4.474434717210047,4.474434717210047,4.47411551446905,0.053445315621760726,1.0,16.8813533782959,16.762062072753906,1.192920207977295,1.063554048538208,0.0,0.0,0.0,16.7620616655334,2.448414239095142,-0.007654680163883561,3.3740406036376953,0.008254580062113461,0.0,-1.0,-0.5822911265949241,2.242777457378638e-08,0.5822911265949241,1.0,-0.5779410462954766,3.015539251029337e-08,0.5779410462954766,1.0,-0.5822911265949241,2.242777457378638e-08,0.5822911265949241,1.0,-0.5822911265949241,0.5822911265949241,-0.5681280744571883,5.7895325698663484e-08,0.5681280744571883,1.0,-0.5681280744571883,0.5681280744571883,-0.5616788275016124,8.787378532017046e-08,0.5616788275016124,1.0,-0.5616788275016124,0.5616788275016124,3.3808162331581117,20.0,3.3732521533966064,19.0,3.3752224947276868,19.0,3.366890621185303,20.0,1.3294143119289357,0.008236947037062842,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04847905414442182,-0.6436222005842258,2.0749178427846073e-10,0.6436222005842258,1.0,-0.6436222005842258,2.0749178427846073e-10,-1.0,0.6436222005842258,1.0,0.026758923666917917,0.022214174270629883,3.3658313751220703,3.3880455493927,-0.1929200891355757,-0.0635540837622206,1.0,-0.0635540837622206,-0.0635540837622206,-0.49410197828225644,-0.49410197828225644,-0.021104205362251438,-0.021104205362251438
3.0,1.3885526657104492,1.2692606449127197,1.192920207977295,1.063554048538208,0.0,0.0,0.0,3.445038863964379,3.445038863964379,3.4446157507026856,0.05399170525139174,1.0,16.39263343811035,16.272676467895508,1.1995670795440674,1.0676567554473877,0.0,0.0,0.0,16.27267494548097,2.3718080431975137,0.03085359610436163,3.333876371383667,0.00842139762001468,0.0,-1.0,-0.8361891273283677,1.6192778640114998e-21,0.8361891273283677,1.0,-0.8371249004160395,1.3265272796695773e-21,0.8371249004160395,1.0,-0.8361891273283677,1.6192778640114998e-21,0.8361891273283677,1.0,-0.8361891273283677,0.8361891273283677,-0.8320666675097054,3.841283988597707e-21,0.8320666675097054,1.0,-0.8320666675097054,0.8320666675097054,-0.8192693382566799,4.867284655837404e-20,0.8192693382566799,1.0,-0.8192693382566799,0.8192693382566799,3.3439086079597473,20.0,3.333869218826294,19.0,3.3308669391431307,19.0,3.3267098546028135,20.0,1.3121075395092787,0.00901798243577936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04313675516542637,-0.6232122308071675,1.1041658557397027e-09,0.6232122308071675,1.0,-0.6232122308071675,1.1041658557397027e-09,-1.0,0.6232122308071675,1.0,0.09924366588585018,0.0238189697265625,3.326648473739624,3.3504674434661865,-0.1995668936686481,-0.06765679213618814,1.0,-0.06765679213618814,-0.06765679213618814,-0.513024184691248,-0.513024184691248,-0.018019704178508844,-0.018019704178508844
4.0,1.2828989028930664,1.1629421710968018,1.1995670795440674,1.0676567554473877,0.0,0.0,0.0,3.310609894902771,3.310609894902771,3.3101606592391213,0.054537017279647104,1.0,16.177425384521484,16.056821823120117,1.2060405015945435,1.0717065334320068,0.0,0.0,0.0,16.05681947524627,2.3273883565213596,0.0482694743917648,3.2960710525512695,0.009022764567653014,0.0,-1.0,-0.7141339672985242,2.133067031001101e-13,0.7141339672985242,1.0,-0.7201785556215936,1.0737681279919666e-13,0.7201785556215936,1.0,-0.7141339672985242,2.133067031001101e-13,0.7141339672985242,1.0,-0.7141339672985242,0.7141339672985242,-0.7358084953021662,1.6700410446244745e-14,0.7358084953021662,1.0,-0.7358084953021662,0.7358084953021662,-0.6879829031727765,3.4300251066880716e-12,0.6879829031727765,1.0,-0.6879829031727765,0.6879829031727765,3.3076690793037415,20.0,3.2963898307398747,19.0,3.290193846351222,19.0,3.289753556251526,20.0,1.2958340029783544,0.009391942830967686,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037843516525323855,-0.5917753132943006,1.1583349869033767e-08,0.5917753132943006,1.0,-0.5917753132943006,1.1583349869033767e-08,-1.0,0.5917753132943006,1.0,0.16496235443269597,0.024502992630004883,3.2887089252471924,3.3132119178771973,-0.20604047570484685,-0.0717064094866029,1.0,-0.0717064094866029,-0.0717064094866029,-0.5314836674642403,-0.5314836674642403,-0.014931350163697843,-0.014931350163697843
5.0,1.185675024986267,1.0650709867477417,1.2060405015945435,1.0717065334320068,0.0,0.0,0.0,2.9416838613415575,2.9416838613415575,2.941168479946956,0.05506280635678524,1.0,16.07048797607422,15.949259757995605,1.2122910022735596,1.0759397745132446,0.0,0.0,0.0,15.949258964150285,2.2960799186247693,0.05695197581107201,3.2609763145446777,0.009051658678278618,0.0,-1.0,-0.5193447017940519,1.1048309456480832e-06,0.5193447017940519,1.0,-0.5152095702474679,1.3895530901649464e-06,0.5152095702474679,1.0,-0.5193447017940519,1.1048309456480832e-06,0.5193447017940519,1.0,-0.5193447017940519,0.5193447017940519,-0.5544364144600162,1.389400356233034e-07,0.5544364144600162,1.0,-0.5544364144600162,0.5544364144600162,-0.4513110390398577,3.367671371527433e-05,0.4513110390398577,1.0,-0.4513110390398577,0.4513110390398577,3.272134232521057,20.0,3.2610854349638285,19.0,3.253751654373972,19.0,3.256576728820801,20.0,1.2806562358766052,0.009132090333472996,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032574698284874255,-0.4901554142060471,5.236846344155062e-06,0.4901554142060471,1.0,-0.4901554142060471,5.236846344155062e-06,-1.0,0.4901554142060471,1.0,0.2277001201128639,0.025818824768066406,3.2524499893188477,3.278268814086914,-0.2122908754188242,-0.07593975453827406,1.0,-0.07593975453827406,-0.07593975453827406,-0.5493679935955837,-0.5493679935955837,-0.01156487812261564,-0.01156487812261564
6.0,1.0934076309204102,0.97217857837677,1.2122910022735596,1.0759397745132446,0.0,0.0,0.0,2.0975029774530185,2.0975029774530185,2.0967680823597514,0.055518908686022814,1.0,16.029563903808594,15.907706260681152,1.218582034111023,1.080317735671997,0.0,0.0,0.0,15.907706573927626,2.2704421592593733,0.06022967292235426,3.2297348976135254,0.008740301228121415,0.0,-1.0,-0.4178732659745318,0.00014083192749278468,0.4178732659745318,1.0,-0.4024709467747442,0.0002592913935658918,0.4024709467747442,1.0,-0.4178732659745318,0.00014083192749278468,0.4178732659745318,1.0,-0.4178732659745318,0.4178732659745318,-0.4583644203897368,2.442120164275075e-05,0.4583644203897368,1.0,-0.4583644203897368,0.4583644203897368,-0.3238912985748429,0.0038187248222712046,0.3238912985748429,1.0,-0.3238912985748429,0.3238912985748429,3.23902006149292,20.0,3.2290217249017013,19.0,3.2222271592993486,19.0,3.2282581090927125,20.0,1.2677122301525459,0.008632669292922933,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028084835006315215,-0.41749389850655666,0.00014301616799748811,0.41749389850655666,1.0,-0.41749389850655666,0.00014301616799748811,-1.0,0.41749389850655666,1.0,0.28322734274623057,0.02659893035888672,3.2190327644348145,3.245631694793701,-0.21858195319673376,-0.08031773513883644,1.0,-0.08031773513883644,-0.08031773513883644,-0.567363960412473,-0.567363960412473,-0.008064164038892319,-0.008064164038892319
7.0,1.0259568691253662,0.9040986895561218,1.218582034111023,1.080317735671997,0.0,0.0,0.0,1.353562340301708,1.353562340301708,1.3524046065279036,0.055971325919109687,1.0,16.019935607910156,15.897435188293457,1.2250109910964966,1.0844066143035889,0.0,0.0,0.0,15.897435567414473,2.251458933746092,0.06223907865124608,3.2049596309661865,0.00901954061006805,0.0,-1.0,-0.3012809974835291,0.007351872479340429,0.3012809974835291,1.0,-0.27915122851831714,0.013323355060700915,0.27915122851831714,1.0,-0.3012809974835291,0.007351872479340429,0.3012809974835291,1.0,-0.3012809974835291,0.3012809974835291,-0.3428343808090643,0.0021217354602232055,0.3428343808090643,1.0,-0.3428343808090643,0.3428343808090643,-0.19260486349093942,0.09113615564859984,0.19260486349093942,1.0,-0.19260486349093942,0.19260486349093942,3.211958611011505,20.0,3.203008300379703,19.0,3.197602435162193,19.0,3.2068031072616576,20.0,1.2588517146958207,0.008618703223334762,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025318223573162487,-0.3012809974835291,0.007351872479340429,0.3012809974835291,1.0,-0.3012809974835291,0.007351872479340429,-1.0,0.3012809974835291,1.0,0.34820197069680947,0.031136512756347656,3.1906914710998535,3.221827983856201,-0.22501097337095488,-0.08440668178749666,1.0,-0.08440668178749666,-0.08440668178749666,-0.5856763942749836,-0.5856763942749836,-0.0049498440503850105,-0.0049498440503850105
8.0,0.9814984798431396,0.8589974045753479,1.2250109910964966,1.0844066143035889,0.0,0.0,0.0,1.642273695214152,1.642273695214152,1.6413008234882578,0.056519879769082654,1.0,15.991294860839844,15.868202209472656,1.2309311628341675,1.0875670909881592,0.0,0.0,0.0,15.8682010818927,2.235233725448593,0.0672784908443164,3.187783718109131,0.010217820278945798,0.0,-1.0,-0.11276065706445453,0.32563893070651995,0.11276065706445453,1.0,-0.08263888010723452,0.4719591476749019,0.08263888010723452,1.0,-0.11276065706445453,0.32563893070651995,0.11276065706445453,1.0,-0.11276065706445453,0.11276065706445453,-0.14960988378709894,0.1910912601419276,0.14960988378709894,1.0,-0.14960988378709894,0.14960988378709894,0.012607645519037924,0.9127628403982976,-0.012607645519037924,1.0,0.012607645519037924,-0.012607645519037924,3.193060886859894,20.0,3.1844666757081685,19.0,3.1804801790337813,19.0,3.19259626865387,20.0,1.2547061342324868,0.009319095423807607,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024399796010095728,-0.11276065706445453,0.32563893070651995,0.11276065706445453,1.0,-0.11276065706445453,0.32563893070651995,-1.0,0.11276065706445453,1.0,0.4040888180167205,0.03511500358581543,3.1692042350769043,3.2043192386627197,-0.23093107900462964,-0.0875670429116715,1.0,-0.0875670429116715,-0.0875670429116715,-0.6025147724828714,-0.6025147724828714,-0.0027114216193464546,-0.0027114216193464546
9.0,0.9374364614486694,0.8143433332443237,1.2309311628341675,1.0875670909881592,0.0,0.0,0.0,1.6268236638056774,1.6268236638056774,1.6258197583041765,0.05714321154676082,1.0,15.903017044067383,15.779385566711426,1.236312747001648,1.0901035070419312,0.0,0.0,0.0,15.779384926640995,2.217163010601862,0.07751684847332824,3.1763973236083984,0.011795834489302813,0.0,-1.0,0.14262952237635781,0.21286997147365375,-0.14262952237635781,1.0,0.1743952250281364,0.12674156613101256,-0.1743952250281364,1.0,0.14262952237635781,0.21286997147365375,-0.14262952237635781,1.0,0.14262952237635781,-0.14262952237635781,0.10335234385867298,0.3678750890746167,-0.10335234385867298,1.0,0.10335234385867298,-0.10335234385867298,0.26885772455392704,0.017305391457044062,-0.26885772455392704,1.0,0.26885772455392704,-0.26885772455392704,3.1801662683486938,20.0,3.1717453379380074,19.0,3.169154669109144,19.0,3.1839274883270265,20.0,1.254020361265252,0.010314350924957636,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024352299189239205,0.14262952237635781,0.21286997147365375,-0.14262952237635781,1.0,0.14262952237635781,0.21286997147365375,-1.0,-0.14262952237635781,1.0,0.4693794984803827,0.038152456283569336,3.1540770530700684,3.1922295093536377,-0.23631271862565226,-0.0901036237592241,1.0,-0.0901036237592241,-0.0901036237592241,-0.6178462524879942,-0.6178462524879942,-0.0009882796297386864,-0.0009882796297386864
10.0,0.8927323818206787,0.769101083278656,1.236312747001648,1.0901035070419312,0.0,0.0,0.0,1.2442073453615106,1.2442073453615106,1.2428652800024356,0.057773817737833,1.0,15.729059219360352,15.605025291442871,1.2403405904769897,1.0919245481491089,0.0,0.0,0.0,15.605024392482173,2.1877541621872343,0.0940247850679767,3.1682043075561523,0.013364378693474096,0.0,-1.0,0.2448058270843081,0.030761495480455467,-0.2448058270843081,1.0,0.2787212787212787,0.013472213030917191,-0.2787212787212787,1.0,0.2448058270843081,0.030761495480455467,-0.2448058270843081,1.0,0.2448058270843081,-0.2448058270843081,0.20671733329961176,0.06939033231339854,-0.20671733329961176,1.0,0.20671733329961176,-0.20671733329961176,0.37280441077909426,0.0007754511094558473,-0.37280441077909426,1.0,0.37280441077909426,-0.37280441077909426,3.1706093072891237,20.0,3.162302857951114,19.0,3.160998645581697,19.0,3.178251016139984,20.0,1.2548557336669355,0.011362187488807183,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249417579800229,0.2448058270843081,0.030761495480455467,-0.2448058270843081,1.0,0.2448058270843081,0.030761495480455467,-1.0,-0.2448058270843081,1.0,0.5174745991581395,0.04049825668334961,3.1429123878479004,3.18341064453125,-0.24034055303330118,-0.09192454444736531,1.0,-0.09192454444736531,-0.09192454444736531,-0.629483715895784,-0.629483715895784,0.00038660124324552125,0.00038660124324552125
