display_name,family,seed,experiment,target_column,feature_bundle,anchor_proxy_name,anchor_expected_sign,group,group_order,best_lag,effective_lag,deterministic_baseline
Grouped ARDL,grouped_ardl,0,energy_grouped_ardl_seed0,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,0,energy_grouped_ardl_seed0,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,0,energy_grouped_ardl_seed0,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,1,energy_grouped_ardl_seed1,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,1,energy_grouped_ardl_seed1,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,1,energy_grouped_ardl_seed1,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,2,energy_grouped_ardl_seed2,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,2,energy_grouped_ardl_seed2,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,2,energy_grouped_ardl_seed2,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,3,energy_grouped_ardl_seed3,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,3,energy_grouped_ardl_seed3,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,3,energy_grouped_ardl_seed3,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,4,energy_grouped_ardl_seed4,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,4,energy_grouped_ardl_seed4,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,4,energy_grouped_ardl_seed4,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,5,energy_grouped_ardl_seed5,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,5,energy_grouped_ardl_seed5,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,5,energy_grouped_ardl_seed5,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
Grouped ARDL,grouped_ardl,6,energy_grouped_ardl_seed6,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,low,1,8.0,6.622559669723773,True
Grouped ARDL,grouped_ardl,6,energy_grouped_ardl_seed6,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,mid,2,4.0,4.866275243474449,True
Grouped ARDL,grouped_ardl,6,energy_grouped_ardl_seed6,co2_per_unit_energy,minimal,proxy_government_effectiveness,-1.0,high,3,9.0,6.480638787016125,True
