display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
No Recon Regularization,ablation,no_recon_regularization,7,energy_ablation_no_recon_regularization_seed7,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.9348499601664157,-0.9348499601664157,0.9094323398120866,-0.9094323398120866,True,5.189111232757568,0.1180177972955946,2.0432603943526355,0.02695537292827447,0.9871794871794872,0.1900377984065894,-0.9348499601664157,-0.9348499601664157,0.0,0.0,0.0,0.6166907938142802,0.3089599609375,0.8412909140841546,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,7,energy_cmdl_seed7,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.9348499601664157,-0.9348499601664157,0.9094323398120866,-0.9094323398120866,True,5.189105033874512,0.11801072457803041,2.0432641290047897,0.026956127659526992,0.9871794871794872,0.19003314385521944,-0.9348499601664157,-0.9348499601664157,0.0,0.0,0.0,0.6166721832130488,0.30895042419433594,0.8412810505337053,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,13,energy_cmdl_seed13,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.925770432099546,-0.925770432099546,0.9329531228265405,-0.9329531228265405,True,3.7554118633270264,0.14048347051176835,1.8303328751008423,0.013178230216103906,0.5384615384615384,0.24764152998673,-0.925770432099546,-0.925770432099546,0.0,0.0,0.0,0.5558395298212794,0.3306899070739746,0.8557433492131992,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,13,energy_ablation_no_recon_regularization_seed13,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.925770432099546,-0.925770432099546,0.9329531228265405,-0.9329531228265405,True,3.7554423809051514,0.1404855099318196,1.8303353552229475,0.013175250691321257,0.5384615384615384,0.24764397474706853,-0.925770432099546,-0.925770432099546,0.0,0.0,0.0,0.5558435156149668,0.33069443702697754,0.8557395235114083,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,9,energy_ablation_no_recon_regularization_seed9,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8733418480253922,-0.8733418480253922,0.8665638159309045,-0.8665638159309045,True,4.768993377685547,0.18848884390305692,1.8281224410935,0.04742979183262494,0.717948717948718,0.3196417216067039,-0.8733418480253922,-0.8733418480253922,0.0,0.0,0.0,0.5977945385522256,0.43229103088378906,0.8184678334037291,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,9,energy_cmdl_seed9,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8733418480253922,-0.8733418480253922,0.8665638159309045,-0.8665638159309045,True,4.768985748291016,0.188515143582697,1.8281264886864124,0.04743980119478849,0.717948717948718,0.3196763032859811,-0.8733418480253922,-0.8733418480253922,0.0,0.0,0.0,0.597814404275628,0.4323453903198242,0.8184649031807041,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,1,energy_ablation_no_recon_regularization_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8708886050658202,-0.8708886050658202,0.877439016679523,-0.877439016679523,True,3.7947161197662354,0.11218621735722902,1.8863314850281527,0.0010894908151975844,1.0,0.1553165909705893,0.8708886050658202,0.8708886050658202,0.0,0.0,0.0,-0.7230568692844516,0.27326273918151855,0.8081402841690751,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,1,energy_cmdl_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8708886050658202,-0.8708886050658202,0.877439016679523,-0.877439016679523,True,3.7946667671203613,0.11216327410343822,1.8863243040078732,0.0010893200580057937,1.0,0.1552912126663271,0.8708886050658202,0.8708886050658202,0.0,0.0,0.0,-0.7230275482817264,0.2732088565826416,0.8081346282876231,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,5,energy_cmdl_seed5,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.7924607038531088,-0.7924607038531088,0.7728094690120006,-0.7728094690120006,True,6.727791786193848,0.15095077984792324,2.0629949218391452,0.010223861691085401,1.0,0.08166089102842934,0.7924607038531088,0.7924607038531088,0.0,0.0,0.0,-1.8454445038279537,0.36018896102905273,0.7474549638391589,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,5,energy_ablation_no_recon_regularization_seed5,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.7924607038531088,-0.7924607038531088,0.7728094690120006,-0.7728094690120006,True,6.727713584899902,0.15091393921995352,2.0630088089976377,0.010217966591672225,1.0,0.08163733089749624,0.7924607038531088,0.7924607038531088,0.0,0.0,0.0,-1.8455154551741142,0.3600959777832031,0.7474448568490195,True,softmax,0.0,,,0.0,1.0
