epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_government_effectiveness_spearman_rho,val_kstar_proxy_government_effectiveness_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_regulatory_quality_spearman_rho,val_kstar_proxy_regulatory_quality_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_rule_of_law_spearman_rho,val_kstar_proxy_rule_of_law_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_government_effectiveness_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_regulatory_quality_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_rule_of_law_recon_r2
1.0,1.757077693939209,1.757077693939209,1.4412399530410767,1.0863103866577148,0.0,0.0,0.0,9.486298889973982,9.486298889973982,9.486298889973982,0.0,1.0,16.188631057739258,16.188631057739258,1.4413851499557495,1.0866347551345825,0.0,0.0,0.0,16.188630424947675,2.423669154988602,0.01203089172385119,4.410956859588623,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.410956859588623,20.0,4.410956859588623,19.0,4.410956859588623,19.0,4.410956859588623,20.0,1.850891037868441,2.220446049250313e-16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44138510791375224,-0.08663474921175118,1.0,-0.08663474921175118,-0.08663474921175118,-0.6129346978602552,-0.6129346978602552,-0.6245858766692527,-0.6245858766692527
2.0,1.3953208923339844,1.3953208923339844,1.4413851499557495,1.0866347551345825,0.0,0.0,0.0,4.780762220687584,4.780762220687584,4.780762220687584,0.0,1.0,15.622950553894043,15.622950553894043,1.441530704498291,1.0869591236114502,0.0,0.0,0.0,15.622950840520769,2.328923260106538,0.06140430723652598,4.380944728851318,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.380944728851318,20.0,4.380944728851318,19.0,4.380944728851318,19.0,4.380944728851318,20.0,1.8512051583135576,1.3322676295501878e-15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44153064295563366,-0.08695915836389112,1.0,-0.08695915836389112,-0.08695915836389112,-0.6122642182173021,-0.6122642182173021,-0.6253685522857091,-0.6253685522857091
3.0,1.2300240993499756,1.2300240993499756,1.441530704498291,1.0869591236114502,0.0,0.0,0.0,4.549086282779697,4.549086282779697,4.549086282779697,0.0,1.0,15.42066764831543,15.42066764831543,1.4416637420654297,1.0872552394866943,0.0,0.0,0.0,15.420666527784041,2.285065973076062,0.0848613939869472,4.354506492614746,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.354506492614746,20.0,4.354506492614746,19.0,4.354506492614746,19.0,4.354506492614746,20.0,1.8513183143646297,8.881784197001252e-16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44166367432113,-0.08725533173313038,1.0,-0.08725533173313038,-0.08725533173313038,-0.6116534925336063,-0.6116534925336063,-0.6260821986966538,-0.6260821986966538
4.0,1.0880550146102905,1.0880550146102905,1.4416637420654297,1.0872552394866943,0.0,0.0,0.0,2.915119256133627,2.915119256133627,2.915119256133627,0.0,1.0,15.418384552001953,15.418384552001953,1.4417941570281982,1.0875452756881714,0.0,0.0,0.0,15.418384191331304,2.2711755499566117,0.09058123848532197,4.328693389892578,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.328693389892578,20.0,4.328693389892578,19.0,4.328693389892578,19.0,4.328693389892578,20.0,1.851155081397307,4.440892098500626e-16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.4417941133591745,-0.08754527158711678,1.0,-0.08754527158711678,-0.08754527158711678,-0.6110570494273047,-0.6110570494273047,-0.6267800190631045,-0.6267800190631045
5.0,0.9960971474647522,0.9960971474647522,1.4417941570281982,1.0875452756881714,0.0,0.0,0.0,2.7054183963367877,2.7054183963367877,2.7054183963367877,0.0,1.0,15.356429100036621,15.356429100036621,1.4419292211532593,1.0878448486328125,0.0,0.0,0.0,15.35642800367703,2.251452512635141,0.09733483050654962,4.300955772399902,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.300955772399902,20.0,4.300955772399902,19.0,4.300955772399902,19.0,4.300955772399902,20.0,1.850756856026914,2.220446049250313e-16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44192903967477726,-0.08784489610953772,1.0,-0.08784489610953772,-0.08784489610953772,-0.6104418035951149,-0.6104418035951149,-0.6275004193196809,-0.6275004193196809
6.0,0.9217106103897095,0.9217106103897095,1.4419292211532593,1.0878448486328125,0.0,0.0,0.0,2.343926568166993,2.343926568166993,2.343926568166993,0.0,1.0,15.20328426361084,15.20328426361084,1.4420685768127441,1.0881540775299072,0.0,0.0,0.0,15.203283484627402,2.2184794439564053,0.10905676446282431,4.271849155426025,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.271849155426025,20.0,4.271849155426025,19.0,4.271849155426025,19.0,4.271849155426025,20.0,1.8501136042918886,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44206848571751084,-0.08815405776273,1.0,-0.08815405776273,-0.08815405776273,-0.6098085286217567,-0.6098085286217567,-0.6282428707680479,-0.6282428707680479
7.0,0.8614752888679504,0.8614752888679504,1.4420685768127441,1.0881540775299072,0.0,0.0,0.0,1.4796270323300755,1.4796270323300755,1.4796270323300755,0.0,1.0,14.99608325958252,14.99608325958252,1.4422117471694946,1.0884708166122437,0.0,0.0,0.0,14.996081857427825,2.1769158756260913,0.12489093963603914,4.242766380310059,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.242766380310059,20.0,4.242766380310059,19.0,4.242766380310059,19.0,4.242766380310059,20.0,1.8492850796881846,1.1102230246251565e-15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44221159104908886,-0.08847092480056262,1.0,-0.08847092480056262,-0.08847092480056262,-0.6091609747161388,-0.6091609747161388,-0.6290028736305657,-0.6290028736305657
8.0,0.8206742405891418,0.8206742405891418,1.4422117471694946,1.0884708166122437,0.0,0.0,0.0,1.75252743007298,1.75252743007298,1.75252743007298,0.0,1.0,14.812504768371582,14.812504768371582,1.442338466644287,1.088751196861267,0.0,0.0,0.0,14.812504983837748,2.140441276457431,0.14061436543477587,4.213901519775391,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.213901519775391,20.0,4.213901519775391,19.0,4.213901519775391,19.0,4.213901519775391,20.0,1.8483435706677385,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.4423383000281112,-0.08875112018695774,1.0,-0.08875112018695774,-0.08875112018695774,-0.608589555600304,-0.608589555600304,-0.6296742242970748,-0.6296742242970748
9.0,0.7785703539848328,0.7785703539848328,1.442338466644287,1.088751196861267,0.0,0.0,0.0,1.4713827020088015,1.4713827020088015,1.4713827020088015,0.0,1.0,14.656390190124512,14.656390190124512,1.4424351453781128,1.0889649391174316,0.0,0.0,0.0,14.65638918297492,2.10924026188361,0.15502215680728115,4.185948371887207,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.185947895050049,20.0,4.185947895050049,19.0,4.185947895050049,19.0,4.185947895050049,20.0,1.8473435836201457,1.1102230246251565e-15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44243508633008904,-0.08896486417250782,1.0,-0.08896486417250782,-0.08896486417250782,-0.6081544970061765,-0.6081544970061765,-0.6301858978115846,-0.6301858978115846
10.0,0.7425522208213806,0.7425522208213806,1.4424351453781128,1.0889649391174316,0.0,0.0,0.0,0.9410583529647835,0.9410583529647835,0.9410583529647835,0.0,1.0,14.467750549316406,14.467750549316406,1.4424861669540405,1.089077353477478,0.0,0.0,0.0,14.46774965213874,2.070516120320043,0.17067053320177508,4.159452438354492,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.159452438354492,20.0,4.159452438354492,19.0,4.159452438354492,19.0,4.159452438354492,20.0,1.846249822158169,2.220446049250313e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44248607231893283,-0.08907741838645755,1.0,-0.08907741838645755,-0.08907741838645755,-0.6079256399844122,-0.6079256399844122,-0.6304551585859295,-0.6304551585859295
11.0,0.7174025774002075,0.7174025774002075,1.4424861669540405,1.089077353477478,0.0,0.0,0.0,1.1782471980618616,1.1782471980618616,1.1782471980618616,0.0,1.0,14.266731262207031,14.266731262207031,1.4424805641174316,1.0890651941299438,0.0,0.0,0.0,14.266730814453009,2.0289534887629284,0.18580174254454743,4.133852958679199,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.133852958679199,20.0,4.133852958679199,19.0,4.133852958679199,19.0,4.133852958679199,20.0,1.845078435657232,6.661338147750939e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.442480534446036,-0.08906514404935462,1.0,-0.08906514404935462,-0.08906514404935462,-0.6079506429815607,-0.6079506429815607,-0.6304258163071943,-0.6304258163071943
12.0,0.6895641684532166,0.6895641684532166,1.4424805641174316,1.0890651941299438,0.0,0.0,0.0,0.8130857023882153,0.8130857023882153,0.8130857023882153,0.0,1.0,14.132792472839355,14.132792472839355,1.4424220323562622,1.0889359712600708,0.0,0.0,0.0,14.132791143607417,1.9995968061734117,0.19465813539797394,4.111266136169434,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.111266136169434,20.0,4.111266136169434,19.0,4.111266136169434,19.0,4.111266136169434,20.0,1.8439693955971495,4.440892098500626e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44242196550882884,-0.08893592351169954,1.0,-0.08893592351169954,-0.08893592351169954,-0.6082133449472409,-0.6082133449472409,-0.6301166280675479,-0.6301166280675479
13.0,0.669123649597168,0.669123649597168,1.4424220323562622,1.0889359712600708,0.0,0.0,0.0,0.9175719805191431,0.9175719805191431,0.9175719805191431,0.0,1.0,14.107426643371582,14.107426643371582,1.4423338174819946,1.0887410640716553,0.0,0.0,0.0,14.107424859384452,1.989438243733687,0.19530005384048063,4.093270778656006,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.093270778656006,20.0,4.093270778656006,19.0,4.093270778656006,19.0,4.093270778656006,20.0,1.8430419260351856,6.661338147750939e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44233372972794793,-0.08874098128946106,1.0,-0.08874098128946106,-0.08874098128946106,-0.6086102942705365,-0.6086102942705365,-0.6296499136238467,-0.6296499136238467
14.0,0.6490442156791687,0.6490442156791687,1.4423338174819946,1.0887410640716553,0.0,0.0,0.0,0.6113101095812334,0.6113101095812334,0.6113101095812334,0.0,1.0,14.095580101013184,14.095580101013184,1.4422277212142944,1.0885062217712402,0.0,0.0,0.0,14.095578573493162,1.9844448168873468,0.19485899553927422,4.077241897583008,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.077241897583008,20.0,4.077241897583008,19.0,4.077241897583008,19.0,4.077241897583008,20.0,1.8420008793113538,8.881784197001252e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.44222754921080726,-0.08850619098269696,1.0,-0.08850619098269696,-0.08850619098269696,-0.6090889628182177,-0.6090889628182177,-0.6290874938315083,-0.6290874938315083
15.0,0.6375161409378052,0.6375161409378052,1.4422277212142944,1.0885062217712402,0.0,0.0,0.0,0.7919567181683529,0.7919567181683529,0.7919567181683529,0.0,1.0,14.000033378601074,14.000033378601074,1.4421098232269287,1.0882452726364136,0.0,0.0,0.0,14.000031702619602,1.9710354633872103,0.20072706580692953,4.061023712158203,0.0,0.0,-1.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,4.061023712158203,20.0,4.061023712158203,19.0,4.061023712158203,19.0,4.061023712158203,20.0,1.8405831898641822,8.881784197001252e-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,-1.0,,0.0,,0.0,,,-0.4421097046923177,-0.08824539826942912,1.0,-0.08824539826942912,-0.08824539826942912,-0.6096217096622045,-0.6096217096622045,-0.6284620061453219,-0.6284620061453219
