epoch,train_total_loss,train_task_loss,train_recon_loss,train_anchor_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,train_grad_norm_total,train_grad_norm_main,train_grad_norm_proxy_head,train_clip_applied,val_total_loss,val_task_loss,val_recon_loss,val_anchor_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_mse,val_mae,val_r2,val_kstar_mean,val_kstar_std,val_kstar_anchor_proxy_index,val_kstar_anchor_expected_sign,val_kstar_proxy_spearman_rho,val_kstar_proxy_spearman_p,val_kstar_proxy_spearman_adjusted_rho,val_kstar_proxy_metric_valid,val_kstar_proxy_mean_spearman_rho,val_kstar_proxy_mean_spearman_p,val_kstar_proxy_mean_spearman_adjusted_rho,val_kstar_proxy_mean_metric_valid,val_kstar_proxy_1_spearman_rho,val_kstar_proxy_1_spearman_p,val_kstar_proxy_1_spearman_adjusted_rho,val_kstar_proxy_1_metric_valid,val_kstar_proxy_government_effectiveness_spearman_rho,val_kstar_proxy_government_effectiveness_spearman_adjusted_rho,val_kstar_proxy_2_spearman_rho,val_kstar_proxy_2_spearman_p,val_kstar_proxy_2_spearman_adjusted_rho,val_kstar_proxy_2_metric_valid,val_kstar_proxy_regulatory_quality_spearman_rho,val_kstar_proxy_regulatory_quality_spearman_adjusted_rho,val_kstar_proxy_3_spearman_rho,val_kstar_proxy_3_spearman_p,val_kstar_proxy_3_spearman_adjusted_rho,val_kstar_proxy_3_metric_valid,val_kstar_proxy_rule_of_law_spearman_rho,val_kstar_proxy_rule_of_law_spearman_adjusted_rho,val_kstar_anchor_q1_mean,val_kstar_anchor_q1_count,val_kstar_anchor_q2_mean,val_kstar_anchor_q2_count,val_kstar_anchor_q3_mean,val_kstar_anchor_q3_count,val_kstar_anchor_q4_mean,val_kstar_anchor_q4_count,val_omega_entropy_mean,val_omega_entropy_std,val_omega_top1_share,val_omega_peak_share_1,val_omega_peak_share_2,val_omega_peak_share_3,val_omega_peak_share_4,val_omega_peak_share_5,val_omega_peak_share_6,val_omega_peak_share_7,val_omega_peak_share_8,val_omega_peak_share_9,val_omega_peak_share_10,val_z_std,val_z_proxy_spearman_rho,val_z_proxy_spearman_p,val_z_proxy_spearman_adjusted_rho,val_z_proxy_metric_valid,val_z_anchor_spearman_rho,val_z_anchor_spearman_p,val_z_anchor_expected_sign,val_z_anchor_adjusted_rho,val_z_anchor_metric_valid,val_lag_gate_sensitivity_slope,val_lag_gate_sensitivity_range,val_lag_gate_grid_min_kstar,val_lag_gate_grid_max_kstar,val_proxy_recon_r2,val_proxy_anchor_recon_r2,val_proxy_metric_valid,val_proxy_1_recon_r2,val_proxy_proxy_government_effectiveness_recon_r2,val_proxy_2_recon_r2,val_proxy_proxy_regulatory_quality_recon_r2,val_proxy_3_recon_r2,val_proxy_proxy_rule_of_law_recon_r2
1.0,1.5848661661148071,1.5848661661148071,1.3767356872558594,1.314494013786316,0.0,0.0,0.0,6.596888404951533,6.596888404951533,6.596888404951533,0.0,1.0,17.151954650878906,17.151954650878906,1.381350040435791,1.3154349327087402,0.0,0.0,0.0,17.15195373994773,2.5150539390205475,-0.04329252562131969,4.061404705047607,0.020793395938625118,0.0,-1.0,0.266252734607165,0.018462074933768717,-0.266252734607165,1.0,0.210308678663109,0.06458265152211552,-0.210308678663109,1.0,0.266252734607165,0.018462074933768717,-0.266252734607165,1.0,0.266252734607165,-0.266252734607165,0.1093969321817423,0.340370121931395,-0.1093969321817423,1.0,0.1093969321817423,-0.1093969321817423,0.24857421059952703,0.028201500208164646,-0.24857421059952703,1.0,0.24857421059952703,-0.24857421059952703,4.053248548507691,20.0,4.050265036131206,19.0,4.08222958916112,19.0,4.060359477996826,20.0,1.9597946214053157,0.001087108850301583,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02642611783280227,-0.266252734607165,0.018462074933768717,0.266252734607165,1.0,-0.266252734607165,0.018462074933768717,-1.0,0.266252734607165,1.0,-0.7878419229085941,0.06752443313598633,4.0308051109313965,4.098329544067383,-0.3813500298436694,-0.31543497504729046,1.0,-0.31543497504729046,-0.31543497504729046,-0.4847277792300817,-0.4847277792300817,-0.343887335253638,-0.343887335253638
2.0,1.3473581075668335,1.3473581075668335,1.381350040435791,1.3154349327087402,0.0,0.0,0.0,4.405389926939849,4.405389926939849,4.405389926939849,0.0,1.0,16.571449279785156,16.571449279785156,1.3852221965789795,1.3142114877700806,0.0,0.0,0.0,16.571446576525847,2.4389803579383584,0.004246758313408224,4.023359298706055,0.0215241509607071,0.0,-1.0,0.5192655445820002,1.1097224835957624e-06,-0.5192655445820002,1.0,0.47379203075405607,1.1791538842693936e-05,-0.47379203075405607,1.0,0.5192655445820002,1.1097224835957624e-06,-0.5192655445820002,1.0,0.5192655445820002,-0.5192655445820002,0.3847418404380429,0.0005051915855456628,-0.3847418404380429,1.0,0.3847418404380429,-0.3847418404380429,0.5053301129250496,2.374388237975916e-06,-0.5053301129250496,1.0,0.5053301129250496,-0.5053301129250496,4.011578047275544,20.0,4.007440730145103,19.0,4.04464202178152,19.0,4.030044841766357,20.0,1.9560864106307754,0.0011705734999381,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02883752485840472,-0.5192655445820002,1.1097224835957624e-06,0.5192655445820002,1.0,-0.5192655445820002,1.1097224835957624e-06,-1.0,0.5192655445820002,1.0,-0.7476034514026989,0.06638503074645996,3.9905941486358643,4.056979179382324,-0.385222005751116,-0.31421147705667907,1.0,-0.31421147705667907,-0.31421147705667907,-0.4855143801274766,-0.4855143801274766,-0.3559401600691936,-0.3559401600691936
3.0,1.1919866800308228,1.1919866800308228,1.3852221965789795,1.3142114877700806,0.0,0.0,0.0,3.240625001032002,3.240625001032002,3.240625001032002,0.0,1.0,16.352182388305664,16.352182388305664,1.3890845775604248,1.3129327297210693,0.0,0.0,0.0,16.35218012915469,2.4086351577037326,0.025644930651699743,3.986589193344116,0.023001450459681508,0.0,-1.0,0.6442291885329859,1.9704975695289609e-10,-0.6442291885329859,1.0,0.6069500120133031,3.845691711455797e-09,-0.6069500120133031,1.0,0.6442291885329859,1.9704975695289609e-10,-0.6442291885329859,1.0,0.6442291885329859,-0.6442291885329859,0.5308994802665687,5.727511906917142e-07,-0.5308994802665687,1.0,0.5308994802665687,-0.5308994802665687,0.6339862668976592,4.6390897185272556e-10,-0.6339862668976592,1.0,0.6339862668976592,-0.6339862668976592,3.9716745257377624,20.0,3.9666337464985095,19.0,4.0080263740138005,19.0,4.000096035003662,20.0,1.9523535293011742,0.0012803933335368378,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258304659208761,-0.6442291885329859,1.9704975695289609e-10,0.6442291885329859,1.0,-0.6442291885329859,1.9704975695289609e-10,-1.0,0.6442291885329859,1.0,-0.7059767794844588,0.0695648193359375,3.9503612518310547,4.019926071166992,-0.38908446508312317,-0.3129326726549664,1.0,-0.3129326726549664,-0.3129326726549664,-0.48632552246986815,-0.48632552246986815,-0.36799520012453724,-0.36799520012453724
4.0,1.0824251174926758,1.0824251174926758,1.3890845775604248,1.3129327297210693,0.0,0.0,0.0,2.0171640115864604,2.0171640115864604,2.0171640115864604,0.0,1.0,16.164966583251953,16.164966583251953,1.3929989337921143,1.3124611377716064,0.0,0.0,0.0,16.164964658996407,2.3782953129719115,0.04142607852031588,3.9533066749572754,0.02538984749391723,0.0,-1.0,0.6980740778209132,1.2164466463708097e-12,-0.6980740778209132,1.0,0.6679270096991615,2.3895411666697677e-11,-0.6679270096991615,1.0,0.6980740778209132,1.2164466463708097e-12,-0.6980740778209132,1.0,0.6980740778209132,-0.6980740778209132,0.5999443594380303,6.443911059565363e-09,-0.5999443594380303,1.0,0.5999443594380303,-0.5999443594380303,0.6920800718269071,2.2631594455255695e-12,-0.6920800718269071,1.0,0.6920800718269071,-0.6920800718269071,3.9345481038093566,20.0,3.929725722262734,19.0,3.9756294677132056,19.0,3.9732592701911926,20.0,1.948772958661725,0.0014219606755515675,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037903981175922724,-0.6980740778209132,1.2164466463708097e-12,0.6980740778209132,1.0,-0.6980740778209132,1.2164466463708097e-12,-1.0,0.6980740778209132,1.0,-0.6697584943423245,0.07676553726196289,3.913851737976074,3.990617275238037,-0.39299896448007193,-0.3124610170804851,1.0,-0.3124610170804851,-0.3124610170804851,-0.4868043316989026,-0.4868043316989026,-0.37973154466083003,-0.37973154466083003
5.0,1.0178579092025757,1.0178579092025757,1.3929989337921143,1.3124611377716064,0.0,0.0,0.0,2.319543258929084,2.319543258929084,2.319543258929084,0.0,1.0,15.884956359863281,15.884956359863281,1.3964658975601196,1.3121541738510132,0.0,0.0,0.0,15.884955675797908,2.3338665805187904,0.06226900318158901,3.922661542892456,0.02750916439055981,0.0,-1.0,0.7238457744786858,7.01842061955686e-14,-0.7238457744786858,1.0,0.6995409653637501,1.0425611461114892e-12,-0.6995409653637501,1.0,0.7238457744786858,7.01842061955686e-14,-0.7238457744786858,1.0,0.7238457744786858,-0.7238457744786858,0.6387410058296134,3.1299579409056686e-10,-0.6387410058296134,1.0,0.6387410058296134,-0.6387410058296134,0.7231882042008624,7.578260781183737e-14,-0.7231882042008624,1.0,0.7231882042008624,-0.7231882042008624,3.900608551502228,20.0,3.8967160300204626,19.0,3.945819716704519,19.0,3.9473626017570496,20.0,1.9452764141409784,0.0015192603796317298,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043193272990979685,-0.7238457744786858,7.01842061955686e-14,0.7238457744786858,1.0,-0.7238457744786858,7.01842061955686e-14,-1.0,0.7238457744786858,1.0,-0.6347485850003858,0.08064126968383789,3.88124942779541,3.961890697479248,-0.39646592767144634,-0.3121541546407214,1.0,-0.3121541546407214,-0.3121541546407214,-0.48716913741561907,-0.48716913741561907,-0.39007449095800006,-0.39007449095800006
6.0,0.9544868469238281,0.9544868469238281,1.3964658975601196,1.3121541738510132,0.0,0.0,0.0,1.6962258018080392,1.6962258018080392,1.6962258018080392,0.0,1.0,15.588249206542969,15.588249206542969,1.3996866941452026,1.3128769397735596,0.0,0.0,0.0,15.588249152782078,2.28655737099779,0.08366976896960027,3.8967325687408447,0.030079626644386775,0.0,-1.0,0.7617572301116604,5.585315583399231e-16,-0.7617572301116604,1.0,0.7432188065099458,6.597188595099508e-15,-0.7432188065099458,1.0,0.7617572301116604,5.585315583399231e-16,-0.7617572301116604,1.0,0.7617572301116604,-0.7617572301116604,0.6876035357048014,3.5634324394792797e-12,-0.6876035357048014,1.0,0.6876035357048014,-0.6876035357048014,0.7673465774731596,2.5379937132702583e-16,-0.7673465774731596,1.0,0.7673465774731596,-0.7673465774731596,3.8708043098449707,20.0,3.8687537845812345,19.0,3.9214344903042444,19.0,3.925772416591644,20.0,1.9420899333030088,0.001600106825646834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049345105039195404,-0.7617572301116604,5.585315583399231e-16,0.7617572301116604,1.0,-0.7617572301116604,5.585315583399231e-16,-1.0,0.7617572301116604,1.0,-0.6055072363492229,0.08490204811096191,3.8534529209136963,3.938354969024658,-0.39968655918938367,-0.3128770490260335,1.0,-0.3128770490260335,-0.3128770490260335,-0.4870927725003895,-0.4870927725003895,-0.3990898560417293,-0.3990898560417293
7.0,0.902667760848999,0.902667760848999,1.3996866941452026,1.3128769397735596,0.0,0.0,0.0,1.3183758785796476,1.3183758785796476,1.3183758785796476,0.0,1.0,15.399333000183105,15.399333000183105,1.4027962684631348,1.3152483701705933,0.0,0.0,0.0,15.399333177244735,2.2531907545327026,0.09856952266223717,3.87612247467041,0.03372512185392919,0.0,-1.0,0.7941552118767308,4.151374521877089e-18,-0.7941552118767308,1.0,0.781686667762617,3.021590729440606e-17,-0.781686667762617,1.0,0.7941552118767308,4.151374521877089e-18,-0.7941552118767308,1.0,0.7941552118767308,-0.7941552118767308,0.7325206439130489,2.4969465035922947e-14,-0.7325206439130489,1.0,0.7325206439130489,-0.7325206439130489,0.8045498804992476,7.12773105783202e-19,-0.8045498804992476,1.0,0.8045498804992476,-0.8045498804992476,3.845162534713745,20.0,3.845601696717112,19.0,3.9033055179997493,19.0,3.9102530121803283,20.0,1.9392630002979716,0.0016830795303625049,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057169291033666386,-0.7941552118767308,4.151374521877089e-18,0.7941552118767308,1.0,-0.7941552118767308,4.151374521877089e-18,-1.0,0.7941552118767308,1.0,-0.5862167073775099,0.09290599822998047,3.830160617828369,3.9230666160583496,-0.4027961569749729,-0.3152484054686917,1.0,-0.3152484054686917,-0.3152484054686917,-0.4863491379813196,-0.4863491379813196,-0.40679092747490864,-0.40679092747490864
8.0,0.8586862683296204,0.8586862683296204,1.4027962684631348,1.3152483701705933,0.0,0.0,0.0,1.3065652398413135,1.3065652398413135,1.3065652398413135,0.0,1.0,15.294455528259277,15.294455528259277,1.405457615852356,1.318712830543518,0.0,0.0,0.0,15.294454685087226,2.2302624174835493,0.10849649178875441,3.859182834625244,0.03775958859258074,0.0,-1.0,0.8062949708519327,5.247909792648527e-19,-0.8062949708519327,1.0,0.7965578725072394,2.7877604917651064e-18,-0.7965578725072394,1.0,0.8062949708519327,5.247909792648527e-19,-0.8062949708519327,1.0,0.8062949708519327,-0.8062949708519327,0.7490610655167618,3.101045815229786e-15,-0.7490610655167618,1.0,0.7490610655167618,-0.7490610655167618,0.8179794888655647,6.217323609468737e-20,-0.8179794888655647,1.0,0.8179794888655647,-0.8179794888655647,3.8227874398231507,20.0,3.8261168003082275,19.0,3.889354843842356,19.0,3.8983281373977663,20.0,1.936564912024679,0.0017287685026048988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06547120466382478,-0.8062949708519327,5.247909792648527e-19,0.8062949708519327,1.0,-0.8062949708519327,5.247909792648527e-19,-1.0,0.8062949708519327,1.0,-0.5738990185536301,0.10114860534667969,3.810288190841675,3.9114367961883545,-0.4054576732150617,-0.31871281354959313,1.0,-0.31871281354959313,-0.31871281354959313,-0.4851294376859172,-0.4851294376859172,-0.4125307684096775,-0.4125307684096775
9.0,0.81446373462677,0.81446373462677,1.405457615852356,1.318712830543518,0.0,0.0,0.0,0.9339181968225942,0.9339181968225942,0.9339181968225942,0.0,1.0,15.176718711853027,15.176718711853027,1.4071784019470215,1.322861909866333,0.0,0.0,0.0,15.176719655532306,2.2058283680210162,0.11910122069881894,3.8455779552459717,0.04154211658608665,0.0,-1.0,0.8101898101898101,2.620039018173726e-19,-0.8101898101898101,1.0,0.8013126114391937,1.2476943572503617e-18,-0.8013126114391937,1.0,0.8101898101898101,2.620039018173726e-19,-0.8101898101898101,1.0,0.8101898101898101,-0.8101898101898101,0.7538663867777791,1.64073729618075e-15,-0.7538663867777791,1.0,0.7538663867777791,-0.7538663867777791,0.8224307338231389,2.6490833629697593e-20,-0.8224307338231389,1.0,0.8224307338231389,-0.8224307338231389,3.8040300846099853,20.0,3.8103933334350586,19.0,3.8788856707121195,19.0,3.8889086127281187,20.0,1.933878732710482,0.0017069399896647449,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07283023580058431,-0.8101898101898101,2.620039018173726e-19,0.8101898101898101,1.0,-0.8101898101898101,2.620039018173726e-19,-1.0,0.8101898101898101,1.0,-0.5690942457798717,0.10859417915344238,3.793998956680298,3.9025931358337402,-0.4071783164193174,-0.3228619320762556,1.0,-0.3228619320762556,-0.3228619320762556,-0.4835604464373058,-0.4835604464373058,-0.41511257074439256,-0.41511257074439256
10.0,0.7801421284675598,0.7801421284675598,1.4071784019470215,1.322861909866333,0.0,0.0,0.0,1.0792230342391367,1.0792230342391367,1.0792230342391367,0.0,1.0,14.967440605163574,14.967440605163574,1.4083080291748047,1.327513337135315,0.0,0.0,0.0,14.967439451441711,2.1699760348086334,0.13533778794010146,3.8333098888397217,0.045289120555499725,0.0,-1.0,0.8138570290469023,1.342302518995685e-19,-0.8138570290469023,1.0,0.8053086154351976,6.241732856086344e-19,-0.8053086154351976,1.0,0.8138570290469023,1.342302518995685e-19,-0.8138570290469023,1.0,0.8138570290469023,-0.8138570290469023,0.757103655837833,1.0597253236330313e-15,-0.757103655837833,1.0,0.757103655837833,-0.757103655837833,0.8268061052871178,1.1186942769184597e-20,-0.8268061052871178,1.0,0.8268061052871178,-0.8268061052871178,3.7866375207901,20.0,3.7961746015046773,19.0,3.8699734963868795,19.0,3.88043007850647,20.0,1.9308859646894825,0.0016041615282646397,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07965395167768861,-0.8138570290469023,1.342302518995685e-19,0.8138570290469023,1.0,-0.8138570290469023,1.342302518995685e-19,-1.0,0.8138570290469023,1.0,-0.5689214113098114,0.11611390113830566,3.778780698776245,3.894894599914551,-0.4083078713494646,-0.327513375525222,1.0,-0.327513375525222,-0.327513375525222,-0.4817468386907233,-0.4817468386907233,-0.4156633998324508,-0.4156633998324508
