display_name,family,variant,seed,experiment,target_column,feature_bundle,lag_method,anchor_proxy_name,anchor_expected_sign,proxy_refit_status,proxy_metric_interpretable,test_effective_kstar_proxy_spearman_rho,test_effective_kstar_proxy_spearman_adjusted_rho,test_effective_kstar_proxy_mean_spearman_rho,test_effective_kstar_proxy_mean_spearman_adjusted_rho,test_effective_kstar_proxy_metric_valid,test_effective_kstar_mean,test_effective_kstar_std,test_effective_lag_entropy_mean,test_effective_lag_entropy_std,test_effective_lag_top1_share,test_z_std,test_z_proxy_spearman_adjusted_rho,test_z_anchor_adjusted_rho,test_omega_entropy_penalty,test_omega_entropy_band_violation_share,test_z_anchor_loss,test_lag_gate_sensitivity_slope,test_lag_gate_sensitivity_range,test_proxy_signal_r2,test_proxy_signal_metric_valid,omega_transform,lambda_omega_entropy,omega_entropy_min,omega_entropy_max,lambda_z_anchor,z_anchor_target_sign
No Recon Regularization,ablation,no_recon_regularization,1,multiseed_energy_ablation_no_recon_regularization_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8708886050658202,-0.8708886050658202,0.877439016679523,-0.877439016679523,True,3.7947161197662354,0.11218621735722902,1.8863314850281527,0.0010894908151975844,1.0,0.1553165909705893,0.8708886050658202,0.8708886050658202,0.0,0.0,0.0,-0.7230568692844516,0.27326273918151855,0.8081402841690751,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,1,multiseed_energy_cmdl_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,0.8708886050658202,-0.8708886050658202,0.877439016679523,-0.877439016679523,True,3.7946667671203613,0.11216327410343822,1.8863243040078732,0.0010893200580057937,1.0,0.1552912126663271,0.8708886050658202,0.8708886050658202,0.0,0.0,0.0,-0.7230275482817264,0.2732088565826416,0.8081346282876231,True,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,2,multiseed_energy_lstm_seed2,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,0.06297675026858672,-0.06297675026858672,0.03936654150242589,-0.03936654150242589,True,5.457396030426025,1.1543892719885351,2.1519476355328275,0.4115696523522339,0.7564102564102564,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,0,multiseed_energy_lstm_seed0,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.021377844079971904,0.021377844079971904,-0.017146967620939136,0.017146967620939136,True,5.45845365524292,1.3046741596049602,2.1039781969288276,0.4446597196409737,0.6923076923076923,,,,,,,,,,,softmax,0.0,,,0.0,1.0
Plain LSTM,plain_lstm,,1,multiseed_energy_lstm_seed1,co2_per_unit_energy,minimal,lag_occlusion,proxy_government_effectiveness,-1.0,,,-0.2063126277108422,0.2063126277108422,-0.20170300279636233,0.20170300279636233,True,5.6290812492370605,1.611143799778682,1.9859515826615353,0.646846507438553,0.6410256410256411,,,,,,,,,,,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,0,multiseed_energy_ablation_no_recon_regularization_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.644153315039391,0.644153315039391,-0.6631722707672075,0.6631722707672075,True,4.731955528259277,0.061844869659410606,1.8864008463434128,0.0040925607450883715,0.7692307692307693,0.09560143233261181,-0.644153315039391,-0.644153315039391,0.0,0.0,0.0,-0.6513478040948547,0.18298053741455078,0.46498785396579906,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,0,multiseed_energy_cmdl_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.644153315039391,0.644153315039391,-0.6631722707672075,0.6631722707672075,True,4.731987953186035,0.06183773333426115,1.8864024508542627,0.0040931435253784045,0.7692307692307693,0.09559412891834672,-0.644153315039391,-0.644153315039391,0.0,0.0,0.0,-0.6513238374380373,0.18296337127685547,0.4649512223617757,True,softmax,0.0,,,0.0,1.0
No Recon Regularization,ablation,no_recon_regularization,2,multiseed_energy_ablation_no_recon_regularization_seed2,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8706862757495668,0.8706862757495668,-0.9192200204858433,0.9192200204858433,True,4.367918491363525,0.1435961594174682,1.7395339620744426,0.07334775995835056,1.0,0.0930256697720774,0.8706862757495668,0.8706862757495668,0.0,0.0,0.0,1.5057255112425512,0.39516401290893555,0.8290142926877162,True,softmax,0.0,,,0.0,1.0
CMDL,cmdl,,2,multiseed_energy_cmdl_seed2,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,-0.8706862757495668,0.8706862757495668,-0.9192200204858433,0.9192200204858433,True,4.367867469787598,0.14358600315068207,1.7395633890749649,0.07333542930702515,1.0,0.09301078663707747,0.8706862757495668,0.8706862757495668,0.0,0.0,0.0,1.5058757016546451,0.3951401710510254,0.8290050613052348,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,1,multiseed_energy_ablation_uniform_lag_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.3007505529877875,0.9650981929462941,0.9650981929462941,0.0,0.0,0.0,-0.45625823961262996,0.33632326126098633,0.8771912900111505,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,0,multiseed_energy_ablation_uniform_lag_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.28151296136230597,-0.9390988758077364,-0.9390988758077364,0.0,0.0,0.0,2.188197648366607,1.4720401763916016,0.8666601827399801,True,softmax,0.0,,,0.0,1.0
Uniform Lag,ablation,uniform_lag,2,multiseed_energy_ablation_uniform_lag_seed2,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,applied_ols,True,,,,,False,5.5,0.0,2.3025851124040755,4.440892098500626e-16,1.0,0.42918527316638677,-0.763552902793409,-0.763552902793409,0.0,0.0,0.0,-1.3976875105398843,1.4205937385559082,0.7450400863563807,True,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,0,multiseed_energy_ablation_no_ac_encoder_seed0,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,skipped_rank_deficient,False,,,,,False,3.492619514465332,0.0,1.717545699727793,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,1,multiseed_energy_ablation_no_ac_encoder_seed1,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,skipped_rank_deficient,False,,,,,False,5.409905910491943,0.0,1.8907142746527592,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
No AC Encoder,ablation,no_ac_encoder,2,multiseed_energy_ablation_no_ac_encoder_seed2,co2_per_unit_energy,minimal,learned_omega,proxy_government_effectiveness,-1.0,skipped_rank_deficient,False,,,,,False,4.017545700073242,0.0,1.8349613735279486,8.881784197001252e-16,1.0,0.0,,,0.0,0.0,0.0,,0.0,,False,softmax,0.0,,,0.0,1.0
