display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
No AC Encoder,ablation,no_ac_encoder,2,multiseed_energy_ablation_no_ac_encoder_seed2,co2_per_unit_energy,minimal,18,13.755810737609863,-0.017403600705974537,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.776242655833351,-0.6502634281662388,-0.6244815782133083,16.524665319223484,24170.335300704963
No AC Encoder,ablation,no_ac_encoder,0,multiseed_energy_ablation_no_ac_encoder_seed0,co2_per_unit_energy,minimal,15,13.791987419128418,-0.018752371823882712,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.777591426951259,-0.6516121992841469,-0.6258303493312164,16.552313984950814,24173.059528783895
No AC Encoder,ablation,no_ac_encoder,1,multiseed_energy_ablation_no_ac_encoder_seed1,co2_per_unit_energy,minimal,2,15.697671890258789,-0.01884508543630518,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7776841405636815,-0.6517049128965694,-0.6259230629436389,16.74759873538278,24179.65516877773
Uniform Lag,ablation,uniform_lag,2,multiseed_energy_ablation_uniform_lag_seed2,co2_per_unit_energy,minimal,21,14.198596000671387,-0.02279190534226046,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7816309604696369,-0.6556517328025248,-0.6298698828495942,16.671011849002053,24178.712511349015
CMDL,cmdl,,1,multiseed_energy_cmdl_seed1,co2_per_unit_energy,minimal,21,13.996672630310059,-0.024177986134401325,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7830170412617777,-0.6570378135946656,-0.6312559636417351,16.774848719905567,24180.133730314352
No Recon Regularization,ablation,no_recon_regularization,1,multiseed_energy_ablation_no_recon_regularization_seed1,co2_per_unit_energy,minimal,21,13.996773719787598,-0.024178230610183465,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7830172857375598,-0.6570380580704477,-0.6312562081175171,16.774889298243068,24180.134749191235
Uniform Lag,ablation,uniform_lag,0,multiseed_energy_ablation_uniform_lag_seed0,co2_per_unit_energy,minimal,20,14.200980186462402,-0.024460588838157937,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7832996439655343,-0.6573204162984222,-0.6315385663454917,16.73966351028683,24180.637812237273
CMDL,cmdl,,0,multiseed_energy_cmdl_seed0,co2_per_unit_energy,minimal,20,14.245162963867188,-0.026533244322158533,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7853722994495349,-0.6593930717824228,-0.6336112218294923,16.69462191533003,24185.818473688996
No Recon Regularization,ablation,no_recon_regularization,0,multiseed_energy_ablation_no_recon_regularization_seed0,co2_per_unit_energy,minimal,20,14.245149612426758,-0.02653331806706675,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7853723731944431,-0.659393145527331,-0.6336112955744004,16.69461706573438,24185.81893345517
Uniform Lag,ablation,uniform_lag,1,multiseed_energy_ablation_uniform_lag_seed1,co2_per_unit_energy,minimal,28,14.228976249694824,-0.029635807421809712,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7884748625491861,-0.662495634882074,-0.6367137849291434,16.74656796713885,24173.723735672378
Plain LSTM,plain_lstm,,1,multiseed_energy_lstm_seed1,co2_per_unit_energy,minimal,27,14.483810424804688,-0.03110201977340643,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7899410749007828,-0.6639618472336707,-0.6381799972807402,17.040018666052045,24183.932358156748
Plain LSTM,plain_lstm,,0,multiseed_energy_lstm_seed0,co2_per_unit_energy,minimal,20,14.458306312561035,-0.03246319255543051,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7913022476828069,-0.6653230200156948,-0.6395411700627642,16.88366692401588,24186.494681613876
No Recon Regularization,ablation,no_recon_regularization,2,multiseed_energy_ablation_no_recon_regularization_seed2,co2_per_unit_energy,minimal,23,14.601370811462402,-0.034001911538138474,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.7928409666655148,-0.6668617389984027,-0.6410798890454722,17.018546973886448,24183.936026406354
CMDL,cmdl,,2,multiseed_energy_cmdl_seed2,co2_per_unit_energy,minimal,23,14.601435661315918,-0.03400301214948365,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.79284206727686,-0.6668628396097479,-0.6410809896568174,17.018573176479922,24183.936795698784
Plain LSTM,plain_lstm,,2,multiseed_energy_lstm_seed2,co2_per_unit_energy,minimal,25,14.848111152648926,-0.03559715471743963,0.7588390551273764,0.6328598274602643,0.6070779775073337,0.7588390551273764,-0.794436209844816,-0.6684569821777039,-0.6426751322247733,17.023568209481592,24212.288915379777
