entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.25427762,0.80773073,-0.088039435,0.85903096,-0.39298862,0.4579619,-0.70791405
1,0.43887845,0.20905592,0.4302977,-0.111270554,0.6802017,-0.36029997,0.76667786,-0.74288946
2,0.85859793,0.26994154,0.86335367,-0.07999262,0.9604124,-0.40431133,0.2913474,-0.69579923
3,0.697368,0.24879488,0.69481033,-0.09085601,0.79081607,-0.3890254,0.4478547,-0.7121545
4,0.09417735,0.19087543,0.04807435,-0.12061017,0.2893418,-0.34715816,0.9821607,-0.7569506
5,0.97562236,0.27174067,0.9059867,-0.07906838,0.9893441,-0.40561184,0.29164544,-0.69440776
6,0.7611397,0.24797241,0.74393684,-0.09127852,0.925078,-0.3884309,0.4954533,-0.7127906
7,0.7860643,0.26016873,0.8562777,-0.08501308,0.87849116,-0.39724702,0.41321796,-0.70335776
8,0.12811363,0.1924987,0.11636104,-0.11977627,0.37066072,-0.34833154,0.91959053,-0.75569516
9,0.45038593,0.21151865,0.39345556,-0.110005416,0.67585874,-0.36208016,0.6967118,-0.74098474
10,0.37079802,0.21808808,0.5029654,-0.10663059,0.70746624,-0.3668289,0.6956461,-0.7359038
11,0.92676497,0.26953834,0.91167736,-0.080199756,0.8858556,-0.40401986,0.32025242,-0.6961111
12,0.6438651,0.24187952,0.66043437,-0.094408534,0.8657193,-0.38402662,0.51101756,-0.717503
13,0.8227616,0.25647995,0.7884189,-0.086908065,0.7943294,-0.39458057,0.41552693,-0.70621073
14,0.4434142,0.21503556,0.38763747,-0.10819872,0.638098,-0.36462238,0.6435749,-0.7382647
15,0.22723871,0.20344096,0.22228993,-0.11415505,0.38441488,-0.3562412,0.76391304,-0.7472322
16,0.5545848,0.23910235,0.6663703,-0.09583522,0.6771148,-0.38201913,0.5542094,-0.7196509
17,0.063817255,0.19397879,0.16025521,-0.119015925,0.40513682,-0.3494014,0.8938207,-0.7545504
18,0.8276312,0.2502251,0.8082981,-0.090121284,0.927674,-0.39005923,0.5114148,-0.71104836
19,0.6316644,0.22990908,0.57985437,-0.10055795,0.78189605,-0.37537375,0.59864515,-0.72676116
20,0.75808775,0.25249553,0.780913,-0.088954926,0.85093415,-0.39170042,0.46231288,-0.70929235
21,0.35452595,0.20354353,0.28234392,-0.11410236,0.58291674,-0.3563153,0.7378465,-0.74715286
22,0.970698,0.27085122,0.9828869,-0.07952531,0.9560854,-0.4049689,0.34526718,-0.69509566
23,0.8931211,0.26590654,0.9462887,-0.08206547,0.9532109,-0.4013946,0.39328244,-0.69892
24,0.7783835,0.25608408,0.7811741,-0.08711142,0.88226485,-0.3942944,0.4172498,-0.7065169
25,0.19463871,0.19144273,0.21125466,-0.12031874,0.43607122,-0.3475682,0.97364426,-0.75651187
26,0.466721,0.22551247,0.5493221,-0.10281656,0.7034268,-0.37219563,0.6332348,-0.7301616
27,0.043803766,0.190347,-0.014597836,-0.12088163,0.2718285,-0.3467762,0.9831317,-0.7573593
28,0.1542895,0.19622976,0.17949703,-0.117859565,0.30120626,-0.35102853,0.94068784,-0.75280946
29,0.68304896,0.2456025,0.706906,-0.092495985,0.7681701,-0.3867178,0.49711066,-0.7146236
30,0.7447622,0.25121716,0.7586073,-0.08961164,0.86575055,-0.39077637,0.4633275,-0.7102811
31,0.96750975,0.2710661,0.9620766,-0.07941492,0.9703919,-0.40512422,0.3307527,-0.6949295
32,0.32582536,0.21189839,0.4030787,-0.10981034,0.4360616,-0.36235467,0.75948757,-0.740691
33,0.3704597,0.20940562,0.37972662,-0.11109091,0.6241937,-0.36055276,0.72115266,-0.742619
34,0.46955582,0.20617495,0.37732792,-0.11275055,0.70246124,-0.35821745,0.7619968,-0.74511766
35,0.18947136,0.19237912,0.10894364,-0.1198377,0.48063406,-0.34824508,0.8501225,-0.7557876
36,0.12992151,0.19654046,0.12670198,-0.11769995,0.3051691,-0.35125315,0.891496,-0.75256914
37,0.47570494,0.21645024,0.5439573,-0.10747197,0.72030306,-0.365645,0.7579529,-0.7371705
38,0.22690935,0.19508411,0.28872347,-0.1184481,0.49940208,-0.3502004,0.93272,-0.75369555
39,0.669814,0.2433623,0.69286114,-0.09364682,0.86189103,-0.38509843,0.5155602,-0.7163562
40,0.4371519,0.21147543,0.44064558,-0.11002761,0.6245599,-0.36204892,0.7459468,-0.7410182
41,0.8326782,0.2565993,0.7708173,-0.08684675,0.9535854,-0.39466685,0.40711612,-0.7061184
42,0.7002651,0.24046408,0.7617556,-0.095135674,0.87623906,-0.38300344,0.60539836,-0.7185977
43,0.31236663,0.20667672,0.3507323,-0.112492785,0.47636557,-0.35858017,0.7778283,-0.7447296
44,0.8322598,0.24927835,0.7707294,-0.09060764,0.885073,-0.38937488,0.4967577,-0.7117806
45,0.80476433,0.26150557,0.83823484,-0.08432632,0.8603927,-0.39821336,0.38344485,-0.7023238
46,0.38747838,0.21241117,0.38919944,-0.109546915,0.5586082,-0.36272532,0.69353026,-0.74029446
