entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.035187557,0.80773073,-0.14079973,0.85903096,-0.1811656,0.4579619,-0.81805044
1,0.43887845,-0.33141714,0.4302977,-0.3176003,0.6802017,0.09321384,0.76667786,-1.0887887
2,0.85859793,0.15531173,0.86335367,-0.082868055,0.9604124,-0.27107063,0.2913474,-0.7293385
3,0.697368,-0.009100974,0.69481033,-0.16215853,0.79081607,-0.14801855,0.4478547,-0.8507576
4,0.09417735,-0.5754713,0.04807435,-0.43529907,0.2893418,0.27587226,0.9821607,-1.2690232
5,0.97562236,0.1686491,0.9059867,-0.07643591,0.9893441,-0.28105277,0.29164544,-0.7194888
6,0.7611397,-0.0062166303,0.74393684,-0.16076753,0.925078,-0.1501773,0.4954533,-0.8486275
7,0.7860643,0.081183,0.8562777,-0.11861774,0.87849116,-0.21559016,0.41321796,-0.7840827
8,0.12811363,-0.5512509,0.11636104,-0.4236184,0.37066072,0.2577449,0.91959053,-1.2511364
9,0.45038593,-0.31100732,0.39345556,-0.30775738,0.67585874,0.07793844,0.6967118,-1.073716
10,0.37079802,-0.2589718,0.5029654,-0.28266248,0.70746624,0.038993288,0.6956461,-1.0352877
11,0.92676497,0.15444654,0.91167736,-0.08328531,0.8858556,-0.27042308,0.32025242,-0.7299774
12,0.6438651,-0.05457659,0.66043437,-0.18408982,0.8657193,-0.11398306,0.51101756,-0.8843414
13,0.8227616,0.050460905,0.7884189,-0.13343394,0.7943294,-0.1925967,0.41552693,-0.80677104
14,0.4434142,-0.29484564,0.38763747,-0.29996318,0.638098,0.06584249,0.6435749,-1.0617806
15,0.22723871,-0.48288953,0.22228993,-0.39065012,0.38441488,0.20658094,0.76391304,-1.2006514
16,0.5545848,-0.102394834,0.6663703,-0.20715089,0.6771148,-0.07819425,0.5542094,-0.9196553
17,0.063817255,-0.5327031,0.16025521,-0.41467348,0.40513682,0.2438631,0.8938207,-1.2374388
18,0.8276312,0.008653417,0.8082981,-0.15359622,0.927674,-0.16130655,0.5114148,-0.83764595
