entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.7341312,0.80773073,0.22865841,0.85903096,-0.6630985,0.4579619,-0.26403362
1,0.43887845,0.7474276,0.4302977,0.23606335,0.6802017,-0.67210233,0.76667786,-0.25315997
2,0.85859793,0.71312296,0.86335367,0.21695863,0.9604124,-0.64887244,0.2913474,-0.281214
3,0.697368,0.7348974,0.69481033,0.2290851,0.79081607,-0.6636173,0.4478547,-0.26340708
4,0.09417735,0.7176691,0.04807435,0.21949045,0.2893418,-0.65195096,0.9821607,-0.2774962
5,0.97562236,0.71245515,0.9059867,0.21658671,0.9893441,-0.6484202,0.29164544,-0.28176013
6,0.7611397,0.735176,0.74393684,0.22924028,0.925078,-0.663806,0.4954533,-0.26317918
7,0.7860643,0.7283176,0.8562777,0.22542074,0.87849116,-0.65916175,0.41321796,-0.26878795
8,0.12811363,0.7303839,0.11636104,0.22657147,0.37066072,-0.6605609,0.91959053,-0.26709816
9,0.45038593,0.7433332,0.39345556,0.23378314,0.67585874,-0.66932976,0.6967118,-0.2565083
10,0.37079802,0.7496089,0.5029654,0.23727813,0.70746624,-0.67357945,0.6956461,-0.25137612
11,0.92676497,0.7151405,0.91167736,0.21808223,0.8858556,-0.65023863,0.32025242,-0.27956405
12,0.6438651,0.73702896,0.66043437,0.2302722,0.8657193,-0.66506076,0.51101756,-0.26166388
13,0.8227616,0.7302997,0.7884189,0.22652459,0.7943294,-0.6605039,0.41552693,-0.267167
14,0.4434142,0.74458706,0.38763747,0.23448142,0.638098,-0.67017883,0.6435749,-0.2554829
15,0.22723871,0.750129,0.22228993,0.2375678,0.38441488,-0.67393166,0.76391304,-0.25095078
16,0.5545848,0.7481133,0.6663703,0.23644522,0.6771148,-0.67256665,0.5542094,-0.2525992
17,0.063817255,0.73635805,0.16025521,0.22989857,0.40513682,-0.66460645,0.8938207,-0.26221254
18,0.8276312,0.7373155,0.8082981,0.23043177,0.927674,-0.6652548,0.5114148,-0.26142958
19,0.6316644,0.7445575,0.57985437,0.23446496,0.78189605,-0.6701588,0.59864515,-0.2555071
20,0.75808775,0.7349199,0.780913,0.22909765,0.85093415,-0.6636326,0.46231288,-0.26338863
21,0.35452595,0.74066687,0.28234392,0.23229821,0.58291674,-0.6675242,0.7378465,-0.25868884
22,0.970698,0.7169975,0.9828869,0.21911642,0.9560854,-0.6514961,0.34526718,-0.27804542
23,0.8931211,0.7238275,0.9462887,0.22292012,0.9532109,-0.65612113,0.39328244,-0.27245992
24,0.7783835,0.72956586,0.7811741,0.2261159,0.88226485,-0.660007,0.4172498,-0.26776713
25,0.19463871,0.7369698,0.21125466,0.23023927,0.43607122,-0.6650207,0.97364426,-0.26171222
26,0.466721,0.7499882,0.5493221,0.23748939,0.7034268,-0.6738363,0.6332348,-0.2510659
27,0.043803766,0.7061379,-0.014597836,0.21306854,0.2718285,-0.6441424,0.9831317,-0.28692633
28,0.1542895,0.74117935,0.17949703,0.23258361,0.30120626,-0.66787124,0.94068784,-0.25826973
29,0.68304896,0.7404808,0.706906,0.23219457,0.7681701,-0.6673982,0.49711066,-0.258841
30,0.7447622,0.73466337,0.7586073,0.22895478,0.86575055,-0.6634588,0.4633275,-0.26359844
31,0.96750975,0.7159718,0.9620766,0.2185452,0.9703919,-0.6508016,0.3307527,-0.27888423
32,0.32582536,0.76194537,0.4030787,0.2441485,0.4360616,-0.6819333,0.75948757,-0.24128745
33,0.3704597,0.7470946,0.37972662,0.23587789,0.6241937,-0.67187685,0.72115266,-0.2534323
34,0.46955582,0.73999417,0.37732792,0.23192358,0.70246124,-0.66706866,0.7619968,-0.25923896
35,0.18947136,0.7238847,0.10894364,0.222952,0.48063406,-0.65615994,0.8501225,-0.27241313
36,0.12992151,0.7371123,0.12670198,0.2303186,0.3051691,-0.6651172,0.891496,-0.26159573
37,0.47570494,0.75286305,0.5439573,0.23909043,0.72030306,-0.67578304,0.7579529,-0.2487149
38,0.22690935,0.74474883,0.28872347,0.23457152,0.49940208,-0.6702884,0.93272,-0.25535062
39,0.669814,0.7385032,0.69286114,0.23109324,0.86189103,-0.6660591,0.5155602,-0.26045823
40,0.4371519,0.7526367,0.44064558,0.23896436,0.6245599,-0.67562973,0.7459468,-0.24890003
41,0.8326782,0.7265718,0.7708173,0.22444847,0.9535854,-0.65797955,0.40711612,-0.27021566
42,0.7002651,0.7457209,0.7617556,0.23511288,0.87623906,-0.67094666,0.60539836,-0.25455567
43,0.31236663,0.7563752,0.3507323,0.2410464,0.47636557,-0.6781614,0.7778283,-0.2458427
44,0.8322598,0.7372268,0.7707294,0.23038238,0.885073,-0.6651947,0.4967577,-0.2615021
45,0.80476433,0.7252189,0.83823484,0.22369502,0.8603927,-0.65706336,0.38344485,-0.27132204
46,0.38747838,0.75258476,0.38919944,0.23893544,0.5586082,-0.6755946,0.69353026,-0.24894248
47,0.2883281,0.7414043,0.3047086,0.23270889,0.5976158,-0.6680236,0.8301303,-0.25808576
48,0.6824955,0.73511684,0.56220275,0.22920732,0.84211206,-0.6637659,0.5260349,-0.26322758
49,0.13975248,0.7359428,0.16148172,0.2296673,0.45868582,-0.66432524,0.7938533,-0.26255214
50,0.1999082,0.73554784,0.16887526,0.22944735,0.47813353,-0.6640578,0.7770306,-0.2628751
51,0.00736227,0.71461916,0.084849596,0.21779189,0.10514239,-0.6498856,1.0392921,-0.27999043
52,0.78692436,0.736022,0.75694984,0.22971141,0.92981017,-0.6643789,0.5052477,-0.26248735
53,0.66485083,0.7422818,0.67707694,0.23319758,0.8276899,-0.6686178,0.5487974,-0.25736815
54,0.7051654,0.7376728,0.65983975,0.23063077,0.831996,-0.66549677,0.49837682,-0.26113734
55,0.78072906,0.7263212,0.80085725,0.22430892,0.9360795,-0.65780985,0.39791653,-0.27042058
56,0.45891577,0.7399317,0.4523528,0.23188879,0.7552096,-0.6670264,0.6397206,-0.25929004
57,0.5687412,0.7449668,0.5255731,0.2346929,0.7647704,-0.67043597,0.6462114,-0.25517237
58,0.139797,0.7275452,0.14039686,0.22499058,0.4436648,-0.65863866,0.94712377,-0.2694196
59,0.11453007,0.72789955,0.15872562,0.22518791,0.36751404,-0.6588786,1.0420307,-0.26912984
60,0.66840297,0.7517798,0.657632,0.23848715,0.71237427,-0.6750495,0.6163413,-0.24960077
61,0.47109622,0.74756205,0.447067,0.23613822,0.6920282,-0.6721934,0.73898405,-0.25305
62,0.5652361,0.74050045,0.48111746,0.23220553,0.6861104,-0.6674115,0.5202676,-0.2588249
63,0.76499885,0.7356609,0.7233067,0.22951032,0.8977231,-0.6641344,0.49202064,-0.26278266
