entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.042212665,0.80773073,-0.13690628,0.85903096,-0.18608825,0.4579619,-0.8123752
1,0.43887845,-0.3294092,0.4302977,-0.3164208,0.6802017,0.09160709,0.76667786,-1.0870947
2,0.85859793,0.16336738,0.86335367,-0.07838166,0.9604124,-0.2766214,0.2913474,-0.72281224
3,0.697368,-0.0026099384,0.69481033,-0.15855815,0.79081607,-0.15259446,0.4478547,-0.84551007
4,0.09417735,-0.57870173,0.04807435,-0.43684328,0.2893418,0.27789152,0.9821607,-1.2713828
5,0.97562236,0.17683432,0.9059867,-0.07187636,0.9893441,-0.2866846,0.29164544,-0.7128569
6,0.7611397,0.00032696128,0.74393684,-0.15713947,0.925078,-0.15478906,0.4954533,-0.84333897
7,0.7860643,0.08866513,0.8562777,-0.1144671,0.87849116,-0.22079997,0.41321796,-0.77803546
8,0.12811363,-0.55367875,0.11636104,-0.42475575,0.37066072,0.25919303,0.91959053,-1.2528846
9,0.45038593,-0.30871406,0.39345556,-0.30642387,0.67585874,0.07614259,0.6967118,-1.0717958
10,0.37079802,-0.25578475,0.5029654,-0.280856,0.70746624,0.036591027,0.6956461,-1.0326681
11,0.92676497,0.1625484,0.91167736,-0.078777276,0.8858556,-0.2760094,0.32025242,-0.72341764
12,0.6438651,-0.048621297,0.66043437,-0.18078426,0.8657193,-0.11821236,0.51101756,-0.8795237
13,0.8227616,0.057604283,0.7884189,-0.12947126,0.7943294,-0.19758968,0.41552693,-0.800997
14,0.4434142,-0.2923092,0.38763747,-0.29849938,0.638098,0.063884005,0.6435749,-1.0596687
15,0.22723871,-0.48380187,0.22228993,-0.39100125,0.38441488,0.20697737,0.76391304,-1.2012285
16,0.5545848,-0.09702453,0.6663703,-0.20416577,0.6771148,-0.082042925,0.5542094,-0.9153055
17,0.063817255,-0.5346416,0.16025521,-0.41555974,0.40513682,0.2449675,0.8938207,-1.2388116
18,0.8276312,0.01540795,0.8082981,-0.14985448,0.927674,-0.16605836,0.5114148,-0.8321904
19,0.6316644,-0.14971814,0.57985437,-0.22961979,0.78189605,-0.042667504,0.59864515,-0.954259
20,0.75808775,0.02841273,0.780913,-0.14357243,0.85093415,-0.17577623,0.46231288,-0.8225767
21,0.35452595,-0.3972707,0.28234392,-0.34920177,0.58291674,0.14231676,0.7378465,-1.1372609
22,0.970698,0.17167383,0.9828869,-0.07436917,0.9560854,-0.28282842,0.34526718,-0.7166717
23,0.8931211,0.13360463,0.9462887,-0.09275876,0.9532109,-0.25438112,0.39328244,-0.74481416
24,0.7783835,0.05820039,0.7811741,-0.1291833,0.88226485,-0.19803512,0.4172498,-0.80055636
25,0.19463871,-0.5357412,0.21125466,-0.4160909,0.43607122,0.24578917,0.97364426,-1.2396244
26,0.466721,-0.19972503,0.5493221,-0.25377595,0.7034268,-0.0052997307,0.6332348,-0.9912263
27,0.043803766,-0.5775994,-0.014597836,-0.4363108,0.2718285,0.2770678,0.9831317,-1.2705679
28,0.1542895,-0.5588559,0.17949703,-0.4272566,0.30120626,0.26306167,0.94068784,-1.2567118
29,0.68304896,-0.031468987,0.706906,-0.17249872,0.7681701,-0.13102947,0.49711066,-0.86684394
30,0.7447622,0.020025909,0.7586073,-0.14762375,0.86575055,-0.16950914,0.4633275,-0.8287766
31,0.96750975,0.17305359,0.9620766,-0.07370266,0.9703919,-0.28385946,0.3307527,-0.71565175
32,0.32582536,-0.39502266,0.4030787,-0.34811583,0.4360616,0.14063689,0.75948757,-1.135599
33,0.3704597,-0.34196237,0.37972662,-0.3224847,0.6241937,0.10098746,0.72115266,-1.0963745
34,0.46955582,-0.3390458,0.37732792,-0.32107583,0.70246124,0.09880804,0.7619968,-1.0942184
35,0.18947136,-0.5098692,0.10894364,-0.40359327,0.48063406,0.22645625,0.8501225,-1.2204987
36,0.12992151,-0.55819046,0.12670198,-0.42693517,0.3051691,0.26256442,0.891496,-1.2562199
37,0.47570494,-0.26928565,0.5439573,-0.28737772,0.72030306,0.04667961,0.7579529,-1.0426486
38,0.22690935,-0.49243125,0.28872347,-0.39516973,0.49940208,0.2134257,0.93272,-1.2076077
39,0.669814,-0.038918674,0.69286114,-0.17609733,0.86189103,-0.12546267,0.5155602,-0.87235105
40,0.4371519,-0.33003607,0.44064558,-0.31672361,0.6245599,0.09207551,0.7459468,-1.087558
41,0.8326782,0.06500471,0.7708173,-0.12589642,0.9535854,-0.20311967,0.40711612,-0.79552627
42,0.7002651,-0.06337139,0.7617556,-0.1879094,0.87623906,-0.10719032,0.60539836,-0.8904276
43,0.31236663,-0.42018417,0.3507323,-0.36027026,0.47636557,0.1594389,0.7778283,-1.1541995
44,0.8322598,0.0060043633,0.7707294,-0.15439695,0.885073,-0.15903151,0.4967577,-0.83914196
45,0.80476433,0.099240035,0.83823484,-0.10935882,0.8603927,-0.2287021,0.38344485,-0.770218
46,0.38747838,-0.34120718,0.38919944,-0.3221199,0.5586082,0.10042314,0.69353026,-1.0958163
47,0.2883281,-0.42495093,0.3047086,-0.3625729,0.5976158,0.16300087,0.8301303,-1.1577233
48,0.6824955,-0.100708604,0.56220275,-0.20594539,0.84211206,-0.079289995,0.5260349,-0.91802895
49,0.13975248,-0.49148485,0.16148172,-0.39471257,0.45868582,0.2127185,0.7938533,-1.2069081
50,0.1999082,-0.47806564,0.16887526,-0.38823032,0.47813353,0.20269096,0.7770306,-1.1969881
51,0.00736227,-0.5792124,0.084849596,-0.43708998,0.10514239,0.27827314,1.0392921,-1.2717602
52,0.78692436,-9.24021e-05,0.75694984,-0.15734203,0.92981017,-0.15447569,0.5052477,-0.84364897
53,0.66485083,-0.07036105,0.67707694,-0.19128579,0.8276899,-0.101967275,0.5487974,-0.89559466
54,0.7051654,-0.045411915,0.65983975,-0.17923394,0.831996,-0.12061058,0.49837682,-0.8771512
55,0.78072906,0.08010319,0.80085725,-0.118603,0.9360795,-0.21440203,0.39791653,-0.7843648
56,0.45891577,-0.23208472,0.4523528,-0.26940754,0.7552096,0.018881125,0.6397206,-1.015148
57,0.5687412,-0.20446008,0.5255731,-0.25606325,0.7647704,-0.0017614511,0.6462114,-0.99472666
58,0.139797,-0.5395365,0.14039686,-0.41792423,0.4436648,0.24862519,0.94712377,-1.2424301
59,0.11453007,-0.5679475,0.15872562,-0.43164837,0.36751404,0.2698554,1.0420307,-1.2634327
60,0.66840297,-0.13718846,0.657632,-0.22356725,0.71237427,-0.052030332,0.6163413,-0.9449965
61,0.47109622,-0.305778,0.447067,-0.30500558,0.6920282,0.0739486,0.73898405,-1.0696254
62,0.5652361,-0.16169772,0.48111746,-0.2354066,0.6861104,-0.033715732,0.5202676,-0.9631148
63,0.76499885,-0.008378357,0.7233067,-0.16134463,0.8977231,-0.14828399,0.49202064,-0.8497743
64,0.6347183,-0.01968038,0.6492227,-0.16680415,0.72252184,-0.13983853,0.43441677,-0.85812926
65,0.5535794,-0.19540069,0.55643296,-0.25168705,0.71926093,-0.008531109,0.63661224,-0.98802954
66,0.55920714,-0.17796057,0.5960597,-0.24326248,0.75505924,-0.021563273,0.648462,-0.97513705
67,0.3039501,-0.3931078,0.3159837,-0.34719086,0.5791451,0.139206,0.75023955,-1.1341834
68,0.030817835,-0.5848038,0.021388235,-0.43979093,0.18588084,0.28245133,1.0215052,-1.2758937
69,0.4367174,-0.28762296,0.416046,-0.29623568,0.68820727,0.060382206,0.68034124,-1.0562043
70,0.21458468,-0.44699833,0.20841372,-0.37322304,0.5067826,0.17947583,0.74515504,-1.1740217
71,0.40852866,-0.3020163,0.34046385,-0.30318847,0.5613477,0.07113766,0.59151506,-1.0668446
72,0.8534031,0.09343585,0.8177942,-0.11216257,0.96314347,-0.2243649,0.38766146,-0.7745087
73,0.23393948,-0.4841881,0.24432346,-0.39118782,0.54085684,0.20726599,0.9059459,-1.2015141
74,0.05830274,-0.5739502,0.054673,-0.43454802,0.31252286,0.2743409,0.9640248,-1.2678702
75,0.2813839,-0.43234012,0.2374205,-0.3661423,0.4992503,0.16852245,0.7253031,-1.1631857
76,0.29359376,-0.46672478,0.24696673,-0.38275203,0.5230471,0.19421647,0.8366726,-1.1886044
77,0.6619165,-0.052274853,0.75225693,-0.18254913,0.74101794,-0.11548223,0.5572819,-0.88222456
78,0.55703217,-0.18683878,0.5024036,-0.24755117,0.7712675,-0.014929016,0.6031954,-0.9817002
79,0.78389823,0.02593948,0.6877757,-0.14476715,0.9341159,-0.17392808,0.4195087,-0.8244051
80,0.66431355,-0.06622055,0.6362838,-0.1892857,0.7588923,-0.10506128,0.5006307,-0.89253384
81,0.40638685,-0.3273627,0.4288511,-0.31543222,0.62754947,0.09007781,0.732784,-1.0855818
82,0.8140204,0.08503196,0.8330213,-0.11622213,0.97156554,-0.21808508,0.41218945,-0.78072125
83,0.16697292,-0.5206363,0.08943789,-0.40879437,0.46465236,0.234502,0.86571586,-1.2284582
84,0.022712072,-0.58129776,0.081228174,-0.43809733,0.17083254,0.2798314,0.97721684,-1.2733018
85,0.09004786,-0.566416,0.10835859,-0.4309086,0.40250793,0.268711,1.046008,-1.2623006
86,0.72235936,-0.04750356,0.72600186,-0.18024433,0.85832727,-0.11904759,0.55085105,-0.8786974
87,0.46187723,-0.2817615,0.41748002,-0.29340425,0.6971017,0.056002215,0.67532814,-1.0518713
88,0.16127178,-0.516474,0.17775196,-0.40678376,0.35783473,0.2313917,0.8036575,-1.2253813
89,0.50104475,-0.27652118,0.3922131,-0.29087287,0.6491825,0.052086372,0.62518823,-1.0479975
90,0.1523121,-0.52772546,0.13691954,-0.41221884,0.49197647,0.23979938,0.9514462,-1.2336988
91,0.69632035,-0.043915004,0.64581054,-0.17851084,0.8527128,-0.12172915,0.49120414,-0.8760446
92,0.44615626,-0.30615798,0.43122715,-0.30518913,0.67767894,0.07423254,0.7201971,-1.0699062
93,0.38102123,-0.3080978,0.36321017,-0.30612618,0.6731214,0.07568209,0.67333335,-1.0713403
94,0.3015121,-0.38436756,0.3018449,-0.34296882,0.68547904,0.13267484,0.80065316,-1.1277223
95,0.6302826,-0.08705458,0.70552635,-0.19934972,0.7987082,-0.089493,0.589293,-0.90793526
96,0.36181262,-0.35131457,0.3588315,-0.32700235,0.5925622,0.10797592,0.70580834,-1.103288
97,0.08764992,-0.57814455,0.11024074,-0.43657413,0.2513516,0.27747518,0.9735883,-1.2709708
98,0.1180059,-0.54279506,0.17498347,-0.41949832,0.36276278,0.2510602,0.90236783,-1.244839
99,0.9618977,0.15610594,0.9857309,-0.081889346,0.9645585,-0.27119526,0.37578788,-0.7281802
100,0.9085807,0.16450241,0.8124319,-0.07783337,0.93557566,-0.27746958,0.2594759,-0.7219732
101,0.69970715,-0.085054964,0.6212165,-0.1983838,0.90808773,-0.09098721,0.5572022,-0.90645707
102,0.26586998,-0.42096677,0.22809726,-0.36064833,0.4367444,0.16002369,0.6582533,-1.154778
103,0.96917635,0.16089167,0.94064283,-0.079577565,1.1115394,-0.27477142,0.34440795,-0.7246424
104,0.7787509,0.074703455,0.7493734,-0.12121138,0.9068853,-0.21036708,0.3729241,-0.78835654
105,0.7168902,-0.023102254,0.7012807,-0.1684571,0.85191625,-0.13728152,0.49365658,-0.8606589
106,0.4493615,-0.27925685,0.49087882,-0.29219437,0.6884382,0.054130614,0.7205341,-1.0500197
107,0.27224156,-0.47395137,0.23610201,-0.3862429,0.568903,0.19961657,0.8949501,-1.1939466
108,0.09639096,-0.5827011,0.045458112,-0.4387752,0.26386493,0.28088003,1.002655,-1.2743392
109,0.9026024,0.1442307,0.8925568,-0.087625764,1.0237545,-0.26232147,0.34494525,-0.7369589
110,0.4557763,-0.24827632,0.5321662,-0.277229,0.68201506,0.03098034,0.6945136,-1.0271176
111,0.20236337,-0.46950045,0.28451106,-0.38409284,0.4308552,0.1962906,0.8089367,-1.1906563
112,0.30595663,-0.38285545,0.28240702,-0.34223837,0.576881,0.13154492,0.703628,-1.1266044
113,0.5792196,-0.17846438,0.6126868,-0.24350587,0.73277926,-0.021186803,0.6548065,-0.97550946
114,0.17677279,-0.52698135,0.05107412,-0.4118594,0.37914887,0.23924334,0.7877194,-1.2331487
115,0.8566143,0.08873072,0.81323725,-0.11443541,0.93853706,-0.22084899,0.3909606,-0.77798694
116,0.75851953,0.004321754,0.7452172,-0.15520975,0.862573,-0.15777418,0.4797142,-0.84038585
117,0.71946293,-0.05579558,0.6665148,-0.18424985,0.8853212,-0.11285136,0.53116596,-0.88482726
118,0.43209305,-0.2915853,0.45230755,-0.2981497,0.68655586,0.06334307,0.7130968,-1.0591335
119,0.62730885,-0.0481126,0.7341502,-0.18053854,0.78745586,-0.118592486,0.54476196,-0.87914765
120,0.584098,-0.13185504,0.5445378,-0.2209909,0.71006924,-0.056015745,0.52579665,-0.9410538
121,0.6498466,-0.113913506,0.60318476,-0.21232411,0.8024199,-0.0694226,0.56265783,-0.9277906
122,0.08444432,-0.5814277,0.08712928,-0.4381601,0.25040245,0.2799285,0.9881487,-1.2733979
123,0.4158074,-0.28207782,0.45462656,-0.29355705,0.63644975,0.056238588,0.6746567,-1.0521052
124,0.041614175,-0.5725621,0.07040664,-0.4338775,0.21386413,0.27330366,0.8948434,-1.266844
125,0.4939908,-0.2068536,0.49042183,-0.25721946,0.71660167,2.7107875e-05,0.6069724,-0.9964961
126,0.32986122,-0.4451932,0.339828,-0.37235105,0.4979573,0.17812695,0.8392469,-1.1726873
127,0.14452419,-0.5380075,0.21004157,-0.41718566,0.36690623,0.24748266,0.91791445,-1.2412997
128,0.103402965,-0.5709168,-0.023117939,-0.4330827,0.26085505,0.2720742,0.9121945,-1.2656277
129,0.5876446,-0.21947941,0.5313576,-0.26331845,0.8040856,0.009461777,0.69350684,-1.0058296
130,0.17059296,-0.5496117,0.10882069,-0.42279115,0.3690622,0.2561539,0.892946,-1.249878
131,0.9251201,0.1691924,1.0097038,-0.07556784,0.897657,-0.28097418,0.36549032,-0.7185061
132,0.5810611,-0.0732235,0.6766793,-0.19266853,0.6755563,-0.0998283,0.52600104,-0.89771074
133,0.3468698,-0.4174129,0.32463044,-0.3589316,0.56162566,0.15736806,0.7998527,-1.1521509
134,0.5909155,-0.16666445,0.60360265,-0.23780583,0.6755248,-0.030004328,0.61341816,-0.96678644
135,0.022803871,-0.5785377,-0.0075169206,-0.43676406,0.21791798,0.27776894,0.9510889,-1.2712615
136,0.9585592,0.14110401,0.9251369,-0.08913613,1.0074698,-0.25998506,0.36906222,-0.73927027
137,0.48230344,-0.27430597,0.5058287,-0.2898028,0.60598683,0.050431054,0.6906344,-1.0463599
138,0.7827352,0.06363864,0.728434,-0.12655632,0.89707524,-0.20209888,0.3773393,-0.79653615
139,0.08273,-0.564021,0.106161915,-0.42975166,0.24528179,0.2669213,0.8747507,-1.2605301
140,0.48665833,-0.20587245,0.5241339,-0.25674552,0.7102953,-0.0007060604,0.6271054,-0.99577075
141,0.49070698,-0.2118024,0.5668939,-0.25961003,0.67737055,0.0037251068,0.6581908,-1.0001544
142,0.93782645,0.14912298,0.9519444,-0.085262515,0.935882,-0.26597726,0.36825612,-0.7333423
143,0.57172805,-0.21832171,0.5437218,-0.2627592,0.73451596,0.008596683,0.6713291,-1.0049738
144,0.4734894,-0.35883746,0.41885865,-0.33063632,0.5614347,0.11359741,0.75313157,-1.1088493
145,0.26697567,-0.36010763,0.4008154,-0.3312499,0.49542025,0.11454655,0.71143305,-1.1097883
146,0.331569,-0.4024841,0.31526858,-0.35172012,0.5607936,0.14621246,0.7579307,-1.1411148
147,0.5206724,-0.24246666,0.4622195,-0.27442262,0.7520033,0.026639052,0.66306597,-1.0228229
148,0.43891147,-0.36302033,0.3604552,-0.3326569,0.6992118,0.116723076,0.800528,-1.1119415
149,0.02161208,-0.57914805,0.030639997,-0.4370589,0.1293009,0.27822503,0.9774164,-1.2717127
150,0.8262919,0.07725078,0.8585929,-0.11998088,0.81814575,-0.21227057,0.4302262,-0.78647345
151,0.8961608,0.1293669,0.87566143,-0.09480582,1.0436685,-0.25121447,0.3635434,-0.74794686
152,0.14024909,-0.5442569,0.22781318,-0.4202045,0.31655207,0.25215256,0.93265676,-1.2459196
153,0.55403614,-0.18348518,0.57080466,-0.2459312,0.6987111,-0.017435,0.62148803,-0.9792211
154,0.10857574,-0.5350255,0.17223297,-0.41574517,0.31250927,0.24525434,0.83516896,-1.2390953
155,0.6722401,-0.056083918,0.67131805,-0.18438913,0.77252525,-0.112635896,0.51145905,-0.8850404
156,0.2812338,-0.43112102,0.27695042,-0.3655534,0.44076806,0.16761148,0.7183143,-1.1622845
157,0.65942264,0.02154319,0.6847311,-0.14689082,0.7846057,-0.17064294,0.4037551,-0.82765496
158,0.72699463,0.02987504,0.76819897,-0.14286606,0.8669392,-0.17686893,0.45362535,-0.8214957
159,0.7686475,-0.007831991,0.6995139,-0.1610807,0.92060536,-0.14869227,0.4802877,-0.8493704
160,0.107740946,-0.5411495,0.23282756,-0.4187034,0.35029906,0.24983053,0.94493574,-1.2436224
161,0.91601187,0.122799054,0.90724814,-0.097978465,0.9999658,-0.24630663,0.3916087,-0.75280213
