entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.15784742,0.80773073,-0.07692831,0.85903096,-0.26368424,0.4579619,-0.72587496
1,0.43887845,-0.11389825,0.4302977,-0.21964101,0.6802017,-0.071109645,0.76667786,-0.93203485
2,0.85859793,0.24843419,0.86335367,-0.029354854,0.9604124,-0.32787925,0.2913474,-0.6571513
3,0.697368,0.12521389,0.69481033,-0.09406646,0.79081607,-0.24055825,0.4478547,-0.7506324
4,0.09417735,-0.29005203,0.04807435,-0.3121517,0.2893418,0.053723056,0.9821607,-1.065674
5,0.97562236,0.25830346,0.9059867,-0.024171805,0.9893441,-0.33487317,0.29164544,-0.649664
6,0.7611397,0.12591241,0.74393684,-0.09369963,0.925078,-0.24105327,0.4954533,-0.75010246
7,0.7860643,0.19250336,0.8562777,-0.05872805,0.87849116,-0.28824344,0.41321796,-0.69958323
8,0.12811363,-0.27178553,0.11636104,-0.3025587,0.37066072,0.040778365,0.91959053,-1.0518161
9,0.45038593,-0.09891978,0.39345556,-0.21177477,0.67585874,-0.08172425,0.6967118,-0.92067146
10,0.37079802,-0.060606986,0.5029654,-0.19165403,0.70746624,-0.108874895,0.6956461,-0.89160544
11,0.92676497,0.24820077,0.91167736,-0.029477434,0.8858556,-0.32771382,0.32025242,-0.65732837
12,0.6438651,0.09008032,0.66043437,-0.112517565,0.8657193,-0.21566059,0.51101756,-0.77728647
13,0.8227616,0.17002922,0.7884189,-0.070530795,0.7943294,-0.27231696,0.41552693,-0.71663326
14,0.4434142,-0.08633605,0.38763747,-0.20516616,0.638098,-0.090641804,0.6435749,-0.91112477
15,0.22723871,-0.22044939,0.22228993,-0.27559847,0.38441488,0.0043986235,0.76391304,-1.0128698
16,0.5545848,0.056042314,0.6663703,-0.13039331,0.6771148,-0.1915393,0.5542094,-0.8031094
17,0.063817255,-0.25818726,0.16025521,-0.29541728,0.40513682,0.031141853,0.8938207,-1.0414997
18,0.8276312,0.13710973,0.8082981,-0.08781913,0.927674,-0.24898833,0.5114148,-0.7416076
19,0.6316644,0.01619406,0.57985437,-0.15132043,0.78189605,-0.16330053,0.59864515,-0.8333403
20,0.75808775,0.14764036,0.780913,-0.08228876,0.85093415,-0.25645095,0.46231288,-0.73361856
21,0.35452595,-0.16177431,0.28234392,-0.24478409,0.58291674,-0.037181914,0.7378465,-0.968356
22,0.970698,0.25433275,0.9828869,-0.026257103,0.9560854,-0.3320593,0.34526718,-0.65267634
23,0.8931211,0.22558925,0.9462887,-0.04135233,0.9532109,-0.31169,0.39328244,-0.67448264
24,0.7783835,0.16975164,0.7811741,-0.07067657,0.88226485,-0.27212027,0.4172498,-0.71684384
25,0.19463871,-0.25977567,0.21125466,-0.29625148,0.43607122,0.03226749,0.97364426,-1.0427048
26,0.466721,-0.019570082,0.5493221,-0.17010269,0.7034268,-0.13795601,0.6332348,-0.8604728
27,0.043803766,-0.2901766,-0.014597836,-0.31221712,0.2718285,0.053811334,0.9831317,-1.0657685
28,0.1542895,-0.27416757,0.17949703,-0.30380967,0.30120626,0.042466413,0.94068784,-1.0536232
29,0.68304896,0.10381472,0.706906,-0.10530467,0.7681701,-0.22539356,0.49711066,-0.76686686
30,0.7447622,0.1412709,0.7586073,-0.0856338,0.86575055,-0.25193718,0.4633275,-0.73845077
31,0.96750975,0.25537482,0.9620766,-0.025709841,0.9703919,-0.33279777,0.3307527,-0.6518858
32,0.32582536,-0.15790853,0.4030787,-0.2427539,0.4360616,-0.039921425,0.75948757,-0.9654233
33,0.3704597,-0.12219325,0.37972662,-0.2239973,0.6241937,-0.06523133,0.72115266,-0.93832785
34,0.46955582,-0.12157324,0.37732792,-0.22367169,0.70246124,-0.0656707,0.7619968,-0.9378575
35,0.18947136,-0.24227485,0.10894364,-0.28706056,0.48063406,0.019865401,0.8501225,-1.0294278
36,0.12992151,-0.27352795,0.12670198,-0.30347374,0.3051691,0.042013146,0.891496,-1.0531379
37,0.47570494,-0.07050863,0.5439573,-0.19685408,0.72030306,-0.10185802,0.7579529,-0.8991173
38,0.22690935,-0.229087,0.28872347,-0.2801347,0.49940208,0.010519729,0.93272,-1.0194228
39,0.669814,0.097339034,0.69286114,-0.108705506,0.86189103,-0.22080453,0.5155602,-0.77177966
