entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.75471735,0.80773073,0.2517399,0.85903096,-0.668399,0.4579619,-0.23732573
1,0.43887845,0.5680694,0.4302977,0.14670809,0.6802017,-0.54295313,0.76667786,-0.3908296
2,0.85859793,0.7961369,0.86335367,0.2750478,0.9604124,-0.696237,0.2913474,-0.20326126
3,0.697368,0.73114276,0.69481033,0.23847385,0.79081607,-0.6525545,0.4478547,-0.25671405
4,0.09417735,0.38199508,0.04807435,0.04199907,0.2893418,-0.4178928,0.9821607,-0.5438617
5,0.97562236,0.802808,0.9059867,0.2788018,0.9893441,-0.7007206,0.29164544,-0.1977748
6,0.7611397,0.7336949,0.74393684,0.23991,0.925078,-0.6542698,0.4954533,-0.2546151
7,0.7860643,0.7732312,0.8562777,0.26215816,0.87849116,-0.6808421,0.41321796,-0.22209948
8,0.12811363,0.41393572,0.11636104,0.059972927,0.37066072,-0.43936008,0.91959053,-0.51759297
9,0.45038593,0.5744583,0.39345556,0.15030329,0.67585874,-0.5472471,0.6967118,-0.3855752
10,0.37079802,0.611393,0.5029654,0.17108743,0.70746624,-0.57207084,0.6956461,-0.35519922
11,0.92676497,0.79874027,0.91167736,0.27651277,0.8858556,-0.6979867,0.32025242,-0.2011202
12,0.6438651,0.7094244,0.66043437,0.22625233,0.8657193,-0.63795763,0.51101756,-0.2745758
13,0.8227616,0.7581825,0.7884189,0.25368986,0.7943294,-0.6707279,0.41552693,-0.23447588
14,0.4434142,0.5843662,0.38763747,0.15587874,0.638098,-0.5539062,0.6435749,-0.3774267
15,0.22723871,0.4778015,0.22228993,0.09591192,0.38441488,-0.4822842,0.76391304,-0.46506816
16,0.5545848,0.69330174,0.6663703,0.21717969,0.6771148,-0.6271216,0.5542094,-0.28783545
17,0.063817255,0.43319485,0.16025521,0.07081056,0.40513682,-0.45230412,0.8938207,-0.50175375
18,0.8276312,0.744331,0.8082981,0.24589522,0.927674,-0.6614183,0.5114148,-0.24586771
19,0.6316644,0.6636395,0.57985437,0.20048794,0.78189605,-0.60718566,0.59864515,-0.3122304
20,0.75808775,0.74819964,0.780913,0.2480722,0.85093415,-0.66401845,0.46231288,-0.24268605
21,0.35452595,0.5202862,0.28234392,0.1198192,0.58291674,-0.5108381,0.7378465,-0.43012768
22,0.970698,0.80580765,0.9828869,0.28048977,0.9560854,-0.7027367,0.34526718,-0.1953078
23,0.8931211,0.7926394,0.9462887,0.27307963,0.9532109,-0.6938863,0.39328244,-0.20613772
24,0.7783835,0.7581899,0.7811741,0.253694,0.88226485,-0.67073286,0.4172498,-0.2344698
25,0.19463871,0.43441647,0.21125466,0.071498,0.43607122,-0.45312518,0.97364426,-0.50074905
26,0.466721,0.64196193,0.5493221,0.1882894,0.7034268,-0.5926162,0.6332348,-0.33005857
27,0.043803766,0.36692682,-0.014597836,0.033519756,0.2718285,-0.40776545,0.9831317,-0.5562542
28,0.1542895,0.42245227,0.17949703,0.064765416,0.30120626,-0.44508404,0.94068784,-0.5105887
29,0.68304896,0.7217088,0.706906,0.23316509,0.7681701,-0.64621395,0.49711066,-0.26447278
30,0.7447622,0.7435119,0.7586073,0.2454343,0.86575055,-0.6608678,0.4633275,-0.24654135
31,0.96750975,0.80530393,0.9620766,0.28020632,0.9703919,-0.7023981,0.3307527,-0.19572207
32,0.32582536,0.5409708,0.4030787,0.13145898,0.4360616,-0.5247402,0.75948757,-0.41311616
33,0.3704597,0.5598789,0.37972662,0.14209907,0.6241937,-0.5374483,0.72115266,-0.3975657
34,0.46955582,0.5538334,0.37732792,0.13869712,0.70246124,-0.53338516,0.7619968,-0.4025376
35,0.18947136,0.43232933,0.10894364,0.070323505,0.48063406,-0.45172238,0.8501225,-0.5024656
36,0.12992151,0.41759405,0.12670198,0.062031563,0.3051691,-0.44181883,0.891496,-0.51458424
37,0.47570494,0.6077479,0.5439573,0.16903625,0.72030306,-0.569621,0.7579529,-0.358197
38,0.22690935,0.46983796,0.28872347,0.09143062,0.49940208,-0.4769319,0.93272,-0.47161755
39,0.669814,0.7164065,0.69286114,0.23018137,0.86189103,-0.6426503,0.5155602,-0.2688335
40,0.4371519,0.5728512,0.44064558,0.14939892,0.6245599,-0.54616696,0.7459468,-0.38689694
41,0.8326782,0.75808275,0.7708173,0.2536337,0.9535854,-0.67066085,0.40711612,-0.23455794
42,0.7002651,0.7116424,0.7617556,0.22750047,0.87623906,-0.63944834,0.60539836,-0.27275163
43,0.31236663,0.52342886,0.3507323,0.12158766,0.47636557,-0.5129503,0.7778283,-0.42754307
44,0.8322598,0.73905087,0.7707294,0.24292395,0.885073,-0.6578695,0.4967577,-0.25021023
45,0.80476433,0.7754142,0.83823484,0.26338658,0.8603927,-0.6823093,0.38344485,-0.2203041
46,0.38747838,0.5652648,0.38919944,0.14512987,0.5586082,-0.5410682,0.69353026,-0.39313617
47,0.2883281,0.50595605,0.3047086,0.11175524,0.5976158,-0.5012068,0.8301303,-0.44191316
48,0.6824955,0.6787672,0.56220275,0.20900072,0.84211206,-0.61735296,0.5260349,-0.299789
49,0.13975248,0.45815176,0.16148172,0.084854476,0.45868582,-0.46907762,0.7938533,-0.4812286
50,0.1999082,0.4656948,0.16887526,0.08909914,0.47813353,-0.4741473,0.7770306,-0.475025
51,0.00736227,0.3741184,0.084849596,0.037566643,0.10514239,-0.4125989,1.0392921,-0.5503397
52,0.78692436,0.73450965,0.75694984,0.24036849,0.92981017,-0.6548174,0.5052477,-0.25394505
53,0.66485083,0.7037955,0.67707694,0.2230848,0.8276899,-0.63417447,0.5487974,-0.2792051
54,0.7051654,0.71174824,0.65983975,0.22756003,0.831996,-0.6395195,0.49837682,-0.27266458
55,0.78072906,0.76617986,0.80085725,0.25819016,0.9360795,-0.6761029,0.39791653,-0.22789867
56,0.45891577,0.6131347,0.4523528,0.17206754,0.7552096,-0.5732414,0.6397206,-0.3537668
57,0.5687412,0.6344892,0.5255731,0.18408428,0.7647704,-0.5875938,0.6462114,-0.33620435
58,0.139797,0.42027873,0.14039686,0.06354231,0.4436648,-0.44362321,0.94712377,-0.5123763
59,0.11453007,0.4038278,0.15872562,0.05428492,0.36751404,-0.43256655,1.0420307,-0.52590597
60,0.66840297,0.6768808,0.657632,0.20793918,0.71237427,-0.6160851,0.6163413,-0.30134043
61,0.47109622,0.58145237,0.447067,0.15423904,0.6920282,-0.5519478,0.73898405,-0.37982312
62,0.5652361,0.65100604,0.48111746,0.19337876,0.6861104,-0.59869474,0.5202676,-0.32262045
63,0.76499885,0.7295326,0.7233067,0.23756777,0.8977231,-0.65147233,0.49202064,-0.25803828
64,0.6347183,0.7212002,0.6492227,0.23287892,0.72252184,-0.6458722,0.43441677,-0.26489103
65,0.5535794,0.6439897,0.55643296,0.18943048,0.71926093,-0.59397906,0.63661224,-0.3283909
66,0.55920714,0.65395874,0.5960597,0.19504033,0.75505924,-0.6006792,0.648462,-0.3201921
67,0.3039501,0.52793586,0.3159837,0.12412387,0.5791451,-0.5159794,0.75023955,-0.4238364
68,0.030817835,0.3662331,0.021388235,0.033129387,0.18588084,-0.40729922,1.0215052,-0.55682474
69,0.4367174,0.58696914,0.416046,0.15734348,0.68820727,-0.5556556,0.68034124,-0.37528598
70,0.21458468,0.4880255,0.20841372,0.10166523,0.5067826,-0.4891557,0.74515504,-0.4566597
71,0.40852866,0.5771756,0.34046385,0.1518324,0.5613477,-0.5490734,0.59151506,-0.38334042
72,0.8534031,0.77133924,0.8177942,0.2610935,0.96314347,-0.6795705,0.38766146,-0.22365548
73,0.23393948,0.46557045,0.24432346,0.08902918,0.54085684,-0.47406372,0.9059459,-0.47512728
