entity_id,z_true,z_pred,proxy_1_true,proxy_1_pred,proxy_2_true,proxy_2_pred,proxy_3_true,proxy_3_pred
0,0.77395606,0.41707334,0.80773073,0.03235748,0.85903096,-0.47376558,0.4579619,-0.5452055
1,0.43887845,0.28997204,0.4302977,-0.03625253,0.6802017,-0.38519973,0.76667786,-0.6468096
2,0.85859793,0.45368025,0.86335367,0.052118097,0.9604124,-0.49927375,0.2913474,-0.5159421
3,0.697368,0.40125677,0.69481033,0.023819605,0.79081607,-0.46274439,0.4478547,-0.55784917
4,0.09417735,0.19104642,0.04807435,-0.08965314,0.2893418,-0.31626704,0.9821607,-0.7258902
5,0.97562236,0.45846394,0.9059867,0.05470036,0.9893441,-0.5026071,0.29164544,-0.51211804
6,0.7611397,0.4021991,0.74393684,0.024328275,0.925078,-0.46340102,0.4954533,-0.5570959
7,0.7860643,0.43170357,0.8562777,0.04025496,0.87849116,-0.48396012,0.41321796,-0.53351015
8,0.12811363,0.20588672,0.11636104,-0.08164226,0.37066072,-0.32660797,0.91959053,-0.714027
9,0.45038593,0.29570976,0.39345556,-0.033155274,0.67585874,-0.38919786,0.6967118,-0.6422229
10,0.37079802,0.3171305,0.5029654,-0.021592233,0.70746624,-0.4041241,0.6956461,-0.62509924
11,0.92676497,0.45373803,0.91167736,0.052149292,0.8858556,-0.49931404,0.32025242,-0.5158959
12,0.6438651,0.38531446,0.66043437,0.015213857,0.8657193,-0.45163557,0.51101756,-0.57059336
13,0.8227616,0.42095584,0.7884189,0.034453273,0.7943294,-0.47647095,0.41552693,-0.5421018
14,0.4434142,0.3027841,0.38763747,-0.029336512,0.638098,-0.39412734,0.6435749,-0.6365677
15,0.22723871,0.2411353,0.22228993,-0.06261488,0.38441488,-0.35116965,0.76391304,-0.6858494
16,0.5545848,0.37250543,0.6663703,0.008299465,0.6771148,-0.44271007,0.5542094,-0.58083284
17,0.063817255,0.21533525,0.16025521,-0.07654189,0.40513682,-0.33319184,0.8938207,-0.7064738
18,0.8276312,0.40856394,0.8082981,0.027764058,0.927674,-0.4678361,0.5114148,-0.55200785
19,0.6316644,0.3523777,0.57985437,-0.0025655893,0.78189605,-0.42868483,0.59864515,-0.5969228
20,0.75808775,0.41241395,0.780913,0.029842317,0.85093415,-0.47051886,0.46231288,-0.54893017
21,0.35452595,0.26412687,0.28234392,-0.0502039,0.58291674,-0.36719048,0.7378465,-0.6674701
22,0.970698,0.45798105,0.9828869,0.054439694,0.9560854,-0.50227064,0.34526718,-0.51250404
23,0.8931211,0.4465457,0.9462887,0.048266824,0.9532109,-0.4943023,0.39328244,-0.5216454
24,0.7783835,0.42121556,0.7811741,0.034593478,0.88226485,-0.47665194,0.4172498,-0.5418942
