experiment,variant,scenario,seed,best_epoch,best_val_task_loss,total_loss,task_loss,recon_loss,kstar_mae,kstar_rmse,kstar_spearman_rho,kstar_spearman_p,z_spearman_rho,z_spearman_p,proxy_recon_r2,omega_entropy_mean,omega_peak_accuracy
no_ac_encoder_linear_seed0,no_ac_encoder,linear,0,12,0.10187803208827972,0.08248825371265411,0.08248825371265411,,1.8587630653381348,2.1953251019966333,0.0,1.0,0.0,1.0,,2.0703958689749564,0.135
uniform_lag_linear_seed0,uniform_lag,linear,0,40,0.08351821452379227,0.11627434194087982,0.06743215024471283,0.04884219169616699,1.92,2.2759613353482084,0.0,1.0,-0.607230180754519,1.5398070536272995e-21,0.2905539854059917,2.3025851124040755,0.0
no_recon_regularization_linear_seed0,no_recon_regularization,linear,0,196,0.09541712701320648,0.031654827296733856,0.031654827296733856,0.003239262383431196,1.1024664807319642,1.3562188851963817,0.9813362100282361,9.749928973020161e-144,-0.9898312457811448,1.147542537642385e-169,0.9482543230593823,1.7445242995386128,0.38
no_ac_encoder_linear_seed1,no_ac_encoder,linear,1,33,0.09551320970058441,0.0669792965054512,0.0669792965054512,,1.71,1.9903135709051973,0.0,1.0,0.0,1.0,,1.9844385900689725,0.14
uniform_lag_linear_seed1,uniform_lag,linear,1,35,0.09175297617912292,0.07496615499258041,0.0680028572678566,0.006963295396417379,1.855,2.195449840010015,0.0,1.0,-0.9605355133878348,5.494139926235819e-112,0.861607768583769,2.3025851124040755,0.0
no_recon_regularization_linear_seed1,no_recon_regularization,linear,1,199,0.0848752036690712,0.030588220804929733,0.030588220804929733,0.0033930104691535234,0.7077114868164063,0.9226971059131249,0.9848086518531263,1.6286243782347287e-152,0.9920993024825621,1.807734597584888e-180,0.9382219690290764,1.8599608813197914,0.595
no_ac_encoder_linear_seed2,no_ac_encoder,linear,2,20,0.11494971811771393,0.08095643669366837,0.08095643669366837,,1.8262206983566285,2.107716648543277,0.0,1.0,0.0,1.0,,1.926826711052716,0.15
uniform_lag_linear_seed2,uniform_lag,linear,2,50,0.10513181239366531,0.07494213432073593,0.06933940947055817,0.005602727178484201,1.945,2.328089345364563,0.0,1.0,0.9898207455186381,1.2703412116031037e-169,0.9100395777132316,2.3025851124040755,0.0
no_recon_regularization_linear_seed2,no_recon_regularization,linear,2,20,0.11184276640415192,0.07883794605731964,0.07883794605731964,0.04897703230381012,1.8274221801757813,2.1090847554402217,0.550368411445605,3.114754793108705e-17,-0.5493782344558615,3.64160215127435e-17,0.27559809949262276,1.9694228059917203,0.145
no_ac_encoder_nonlinear_seed0,no_ac_encoder,nonlinear,0,200,0.21198762953281403,0.05732141435146332,0.05732141435146332,,2.54028341293335,2.867890444850151,0.0,1.0,0.0,1.0,,1.7635734399598522,0.445
uniform_lag_nonlinear_seed0,uniform_lag,nonlinear,0,34,0.11610119789838791,0.0982164815068245,0.09325450658798218,0.004961973521858454,3.275,3.5735136770411273,0.0,1.0,-0.9899782494562366,2.7339411317154705e-170,0.9236578394288779,2.3025851124040755,0.445
no_recon_regularization_nonlinear_seed0,no_recon_regularization,nonlinear,0,156,0.16594964265823364,0.05030481144785881,0.05030481144785881,0.0034522979985922575,1.1771729326248168,1.2965421794957075,0.9461120052317797,6.640307258966323e-99,0.9883987099677494,4.966399258912253e-164,0.9479210542615131,1.4958454809020347,0.5
no_ac_encoder_nonlinear_seed1,no_ac_encoder,nonlinear,1,98,0.12960554659366608,0.05229390412569046,0.05229390412569046,,2.267013235092163,2.647451744732906,0.0,1.0,0.0,1.0,,1.6267915422626018,0.4
uniform_lag_nonlinear_seed1,uniform_lag,nonlinear,1,29,0.12418822944164276,0.09777938574552536,0.09486870467662811,0.0029106836300343275,3.01,3.3823069050575527,0.0,1.0,0.9907207680192006,1.389256880524311e-173,0.9497548894973044,2.3025851124040755,0.4
no_recon_regularization_nonlinear_seed1,no_recon_regularization,nonlinear,1,197,0.1317083239555359,0.04117509722709656,0.04117509722709656,0.003547602565959096,0.7824802756309509,0.8871121277699588,0.960130975670286,1.4780666102518479e-111,0.9920918022950576,1.985053809397398e-180,0.9363809575388524,1.4035460722146758,0.52
no_ac_encoder_nonlinear_seed2,no_ac_encoder,nonlinear,2,7,0.2579006850719452,0.18593399226665497,0.18593399226665497,,3.593257369995117,4.01181942177077,0.0,1.0,0.0,1.0,,0.936754122839835,0.065
uniform_lag_nonlinear_seed2,uniform_lag,nonlinear,2,20,0.1471765637397766,0.1108282208442688,0.10526642203330994,0.005561797413975,3.155,3.481379037105842,0.0,1.0,0.972417310432761,3.9173093660661094e-127,0.9026366391185346,2.3025851124040755,0.41
no_recon_regularization_nonlinear_seed2,no_recon_regularization,nonlinear,2,3,0.2973167300224304,0.22740375995635986,0.22740375995635986,0.005517731886357069,3.746463143825531,4.190972026561556,-0.9382870769751672,3.034284955785189e-93,0.9694502362559064,8.362354683795226e-123,0.9018239127178148,1.186674163420183,0.065
