epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,0.6386462450027466,0.6386462450027466,1.0351816415786743,8.899908065795898,0.4048563241958618,0.4048563241958618,1.0447101593017578,4.228772735595703,4.777250736129904,0.0,1.0,0.0,1.0,-16.72342284244071,1.5863729370555932,0.05
2.0,0.3955129086971283,0.3955129086971283,1.0351216793060303,4.25706672668457,0.32716643810272217,0.32716643810272217,1.0446611642837524,4.1964973449707035,4.743481614469123,0.0,1.0,0.0,1.0,-16.723277483688445,1.5960450401820725,0.05
3.0,0.3070013225078583,0.3070013225078583,1.0350661277770996,4.0085906982421875,0.25665056705474854,0.25665056705474854,1.044610619544983,4.162120819091797,4.707627957896363,0.0,1.0,0.0,1.0,-16.723130094383354,1.606268185080809,0.05
4.0,0.2229636013507843,0.2229636013507843,1.0350090265274048,1.143278956413269,0.26004961133003235,0.26004961133003235,1.0445674657821655,4.131523132324219,4.675816434669704,0.0,1.0,0.0,1.0,-16.723005003745048,1.615071802816842,0.05
5.0,0.20428794622421265,0.20428794622421265,1.034960150718689,2.726823091506958,0.2413761466741562,0.2413761466741562,1.0445226430892944,4.098624038696289,4.641720574590931,0.0,1.0,0.0,1.0,-16.72287707730845,1.6243605633835703,0.05
6.0,0.17575225234031677,0.17575225234031677,1.0349094867706299,2.1420764923095703,0.2164422869682312,0.2164422869682312,1.0444756746292114,4.062724304199219,4.604645912744443,0.0,1.0,0.0,1.0,-16.722744049956212,1.6341812620330927,0.05
7.0,0.15169115364551544,0.15169115364551544,1.0348564386367798,0.5027419924736023,0.21402110159397125,0.21402110159397125,1.0444289445877075,4.026240539550781,4.567111501034302,0.0,1.0,0.0,1.0,-16.72261349413916,1.643707093501773,0.05
8.0,0.15138649940490723,0.15138649940490723,1.0348035097122192,1.5751653909683228,0.20658902823925018,0.20658902823925018,1.0443804264068604,3.9869125366210936,4.526816947817957,0.0,1.0,0.0,1.0,-16.722479638876255,1.6535867205862549,0.05
9.0,0.14198294281959534,0.14198294281959534,1.0347485542297363,0.9228790998458862,0.20485803484916687,0.20485803484916687,1.0443304777145386,3.9450927734375,4.48416341930861,0.0,1.0,0.0,1.0,-16.722343756805056,1.6636295960673244,0.05
10.0,0.13837690651416779,0.13837690651416779,1.0346921682357788,1.0237531661987305,0.1998191773891449,0.1998191773891449,1.0442794561386108,3.9036089897155763,4.438962049602508,0.0,1.0,0.0,1.0,-16.72220630659219,1.6738042059453029,0.05
11.0,0.13401570916175842,0.13401570916175842,1.0346343517303467,1.1231136322021484,0.19018952548503876,0.19018952548503876,1.0442276000976562,3.8624545097351075,4.391490745739376,0.0,1.0,0.0,1.0,-16.722069136259595,1.6839787438213567,0.05
12.0,0.1264786571264267,0.1264786571264267,1.0345757007598877,0.26016661524772644,0.18861950933933258,0.18861950933933258,1.0441752672195435,3.819057989120483,4.341733408292706,0.0,1.0,0.0,1.0,-16.721932149003475,1.6940733144057618,0.05
13.0,0.12589652836322784,0.12589652836322784,1.0345162153244019,0.9125429391860962,0.18565888702869415,0.18565888702869415,1.0441224575042725,3.7735359191894533,4.289881582891199,0.0,1.0,0.0,1.0,-16.721796056555004,1.7039744792331342,0.05
14.0,0.12275392562150955,0.12275392562150955,1.034456491470337,0.7690537571907043,0.18195942044258118,0.18195942044258118,1.044069528579712,3.7259954452514648,4.236118915258146,0.0,1.0,0.0,1.0,-16.721663104608137,1.7135753754829046,0.05
15.0,0.11833600699901581,0.11833600699901581,1.0343964099884033,0.26663434505462646,0.18120849132537842,0.18120849132537842,1.0440165996551514,3.6765156745910645,4.180600608281841,0.0,1.0,0.0,1.0,-16.721530426118708,1.7227894798968282,0.05
16.0,0.11775317043066025,0.11775317043066025,1.0343364477157593,0.7324923276901245,0.1784287542104721,0.1784287542104721,1.0439637899398804,3.6252474784851074,4.123565310793625,0.0,1.0,0.0,1.0,-16.72140141058824,1.7315150805722517,0.05
17.0,0.1148233637213707,0.1148233637213707,1.0342766046524048,0.5834416151046753,0.17569515109062195,0.17569515109062195,1.043911337852478,3.5721197605133055,4.065009287341654,0.0,1.0,0.0,1.0,-16.721274509491007,1.7397071714122745,0.05
18.0,0.11199672520160675,0.11199672520160675,1.034217119216919,0.19782540202140808,0.17495478689670563,0.17495478689670563,1.0438592433929443,3.5171916007995607,4.005080973095732,0.0,1.0,0.0,1.0,-16.721150599099484,1.7472882795868216,0.05
19.0,0.11102436482906342,0.11102436482906342,1.0341579914093018,0.6052709221839905,0.17192253470420837,0.17192253470420837,1.0438075065612793,3.4602847576141356,3.9436801422119054,0.0,1.0,0.0,1.0,-16.721029686197095,1.7542289678444623,0.05
20.0,0.10909818112850189,0.10909818112850189,1.0340993404388428,0.5468769073486328,0.1674073189496994,0.1674073189496994,1.0437562465667725,3.4014686584472655,3.880988067755027,0.0,1.0,0.0,1.0,-16.72091283595823,1.7604624421301154,0.05
21.0,0.10556714981794357,0.10556714981794357,1.034041166305542,0.16357304155826569,0.1643911451101303,0.1643911451101303,1.0437053442001343,3.3406705379486086,3.817045256534104,0.0,1.0,0.0,1.0,-16.720797442990808,1.765930765639284,0.05
22.0,0.10433589667081833,0.10433589667081833,1.0339831113815308,0.4545447826385498,0.16116833686828613,0.16116833686828613,1.0436546802520752,3.2779918670654298,3.7520887378655394,0.0,1.0,0.0,1.0,-16.72068549270718,1.7705792548055836,0.15
