epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,0.4257144033908844,0.4257144033908844,1.2254273891448975,5.882497787475586,0.5090752840042114,0.5090752840042114,1.1988568305969238,2.435569906234741,2.798330340948705,0.8436217123139049,8.238782756963158e-12,0.8367729831144467,1.7464246266638984e-11,-26.680176673013374,1.7971081076953173,0.05
2.0,0.34860411286354065,0.34860411286354065,1.2161633968353271,5.642067909240723,0.40065398812294006,0.40065398812294006,1.189089059829712,2.4628613114356996,2.841898341414862,0.8793290318646999,8.287350052978845e-14,0.8829268292682927,4.816945887351343e-14,-26.412388461446785,1.7811365227428482,0.05
3.0,0.2609664797782898,0.2609664797782898,1.2074958086013794,4.473600387573242,0.2823300361633301,0.2823300361633301,1.183893084526062,2.475152552127838,2.8638801287638223,0.9101979612324604,3.988055066269328e-16,0.9178236397748594,7.906397881837498e-17,-26.269102976655645,1.7709123030411889,0.05
4.0,0.1725793033838272,0.1725793033838272,1.2025355100631714,1.244200348854065,0.24569685757160187,0.24569685757160187,1.1877813339233398,2.4615419626235964,2.8446024555234213,0.9198747415985294,4.980971125783767e-17,0.9279549718574109,7.099808553347019e-18,-26.376569677257336,1.7766983030975851,0.05
5.0,0.15810410678386688,0.15810410678386688,1.2054952383041382,2.819934844970703,0.22203052043914795,0.22203052043914795,1.1938072443008423,2.4425992608070373,2.8165840155385973,0.9205521162241542,4.264504475912385e-17,0.9266416510318951,9.891652743872174e-18,-26.542419225991413,1.7858295231904648,0.05
6.0,0.1388997584581375,0.1388997584581375,1.2103736400604248,2.6772971153259277,0.20073682069778442,0.20073682069778442,1.201305627822876,2.420596349239349,2.783580816576654,0.9120365495020135,2.736402014928778e-16,0.9208255159474672,4.003841624388401e-17,-26.747683470827706,1.7966682184617446,0.05
7.0,0.11078988760709763,0.11078988760709763,1.2166008949279785,1.018273115158081,0.20268064737319946,0.20268064737319946,1.2088196277618408,2.39972608089447,2.7521087330696896,0.9032306793688906,1.5499824195229038e-15,0.9067542213883679,7.905643305572204e-16,-26.952237164929063,1.8068123339378488,0.05
8.0,0.10715621709823608,0.10715621709823608,1.2229481935501099,1.7409039735794067,0.19337685406208038,0.19337685406208038,1.217398762702942,2.3768198609352114,2.7177568218199983,0.892779756573536,9.905661677918615e-15,0.8945590994371483,7.323839799881315e-15,-27.184488131867585,1.8175797752325302,0.05
9.0,0.10543995350599289,0.10543995350599289,1.2302483320236206,2.1200735569000244,0.16852249205112457,0.16852249205112457,1.2268000841140747,2.3527153849601747,2.681945675196794,0.8693619480876488,3.420155459194924e-13,0.8611632270168857,1.0089930855435039e-12,-27.43752538761713,1.8284030562923632,0.05
10.0,0.09297603368759155,0.09297603368759155,1.2382900714874268,1.3008413314819336,0.14702531695365906,0.14702531695365906,1.2370405197143555,2.3274688005447386,2.6448582607722533,0.8531049570726527,2.7381042906030056e-12,0.8455909943714822,6.594090010537518e-12,-27.71153103545905,1.839138046031815,0.05
11.0,0.08618862181901932,0.08618862181901932,1.2470929622650146,0.6728246212005615,0.1395556628704071,0.1395556628704071,1.2479848861694336,2.301603353023529,2.6074000612595443,0.8472988888530112,5.4223972957534034e-12,0.8326454033771109,2.701800812221552e-11,-28.00265365665669,1.8494687021071428,0.05
12.0,0.08715227246284485,0.08715227246284485,1.2565367221832275,1.3819960355758667,0.13325217366218567,0.13325217366218567,1.2596362829208374,2.2752792716026304,2.5699705262072245,0.8343320031624785,2.2638297933593128e-11,0.8080675422138839,2.904308725949629e-10,-28.31081005548576,1.8593104205104865,0.15
13.0,0.08137792348861694,0.08137792348861694,1.2666031122207642,1.1315999031066895,0.1319008767604828,0.1319008767604828,1.2719658613204956,2.2486286878585817,2.532879188021839,0.8265905788696234,5.018369314632117e-11,0.7969981238273923,7.59632031121738e-10,-28.63508866641548,1.868539582072518,0.175
14.0,0.0747867152094841,0.0747867152094841,1.277243971824646,0.2115837186574936,0.13788308203220367,0.13788308203220367,1.2849031686782837,2.22189462184906,2.4965370207184794,0.8143010678047157,1.6440036868328862e-10,0.7789868667917449,3.221833265529495e-09,-28.97353432178239,1.8770287720121046,0.175
15.0,0.07661471515893936,0.07661471515893936,1.2883774042129517,0.9212831854820251,0.1355993151664734,0.1355993151664734,1.2983192205429077,2.195468544960022,2.461482871376982,0.8123657117315017,1.9661141958865135e-10,0.776547842401501,3.877951182389058e-09,-29.32270518958158,1.8847015982230435,0.15
16.0,0.07609473913908005,0.07609473913908005,1.2998759746551514,1.0294604301452637,0.12442021816968918,0.12442021816968918,1.312050223350525,2.1696797132492067,2.4281167101179393,0.8104303556582879,2.3465474852815796e-10,0.776172607879925,3.9893116417593234e-09,-29.67834142387996,1.8915384164337403,0.125
17.0,0.07132428139448166,0.07132428139448166,1.3115818500518799,0.429390013217926,0.11561091244220734,0.11561091244220734,1.3259847164154053,2.144747483730316,2.3966591851493857,0.808494999585074,2.795004006270603e-10,0.7750469043151971,4.341544762720965e-09,-30.03761738275158,1.897608950195247,0.125
18.0,0.07003013789653778,0.07003013789653778,1.3233819007873535,0.4401453137397766,0.11181926727294922,0.11181926727294922,1.3399980068206787,2.1208181619644164,2.36721241358119,0.8143010678047157,1.6440036868328862e-10,0.7787992495309569,3.268369442917649e-09,-30.397397935399937,1.902997099470611,0.125
19.0,0.07103399932384491,0.07103399932384491,1.3351550102233887,0.8281157612800598,0.1092478558421135,0.1092478558421135,1.3539295196533203,2.0980663299560547,2.339895673184555,0.8227198667231956,7.364016098519931e-11,0.7855534709193247,1.933104136198048e-09,-30.753686532135884,1.9078193966235777,0.125
20.0,0.06933677196502686,0.06933677196502686,1.3467471599578857,0.6301732063293457,0.10848726332187653,0.10848726332187653,1.3676151037216187,2.08015638589859,2.3147824441569393,0.8304612910160509,3.3874190290401675e-11,0.7941838649155722,9.609501086474653e-10,-31.102451388835295,1.9121972639127343,0.125
21.0,0.06747051328420639,0.06747051328420639,1.3580044507980347,0.19418448209762573,0.10974517464637756,0.10974517464637756,1.380928635597229,2.0640519857406616,2.291788664325628,0.8401380713821202,1.2126507628517182e-11,0.8069418386491559,3.211593008901498e-10,-31.440648404958853,1.9162067117082864,0.125
22.0,0.06801748275756836,0.06801748275756836,1.3688113689422607,0.5168176293373108,0.10935744643211365,0.10935744643211365,1.3936909437179565,2.0490142703056335,2.2709230596856953,0.8478794956749753,5.07075169512017e-12,0.8180112570356475,1.1598261504713344e-10,-31.76392332182921,1.919966249231594,0.125
23.0,0.067690908908844,0.067690908908844,1.3790022134780884,0.640558123588562,0.10623422265052795,0.10623422265052795,1.4057916402816772,2.0350118041038514,2.2520221933429907,0.8536855638946168,2.5531693290695333e-12,0.827954971857411,4.37397891673554e-11,-32.06967715165399,1.9235667972029458,0.125
24.0,0.06582073867321014,0.06582073867321014,1.3884786367416382,0.36837106943130493,0.1035052090883255,0.1035052090883255,1.4171390533447266,2.0219937920570374,2.2349129455547865,0.8633623442606859,7.600607535037211e-13,0.8384615384615386,1.455828272289671e-11,-32.35577281719313,1.9271038527617848,0.125
25.0,0.06491255760192871,0.06491255760192871,1.3971590995788574,0.13597917556762695,0.1027122437953949,0.1027122437953949,1.4276689291000366,2.009868693351746,2.2193799963739433,0.8724585178047909,2.2300299901960495e-13,0.853658536585366,2.561511159654616e-12,-32.62077664072861,1.9306499563040087,0.125
26.0,0.0655311793088913,0.0655311793088913,1.4049885272979736,0.4799065887928009,0.10225930064916611,0.10225930064916611,1.437300443649292,1.998558223247528,2.205247909994375,0.8763292299512184,1.286014949409094e-13,0.8692307692307695,3.4818474599422663e-13,-32.86280936166912,1.9342516665167309,0.125
27.0,0.06525274366140366,0.06525274366140366,1.41189706325531,0.4991295039653778,0.10165536403656006,0.10165536403656006,1.4459558725357056,1.9879868388175965,2.192359482382721,0.898392289185856,3.750646333658048e-15,0.8975609756097561,4.3461657622768965e-15,-33.08006364304678,1.9379230979522155,0.125
28.0,0.06372013688087463,0.06372013688087463,1.4178211688995361,0.23023442924022675,0.10184799134731293,0.10184799134731293,1.453669548034668,1.9779754400253295,2.180426722564222,0.9003276452590699,2.6481874575242955e-15,0.902626641651032,1.7351113800944188e-15,-33.27351301676025,1.941635174339305,0.125
29.0,0.06313416361808777,0.06313416361808777,1.4228020906448364,0.2069074660539627,0.10217605531215668,0.10217605531215668,1.4603782892227173,1.9684458732604981,2.169323358364037,0.9107785680544246,3.54392949129412e-16,0.9172607879924954,8.956382297740683e-17,-33.441679362628314,1.9453435438831594,0.125
30.0,0.06295264512300491,0.06295264512300491,1.4267915487289429,0.4147884249687195,0.10133304446935654,0.10133304446935654,1.4661232233047485,1.9592079877853394,2.1587828035034864,0.9212294908497792,3.646048494371067e-17,0.9354596622889307,9.38255489689386e-19,-33.585657997691705,1.9490145302708561,0.125
31.0,0.062264684587717056,0.062264684587717056,1.429837703704834,0.35716477036476135,0.09992679208517075,0.09992679208517075,1.4708969593048096,1.9501567244529725,2.1486706373246163,0.9245195961742427,1.6688706962120536e-17,0.9392120075046907,3.1074694658778704e-19,-33.70531669112487,1.952619166447996,0.125
32.0,0.061367955058813095,0.061367955058813095,1.4319417476654053,0.11355920135974884,0.09924273937940598,0.09924273937940598,1.47475266456604,1.941133689880371,2.138785628669548,0.9313901102341517,2.892635517108239e-18,0.9572232645403379,4.584621604938234e-22,-33.802018149614184,1.9561491589931066,0.125
33.0,0.06109710410237312,0.06109710410237312,1.4331609010696411,0.24917465448379517,0.09907805174589157,0.09907805174589157,1.4777843952178955,1.9320045471191407,2.128965523195137,0.9330351628963834,1.850707271246411e-18,0.9649155722326456,1.1339899370128808e-23,-33.87812940994468,1.959570927724712,0.125
34.0,0.060679368674755096,0.060679368674755096,1.4335871934890747,0.3676677644252777,0.09882950782775879,0.09882950782775879,1.4800090789794922,1.922656035423279,2.1190889644964086,0.9349705189695974,1.0783304320596488e-18,0.9666041275797375,4.50783217881487e-24,-33.93407449389758,1.9628617939100792,0.125
35.0,0.05990372598171234,0.05990372598171234,1.4332433938980103,0.24692538380622864,0.09891510754823685,0.09891510754823685,1.4815127849578857,1.9130017399787902,2.1090691397682937,0.9547111509163784,1.3263998625633212e-21,0.9838649155722327,5.203325879743683e-30,-33.971979112207144,1.965982527731279,0.125
