epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,1.6878635883331299,0.628758430480957,1.0591051578521729,9.125957489013672,1.4433846473693848,0.38125574588775635,1.0621289014816284,2.925,3.361547262794322,0.0,1.0,0.9681050656660414,1.906226027187784e-24,-16.846729716690685,2.302585112404076,0.45
2.0,1.4338208436965942,0.37932634353637695,1.0544945001602173,4.478665828704834,1.361161470413208,0.30210644006729126,1.0590550899505615,2.925,3.361547262794322,0.0,1.0,0.9675422138836773,2.644842767846237e-24,-16.803896007824058,2.302585112404076,0.45
3.0,1.3413366079330444,0.29003211855888367,1.0513044595718384,4.432839870452881,1.279375672340393,0.22288772463798523,1.0564879179000854,2.925,3.361547262794322,0.0,1.0,0.9699812382739215,6.1233707703044215e-25,-16.76603220434707,2.302585112404076,0.45
4.0,1.248098373413086,0.1994333416223526,1.0486650466918945,1.7838574647903442,1.2778719663619995,0.22324132919311523,1.0546306371688843,2.925,3.361547262794322,0.0,1.0,0.9711069418386492,2.9911710868622763e-25,-16.736086124108795,2.302585112404076,0.45
5.0,1.227704405784607,0.18091733753681183,1.0467870235443115,3.1171860694885254,1.259228229522705,0.20682470500469208,1.0524035692214966,2.925,3.361547262794322,0.0,1.0,0.9731707317073173,7.448928569227509e-26,-16.702759608453402,2.302585112404076,0.45
6.0,1.1998906135559082,0.15538379549980164,1.0445067882537842,2.9472031593322754,1.2227271795272827,0.1729353666305542,1.0497918128967285,2.925,3.361547262794322,0.0,1.0,0.9746716697936212,2.5274980796299318e-26,-16.666121816334403,2.302585112404076,0.45
7.0,1.1656018495559692,0.123797707259655,1.0418041944503784,1.389062523841858,1.2126984596252441,0.1654859483242035,1.0472124814987183,2.925,3.361547262794322,0.0,1.0,0.9746716697936212,2.5274980796299318e-26,-16.630174459769453,2.302585112404076,0.45
8.0,1.164459466934204,0.12532567977905273,1.0391337871551514,2.2215542793273926,1.2082018852233887,0.16311481595039368,1.0450870990753174,2.925,3.361547262794322,0.0,1.0,0.975422138836773,1.4365556692352664e-26,-16.597578854130315,2.302585112404076,0.45
9.0,1.163172721862793,0.12620653212070465,1.0369662046432495,2.443880796432495,1.1970311403274536,0.15370889008045197,1.043322205543518,2.925,3.361547262794322,0.0,1.0,0.975422138836773,1.4365556692352664e-26,-16.56743940716956,2.302585112404076,0.45
10.0,1.1501374244689941,0.11493754386901855,1.0351998805999756,1.5446176528930664,1.197145938873291,0.15552733838558197,1.0416185855865479,2.925,3.361547262794322,0.0,1.0,0.9746716697936212,2.5274980796299318e-26,-16.53712314059568,2.302585112404076,0.45
