epoch,train_total_loss,train_task_loss,train_recon_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,0.9399803876876831,0.5623331069946289,0.3776472806930542,6.833306312561035,0.8133734464645386,0.48644229769706726,0.3269311785697937,1.95,2.23606797749979,0.0,1.0,-0.9883677298311446,1.0791421856454792e-32,-4.0015073204298215,2.302585112404076,0.0
2.0,0.7838906049728394,0.4128878712654114,0.371002733707428,4.996531963348389,0.7171546220779419,0.3943009376525879,0.3228537142276764,1.95,2.23606797749979,0.0,1.0,-0.9883677298311446,1.0791421856454792e-32,-3.954912698243389,2.302585112404076,0.0
3.0,0.6699796915054321,0.3032327890396118,0.3667469322681427,4.176882266998291,0.652633547782898,0.333699494600296,0.31893402338027954,1.95,2.23606797749979,0.0,1.0,-0.9878048780487806,2.6356575065513146e-32,-3.910789742440675,2.302585112404076,0.0
4.0,0.5661221742630005,0.20345889031887054,0.36266326904296875,1.5097215175628662,0.6303396224975586,0.31424325704574585,0.31609633564949036,1.95,2.23606797749979,0.0,1.0,-0.9878048780487806,2.6356575065513146e-32,-3.878208334157128,2.302585112404076,0.0
5.0,0.5303493142127991,0.17064251005649567,0.3597068190574646,2.759460687637329,0.5781955122947693,0.2624310553073883,0.315764456987381,1.95,2.23606797749979,0.0,1.0,-0.9878048780487806,2.6356575065513146e-32,-3.868287028581419,2.302585112404076,0.0
6.0,0.4982411861419678,0.1389145404100418,0.35932663083076477,2.3357608318328857,0.5186430215835571,0.20171253383159637,0.31693047285079956,1.95,2.23606797749979,0.0,1.0,-0.9878048780487806,2.6356575065513146e-32,-3.8726529684037185,2.302585112404076,0.0
7.0,0.47257527709007263,0.11208701878786087,0.36048826575279236,0.8753015398979187,0.4863528609275818,0.168303981423378,0.3180488646030426,1.95,2.23606797749979,0.0,1.0,-0.9878048780487806,2.6356575065513146e-32,-3.87831285211069,2.302585112404076,0.0
8.0,0.46850961446762085,0.10695391148328781,0.36155569553375244,1.7660408020019531,0.46371978521347046,0.14687108993530273,0.3168486952781677,1.95,2.23606797749979,0.0,1.0,-0.9883677298311446,1.0791421856454792e-32,-3.8611123929966946,2.302585112404076,0.0
9.0,0.457256942987442,0.09702437371015549,0.36023256182670593,1.540229320526123,0.4468367099761963,0.1324630230665207,0.3143736720085144,1.95,2.23606797749979,0.0,1.0,-0.9883677298311446,1.0791421856454792e-32,-3.8309535849276837,2.302585112404076,0.0
10.0,0.4439416527748108,0.08634136617183685,0.35760027170181274,0.7336764931678772,0.43924862146377563,0.12687645852565765,0.3123721480369568,1.95,2.23606797749979,0.0,1.0,-0.9883677298311446,1.0791421856454792e-32,-3.8057892715782877,2.302585112404076,0.0
