epoch,train_total_loss,train_task_loss,train_recon_loss,train_omega_entropy_penalty,train_omega_entropy_band_violation_share,train_z_anchor_loss,train_grad_norm,val_total_loss,val_task_loss,val_recon_loss,val_omega_entropy_penalty,val_omega_entropy_band_violation_share,val_z_anchor_loss,val_kstar_mae,val_kstar_rmse,val_kstar_spearman_rho,val_kstar_spearman_p,val_z_spearman_rho,val_z_spearman_p,val_proxy_recon_r2,val_omega_entropy_mean,val_omega_peak_accuracy
1.0,0.3232913911342621,0.3232913911342621,0.43586409091949463,0.0,0.0,0.0,4.2416534423828125,0.3985249698162079,0.3985249698162079,0.4165666699409485,0.0,0.0,0.0,3.11354660987854,3.6051512410270274,-0.8017447297032484,5.066991055153624e-10,0.9908067542213885,1.2602647628379596e-34,-4.589036643573921,1.913258303538226,0.075
2.0,0.28301122784614563,0.28301122784614563,0.4382777810096741,0.0,0.0,0.0,4.544409275054932,0.34503889083862305,0.34503889083862305,0.418773353099823,0.0,0.0,0.0,3.1011271238327027,3.5892433032007736,-0.48976394790169825,0.00133829319938117,0.9909943714821765,8.531381064933069e-35,-4.578145961961503,1.9126975954011176,0.075
3.0,0.22384120523929596,0.22384120523929596,0.4409148097038269,0.0,0.0,0.0,3.8389620780944824,0.2713397443294525,0.2713397443294525,0.42119693756103516,0.0,0.0,0.0,3.088222360610962,3.5727629921478568,0.04109848153546997,0.8012006297991024,0.9909943714821765,8.531381064933069e-35,-4.569586519592554,1.912155663649824,0.075
4.0,0.1529982089996338,0.1529982089996338,0.4437679350376129,0.0,0.0,0.0,0.9725102186203003,0.2544148564338684,0.2544148564338684,0.42331165075302124,0.0,0.0,0.0,3.077176582813263,3.558688190460526,0.2805210309455915,0.07954920778510112,0.9900562851782365,5.5613338377997706e-34,-4.5644930458460555,1.9118917064085832,0.075
5.0,0.15573535859584808,0.15573535859584808,0.4462282955646515,0.0,0.0,0.0,2.800865411758423,0.24424229562282562,0.24424229562282562,0.42567071318626404,0.0,0.0,0.0,3.0654764056205748,3.543820871459697,0.6544216350543324,4.639815511275689e-06,0.9900562851782365,5.5613338377997706e-34,-4.560840035717131,1.9113966732165948,0.075
6.0,0.15433086454868317,0.15433086454868317,0.4489460587501526,0.0,0.0,0.0,3.374802827835083,0.21591347455978394,0.21591347455978394,0.4282515048980713,0.0,0.0,0.0,3.0533260464668275,3.5284283857925693,0.7611821091825182,1.1849094796701129e-08,0.9900562851782365,5.5613338377997706e-34,-4.558891782902748,1.9106108179647017,0.075
7.0,0.12418727576732635,0.12418727576732635,0.4518919885158539,0.0,0.0,0.0,2.2698862552642822,0.19494180381298065,0.19494180381298065,0.43118083477020264,0.0,0.0,0.0,3.040339231491089,3.5120316846688615,0.8792207712669494,8.42151255454744e-14,0.9900562851782365,5.5613338377997706e-34,-4.558870136292126,1.9094287501947314,0.225
8.0,0.10045284032821655,0.10045284032821655,0.45520687103271484,0.0,0.0,0.0,0.32634130120277405,0.19694644212722778,0.19694644212722778,0.43436047434806824,0.0,0.0,0.0,3.026893162727356,3.49511765847266,0.958645976280846,2.441078550159433e-22,0.9891181988742965,3.058929273040885e-33,-4.5611712081935245,1.9077943328256588,0.225
9.0,0.10617555677890778,0.10617555677890778,0.45877811312675476,0.0,0.0,0.0,1.7983728647232056,0.19263747334480286,0.19263747334480286,0.4379062354564667,0.0,0.0,0.0,3.01279274225235,3.4774436059523235,0.9763278811275017,7.09399427983958e-27,0.9894934333958726,1.5754702442225696e-33,-4.565957481195091,1.9056533092595853,0.175
10.0,0.1072319969534874,0.1072319969534874,0.46273043751716614,0.0,0.0,0.0,2.160038948059082,0.1757914274930954,0.1757914274930954,0.44178590178489685,0.0,0.0,0.0,2.998298501968384,3.459342587108622,0.9763278811275017,7.09399427983958e-27,0.9889305816135088,4.225962335777304e-33,-4.57346943912372,1.9030347835914043,0.175
11.0,0.09489931166172028,0.09489931166172028,0.46702396869659424,0.0,0.0,0.0,1.4645118713378906,0.16007164120674133,0.16007164120674133,0.44609472155570984,0.0,0.0,0.0,2.983117711544037,3.440456028209494,0.9763278811275017,7.09399427983958e-27,0.9889305816135088,4.225962335777304e-33,-4.584156700581811,1.8998599725847558,0.175
12.0,0.08433433622121811,0.08433433622121811,0.47175899147987366,0.0,0.0,0.0,0.2051287293434143,0.1579764187335968,0.1579764187335968,0.4508683383464813,0.0,0.0,0.0,2.9672781348228456,3.4208270771553866,0.9763278811275017,7.09399427983958e-27,0.9889305816135088,4.225962335777304e-33,-4.598460339589075,1.8961662756524738,0.175
13.0,0.08800564706325531,0.08800564706325531,0.47696948051452637,0.0,0.0,0.0,1.287061333656311,0.15557746589183807,0.15557746589183807,0.45609158277511597,0.0,0.0,0.0,2.9509427070617678,3.4006677458893884,0.9763278811275017,7.09399427983958e-27,0.9889305816135088,4.225962335777304e-33,-4.616606106362206,1.891922228010546,0.175
