experiment,variant,scenario,seed,best_epoch,best_val_task_loss,total_loss,task_loss,recon_loss,omega_entropy_penalty,omega_entropy_band_violation_share,z_anchor_loss,kstar_mae,kstar_rmse,kstar_spearman_rho,kstar_spearman_p,z_spearman_rho,z_spearman_p,proxy_recon_r2,omega_entropy_mean,omega_peak_accuracy
no_ac_encoder_linear_seed0,no_ac_encoder,linear,0,49,0.08458196371793747,0.06365169584751129,0.06365169584751129,1774339620864.0,0.0,0.0,0.0,1.9082693481445312,2.2567695414306024,0.0,1.0,0.0,1.0,-22770655458185.64,2.08845356789547,0.15
no_ac_encoder_linear_seed1,no_ac_encoder,linear,1,34,0.09387874603271484,0.06692807376384735,0.06692807376384735,119949469155328.0,0.0,0.0,0.0,1.71,2.015529480300415,0.0,1.0,0.0,1.0,-1753748842765566.8,2.0160835390924676,0.14
no_ac_encoder_linear_seed2,no_ac_encoder,linear,2,46,0.1119045615196228,0.07080631703138351,0.07080631703138351,110178334670848.0,0.0,0.0,0.0,1.8167920112609863,2.1235312011145666,0.0,1.0,0.0,1.0,-1887052474311485.2,2.088318813054968,0.15
no_ac_encoder_linear_seed3,no_ac_encoder,linear,3,59,0.09970897436141968,0.06017747148871422,0.06017747148871422,68101689311232.0,0.0,0.0,0.0,1.8418310356140137,2.2686139692660143,0.0,1.0,0.0,1.0,-1089357287386932.0,1.9086104236817645,0.16
no_ac_encoder_linear_seed4,no_ac_encoder,linear,4,69,0.09456659108400345,0.054956402629613876,0.054956402629613876,4114525454336.0,0.0,0.0,0.0,1.7668786859512329,2.0955239902706118,0.0,1.0,0.0,1.0,-59255336302815.445,2.060291134340439,0.14
no_ac_encoder_linear_seed5,no_ac_encoder,linear,5,62,0.12511910498142242,0.06633646041154861,0.06633646041154861,3729746296832.0,0.0,0.0,0.0,2.202731590270996,2.693512278638902,0.0,1.0,0.0,1.0,-84886421575931.33,2.0098463649734013,0.165
no_ac_encoder_linear_seed6,no_ac_encoder,linear,6,49,0.11291865259408951,0.0710851326584816,0.0710851326584816,33140114456576.0,0.0,0.0,0.0,1.9468692016601563,2.2959582063999138,0.0,1.0,0.0,1.0,-581297748086085.6,2.000404998919905,0.15
no_ac_encoder_linear_seed7,no_ac_encoder,linear,7,52,0.09647534787654877,0.06804860383272171,0.06804860383272171,1.3325411987488768e+16,0.0,0.0,0.0,2.093290147781372,2.559605356977485,0.0,1.0,0.0,1.0,-2.0982519541078454e+17,1.8742939901528783,0.125
no_ac_encoder_linear_seed8,no_ac_encoder,linear,8,69,0.11788764595985413,0.058615341782569885,0.058615341782569885,2081167376384.0,0.0,0.0,0.0,2.048634099960327,2.4417661088985754,0.0,1.0,0.0,1.0,-40535239999607.945,1.991438095292349,0.13
no_ac_encoder_linear_seed9,no_ac_encoder,linear,9,65,0.12120853364467621,0.06349043548107147,0.06349043548107147,342883467264.0,0.0,0.0,0.0,1.861529541015625,2.2803021998602975,0.0,1.0,0.0,1.0,-7387864900485.683,2.001866229516299,0.14
no_ac_encoder_linear_seed10,no_ac_encoder,linear,10,52,0.0924784243106842,0.06395115703344345,0.06395115703344345,34153724641280.0,0.0,0.0,0.0,1.804890637397766,2.0914007441654814,0.0,1.0,0.0,1.0,-607888662103137.4,1.9368168952623679,0.165
no_ac_encoder_linear_seed11,no_ac_encoder,linear,11,55,0.08282426744699478,0.06414026021957397,0.06414026021957397,3350851343089664.0,0.0,0.0,0.0,1.8674662971496583,2.1682279614467252,0.0,1.0,0.0,1.0,-4.743568209379777e+16,2.1149234565110797,0.095
no_ac_encoder_linear_seed12,no_ac_encoder,linear,12,51,0.08604185283184052,0.06268370896577835,0.06268370896577835,2468619485184.0,0.0,0.0,0.0,1.9445867347717285,2.205607406304254,0.0,1.0,0.0,1.0,-46945847087958.76,2.049838465711774,0.13
no_ac_encoder_linear_seed13,no_ac_encoder,linear,13,47,0.08294184505939484,0.06182805076241493,0.06182805076241493,8545226981376.0,0.0,0.0,0.0,1.78313232421875,2.132300472288899,0.0,1.0,0.0,1.0,-150296689028858.12,2.019273454301469,0.165
no_ac_encoder_linear_seed14,no_ac_encoder,linear,14,75,0.11699029803276062,0.05282866954803467,0.05282866954803467,860933783552.0,0.0,0.0,0.0,2.0885722637176514,2.5581884182894585,0.0,1.0,0.0,1.0,-10162361976440.408,1.9121966075311536,0.13
