family,display_name,experiment,scenario,seed,tracking_backend,best_epoch,best_val_task_loss,task_loss,recon_loss,model,run_dir,output_root,proxy_signal_r2,z_signal_spearman_rho,effective_kstar_mae,effective_kstar_spearman_rho,effective_lag_entropy_mean,effective_lag_peak_accuracy,total_loss,omega_entropy_penalty,omega_entropy_band_violation_share,z_anchor_loss,kstar_mae,kstar_rmse,kstar_spearman_rho,kstar_spearman_p,z_spearman_rho,z_spearman_p,proxy_recon_r2,omega_entropy_mean,omega_peak_accuracy,task_mse,task_mae,task_r2,posthoc_kstar_mae,posthoc_kstar_rmse,posthoc_kstar_spearman_rho,posthoc_kstar_spearman_p,posthoc_profile_entropy_mean,posthoc_profile_peak_accuracy,variant
ablation,No AC Encoder,no_ac_encoder_linear_seed0,linear,0,json,49,0.08458196371793747,0.06365169584751129,1774339620864.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed0,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-22770655458185.64,0.0,1.9082693481445312,0.0,2.08845356789547,0.15,0.06365169584751129,0.0,0.0,0.0,1.9082693481445312,2.2567695414306024,0.0,1.0,0.0,1.0,-22770655458185.64,2.08845356789547,0.15,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed1,linear,1,json,34,0.09387874603271484,0.06692807376384735,119949469155328.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed1,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-1753748842765566.8,0.0,1.71,0.0,2.0160835390924676,0.14,0.06692807376384735,0.0,0.0,0.0,1.71,2.015529480300415,0.0,1.0,0.0,1.0,-1753748842765566.8,2.0160835390924676,0.14,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed10,linear,10,json,52,0.0924784243106842,0.06395115703344345,34153724641280.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed10,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-607888662103137.4,0.0,1.804890637397766,0.0,1.9368168952623679,0.165,0.06395115703344345,0.0,0.0,0.0,1.804890637397766,2.0914007441654814,0.0,1.0,0.0,1.0,-607888662103137.4,1.9368168952623679,0.165,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed11,linear,11,json,55,0.08282426744699478,0.06414026021957397,3350851343089664.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed11,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-4.743568209379777e+16,0.0,1.8674662971496583,0.0,2.1149234565110797,0.095,0.06414026021957397,0.0,0.0,0.0,1.8674662971496583,2.1682279614467252,0.0,1.0,0.0,1.0,-4.743568209379777e+16,2.1149234565110797,0.095,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed12,linear,12,json,51,0.08604185283184052,0.06268370896577835,2468619485184.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed12,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-46945847087958.76,0.0,1.9445867347717285,0.0,2.049838465711774,0.13,0.06268370896577835,0.0,0.0,0.0,1.9445867347717285,2.205607406304254,0.0,1.0,0.0,1.0,-46945847087958.76,2.049838465711774,0.13,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed13,linear,13,json,47,0.08294184505939484,0.06182805076241493,8545226981376.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed13,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-150296689028858.12,0.0,1.78313232421875,0.0,2.019273454301469,0.165,0.06182805076241493,0.0,0.0,0.0,1.78313232421875,2.132300472288899,0.0,1.0,0.0,1.0,-150296689028858.12,2.019273454301469,0.165,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed14,linear,14,json,75,0.11699029803276062,0.05282866954803467,860933783552.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed14,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-10162361976440.408,0.0,2.0885722637176514,0.0,1.9121966075311536,0.13,0.05282866954803467,0.0,0.0,0.0,2.0885722637176514,2.5581884182894585,0.0,1.0,0.0,1.0,-10162361976440.408,1.9121966075311536,0.13,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed15,linear,15,json,95,0.12005854398012161,0.050631169229745865,1507832423776256.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed15,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-3.071742697980056e+16,0.0,1.9095155096054077,0.0,2.015307640368054,0.165,0.050631169229745865,0.0,0.0,0.0,1.9095155096054077,2.2831855957713407,0.0,1.0,0.0,1.0,-3.071742697980056e+16,2.015307640368054,0.165,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed16,linear,16,json,60,0.11324062943458557,0.06303945183753967,4523100209152.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed16,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-68614726122272.98,0.0,1.8468384265899658,0.0,1.9568626972220289,0.165,0.06303945183753967,0.0,0.0,0.0,1.8468384265899658,2.1856252990060994,0.0,1.0,0.0,1.0,-68614726122272.98,1.9568626972220289,0.165,,,,,,,,,,no_ac_encoder
ablation,No AC Encoder,no_ac_encoder_linear_seed17,linear,17,json,56,0.1413087397813797,0.06830479204654694,122407116800.0,,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation\no_ac_encoder_linear_seed17,C:\DevSpace\PyDevspace\CMDL\outputs\notebook_synthetic\complete_20seed_20260426\ablation,-2910386916613.615,0.0,2.3661644887924194,0.0,1.8829068581537212,0.05,0.06830479204654694,0.0,0.0,0.0,2.3661644887924194,2.8558258060995145,0.0,1.0,0.0,1.0,-2910386916613.615,1.8829068581537212,0.05,,,,,,,,,,no_ac_encoder
