display_name,family,scenario,experiment,task_loss,proxy_signal_r2,z_signal_spearman_rho,best_epoch
Uniform Lag,ablation,linear,uniform_lag_linear_seed11,0.07124852389097214,0.9537061007776794,0.9908872721818047,32
Uniform Lag,ablation,linear,uniform_lag_linear_seed12,0.0645907074213028,0.9535938515188626,0.9846756168904225,50
CMDL,cmdl,linear,cmdl_linear_seed19,0.03933504596352577,0.9522168808963819,0.9918262956573916,106
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed19,0.039315782487392426,0.9522162006867156,0.9918262956573916,106
Uniform Lag,ablation,linear,uniform_lag_linear_seed18,0.07010657340288162,0.951379811020349,0.9913912847821196,39
Uniform Lag,ablation,linear,uniform_lag_linear_seed3,0.06838253885507584,0.9503806527214752,0.989678241956049,34
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed0,0.03127359598875046,0.948779798954516,0.9896197404935125,153
CMDL,cmdl,linear,cmdl_linear_seed0,0.03128436207771301,0.9487720032548356,0.9896197404935125,153
CMDL,cmdl,linear,cmdl_linear_seed10,0.03156784549355507,0.9477176807990695,0.9898087452186306,138
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed10,0.03178723156452179,0.9476838417404087,0.9898087452186306,138
CMDL,cmdl,linear,cmdl_linear_seed7,0.041274383664131165,0.9472587107218683,0.9891157278931976,83
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed7,0.04140640050172806,0.9472500463155153,0.9891157278931976,83
CMDL,cmdl,linear,cmdl_linear_seed5,0.04461454972624779,0.947146541075439,0.9906457661441538,136
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed5,0.044608790427446365,0.9471447407409538,0.9906457661441538,136
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed14,0.03458932787179947,0.9466089180565017,0.9931043276081903,180
CMDL,cmdl,linear,cmdl_linear_seed14,0.034597739577293396,0.9466080755968647,0.9931043276081903,180
CMDL,cmdl,linear,cmdl_linear_seed8,0.03169674053788185,0.9455486688446234,0.9929363234080855,200
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed8,0.03163065016269684,0.9455249731681,0.9929363234080855,200
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed15,0.030395762994885445,0.9453706375431136,0.9925928148203707,181
CMDL,cmdl,linear,cmdl_linear_seed15,0.030380437150597572,0.9453667544279177,0.9925928148203707,181
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed4,0.03691868111491203,0.9438665251914847,0.9908527713192832,93
CMDL,cmdl,linear,cmdl_linear_seed4,0.036916591227054596,0.9438661937594773,0.9908527713192832,93
Uniform Lag,ablation,linear,uniform_lag_linear_seed6,0.0747029036283493,0.9437328761735732,0.9854331358283958,28
CMDL,cmdl,linear,cmdl_linear_seed1,0.03257286548614502,0.9419249562278212,0.9920318007950201,131
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed1,0.03429257497191429,0.9407325281925324,0.9919762994074854,116
CMDL,cmdl,linear,cmdl_linear_seed16,0.030374471098184586,0.9366893298515887,0.9919177979449487,140
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed16,0.03040025383234024,0.9366811970923886,0.9919177979449487,140
CMDL,cmdl,linear,cmdl_linear_seed11,0.03209337219595909,0.9356143702822418,0.9925553138828471,198
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed11,0.03210538625717163,0.93557841669855,0.9925553138828471,198
