display_name,family,variant,scenario,task_loss_mean,task_loss_std,effective_kstar_mae_mean,effective_kstar_mae_std,effective_kstar_spearman_rho_mean,effective_kstar_spearman_rho_std,effective_lag_entropy_mean_mean,effective_lag_entropy_mean_std,effective_lag_peak_accuracy_mean,effective_lag_peak_accuracy_std,proxy_signal_r2_mean,proxy_signal_r2_std,z_signal_spearman_rho_mean,z_signal_spearman_rho_std,n_seeds,kstar_positive_seed_share
No AC Encoder,ablation,no_ac_encoder,linear,0.06294642798602582,0.005429939726118492,1.9311701111793518,0.1624627428747036,0.0,0.0,2.001044894607028,0.07139044802268694,0.139,0.030244616745881626,-1.4761382087613504e+16,4.750150887008502e+16,0.0,0.0,20,0.0
No Recon Regularization,ablation,no_recon_regularization,linear,0.03632864458486438,0.004309957069943079,1.1592455894351006,0.22663885493323016,0.944675429487517,0.07848938054010005,1.9045141405293513,0.08510754855256426,0.34700000000000003,0.07255487941080038,0.8993343404562438,0.09071033975621294,0.9544082352058803,0.0813832890324458,20,1.0
Uniform Lag,ablation,uniform_lag,linear,0.06951228938996792,0.0026944909299838225,1.9127500000000002,0.087576658149484,0.0,0.0,2.3025851124040755,0.0,0.0,0.0,0.8483472129646815,0.15718781897956224,0.9457296182404562,0.09166785498983428,20,0.0
CMDL,cmdl,,linear,0.036237701494246724,0.004377236896432432,1.159093333899975,0.22653588622791718,0.9448963369141428,0.0781031451259748,1.9051893759890113,0.08507169400424831,0.34675,0.0721707587673334,0.8995846442341404,0.09044959196514679,0.9546484662116554,0.08097667099041728,20,1.0
Plain LSTM,plain_lstm,,linear,0.06950349099934101,0.0028973097887135275,1.7067199896275997,0.09069997118540177,0.35605380903921546,0.06571361750593487,2.148185172962589,0.019232080421944096,0.12875,0.01869949337900839,,,,,20,1.0
No AC Encoder,ablation,no_ac_encoder,nonlinear,0.06605810523033143,0.018423728031390873,2.4352187542915344,0.2607105009169967,0.0,0.0,1.8206575255260726,0.11391475488980697,0.27675,0.1504928307437373,-2.8503626327783844e+16,5.384773877418979e+16,0.0,0.0,20,0.0
No Recon Regularization,ablation,no_recon_regularization,nonlinear,0.03784319031983614,0.006660112725146965,1.4668405234217645,0.24837044784141057,0.9086750342012891,0.20480512658916214,1.8334089066755002,0.08269997423172584,0.4885,0.041329866860865205,0.8898296842139587,0.1934374681593879,0.9435001875046878,0.21247862353767868,20,1.0
Uniform Lag,ablation,uniform_lag,nonlinear,0.09381731562316417,0.008113678866480541,3.10175,0.0978085536029173,0.0,0.0,2.3025851124040755,0.0,0.393,0.027548999408709075,0.8270833439813089,0.22646585582443435,0.9111284782119554,0.18086750475916089,20,0.0
CMDL,cmdl,,nonlinear,0.037825090251863,0.006533439088030953,1.466921085000038,0.24834529943158398,0.906987608493093,0.21239326483153567,1.833294925746631,0.0827558643461462,0.488,0.04140302556958596,0.8886551085902514,0.19871947292606518,0.945222080552014,0.20476903000195543,20,1.0
Plain LSTM,plain_lstm,,nonlinear,0.092683856934309,0.006084911167720385,2.6107988274991514,0.13768727640080128,0.3439299149714061,0.09246690819380707,2.0894413167570054,0.02812505574231669,0.22725,0.02392284748057696,,,,,20,1.0
