display_name,family,scenario,experiment,task_loss,effective_kstar_mae,effective_kstar_spearman_rho,effective_lag_entropy_mean,effective_lag_peak_accuracy,best_epoch
CMDL,cmdl,linear,cmdl_linear_seed1,0.03257286548614502,0.7847223925590515,0.9848594051506158,1.9075898913168856,0.42,131
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed1,0.03429257497191429,0.7877029323577881,0.9847844114722359,1.8922486096423927,0.435,116
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed4,0.03691868111491203,0.8772781348228454,0.9784062995468445,1.9025196656497037,0.415,93
CMDL,cmdl,linear,cmdl_linear_seed4,0.036916591227054596,0.8772969102859497,0.9784062995468445,1.90251933873746,0.415,93
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed3,0.035664234310388565,0.9586785697937011,0.980834423134508,1.860184054286605,0.37,111
CMDL,cmdl,linear,cmdl_linear_seed3,0.03572094440460205,0.9623580121994019,0.980834423134508,1.8596815736149046,0.37,110
CMDL,cmdl,linear,cmdl_linear_seed16,0.030374471098184586,0.9645653223991394,0.9814198776723585,1.8969885706735223,0.44,140
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed16,0.03040025383234024,0.964614815711975,0.9814198776723585,1.8969686842224882,0.44,140
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed7,0.04140640050172806,0.9703038835525513,0.9809090874251157,1.9457878318743382,0.29,83
CMDL,cmdl,linear,cmdl_linear_seed7,0.041274383664131165,0.9705306470394135,0.9809090874251157,1.9457453973912098,0.29,83
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed15,0.030395762994885445,0.9737757205963135,0.9732988229018469,1.9000848506192318,0.48,181
CMDL,cmdl,linear,cmdl_linear_seed15,0.030380437150597572,0.9744919657707214,0.9731965226679714,1.8998837184013153,0.48,181
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed14,0.03458932787179947,0.9934095597267151,0.9834101322447297,1.8283697984117249,0.27,180
CMDL,cmdl,linear,cmdl_linear_seed14,0.034597739577293396,0.993519401550293,0.9834101322447297,1.8284016201833344,0.27,180
CMDL,cmdl,linear,cmdl_linear_seed10,0.03156784549355507,1.0077828502655028,0.983002502466259,1.7738553980956724,0.435,138
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed10,0.03178723156452179,1.008692309856415,0.9830328393577374,1.7739205315604616,0.435,138
CMDL,cmdl,linear,cmdl_linear_seed19,0.03933504596352577,1.0470625233650208,0.9600950848646628,1.8853233225268786,0.34,106
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed19,0.039315782487392426,1.0470658087730407,0.9600950848646628,1.8853195284678663,0.34,106
CMDL,cmdl,linear,cmdl_linear_seed12,0.04258759692311287,1.1323106241226197,0.9756139216934779,1.8005178422559158,0.28,63
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed12,0.042587023228406906,1.1323458933830262,0.9756139216934779,1.8005216585676636,0.28,63
CMDL,cmdl,linear,cmdl_linear_seed0,0.03128436207771301,1.135600049495697,0.9810751245769367,1.76421936895364,0.42,153
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed0,0.03127359598875046,1.1363180160522461,0.9810751245769367,1.7639849429380319,0.41,153
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed9,0.036777570843696594,1.2050777792930603,0.9792872125802295,1.7895462762308836,0.305,150
CMDL,cmdl,linear,cmdl_linear_seed9,0.03680543228983879,1.2054151201248169,0.9792875798223218,1.789024614314124,0.305,150
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed6,0.035634588450193405,1.23723149061203,0.9245866004809261,1.9636026117224825,0.36,199
CMDL,cmdl,linear,cmdl_linear_seed6,0.03567156568169594,1.2374295806884765,0.9245866004809261,1.9635494608265325,0.36,199
CMDL,cmdl,linear,cmdl_linear_seed8,0.03169674053788185,1.3037743711471557,0.9827735708894423,1.9230688739080577,0.375,200
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed8,0.03163065016269684,1.3048402500152587,0.9827735708894423,1.9232679527699676,0.375,200
CMDL,cmdl,linear,cmdl_linear_seed11,0.03209337219595909,1.3138905382156372,0.9816683066623513,2.003559276395316,0.365,198
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed11,0.03210538625717163,1.3141707181930542,0.9816683066623513,2.003701814312693,0.365,198
CMDL,cmdl,linear,cmdl_linear_seed17,0.04139716550707817,1.319985601902008,0.9776711266516247,1.9439612024363382,0.22,136
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed17,0.04134069383144379,1.320297566652298,0.9776711266516247,1.9440212101449728,0.22,136
CMDL,cmdl,linear,cmdl_linear_seed2,0.04036131873726845,1.3357855200767517,0.7667861078875465,2.037168664953047,0.28,179
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed2,0.040362872183322906,1.3369509887695312,0.7663464339166955,2.0373359483265134,0.28,179
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed13,0.0375874787569046,1.4927204442024231,0.7297286996861613,1.9398591321502985,0.265,109
CMDL,cmdl,linear,cmdl_linear_seed13,0.037562429904937744,1.4930731797218322,0.7290532142818877,1.9399468968607634,0.265,109
GA-Net,ganet,linear,ganet_linear_seed4,0.029350442811846733,1.5096412336826324,0.536839782150271,2.255478254916515,0.15,88
TFT,tft,linear,tft_linear_seed4,0.03305387124419212,1.5120200848579406,0.5014136413669538,2.249907730661541,0.145,79
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed6,0.0711405798792839,1.5320415312051774,0.517282798511687,2.124240503297648,0.115,27
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed5,0.044608790427446365,1.5543814969062806,0.9821210924413252,2.0749090251168782,0.28,136
CMDL,cmdl,linear,cmdl_linear_seed5,0.04461454972624779,1.5549356293678285,0.9821210924413252,2.0750861563312055,0.28,136
GA-Net,ganet,linear,ganet_linear_seed15,0.03018243983387947,1.5553163826465606,0.5158379415141235,2.247511710668328,0.135,84
GA-Net,ganet,linear,ganet_linear_seed1,0.026240075007081032,1.560903000831604,0.5631904044421524,2.258015301309683,0.185,139
TFT,tft,linear,tft_linear_seed1,0.030839473009109497,1.5658625507354735,0.4972149052654639,2.2569462893568324,0.16,56
CMDL,cmdl,linear,cmdl_linear_seed18,0.037939172238111496,1.567336437702179,0.8111567577219483,1.9636963316041038,0.325,200
No Recon Regularization,ablation,linear,no_recon_regularization_linear_seed18,0.03789399191737175,1.5690554094314575,0.806445521551129,1.964128683571832,0.325,200
TFT,tft,linear,tft_linear_seed13,0.029569076374173164,1.5694675588607787,0.4803996157166195,2.244430649061923,0.175,61
TFT,tft,linear,tft_linear_seed15,0.03067767433822155,1.5757220268249512,0.43861414718982233,2.2542569157606622,0.145,80
TFT,tft,linear,tft_linear_seed0,0.031934116035699844,1.5827697098255158,0.5357079940562424,2.2398397233719005,0.185,73
GA-Net,ganet,linear,ganet_linear_seed17,0.027620717883110046,1.5877441906929015,0.5429923890353634,2.261827149728569,0.165,134
TFT,tft,linear,tft_linear_seed3,0.03317813575267792,1.591872627735138,0.42162482665500006,2.2317509276262975,0.17,50
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed1,0.06808726489543915,1.5976747161149978,0.4156021749370422,2.160419897399825,0.125,32
GA-Net,ganet,linear,ganet_linear_seed0,0.028407394886016846,1.6030156087875367,0.5720018988645501,2.2462125010242504,0.19,97
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed13,0.06766362488269806,1.6058988767862319,0.3328348311669021,2.1719407279996426,0.16,33
GA-Net,ganet,linear,ganet_linear_seed9,0.03018033877015114,1.607160816192627,0.4295159087946381,2.2356717865479596,0.135,102
Plain LSTM,plain_lstm,linear,plain_lstm_linear_seed4,0.06545062363147736,1.6186532056331635,0.3472853905859697,2.1189896389591625,0.12,39
TFT,tft,linear,tft_linear_seed17,0.03177386522293091,1.6203106546401977,0.49090616623410294,2.2474692713740096,0.195,90
