domain,aggregation,stratifier,entity_code,entity_name,k_star_mean,k_star_std,n_seeds,k_star,stratifier_value
energy,20_seed_mean,rule_of_law_train,IRQ,Iraq,4.953663456439972,0.9654873031342456,20,4.953663456439972,-1.6250968230769185
energy,20_seed_mean,rule_of_law_train,VEN,Venezuela,4.957722914218903,0.9703634664790118,20,4.957722914218903,-1.3587809307692278
energy,20_seed_mean,rule_of_law_train,TKM,Turkmenistan,4.954475355148316,0.963672422122017,20,4.954475355148316,-1.3475450846153838
energy,20_seed_mean,rule_of_law_train,UZB,Uzbekistan,4.956328129768371,0.9658704615999815,20,4.956328129768371,-1.243216638461534
energy,20_seed_mean,rule_of_law_train,IRN,Iran,4.961339151859283,0.9712914439662017,20,4.961339151859283,-1.0125392153846138
energy,20_seed_mean,rule_of_law_train,BGD,Bangladesh,4.958087527751923,0.9693612984965203,20,4.958087527751923,-0.9496712461538451
energy,20_seed_mean,rule_of_law_train,KAZ,Kazakhstan,4.953791463375092,0.9693016175696743,20,4.953791463375092,-0.9399072384615367
energy,20_seed_mean,rule_of_law_train,BLR,Belarus,4.955112481117249,0.9638828852468206,20,4.955112481117249,-0.9178033538461535
energy,20_seed_mean,rule_of_law_train,RUS,Russia,4.954038321971893,0.9706783228510486,20,4.954038321971893,-0.9135154538461533
energy,20_seed_mean,rule_of_law_train,PAK,Pakistan,4.958811020851135,0.9714507968163132,20,4.958811020851135,-0.8962752538461529
energy,20_seed_mean,rule_of_law_train,ECU,Ecuador,4.956654500961304,0.9688816583924734,20,4.956654500961304,-0.8521969846153836
energy,20_seed_mean,rule_of_law_train,AZE,Azerbaijan,4.95281240940094,0.9672878545074515,20,4.95281240940094,-0.8484823615384605
energy,20_seed_mean,rule_of_law_train,UKR,Ukraine,4.954095363616943,0.9682154671399626,20,4.954095363616943,-0.8174106153846152
energy,20_seed_mean,rule_of_law_train,DZA,Algeria,4.956992661952972,0.9696449492815865,20,4.956992661952972,-0.8141743923076921
energy,20_seed_mean,rule_of_law_train,IDN,Indonesia,4.954879713058472,0.9715080127703432,20,4.954879713058472,-0.7183727307692304
energy,20_seed_mean,rule_of_law_train,CHN,China,4.956040406227112,0.972240184252437,20,4.956040406227112,-0.6824532384615384
energy,20_seed_mean,rule_of_law_train,VNM,Vietnam,4.9584332466125485,0.970581371985652,20,4.9584332466125485,-0.6398719538461535
energy,20_seed_mean,rule_of_law_train,COL,Colombia,4.951058232784272,0.9708693453846475,20,4.951058232784272,-0.6148672384615381
energy,20_seed_mean,rule_of_law_train,PER,Peru,4.942070126533508,0.9674388532854016,20,4.942070126533508,-0.538061646153846
energy,20_seed_mean,rule_of_law_train,MKD,North Macedonia,4.950689446926117,0.9684921204750866,20,4.950689446926117,-0.45186578461538435
energy,20_seed_mean,rule_of_law_train,ARG,Argentina,4.962221002578735,0.9745752885007012,20,4.962221002578735,-0.4509242615384613
energy,20_seed_mean,rule_of_law_train,PHL,Philippines,4.948433268070221,0.9686831984832808,20,4.948433268070221,-0.42580463846153793
energy,20_seed_mean,rule_of_law_train,MEX,Mexico,4.936568021774292,0.9626491801377824,20,4.936568021774292,-0.41989493076923046
energy,20_seed_mean,rule_of_law_train,BRA,Brazil,4.945826900005341,0.9670575540429404,20,4.945826900005341,-0.2767305076923074
energy,20_seed_mean,rule_of_law_train,EGY,Egypt,4.953369462490082,0.9649400601440863,20,4.953369462490082,-0.204750246153846
energy,20_seed_mean,rule_of_law_train,MAR,Morocco,4.952627241611481,0.9663127274478429,20,4.952627241611481,-0.20444448461538436
energy,20_seed_mean,rule_of_law_train,BGR,Bulgaria,4.932452070713043,0.9610579020789766,20,4.932452070713043,-0.14534639230769222
energy,20_seed_mean,rule_of_law_train,SAU,Saudi Arabia,4.947610795497894,0.9649648058821945,20,4.947610795497894,-0.12994049999999976
energy,20_seed_mean,rule_of_law_train,ROU,Romania,4.940792202949524,0.9628933844154397,20,4.940792202949524,-0.05637937692307693
energy,20_seed_mean,rule_of_law_train,LKA,Sri Lanka,4.947855865955352,0.9613197693927095,20,4.947855865955352,0.001038430769230842
energy,20_seed_mean,rule_of_law_train,HRV,Croatia,4.9448583126068115,0.9642792095720711,20,4.9448583126068115,0.00121642307692315
