domain,setting,method,n_seeds,primary_metric,primary_mean,primary_std,secondary_metric,secondary_mean,secondary_std
economics,ctfp,CMDL,20,test_r2,0.05414579722609828,0.03732275649988708,anchor_adjusted_rho,-0.10869306317884078,
economics,ctfp,Grouped ARDL,20,test_r2,-0.08910696294806322,0.0,anchor_adjusted_rho,,
economics,ctfp,No AC Encoder,20,test_r2,0.05182138369893837,0.03536224171050445,anchor_adjusted_rho,,
economics,ctfp,No Recon Regularization,20,test_r2,0.05525867170189134,0.03293678214680605,anchor_adjusted_rho,0.1637728505512311,
economics,ctfp,Plain LSTM,20,test_r2,0.1024200233199964,0.021352519193636118,anchor_adjusted_rho,-0.017294734488074767,
economics,ctfp,Uniform Lag,20,test_r2,0.10396524533015572,0.028008368866228584,anchor_adjusted_rho,,
energy,co2_per_unit_energy,CMDL,20,test_r2,-0.028567153527486667,0.0050179120056919975,anchor_adjusted_rho,-0.014338563591048481,
energy,co2_per_unit_energy,Grouped ARDL,20,test_r2,0.6070779775073338,1.1390647892519134e-16,anchor_adjusted_rho,,
energy,co2_per_unit_energy,No AC Encoder,20,test_r2,-0.028401154046766686,0.004633887071293897,anchor_adjusted_rho,,
energy,co2_per_unit_energy,No Recon Regularization,20,test_r2,-0.0285662963737612,0.005017599756864618,anchor_adjusted_rho,-0.01437523581160185,
energy,co2_per_unit_energy,Plain LSTM,20,test_r2,-0.028771130809167506,0.004242278150817936,anchor_adjusted_rho,0.09253877741880136,
energy,co2_per_unit_energy,Uniform Lag,20,test_r2,-0.029856017581911698,0.0034992931430746633,anchor_adjusted_rho,,
synthetic,linear,CMDL,20,task_loss,0.036237701494246724,0.004377236896432432,effective_kstar_mae,1.1590933338999747,0.22653588622791715
synthetic,linear,No AC Encoder,20,task_loss,0.06294642798602582,0.0054299397261184925,effective_kstar_mae,1.9311701111793518,0.1624627428747036
synthetic,linear,No Recon Regularization,20,task_loss,0.03632864458486438,0.004309957069943078,effective_kstar_mae,1.1592455894351004,0.22663885493323013
synthetic,linear,Plain LSTM,20,task_loss,0.06950349099934101,0.0028973097887135275,effective_kstar_mae,1.7067199896275995,0.09069997118540175
synthetic,linear,Uniform Lag,20,task_loss,0.06951228938996792,0.002694490929983822,effective_kstar_mae,1.9127500000000004,0.087576658149484
synthetic,nonlinear,CMDL,20,task_loss,0.037825090251863,0.0065334390880309534,effective_kstar_mae,1.4669210850000383,0.248345299431584
synthetic,nonlinear,No AC Encoder,20,task_loss,0.06605810523033143,0.018423728031390873,effective_kstar_mae,2.435218754291534,0.2607105009169967
synthetic,nonlinear,No Recon Regularization,20,task_loss,0.03784319031983614,0.006660112725146964,effective_kstar_mae,1.4668405234217645,0.24837044784141057
synthetic,nonlinear,Plain LSTM,20,task_loss,0.092683856934309,0.0060849111677203855,effective_kstar_mae,2.6107988274991514,0.13768727640080128
synthetic,nonlinear,Uniform Lag,20,task_loss,0.09381731562316417,0.008113678866480543,effective_kstar_mae,3.10175,0.09780855360291725
